,coder,descr_id,code
0,Zheng Z,2149zhengzhang,A1a
1,Zheng Z,2149zhengzhang,I2
2,Zheng Z,2149tianyi,A1a
3,Zheng Z,2149tianyi,H2
4,Zheng Z,2149zhengning,A1a
5,Zheng Z,2149toby,A1a
6,Zheng Z,532zhengzhang,BL2
7,Zheng Z,532zhengzhang,CL1
8,Zheng Z,532tianyi,I2
9,Zheng Z,532tianyi,CL1
10,Zheng Z,532tianyi,BL1
11,Zheng Z,532zhengning,CL1
12,Zheng Z,532zhengning,I2
13,Zheng Z,532toby,CL1
14,Zheng Z,532toby,I2
15,Zheng Z,532toby,BL1
16,Zheng Z,2094zhengzhang,KA1b
17,Zheng Z,2094tianyi,KA1b
18,Zheng Z,2094zhengning,KA1b
19,Zheng Z,2094toby,KA1b
20,Zheng Z,1125zhengzhang,BL1
21,Zheng Z,1125tianyi,BL1
22,Zheng Z,1125zhengning,BL1
23,Zheng Z,1125toby,BL2
24,Zheng Z,1125toby,BL3
25,Zheng Z,2294zhengzhang,CM4
26,Zheng Z,2294tianyi,D1a
27,Zheng Z,2294tianyi,CL1
28,Zheng Z,2294zhengning,CL1
29,Zheng Z,2294toby,CE2
30,Zheng Z,1274zhengzhang,D1b
31,Zheng Z,1274tianyi,D1b
32,Zheng Z,1274zhengning,D1b
33,Zheng Z,1274toby,D1b
34,Zheng Z,251zhengzhang,BL1
35,Zheng Z,251zhengzhang,BE5
36,Zheng Z,251tianyi,BL1
37,Zheng Z,251zhengning,I1
38,Zheng Z,1978zhengzhang,D1a
39,Zheng Z,1978tianyi,D1a
40,Zheng Z,1978toby,D1a
41,Zheng Z,2018zhengzhang,D1a
42,Zheng Z,2018tianyi,D1a
43,Zheng Z,2018toby,D1a
44,Zheng Z,1331zhengzhang,D1b
45,Zheng Z,1331tianyi,D1b
46,Zheng Z,1331zhengning,D1b
47,Zheng Z,1331toby,D1b
48,Zheng Z,1139zhengzhang,BF4
49,Zheng Z,1139tianyi,BF4
50,Zheng Z,1139zhengning,BF4
51,Zheng Z,1139toby,BF4
52,Zheng Z,2179zhengzhang,I2
53,Zheng Z,2179tianyi,H2
54,Zheng Z,2179tianyi,I2
55,Zheng Z,2179zhengning,I1
56,Zheng Z,2179zhengning,A1d
57,Zheng Z,2179toby,I1
58,Zheng Z,2153zhengzhang,A1a
59,Zheng Z,2153zhengzhang,I2
60,Zheng Z,2153tianyi,I2
61,Zheng Z,2153tianyi,H2
62,Zheng Z,2153zhengning,A1a
63,Zheng Z,2153toby,I2
64,Zheng Z,2168zhengzhang,I2
65,Zheng Z,2168zhengzhang,BL2
66,Zheng Z,2168tianyi,I2
67,Zheng Z,2168zhengning,I2
68,Zheng Z,2168zhengning,I1
69,Zheng Z,2168toby,BL2
70,Zheng Z,2168toby,BL1
71,Zheng Z,2000zhengzhang,BL3
72,Zheng Z,2000zhengzhang,I2
73,Zheng Z,2000tianyi,BL3
74,Zheng Z,2000tianyi,H2
75,Zheng Z,2000zhengning,BL3
76,Zheng Z,2000zhengning,I1
77,Zheng Z,2000toby,BL3
78,Zheng Z,2000toby,I1
79,Zheng Z,1961zhengzhang,CF5
80,Zheng Z,1961tianyi,CF5
81,Zheng Z,1961tianyi,I2
82,Zheng Z,1961zhengning,I1
83,Zheng Z,1961zhengning,CF5
84,Zheng Z,1961toby,I2
85,Zheng Z,1961toby,E1
86,Zheng Z,1578zhengzhang,CE3
87,Zheng Z,1578zhengzhang,BE5
88,Zheng Z,1578tianyi,CE3
89,Zheng Z,1578tianyi,CE5
90,Zheng Z,1578zhengning,CE3
91,Zheng Z,1578toby,CE3
92,Zheng Z,1578toby,CE5
93,Zheng Z,1585zhengzhang,BL3
94,Zheng Z,1585tianyi,BL3
95,Zheng Z,1585zhengning,BL3
96,Zheng Z,1585toby,BL3
97,Zheng Z,1671zhengzhang,KA1b
98,Zheng Z,1671tianyi,KA1b
99,Zheng Z,1671zhengning,KA1b
100,Zheng Z,1671toby,KA1b
101,Zheng Z,1704zhengzhang,F1
102,Zheng Z,1704tianyi,F1
103,Zheng Z,1704zhengning,I1
104,Zheng Z,1704zhengning,F1
105,Zheng Z,1704toby,F1
106,Zheng Z,2373zhengzhang,CL1
107,Zheng Z,2373zhengzhang,CE3
108,Zheng Z,2373tianyi,CL1
109,Zheng Z,2373tianyi,CE3
110,Zheng Z,2373zhengning,CE3
111,Zheng Z,2373toby,CL1
112,Zheng Z,798zhengzhang,BL1
113,Zheng Z,798zhengning,G
114,Zheng Z,798toby,G
115,Zheng Z,798toby,BL1
116,Zheng Z,1131zhengzhang,BF4
117,Zheng Z,1131zhengzhang,D1
118,Zheng Z,1131tianyi,BL1
119,Zheng Z,1131tianyi,H1
120,Zheng Z,1131zhengning,BL3
121,Zheng Z,1131zhengning,I1
122,Zheng Z,1131toby,BL1
123,Zheng Z,1131toby,I1
124,Zheng Z,2374zhengzhang,CE2
125,Zheng Z,2374zhengzhang,CL1
126,Zheng Z,2374tianyi,CE2
127,Zheng Z,2374tianyi,CL1
128,Zheng Z,2374zhengning,CL1
129,Zheng Z,2374zhengning,H1
130,Zheng Z,2374toby,CL1
131,Zheng Z,1151zhengzhang,BF4
132,Zheng Z,1151tianyi,BF4
133,Zheng Z,1151zhengning,I1
134,Zheng Z,1151toby,G
135,Zheng Z,1151toby,I1
136,Zheng Z,1151toby,BF4
137,Zheng Z,2051zhengzhang,CE2
138,Zheng Z,2051zhengzhang,BL1
139,Zheng Z,2051tianyi,BL1
140,Zheng Z,2051tianyi,CE2
141,Zheng Z,2051tianyi,CL1
142,Zheng Z,2051zhengning,BE5
143,Zheng Z,2051toby,BL1
144,Zheng Z,1880zhengzhang,BL1
145,Zheng Z,1880tianyi,BL1
146,Zheng Z,1880tianyi,BN1
147,Zheng Z,1880zhengning,BL3
148,Zheng Z,1880zhengning,I1
149,Zheng Z,1880toby,I1
150,Zheng Z,1880toby,F1
151,Zheng Z,2069zhengzhang,CE3
152,Zheng Z,2069tianyi,CE3
153,Zheng Z,2069tianyi,BE5
154,Zheng Z,2069zhengning,CM6
155,Zheng Z,2069toby,CE3
156,Zheng Z,2367zhengzhang,BL1
157,Zheng Z,2367tianyi,I2
158,Zheng Z,2367zhengning,A1d
159,Zheng Z,2367toby,F3
160,Zheng Z,2367toby,BL1
161,Zheng Z,2312zhengzhang,BL1
162,Zheng Z,2312tianyi,H2
163,Zheng Z,2312zhengning,A1e
164,Zheng Z,361zhengzhang,D1b
165,Zheng Z,361tianyi,D1b
166,Zheng Z,361zhengning,D1b
167,Zheng Z,361toby,D1b
168,Zheng Z,2037zhengzhang,L4
169,Zheng Z,2037tianyi,H2
170,Zheng Z,2037zhengning,I1
171,Zheng Z,2037toby,I1
172,Zheng Z,2037toby,F2
173,Zheng Z,1841zhengzhang,A1b
174,Zheng Z,1841tianyi,A1b
175,Zheng Z,1841zhengning,A1b
176,Zheng Z,1841toby,A1b
177,Zheng Z,2078zhengzhang,CE2
178,Zheng Z,2078tianyi,F4
179,Zheng Z,2078tianyi,CM6
180,Zheng Z,2078zhengning,BF4
181,Zheng Z,2078toby,CM4
182,Zheng Z,2151zhengzhang,KA1b
183,Zheng Z,2151tianyi,KA1b
