,sql_id,username,record_id,code
0,2149,tianyi,record_id,A1a
1,2149,tianyi,record_id,H2
2,2149,tianyi,record_id,l1
3,532,tianyi,record_id,BL2
4,532,tianyi,record_id,CL1
5,532,tianyi,record_id,BL1
6,532,tianyi,record_id,I1
7,2094,tianyi,record_id,KA1b
8,1125,tianyi,record_id,BL1
9,1125,tianyi,record_id,BL2
10,1125,tianyi,record_id,BL3
11,2294,tianyi,record_id,CL1
12,2294,tianyi,record_id,CM6
13,2294,tianyi,record_id,D1
14,2294,tianyi,record_id,I1
15,2294,tianyi,record_id,CE2
16,1274,tianyi,record_id,D1b
17,251,tianyi,record_id,BL1
18,251,tianyi,record_id,I1
19,1978,tianyi,record_id,D1a
20,2018,tianyi,record_id,D1a
21,1331,tianyi,record_id,D1a
22,1331,tianyi,record_id,D1b
23,1139,tianyi,record_id,BF4
24,1139,tianyi,record_id,I1
25,2179,tianyi,record_id,I1
26,2179,tianyi,record_id,
27,2179,tianyi,record_id,H1
28,2179,tianyi,record_id,A1d
29,2179,tianyi,record_id,DF2
30,2179,tianyi,record_id,D1
31,2153,tianyi,record_id,I1
32,2153,tianyi,record_id,A1a
33,2153,tianyi,record_id,H1
34,2168,tianyi,record_id,I1
35,2168,tianyi,record_id,BL2
36,2168,tianyi,record_id,BL3
37,2168,tianyi,record_id,I2
38,2000,tianyi,record_id,BL3
39,2000,tianyi,record_id,I2
40,2000,tianyi,record_id,H1
41,2000,tianyi,record_id,I1
42,1961,tianyi,record_id,CE3
43,1961,tianyi,record_id,CL1
44,1961,tianyi,record_id,BE5
45,1961,tianyi,record_id,I1
46,1961,tianyi,record_id,F4
47,1961,tianyi,record_id,
48,1578,tianyi,record_id,CE3
49,1578,tianyi,record_id,BE5
50,1578,tianyi,record_id,I1
51,1585,tianyi,record_id,BL3
52,1671,tianyi,record_id,KA1b
53,1671,tianyi,record_id,I1
54,1704,tianyi,record_id,F1
55,1704,tianyi,record_id,I1
56,2373,tianyi,record_id,CL1
57,2373,tianyi,record_id,
58,798,tianyi,record_id,BL1
59,798,tianyi,record_id,I1
60,798,tianyi,record_id,G
61,798,tianyi,record_id,
62,1131,tianyi,record_id,BL2
63,1131,tianyi,record_id,H2
64,1131,tianyi,record_id,BL3
65,1131,tianyi,record_id,H1
66,1131,tianyi,record_id,I1
67,2374,tianyi,record_id,H2
68,2374,tianyi,record_id,CL1
69,2374,tianyi,record_id,CE2
70,2374,tianyi,record_id,H1
71,2374,tianyi,record_id,BL1
72,1151,tianyi,record_id,BF4
73,1151,tianyi,record_id,G
74,1151,tianyi,record_id,I1
75,2051,tianyi,record_id,CE2
76,2051,tianyi,record_id,BL1
77,2051,tianyi,record_id,CL2
78,2051,tianyi,record_id,BF4
79,1880,tianyi,record_id,BL3
80,1880,tianyi,record_id,E1
81,1880,tianyi,record_id,BN1
82,1880,tianyi,record_id,I1
83,1880,tianyi,record_id,F1
84,2069,tianyi,record_id,CE3
85,2069,tianyi,record_id,BE5
86,2069,tianyi,record_id,CL1
87,2069,tianyi,record_id,CM6
88,2367,tianyi,record_id,CL1
89,2367,tianyi,record_id,BL1
90,2367,tianyi,record_id,
91,2367,tianyi,record_id,I1
92,2367,tianyi,record_id,H2
93,2367,tianyi,record_id,A1d
94,2367,tianyi,record_id,F3
95,2312,tianyi,record_id,A1e
96,361,tianyi,record_id,D1b
97,2037,tianyi,record_id,L4
98,2037,tianyi,record_id,H2
99,2037,tianyi,record_id,I1
100,2037,tianyi,record_id,F2
101,1841,tianyi,record_id,A1b
102,2078,tianyi,record_id,CE2
103,2078,tianyi,record_id,CM6
104,2078,tianyi,record_id,F3
105,2078,tianyi,record_id,BL1
106,2078,tianyi,record_id,CM4
107,2151,tianyi,record_id,KA1b
108,2151,tianyi,record_id,CE2
109,2025,tianyi,record_id,D1a
110,2025,tianyi,record_id,A1b
111,2025,tianyi,record_id,E1
112,2025,tianyi,record_id,DF2
113,2070,tianyi,record_id,CE3
114,2070,tianyi,record_id,G
115,2070,tianyi,record_id,CE2
116,2070,tianyi,record_id,E1
117,2070,tianyi,record_id,BE5
118,1804,tianyi,record_id,D1
119,1747,tianyi,record_id,BL1
120,1747,tianyi,record_id,CL1
121,1747,tianyi,record_id,BE5
122,1673,tianyi,record_id,BL1
123,1673,tianyi,record_id,CL1
124,2310,tianyi,record_id,CL1
125,2310,tianyi,record_id,CM6
126,2061,tianyi,record_id,CE2
127,2061,tianyi,record_id,A1b
128,478,tianyi,record_id,D1a
129,1189,tianyi,record_id,E1
130,1189,tianyi,record_id,H2
131,1189,tianyi,record_id,BE5
132,1563,tianyi,record_id,BF4
133,1563,tianyi,record_id,CF4
134,531,tianyi,record_id,D1a
135,2149,zhengn,record_id,A1a
136,2149,zhengn,record_id,A1
137,2149,zhengn,record_id,I1
138,2149,zhengn,record_id,H1
139,532,zhengn,record_id,BL2
140,532,zhengn,record_id,CL1
141,532,zhengn,record_id,I2
142,532,zhengn,record_id,BL1
143,2094,zhengn,record_id,KA1b
144,1125,zhengn,record_id,BL1
145,1125,zhengn,record_id,A1
146,1125,zhengn,record_id,BL2
147,2294,zhengn,record_id,CL1
148,2294,zhengn,record_id,D1
149,1274,zhengn,record_id,D1b
150,251,zhengn,record_id,BL1
151,251,zhengn,record_id,I2
152,1978,zhengn,record_id,D1a
153,2018,zhengn,record_id,D1a
154,1331,zhengn,record_id,D1a
155,1139,zhengn,record_id,BF4
156,2179,zhengn,record_id,I2
157,2179,zhengn,record_id,H1
158,2179,zhengn,record_id,A1
159,2153,zhengn,record_id,I2
160,2153,zhengn,record_id,I1
161,2168,zhengn,record_id,I2
162,2168,zhengn,record_id,BL2
163,2168,zhengn,record_id,BL1
164,2000,zhengn,record_id,I2
165,2000,zhengn,record_id,BL3
166,2000,zhengn,record_id,H2
167,1961,zhengn,record_id,CL1
168,1961,zhengn,record_id,I2
169,1961,zhengn,record_id,F3
170,1578,zhengn,record_id,F3
171,1578,zhengn,record_id,CL2
172,1578,zhengn,record_id,BL1
173,1578,zhengn,record_id,CL1
174,1578,zhengn,record_id,BL3
175,1585,zhengn,record_id,BL3
176,1671,zhengn,record_id,KA1b
177,1704,zhengn,record_id,F1
178,1704,zhengn,record_id,D1
179,1704,zhengn,record_id,I2
180,2373,zhengn,record_id,CM6
181,2373,zhengn,record_id,BL1
182,798,zhengn,record_id,BL1
183,798,zhengn,record_id,G
184,1131,zhengn,record_id,D1
185,1131,zhengn,record_id,BL1
186,1131,zhengn,record_id,H1
187,1131,zhengn,record_id,I2
188,1131,zhengn,record_id,BL3
189,2374,zhengn,record_id,CE2
190,2374,zhengn,record_id,CL1
191,2374,zhengn,record_id,CL2
192,1151,zhengn,record_id,BF4
193,1151,zhengn,record_id,I2
194,1151,zhengn,record_id,G
195,2051,zhengn,record_id,BL1
196,2051,zhengn,record_id,BE5
197,1880,zhengn,record_id,BL3
198,1880,zhengn,record_id,I2
199,2069,zhengn,record_id,CL1
200,2069,zhengn,record_id,CE3
201,2069,zhengn,record_id,BE5
202,2367,zhengn,record_id,CL1
203,2367,zhengn,record_id,BE5
204,2367,zhengn,record_id,I2
205,2367,zhengn,record_id,F3
206,2312,zhengn,record_id,BL1
207,2312,zhengn,record_id,H1
208,361,zhengn,record_id,D1b
209,2037,zhengn,record_id,BL1
210,2037,zhengn,record_id,I2
211,1841,zhengn,record_id,A1
212,1841,zhengn,record_id,H1
213,2078,zhengn,record_id,BL3
214,2078,zhengn,record_id,F4
215,2151,zhengn,record_id,KA1b
216,2025,zhengn,record_id,D1a
217,2070,zhengn,record_id,CE3
218,1804,zhengn,record_id,D1c
219,1747,zhengn,record_id,BL1
220,1747,zhengn,record_id,BE5
221,1673,zhengn,record_id,BL2
222,1673,zhengn,record_id,CL1
223,2310,zhengn,record_id,CL1
224,2310,zhengn,record_id,BL2
225,2061,zhengn,record_id,CE2
226,2061,zhengn,record_id,A1
227,478,zhengn,record_id,D1a
228,1189,zhengn,record_id,E1
229,1563,zhengn,record_id,BF4
230,1563,zhengn,record_id,CF5
231,531,zhengn,record_id,D1a
232,2149,zhengz,record_id,A1a
233,2149,zhengz,record_id,I2
234,2149,zhengz,record_id,H2
235,532,zhengz,record_id,BL2
236,532,zhengz,record_id,CL1
237,532,zhengz,record_id,I2
238,532,zhengz,record_id,BL1
239,2094,zhengz,record_id,KA1b
240,1125,zhengz,record_id,BL1
241,1125,zhengz,record_id,BL2
242,1125,zhengz,record_id,BL3
243,2294,zhengz,record_id,CM4
244,2294,zhengz,record_id,D1a
245,2294,zhengz,record_id,CL1
246,2294,zhengz,record_id,CE2
247,1274,zhengz,record_id,D1b
248,251,zhengz,record_id,BL1
249,251,zhengz,record_id,BE5
250,251,zhengz,record_id,I1
251,1978,zhengz,record_id,D1a
252,2018,zhengz,record_id,D1a
253,1331,zhengz,record_id,D1b
254,1139,zhengz,record_id,BF4
255,2179,zhengz,record_id,I2
256,2179,zhengz,record_id,H2
257,2179,zhengz,record_id,I1
258,2179,zhengz,record_id,A1d
259,2153,zhengz,record_id,A1a
260,2153,zhengz,record_id,I2
261,2153,zhengz,record_id,H2
262,2168,zhengz,record_id,I2
263,2168,zhengz,record_id,BL2
264,2168,zhengz,record_id,I1
265,2168,zhengz,record_id,BL1
266,2000,zhengz,record_id,BL3
267,2000,zhengz,record_id,I2
268,2000,zhengz,record_id,H2
269,2000,zhengz,record_id,I1
270,1961,zhengz,record_id,CF5
271,1961,zhengz,record_id,I2
272,1961,zhengz,record_id,I1
273,1961,zhengz,record_id,E1
274,1578,zhengz,record_id,CE3
275,1578,zhengz,record_id,BE5
276,1578,zhengz,record_id,CE5
277,1585,zhengz,record_id,BL3
278,1671,zhengz,record_id,KA1b
279,1704,zhengz,record_id,F1
280,1704,zhengz,record_id,I1
281,2373,zhengz,record_id,CL1
282,2373,zhengz,record_id,CE3
283,798,zhengz,record_id,BL1
284,798,zhengz,record_id,G
285,1131,zhengz,record_id,BF4
286,1131,zhengz,record_id,D1
287,1131,zhengz,record_id,BL1
288,1131,zhengz,record_id,H1
289,1131,zhengz,record_id,BL3
290,1131,zhengz,record_id,I1
291,2374,zhengz,record_id,CE2
292,2374,zhengz,record_id,CL1
293,2374,zhengz,record_id,H1
294,1151,zhengz,record_id,BF4
295,1151,zhengz,record_id,I1
296,1151,zhengz,record_id,G
297,2051,zhengz,record_id,CE2
298,2051,zhengz,record_id,BL1
299,2051,zhengz,record_id,CL1
300,2051,zhengz,record_id,BE5
301,1880,zhengz,record_id,BL1
302,1880,zhengz,record_id,BN1
303,1880,zhengz,record_id,BL3
304,1880,zhengz,record_id,I1
305,1880,zhengz,record_id,F1
306,2069,zhengz,record_id,CE3
307,2069,zhengz,record_id,BE5
308,2069,zhengz,record_id,CM6
309,2367,zhengz,record_id,BL1
310,2367,zhengz,record_id,I2
311,2367,zhengz,record_id,A1d
312,2367,zhengz,record_id,F3
313,2312,zhengz,record_id,BL1
314,2312,zhengz,record_id,H2
315,2312,zhengz,record_id,A1e
316,361,zhengz,record_id,D1b
317,2037,zhengz,record_id,L4
318,2037,zhengz,record_id,H2
319,2037,zhengz,record_id,I1
320,2037,zhengz,record_id,F2
321,1841,zhengz,record_id,A1b
322,2078,zhengz,record_id,CE2
323,2078,zhengz,record_id,F4
324,2078,zhengz,record_id,CM6
325,2078,zhengz,record_id,BF4
326,2078,zhengz,record_id,CM4
327,2151,zhengz,record_id,KA1b
328,2025,zhengz,record_id,D1a
329,2025,zhengz,record_id,A1b
330,2025,zhengz,record_id,BF4
331,2025,zhengz,record_id,H2
332,2070,zhengz,record_id,CE3
333,2070,zhengz,record_id,E1
334,2070,zhengz,record_id,F4
335,2070,zhengz,record_id,BE5
336,1804,zhengz,record_id,D1c
337,1747,zhengz,record_id,BL1
338,1747,zhengz,record_id,BE5
