,Fleiss_kappa
2149zhengzhang,0.5507389162561573
2149tianyi,0.488215488215487
2149zhengning,1.0
2149toby,0.7686453576864543
532zhengzhang,0.650574712643677
532tianyi,0.705996131528046
532zhengning,0.5601851851851846
532toby,0.705996131528046
2094zhengzhang,0.7931972789115644
2094tianyi,0.7931972789115644
2094zhengning,0.7931972789115644
2094toby,0.7931972789115644
1125zhengzhang,1.0
1125tianyi,0.37959183673469515
1125zhengning,0.14414414414413887
1125toby,0.35106732348111436
2294zhengzhang,0.4216133942161319
2294tianyi,0.44465935955297653
2294zhengning,0.37959183673469515
2294toby,0.15139573070607515
1274zhengzhang,1.0
1274tianyi,1.0
1274zhengning,1.0
1274toby,1.0
251zhengzhang,0.7931972789115644
251tianyi,0.7931972789115644
251zhengning,0.4864864864864855
1978zhengzhang,1.0
1978tianyi,1.0
1978toby,1.0
2018zhengzhang,1.0
2018tianyi,1.0
2018toby,1.0
1331zhengzhang,0.5174603174603188
1331tianyi,0.5174603174603188
1331zhengning,0.5174603174603188
1331toby,0.5174603174603188
1139zhengzhang,1.0
1139tianyi,0.7931972789115644
1139zhengning,1.0
1139toby,1.0
2179zhengzhang,0.3153153153153111
2179tianyi,0.25123152709359603
2179zhengning,0.29629629629629856
2179toby,0.30593607305935977
2153zhengzhang,0.30593607305935977
2153tianyi,0.20833333333333434
2153zhengning,0.4864864864864855
2153toby,0.3153153153153111
2168zhengzhang,0.4509031198686365
2168tianyi,0.19025875190258615
2168zhengning,0.5507389162561573
2168toby,0.5601851851851868
2000zhengzhang,0.5507389162561573
2000tianyi,0.2520072520072512
2000zhengning,0.5507389162561573
2000toby,0.47222222222222254
1961zhengzhang,-0.027027027027031185
1961tianyi,0.12037037037037125
1961zhengning,0.25123152709359603
1961toby,0.05155993431855303
1578zhengzhang,0.29629629629629856
1578tianyi,0.2520072520072512
1578zhengning,0.4864864864864855
1578toby,0.25123152709359603
1585zhengzhang,1.0
1585tianyi,1.0
1585zhengning,0.7931972789115644
1585toby,1.0
1671zhengzhang,0.7931972789115644
1671tianyi,0.7931972789115644
1671zhengning,0.7686453576864543
1671toby,0.7931972789115644
1704zhengzhang,0.7931972789115644
1704tianyi,0.4864864864864855
1704zhengning,0.4216133942161319
1704toby,0.37959183673469515
2373zhengzhang,0.10385487528344602
2373tianyi,0.10385487528344602
2373zhengning,-0.027027027027031185
2373toby,0.14414414414413887
798zhengzhang,1.0
798zhengning,0.4864864864864855
798toby,0.5174603174603171
1131zhengzhang,0.29629629629629634
1131tianyi,0.2150234741784029
1131zhengning,0.5507389162561573
1131toby,0.3842592592592594
2374zhengzhang,0.3510673234811169
2374tianyi,0.5507389162561573
2374zhengning,0.35106732348111436
2374toby,0.24172335600907147
1151zhengzhang,0.37959183673469515
1151tianyi,0.37959183673469515
1151zhengning,0.4864864864864855
1151toby,0.3842592592592617
2051zhengzhang,0.3510673234811169
2051tianyi,0.429107981220658
2051zhengning,0.4864864864864855
2051toby,0.4864864864864855
1880zhengzhang,0.3153153153153111
1880tianyi,0.35106732348111436
1880zhengning,0.5507389162561573
1880toby,0.35106732348111436
2069zhengzhang,0.7931972789115644
2069tianyi,0.7361111111111118
2069zhengning,0.24172335600907147
2069toby,0.24172335600907321
2367zhengzhang,0.30593607305935977
2367tianyi,0.15139573070607515
2367zhengning,0.07458143074581546
2367toby,0.7931972789115644
2312zhengzhang,0.37959183673469515
2312tianyi,0.1441441441441432
2312zhengning,0.14414414414413887
361zhengzhang,1.0
361tianyi,1.0
361zhengning,1.0
361toby,1.0
2037zhengzhang,0.3153153153153111
2037tianyi,0.4864864864864855
2037zhengning,0.37959183673469515
2037toby,0.29629629629629634
1841zhengzhang,0.37959183673469515
1841tianyi,0.37959183673469515
1841zhengning,0.4864864864864855
1841toby,0.2065622669649479
2078zhengzhang,0.1441441441441432
2078tianyi,0.28638497652582096
2078zhengning,-0.034013605442174175
2078toby,0.14414414414413887
2151zhengzhang,1.0
2151tianyi,0.7931972789115644
2151zhengning,1.0
2151toby,1.0
2025zhengzhang,1.0
2025tianyi,0.4571428571428572
2025zhengning,0.8502463054187187
2025toby,0.30593607305935977
2070zhengzhang,0.4864864864864855
2070tianyi,0.12037037037037125
2070zhengning,1.0
2070toby,0.8502463054187187
1804zhengzhang,0.4864864864864855
1804tianyi,0.4864864864864855
1804zhengning,0.4864864864864855
1804toby,0.4864864864864855
1747zhengzhang,0.7931972789115644
1747tianyi,0.650574712643677
1747zhengning,0.30593607305935977
1747toby,0.4864864864864855
1673zhengzhang,0.5174603174603171
1673tianyi,0.25123152709359603
1673zhengning,0.35106732348111436
1673toby,0.20656226696495075
2310zhengzhang,0.5174603174603171
2310tianyi,0.35106732348111436
2310zhengning,0.5174603174603171
2310toby,0.5174603174603171
2061zhengzhang,1.0
2061tianyi,0.6529680365296806
2061zhengning,0.650574712643677
2061toby,1.0
478zhengzhang,1.0
478tianyi,1.0
478zhengning,1.0
478toby,1.0
1189zhengzhang,1.0
1189tianyi,0.3153153153153154
1189zhengning,0.10385487528344951
1189toby,0.7931972789115644
1563zhengzhang,1.0
1563tianyi,0.7361111111111118
1563toby,0.7361111111111118
531zhengzhang,1.0
531tianyi,1.0
531toby,1.0
798tianyi,-0.020134228187921273
average,0.5590958694655894
