record_id,session_id,username,sql_id,sql,nl_query,incorrect_parts,open_ended_feedback,error_classification,coder,duration,cur_id,batch_id,GT_sql
bb34cb0a-bb6f-43ff-8602-e9a4e7f9aafe,52191fac-0a3c-4fde-93f7-dffd7254a24c,toby,2149,SELECT projects.project_details FROM projects JOIN project_staff ON projects.project_id = project_staff.project_id WHERE project_staff.role_code = 'researcher',List the project details of the projects which did not hire any staff for a researcher role.,"WHERE project_staff.role_code = 'researcher', projects.project_id = project_staff.project_id",The result query didnâ€™t catch the negation and returns the project details of projects that hire staff in a researcher role instead.,Miss negation,Tianyi,6.946,1,1,SELECT project_details FROM Projects WHERE project_id NOT IN ( SELECT project_id FROM Project_Staff WHERE role_code = 'researcher' )
c9da76da-8852-4f87-b6f7-46fbc71c97f5,6de1d0b5-c758-4cee-a6f3-d361ba658a4b,zhengning,2149,SELECT projects.project_details FROM projects JOIN project_staff ON projects.project_id = project_staff.project_id WHERE project_staff.role_code = 'researcher',List the project details of the projects which did not hire any staff for a researcher role.,WHERE project_staff.role_code = 'researcher',"1, ignore the key word ""Not""",Miss negation,Tianyi,720.949,1,1,SELECT project_details FROM Projects WHERE project_id NOT IN ( SELECT project_id FROM Project_Staff WHERE role_code = 'researcher' )
43fe6397-5991-4649-93f7-b2799ca6bdc5,b0ef94eb-7038-4fff-8354-fdc70e4618e6,tianyi,2149,SELECT projects.project_details FROM projects JOIN project_staff ON projects.project_id = project_staff.project_id WHERE project_staff.role_code = 'researcher',List the project details of the projects which did not hire any staff for a researcher role.,"JOIN, project_staff, ON, projects.project_id = project_staff.project_id","The phrase of NL query is '...projects which did not hire any staff...'. The Ground truth query is correct which is '...WHERE project_id NOT IN ( SELECT project_id FROM Project_Staff...)', however, the Hypothetical query,'... FROM projects JOIN project_staff ON projects.project_id = project_staff.project_id ...', is incorrect.; The first type of error in Hypothetical query is incorrect representation because of a lack of negation.; The second type of error in Hypothetical query is inappropriate use of syntax because 'JOIN ...ON...' does not support negation and we should use 'NOT IN( SELECT ... FROM ...)'.",Miss negation; Inappropriate use of syntax; Misunderstand the NLQ.,Tianyi,1590.209,1,1,SELECT project_details FROM Projects WHERE project_id NOT IN ( SELECT project_id FROM Project_Staff WHERE role_code = 'researcher' )
07cd3641-37d2-4d77-adc6-3145d6a1ed7b,4596cb3e-260b-42b6-8a5e-d5b36a5faf20,zhengzhang,2149,SELECT projects.project_details FROM projects JOIN project_staff ON projects.project_id = project_staff.project_id WHERE project_staff.role_code = 'researcher',List the project details of the projects which did not hire any staff for a researcher role.,JOIN,"The SQL query gives an opposite answer, it actually queries ""projects which hire staff for researcher roles"".",Miss negation,Tianyi,250.24,1,1,SELECT project_details FROM Projects WHERE project_id NOT IN ( SELECT project_id FROM Project_Staff WHERE role_code = 'researcher' )
07cd3641-37d2-4d77-adc6-3145d6a1ed7b,4596cb3e-260b-42b6-8a5e-d5b36a5faf20,zhengzhang,2149,SELECT projects.project_details FROM projects JOIN project_staff ON projects.project_id = project_staff.project_id WHERE project_staff.role_code = 'researcher',List the project details of the projects which did not hire any staff for a researcher role.,JOIN,"The SQL query gives an opposite answer, it actually queries ""projects which hire staff for researcher roles"".",Miss a negation,Toby,250.24,1,1,SELECT project_details FROM Projects WHERE project_id NOT IN ( SELECT project_id FROM Project_Staff WHERE role_code = 'researcher' )
43fe6397-5991-4649-93f7-b2799ca6bdc5,b0ef94eb-7038-4fff-8354-fdc70e4618e6,tianyi,2149,SELECT projects.project_details FROM projects JOIN project_staff ON projects.project_id = project_staff.project_id WHERE project_staff.role_code = 'researcher',List the project details of the projects which did not hire any staff for a researcher role.,"JOIN, project_staff, ON, projects.project_id = project_staff.project_id","The phrase of NL query is '...projects which did not hire any staff...'. The Ground truth query is correct which is '...WHERE project_id NOT IN ( SELECT project_id FROM Project_Staff...)', however, the Hypothetical query,'... FROM projects JOIN project_staff ON projects.project_id = project_staff.project_id ...', is incorrect.; The first type of error in Hypothetical query is incorrect representation because of a lack of negation.; The second type of error in Hypothetical query is inappropriate use of syntax because 'JOIN ...ON...' does not support negation and we should use 'NOT IN( SELECT ... FROM ...)'.",Miss a negation; Use a wrong query type,Toby,1590.209,1,1,SELECT project_details FROM Projects WHERE project_id NOT IN ( SELECT project_id FROM Project_Staff WHERE role_code = 'researcher' )
c9da76da-8852-4f87-b6f7-46fbc71c97f5,6de1d0b5-c758-4cee-a6f3-d361ba658a4b,zhengning,2149,SELECT projects.project_details FROM projects JOIN project_staff ON projects.project_id = project_staff.project_id WHERE project_staff.role_code = 'researcher',List the project details of the projects which did not hire any staff for a researcher role.,WHERE project_staff.role_code = 'researcher',"1, ignore the key word ""Not""",Miss a negation,Toby,720.949,1,1,SELECT project_details FROM Projects WHERE project_id NOT IN ( SELECT project_id FROM Project_Staff WHERE role_code = 'researcher' )
bb34cb0a-bb6f-43ff-8602-e9a4e7f9aafe,52191fac-0a3c-4fde-93f7-dffd7254a24c,toby,2149,SELECT projects.project_details FROM projects JOIN project_staff ON projects.project_id = project_staff.project_id WHERE project_staff.role_code = 'researcher',List the project details of the projects which did not hire any staff for a researcher role.,"WHERE project_staff.role_code = 'researcher', projects.project_id = project_staff.project_id",The result query didn't catch the negation and returns the project details of projects that hire staff in a researcher role instead.,,Toby,6.946,1,1,SELECT project_details FROM Projects WHERE project_id NOT IN ( SELECT project_id FROM Project_Staff WHERE role_code = 'researcher' )
07cd3641-37d2-4d77-adc6-3145d6a1ed7b,4596cb3e-260b-42b6-8a5e-d5b36a5faf20,zhengzhang,2149,SELECT projects.project_details FROM projects JOIN project_staff ON projects.project_id = project_staff.project_id WHERE project_staff.role_code = 'researcher',List the project details of the projects which did not hire any staff for a researcher role.,JOIN,"The SQL query gives an opposite answer, it actually queries ""projects which hire staff for researcher roles"".",Get opposite answer; Miss a keyword; Misunderstand the query,Zheng Z,250.24,1,1,SELECT project_details FROM Projects WHERE project_id NOT IN ( SELECT project_id FROM Project_Staff WHERE role_code = 'researcher' )
43fe6397-5991-4649-93f7-b2799ca6bdc5,b0ef94eb-7038-4fff-8354-fdc70e4618e6,tianyi,2149,SELECT projects.project_details FROM projects JOIN project_staff ON projects.project_id = project_staff.project_id WHERE project_staff.role_code = 'researcher',List the project details of the projects which did not hire any staff for a researcher role.,"JOIN, project_staff, ON, projects.project_id = project_staff.project_id","The phrase of NL query is '...projects which did not hire any staff...'. The Ground truth query is correct which is '...WHERE project_id NOT IN ( SELECT project_id FROM Project_Staff...)', however, the Hypothetical query,'... FROM projects JOIN project_staff ON projects.project_id = project_staff.project_id ...', is incorrect.; The first type of error in Hypothetical query is incorrect representation because of a lack of negation.; The second type of error in Hypothetical query is inappropriate use of syntax because 'JOIN ...ON...' does not support negation and we should use 'NOT IN( SELECT ... FROM ...)'.",Get opposite answer; Inappropriate syntax use,Zheng Z,1590.209,1,1,SELECT project_details FROM Projects WHERE project_id NOT IN ( SELECT project_id FROM Project_Staff WHERE role_code = 'researcher' )
