,type_Fleiss_kappa
93,1.0
182,-0.043478260869567936
94,0.45454545454545475
95,-0.09090909090908979
96,1.0
97,-0.09090909090908979
98,1.0
99,0.6444444444444447
100,-0.043478260869567936
101,0.6444444444444447
102,1.0
103,1.0
104,-0.043478260869567936
105,0.6444444444444447
145,1.0
146,-0.043478260869567936
147,1.0
148,1.0
150,1.0
151,1.0
152,1.0
153,0.7767441860465117
154,1.0
155,1.0
156,1.0
157,1.0
158,1.0
159,1.0
160,-0.09090909090908979
161,1.0
162,1.0
163,1.0
164,1.0
165,1.0
173,1.0
174,-0.043478260869567936
175,1.0
176,1.0
177,1.0
178,-0.043478260869567936
179,1.0
180,1.0
181,0.6444444444444447
average,0.7273365251261644
