,A,F,B,N,L,D,C,E,G,M,I,H,K
toby,"{2016.0, 2027.0, 2028.0, 1267.0, 1876.0, 1783.0, 1816.0, 2010.0, 2174.0}","{2016.0, 1153.0, 2296.0, 2339.0, 2170.0, 1612.0, 1141.0, 1623.0, 1624.0, 1146.0, 2174.0}","{1153.0, 2170.0, 1127.0, 2028.0, 1876.0, 1141.0, 1146.0}","{1816.0, 2016.0, 1127.0}","{2170.0, 1127.0, 1876.0, 1561.0, 2010.0}","{513.0, 1160.0, 530.0, 1956.0, 1324.0, 2349.0, 46.0, 1712.0, 2118.0, 1739.0, 1612.0, 2123.0, 1874.0, 604.0, 733.0, 1501.0, 1903.0, 760.0, 2296.0}","{2186.0, 2059.0, 1876.0, 1561.0, 2170.0}","{2118.0, 2186.0, 2123.0, 2028.0, 1876.0, 597.0, 1561.0, 2076.0, 2077.0}","{1160.0, 1267.0}","{2186.0, 2059.0}","{1963.0, 2028.0, 1267.0, 2076.0, 2077.0, 2174.0}",set(),{1876.0}
zhengz,"{2016.0, 2059.0, 2028.0, 2010.0, 2076.0, 2174.0}","{1153.0, 2339.0, 2170.0, 1160.0, 2027.0, 2028.0, 1324.0, 1612.0, 1267.0, 1141.0, 1623.0, 1624.0, 1146.0}","{2170.0, 1127.0, 1324.0, 1876.0, 1141.0, 1561.0, 1146.0, 2076.0}","{1816.0, 2010.0, 2016.0, 1127.0}","{1127.0, 1324.0, 1876.0, 1783.0, 1561.0}","{513.0, 1153.0, 1160.0, 530.0, 2296.0, 1956.0, 1324.0, 2349.0, 46.0, 1712.0, 2118.0, 1739.0, 1612.0, 2123.0, 1624.0, 604.0, 733.0, 1501.0, 2028.0, 1903.0, 760.0}","{1874.0, 2059.0, 2174.0, 2186.0}","{2186.0, 2059.0, 1874.0, 597.0, 1561.0, 2076.0, 2174.0}",set(),set(),"{1267.0, 1876.0, 2076.0, 2027.0}",set(),{1876.0}
zhengn,"{2027.0, 2028.0, 1876.0, 1783.0, 2076.0}","{2016.0, 1153.0, 2339.0, 1160.0, 2186.0, 1739.0, 1612.0, 1903.0, 1712.0, 1874.0, 1141.0, 597.0, 1623.0, 1624.0, 1561.0, 1146.0, 2076.0, 2174.0}","{1146.0, 1127.0, 1876.0, 1141.0, 1816.0, 1561.0, 2010.0}",{1816.0},"{2296.0, 1127.0, 1963.0, 2028.0, 2059.0, 1876.0, 1783.0, 1816.0, 1561.0, 2010.0}","{2296.0, 513.0, 1153.0, 1956.0, 2118.0, 1160.0, 733.0, 2123.0, 1324.0, 2349.0, 46.0, 1903.0, 1712.0, 530.0, 760.0, 604.0, 1501.0}","{2296.0, 1127.0, 2186.0, 2059.0, 2028.0, 1816.0, 2170.0, 2077.0, 2174.0}","{2186.0, 2077.0}",{1267.0},{2170.0},"{2016.0, 1153.0, 2339.0, 1127.0, 1160.0, 1963.0, 1612.0, 2027.0, 1783.0, 1141.0, 1623.0, 1624.0, 2170.0, 2076.0, 2174.0}",set(),{1876.0}
tianyi,"{2016.0, 2118.0, 2027.0, 2028.0, 2123.0, 1816.0, 2077.0}","{2016.0, 2339.0, 1160.0, 2186.0, 2028.0, 1612.0, 1903.0, 1267.0, 1141.0, 1623.0, 1146.0, 2077.0}","{1146.0, 1127.0, 1876.0, 1141.0, 1623.0, 2010.0}","{1816.0, 2016.0, 1127.0}","{2170.0, 1127.0, 2186.0, 1783.0, 1623.0, 1561.0, 2010.0}","{513.0, 1153.0, 530.0, 2296.0, 1956.0, 1324.0, 2349.0, 46.0, 1712.0, 2118.0, 1739.0, 1612.0, 2123.0, 1874.0, 604.0, 733.0, 1501.0, 1903.0, 760.0, 2170.0}","{2118.0, 2186.0, 2123.0, 2059.0, 1874.0, 1623.0, 2296.0, 1561.0, 2170.0}","{2186.0, 1874.0, 597.0, 1561.0, 2076.0}","{1160.0, 2123.0, 1267.0, 2118.0}","{2118.0, 2186.0, 2123.0, 2059.0, 1876.0, 1623.0, 2296.0}","{1876.0, 1141.0}","{1876.0, 2174.0}",set()
intersection4_id,{2028.0},"{2339.0, 1612.0, 1141.0, 1623.0, 1146.0}","{1146.0, 1876.0, 1141.0, 1127.0}",{1816.0},"{1561.0, 1127.0}","{1501.0, 513.0, 1956.0, 2118.0, 2123.0, 1324.0, 2349.0, 46.0, 1903.0, 1712.0, 760.0, 530.0, 2296.0, 604.0, 733.0}","{2186.0, 2059.0}",{2186.0},set(),set(),set(),set(),set()
intersection3_id,"{2016.0, 2027.0, 2028.0}","{2016.0, 1153.0, 2339.0, 1160.0, 1612.0, 1141.0, 1623.0, 1624.0, 1146.0}","{1127.0, 1876.0, 1141.0, 1146.0}","{1816.0, 2016.0, 1127.0}","{1876.0, 1127.0, 1561.0, 2010.0, 1783.0}","{513.0, 1153.0, 2118.0, 1160.0, 1739.0, 1612.0, 2123.0, 530.0, 604.0, 733.0, 1501.0, 2296.0, 1956.0, 1324.0, 2349.0, 46.0, 1903.0, 1712.0, 760.0}","{2170.0, 2186.0, 2059.0}","{597.0, 1561.0, 2186.0, 2076.0}",{1267.0},set(),{2076.0},set(),{1876.0}
union_id,"{2016.0, 2118.0, 2027.0, 2028.0, 2123.0, 2059.0, 1267.0, 1876.0, 1783.0, 1816.0, 2010.0, 2076.0, 2077.0, 2174.0}","{1153.0, 1146.0, 1160.0, 2186.0, 1561.0, 2076.0, 2077.0, 2339.0, 1324.0, 1712.0, 1739.0, 1612.0, 1874.0, 597.0, 1623.0, 1624.0, 2016.0, 2027.0, 2028.0, 1903.0, 1267.0, 1141.0, 2296.0, 2170.0, 2174.0}","{1153.0, 1146.0, 1127.0, 2170.0, 2028.0, 1324.0, 1876.0, 1141.0, 1623.0, 1816.0, 1561.0, 2010.0, 2076.0}","{1816.0, 2010.0, 2016.0, 1127.0}","{2296.0, 2170.0, 1127.0, 2186.0, 1783.0, 1324.0, 2028.0, 1963.0, 2059.0, 1876.0, 1623.0, 1816.0, 1561.0, 2010.0}","{513.0, 1153.0, 1160.0, 530.0, 2296.0, 1956.0, 1324.0, 2349.0, 46.0, 1712.0, 2118.0, 1739.0, 1612.0, 2123.0, 1874.0, 1624.0, 604.0, 733.0, 1501.0, 2028.0, 1903.0, 760.0, 2170.0}","{2118.0, 1127.0, 2186.0, 2123.0, 2059.0, 2028.0, 1816.0, 1874.0, 1876.0, 1623.0, 2296.0, 1561.0, 2170.0, 2077.0, 2174.0}","{2118.0, 2186.0, 2123.0, 2028.0, 2059.0, 1874.0, 1876.0, 597.0, 1561.0, 2076.0, 2077.0, 2174.0}","{1160.0, 2123.0, 1267.0, 2118.0}","{2118.0, 2186.0, 2123.0, 2059.0, 1876.0, 1623.0, 2296.0, 2170.0}","{1153.0, 1160.0, 2076.0, 2077.0, 2339.0, 1963.0, 1612.0, 1876.0, 1623.0, 1624.0, 2016.0, 1127.0, 2027.0, 2028.0, 1267.0, 1141.0, 1783.0, 2170.0, 2174.0}","{1876.0, 2174.0}",{1876.0}
intersection4,1,5,4,1,2,15,2,1,0,0,0,0,0
intersection3,3,9,4,3,5,19,3,4,1,0,1,0,1
union,14,25,13,4,14,23,15,12,4,8,19,2,1
