,Fleiss_kappa
2028,0.3600000000000000
1127,0.4311111111111110
1324,0.6536796536796530
1874,0.19191919191919000
760,1.0
1267,0.2982456140350870
1160,0.15343915343915400
1816,0.07647907647907480
1501,1.0
604,1.0
1612,0.15343915343915100
1623,0.5518207282913160
1745,0.38064516129032300
2013,0.3859649122807030
2002,0.07647907647907320
2016,0.41133186166298800
2339,0.7935483870967750
733,1.0
2186,0.48982094677459000
2027,0.21052631578947500
1141,0.7691197691197660
1876,0.2172211350293540
2010,0.10537634408601900
1903,0.24301075268817100
46,1.0
2118,0.47368421052631600
2123,0.47368421052631600
1712,0.48717948717948700
1561,0.2982456140350890
2077,-0.03225806451612900
2076,0.1758646063281830
1956,1.0
2059,-0.03225806451612900
1783,0.25303454715219300
597,0.48717948717948700
513,0.24301075268817100
530,1.0
2174,0.12280701754386000
1146,1.0
1153,0.19191919191919000
2349,0.48717948717948700
2170,0.15343915343915400
2296,0.5518207282913160
1739,0.24301075268817100
1624,0.38064516129032300
1963,-0.019108280254774700
Average,0.4324403987689280
