,A1d,F1,BN1,BL1,D1a,D1,D1c,CE2,F3,G1,AN2,DF2,CM6,F4,CL1,E1,F2,BL3,A2a,A1b,A1a,I1,BF4,I2,H2,BM1,A1g,D1b,L5,BE5,A1,A1f,CM4,A1e,KA1b,L4,N3,K2,CE3,CF5
toby,"{2028.0, 2174.0}","{2296.0, 1612.0}",{1127.0},{1127.0},"{1501.0, 513.0, 2296.0, 2118.0, 2123.0, 1324.0, 46.0, 530.0, 760.0, 604.0, 733.0}","{1160.0, 1612.0}","{513.0, 1739.0, 2349.0, 1903.0, 1712.0, 1874.0}","{2186.0, 1876.0}",{2174.0},"{1160.0, 1267.0}","{1816.0, 2016.0}",set(),set(),"{2016.0, 1624.0, 2339.0, 1623.0}","{1561.0, 2170.0, 1876.0}","{2118.0, 2123.0, 597.0, 1561.0, 2076.0, 2077.0}",set(),"{1876.0, 1127.0}",set(),"{2027.0, 2028.0, 1783.0}",set(),"{2076.0, 1963.0, 2028.0, 2077.0}","{1153.0, 1146.0, 1141.0, 2170.0}","{1267.0, 2174.0}",set(),set(),set(),{1956.0},set(),{2028.0},"{1816.0, 2010.0, 1267.0}",set(),"{2186.0, 2059.0}",set(),{1876.0},{2010.0},set(),set(),set(),set()
zhengz,"{2028.0, 2076.0, 2174.0}","{2027.0, 1612.0}",{1127.0},"{1561.0, 1324.0, 1127.0}","{1501.0, 2296.0, 2118.0, 2123.0, 1324.0, 46.0, 530.0, 760.0, 604.0, 733.0}","{513.0, 1153.0, 1739.0, 2349.0, 1903.0}",{1712.0},"{1874.0, 2174.0, 2186.0}",set(),set(),"{2016.0, 2010.0}","{1153.0, 1160.0, 2028.0, 1612.0, 1624.0}",set(),"{1624.0, 2339.0, 1267.0, 1623.0}",set(),"{1561.0, 597.0}",set(),{1876.0},set(),{2059.0},set(),{2076.0},"{1146.0, 1324.0, 1141.0, 2170.0}","{1267.0, 1876.0, 2027.0}",set(),set(),set(),{1956.0},{1783.0},{2076.0},set(),{2016.0},set(),set(),set(),{1783.0},{1816.0},{1876.0},{2059.0},set()
zhengn,"{2027.0, 2028.0, 2076.0}",set(),{1816.0},set(),"{1501.0, 2296.0, 2118.0, 2123.0, 1324.0, 46.0, 530.0, 760.0, 604.0, 733.0}","{513.0, 1739.0}",{2349.0},{2186.0},"{1561.0, 2076.0, 597.0}",{1267.0},set(),"{1153.0, 1160.0, 1739.0, 1903.0, 1712.0}",{2170.0},"{2016.0, 2339.0, 2186.0, 1612.0, 1874.0, 1623.0, 1624.0}","{2296.0, 1127.0, 2059.0, 2028.0, 1816.0}",set(),set(),"{1561.0, 2010.0, 1876.0, 1127.0}",set(),"{2027.0, 1783.0}",set(),"{2016.0, 1153.0, 2339.0, 1127.0, 1160.0, 2027.0, 1612.0, 1141.0, 1623.0, 1624.0}","{1146.0, 1141.0}","{1963.0, 1783.0, 2170.0, 2076.0, 2174.0}",set(),set(),set(),{1956.0},set(),set(),set(),set(),set(),set(),{1876.0},"{1963.0, 1876.0, 1783.0}",set(),{1876.0},{2077.0},{2174.0}
tianyi,{2028.0},{2028.0},{1127.0},"{1623.0, 1127.0}","{1501.0, 2296.0, 2118.0, 2123.0, 1324.0, 46.0, 530.0, 760.0, 2170.0, 604.0, 733.0}","{1153.0, 1874.0}","{513.0, 1739.0, 2349.0, 1903.0, 1712.0, 1874.0}","{1874.0, 2186.0}","{1160.0, 1267.0, 2077.0}","{1160.0, 2123.0, 1267.0, 2118.0}","{1816.0, 2016.0}","{1612.0, 1903.0}","{2118.0, 2186.0, 2059.0, 2123.0, 1623.0, 2296.0}","{2016.0, 2186.0, 2339.0, 1623.0}","{1561.0, 2186.0, 2170.0}","{1561.0, 2076.0, 597.0}",set(),{2010.0},"{2016.0, 2123.0, 2118.0}",{2027.0},{2027.0},{1141.0},"{1146.0, 1141.0}",{1876.0},"{1876.0, 2174.0}",{1876.0},{2077.0},{1956.0},{1783.0},set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set()
intersection4_id,{2028.0},set(),set(),set(),"{2118.0, 733.0, 2123.0, 1324.0, 46.0, 760.0, 530.0, 2296.0, 604.0, 1501.0}",set(),set(),{2186.0},set(),set(),set(),set(),set(),"{2339.0, 1623.0}",set(),set(),set(),set(),set(),set(),set(),set(),"{1146.0, 1141.0}",set(),set(),set(),set(),{1956.0},set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set()
intersection3_id,{2028.0},set(),{1127.0},{1127.0},"{2118.0, 2123.0, 530.0, 604.0, 733.0, 1501.0, 2296.0, 1324.0, 46.0, 760.0}",set(),"{1712.0, 2349.0}",{2186.0},set(),{1267.0},{2016.0},set(),set(),"{2016.0, 2339.0, 1623.0, 1624.0}",set(),"{1561.0, 597.0}",set(),{1876.0},set(),{2027.0},set(),set(),"{1146.0, 1141.0}",set(),set(),set(),set(),{1956.0},set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set()
union_id,"{2027.0, 2028.0, 2076.0, 2174.0}","{2296.0, 2027.0, 2028.0, 1612.0}","{1816.0, 1127.0}","{1561.0, 1324.0, 1623.0, 1127.0}","{1501.0, 2296.0, 513.0, 2118.0, 2123.0, 1324.0, 46.0, 530.0, 760.0, 2170.0, 604.0, 733.0}","{1153.0, 513.0, 1160.0, 1739.0, 1612.0, 2349.0, 1903.0, 1874.0}","{513.0, 1739.0, 2349.0, 1903.0, 1712.0, 1874.0}","{1874.0, 1876.0, 2174.0, 2186.0}","{1160.0, 1267.0, 597.0, 1561.0, 2076.0, 2077.0, 2174.0}","{1160.0, 2123.0, 1267.0, 2118.0}","{1816.0, 2010.0, 2016.0}","{1153.0, 1160.0, 1739.0, 1612.0, 2028.0, 1903.0, 1712.0, 1624.0}","{2118.0, 2186.0, 2059.0, 2123.0, 1623.0, 2296.0, 2170.0}","{2016.0, 2339.0, 2186.0, 1612.0, 1874.0, 1267.0, 1623.0, 1624.0}","{2296.0, 1127.0, 2186.0, 2059.0, 2028.0, 1876.0, 1816.0, 1561.0, 2170.0}","{2118.0, 2123.0, 597.0, 1561.0, 2076.0, 2077.0}",set(),"{1561.0, 2010.0, 1876.0, 1127.0}","{2016.0, 2123.0, 2118.0}","{2059.0, 2027.0, 2028.0, 1783.0}",{2027.0},"{2016.0, 1153.0, 2339.0, 1127.0, 1160.0, 1963.0, 2028.0, 1612.0, 2027.0, 1141.0, 1623.0, 1624.0, 2076.0, 2077.0}","{1153.0, 2170.0, 1324.0, 1141.0, 1146.0}","{1963.0, 2027.0, 1267.0, 1876.0, 1783.0, 2170.0, 2076.0, 2174.0}","{1876.0, 2174.0}",{1876.0},{2077.0},{1956.0},{1783.0},"{2028.0, 2076.0}","{1816.0, 2010.0, 1267.0}",{2016.0},"{2186.0, 2059.0}",set(),{1876.0},"{2010.0, 1963.0, 1876.0, 1783.0}",{1816.0},{1876.0},"{2059.0, 2077.0}",{2174.0}
intersection4,1,0,0,0,10,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
intersection3,1,0,1,1,10,0,2,1,0,1,1,0,0,4,0,2,0,1,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
union,4,4,2,4,12,8,6,4,7,4,3,8,7,8,9,6,0,4,3,4,1,14,5,8,2,1,1,1,1,2,3,1,2,0,1,4,1,1,2,1
inter4/union,0.25,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0
inter3/union,0.25,0.0,0.5,0.25,0.8333333333333334,0.0,0.3333333333333333,0.25,0.0,0.25,0.3333333333333333,0.0,0.0,0.5,0.0,0.3333333333333333,nan,0.25,0.0,0.25,0.0,0.0,0.4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0
