,record_id,session_id,username,sql_id,sql,nl_query,incorrect_parts,open_ended_feedback,error_classification,duration,cur_id,batch_id,GT_sql
0,4f8cd8b7-8702-4750-a61e-d0af46403aba,b90b8bcc-2f14-4e4b-9d4e-9f04ea089d25,tianyi,1155,SELECT SUM( home_game.games ) FROM home_game JOIN team ON home_game.team_id = team.team_id_br WHERE team.name = 'Boston Red Stockings' AND home_game.attendance BETWEEN 1990 and 2000,Count the total number of games the team Boston Red Stockings attended from 1990 to 2000.,WHERE team.name = 'Boston Red Stockings' AND home_game.attendance BETWEEN 1990 and 2000,,BF4,1343.887,1,3,SELECT sum(T1.games) FROM home_game AS T1 JOIN team AS T2 ON T1.team_id = T2.team_id_br WHERE T2.name = 'Boston Red Stockings' AND T1.year BETWEEN 1990 AND 2000;
1,70afbf27-86a0-4478-a641-70ad15e6d1e0,b90b8bcc-2f14-4e4b-9d4e-9f04ea089d25,tianyi,1752,SELECT AVG( cars_data.edispl ) FROM cars_data JOIN car_names ON cars_data.id = car_names.makeid WHERE car_names.make = 'volvos',What is the average edispl for all volvos?,WHERE car_names.make = 'volvos',,D1b,202.283,2,3,SELECT avg(T2.edispl) FROM CAR_NAMES AS T1 JOIN CARS_DATA AS T2 ON T1.MakeId  =  T2.Id WHERE T1.Model  =  'volvo';
2,9bcca59a-f0e5-41ab-972b-a9068caafce4,47377420-916f-48fe-8bec-f2fd4b0cd67f,zhengzhang,1155,SELECT SUM( home_game.games ) FROM home_game JOIN team ON home_game.team_id = team.team_id_br WHERE team.name = 'Boston Red Stockings' AND home_game.attendance BETWEEN 1990 and 2000,Count the total number of games the team Boston Red Stockings attended from 1990 to 2000.,,,BF4,87.78100014,1,3,SELECT sum(T1.games) FROM home_game AS T1 JOIN team AS T2 ON T1.team_id = T2.team_id_br WHERE T2.name = 'Boston Red Stockings' AND T1.year BETWEEN 1990 AND 2000;
3,3f114835-8527-41f2-80f4-d56f8975836f,47377420-916f-48fe-8bec-f2fd4b0cd67f,zhengzhang,1752,SELECT AVG( cars_data.edispl ) FROM cars_data JOIN car_names ON cars_data.id = car_names.makeid WHERE car_names.make = 'volvos',What is the average edispl for all volvos?,,,D1b,40.88499999,2,3,SELECT avg(T2.edispl) FROM CAR_NAMES AS T1 JOIN CARS_DATA AS T2 ON T1.MakeId  =  T2.Id WHERE T1.Model  =  'volvo';
4,5523e9f4-3cab-4a19-a1ae-c7a1703f97f6,47377420-916f-48fe-8bec-f2fd4b0cd67f,zhengzhang,2075,SELECT procedures.name FROM procedures JOIN trained_in ON procedures.code = trained_in.treatment JOIN physician ON physician.employeeid = trained_in.physician WHERE physician.name = 'John Wen' AND procedures.cost > 1000,Find the names of all procedures which cost more than 1000 but which physician John Wen was not trained in?,,,I2,72.16100001,3,3,"SELECT name FROM procedures WHERE cost  >  1000 EXCEPT SELECT T3.name FROM physician AS T1 JOIN trained_in AS T2 ON T1.employeeid  =  T2.physician JOIN procedures AS T3 ON T3.code  =  T2.treatment WHERE T1.name  =  ""John Wen"""
5,dfa961e3-80ba-4798-a7ba-47b6e3fffc89,47377420-916f-48fe-8bec-f2fd4b0cd67f,zhengzhang,1116,SELECT song.song_name FROM song WHERE song.genre_is = 'modern' OR song.languages = 'English',Find the names of songs whose genre is modern or language is English.,,,D1a,16.58700013,4,3,"SELECT song_name FROM song WHERE genre_is  =  ""modern"" OR languages  =  ""english"""
6,80f68d8c-238a-4bd5-aa7a-4dcffb1acade,47377420-916f-48fe-8bec-f2fd4b0cd67f,zhengzhang,1998,SELECT artist.country FROM artist JOIN song ON artist.artist_name = song.artist_name WHERE song.song_name LIKE '%love%',"What are the names of the artists who released a song that has the word love in its title, and where are the artists from?",,,BL3,48.81399989,5,3,"SELECT T1.artist_name ,  T1.country FROM artist AS T1 JOIN song AS T2 ON T1.artist_name  =  T2.artist_name WHERE T2.song_name LIKE ""%love%"""
7,7a812993-a909-4fba-b39d-ff4c93b0ae6f,47377420-916f-48fe-8bec-f2fd4b0cd67f,zhengzhang,2353,SELECT COUNT( * ) FROM routes JOIN airlines ON routes.alid = airlines.alid WHERE airlines.country = 'Italy' AND airlines.callsign = 'American Airlines',What is the number of routes operated by the airline American Airlines whose destinations are in Italy?,,,"CE3, BF4",56.64600015,6,3,SELECT count(*) FROM routes AS T1 JOIN airports AS T2 ON T1.dst_apid  =  T2.apid JOIN airlines AS T3 ON T1.alid  =  T3.alid WHERE T2.country  =  'Italy' AND T3.name  =  'American Airlines'
8,11f7ff85-3b21-4fb2-acb9-4fb0fa7dd77f,47377420-916f-48fe-8bec-f2fd4b0cd67f,zhengzhang,1120,"SELECT song.f_id , song.genre_is , song.artist_name FROM song WHERE song.languages = 'English' ORDER BY song.rating ASC","List the id, genre and artist name of English songs ordered by rating.",,,D1a,30.33500004,7,3,"SELECT f_id ,  genre_is ,  artist_name FROM song WHERE languages  =   ""english"" ORDER BY rating"
9,e5aa235f-c4b3-419e-a7c5-208109ae47a1,47377420-916f-48fe-8bec-f2fd4b0cd67f,zhengzhang,88,SELECT DISTINCT products.product_color FROM products,Show all product sizes.,,,BL1,13.46700001,8,3,SELECT DISTINCT product_size FROM Products
