,category,Fleiss_kappa,Krippendroffis_alpha
0,F,0.6169369815525570,0.6177417357929920
1,D,0.8886148861488610,0.8888488884888850
2,I,-0.0214592274678074,-0.0193133047210301
3,C,0.7539917852188340,0.7545086091994670
4,L,0.7604669887278580,0.7609702093397750
5,B,0.6844995739039860,0.6851623899251970
6,N,0.9199327165685450,0.9201009251471830
7,A,0.6932989690721650,0.6939432989690720
8,M,0.1978713968957870,0.1995565410199560
9,E,0.7927009842348230,0.7931364863687830
10,K,0.8629427008350140,0.8632306363374600
11,average,0.6499816141536930,0.6507169468970670
