errortype,type_Krippendroffis_alpha
1694,0.6567164179104478
1834,-0.045454545454545414
2303,1.0
1728,0.6567164179104478
1815,0.6567164179104478
2384,0.6567164179104478
2188,1.0
525,0.4772727272727273
517,1.0
1098,-0.014705882352941124
2397,-0.014705882352941124
1504,1.0
1047,1.0
1048,1.0
1737,-0.029850746268656803
248,-0.029850746268656803
1648,0.6567164179104478
2375,-0.014705882352941124
1695,0.4772727272727273
2055,0.7876923076923077
2352,1.0
877,-0.029850746268656803
1148,1.0
1807,1.0
1137,-0.014705882352941124
306,-0.014705882352941124
1952,1.0
1147,1.0
1988,0.6567164179104478
445,-0.014705882352941124
2372,-0.029850746268656803
1726,1.0
1188,-0.014705882352941124
237,1.0
526,-0.029850746268656803
2381,0.6567164179104478
1827,0.6567164179104478
487,-0.045454545454545414
922,0.28125
2396,-0.014705882352941124
1579,-0.045454545454545414
2148,0.640625
2152,1.0
584,0.6567164179104478
670,1.0
1100,1.0
1778,0.6567164179104478
603,1.0
2041,-0.014705882352941124
107,-0.029850746268656803
2331,0.4772727272727273
2044,1.0
1102,1.0
1211,-0.029850746268656803
2269,1.0
2330,0.4772727272727273
2368,-0.014705882352941124
2172,1.0
2053,1.0
788,1.0
2295,0.640625
1678,1.0
253,1.0
1344,-0.014705882352941124
479,1.0
2034,0.7876923076923077
665,1.0
2147,0.3630769230769231
2169,1.0
1672,1.0
1697,1.0
2377,1.0
2376,0.6567164179104478
618,0.6567164179104478
2383,0.6567164179104478
2074,0.3630769230769231
492,0.8435374149659864
1702,1.0
1170,1.0
1150,1.0
2079,0.4772727272727273
2386,0.6567164179104478
555,1.0
2297,0.640625
2345,-0.014705882352941124
621,1.0
1955,-0.014705882352941124
1962,1.0
1856,0.6567164179104478
1287,1.0
285,1.0
1456,1.0
1602,1.0
1839,0.6567164179104478
613,1.0
2015,0.640625
2217,1.0
1144,1.0
1252,-0.014705882352941124
2009,0.4772727272727273
775,1.0
2056,0.8435374149659864
2350,0.6567164179104478
2292,0.640625
1756,-0.014705882352941124
789,1.0
1868,0.6567164179104478
1327,1.0
2006,-0.014705882352941124
2005,0.6567164179104478
681,1.0
1325,1.0
2215,-0.014705882352941124
2219,1.0
45,1.0
1611,1.0
1608,1.0
2035,0.28125
2338,0.3201970443349754
1115,0.4772727272727273
284,1.0
686,1.0
2017,1.0
2157,0.7876923076923077
1833,1.0
2158,0.4772727272727273
1136,1.0
1562,0.6567164179104478
1736,-0.014705882352941124
2380,0.6567164179104478
2187,1.0
1556,-0.014705882352941124
1121,1.0
1890,-0.014705882352941124
1746,0.6567164179104478
1740,0.6567164179104478
1500,1.0
2385,1.0
1262,1.0
1099,-0.06153846153846154
774,1.0
1660,1.0
2039,1.0
1503,1.0
821,1.0
1154,1.0
2266,1.0
2040,1.0
446,0.4772727272727273
1455,1.0
493,0.3630769230769231
1709,1.0
986,1.0
2001,0.4772727272727273
1784,0.3630769230769231
2343,1.0
2311,0.4772727272727273
2371,-0.014705882352941124
2155,1.0
1126,1.0
2117,1.0
1881,0.3630769230769231
2190,1.0
924,1.0
687,1.0
2189,1.0
1788,1.0
1974,1.0
2101,-0.014705882352941124
254,1.0
649,1.0
1999,0.4772727272727273
2011,0.640625
1744,1.0
2026,1.0
1921,1.0
1950,0.7876923076923077
1557,1.0
1367,-0.029850746268656803
2184,1.0
1822,0.6567164179104478
2167,1.0
2060,0.6567164179104478
754,1.0
2043,1.0
1103,1.0
1666,1.0
1698,1.0
1130,0.28125
362,1.0
623,1.0
1787,1.0
1145,0.6567164179104478
1875,1.0
2284,1.0
2030,0.28125
246,0.6567164179104478
238,1.0
2032,0.3630769230769231
1261,1.0
1171,1.0
242,-0.029850746268656803
1124,1.0
1225,1.0
2171,-0.045454545454545414
1300,1.0
245,-0.029850746268656803
682,1.0
1742,0.7876923076923077
966,1.0
705,-0.014705882352941124
1586,1.0
354,1.0
249,-0.029850746268656803
250,1.0
1598,-0.029850746268656803
2327,0.6567164179104478
1329,1.0
2214,-0.014705882352941124
1323,1.0
2150,-0.045454545454545414
1877,0.640625
2045,1.0
474,1.0
270,1.0
985,1.0
1701,1.0
1703,1.0
1984,1.0
575,1.0
2029,1.0
1140,1.0
2356,0.7876923076923077
1993,1.0
2329,0.7876923076923077
2185,1.0
614,1.0
1576,0.3630769230769231
average,0.7007874058735765
