,sql_id,username_x,record_id_x,error_classification_x,username_y,record_id_y,error_classification_y
0,1024,tianyi,record_id_x,"F1, F2",zhengn,record_id_y,F2
1,1025,tianyi,record_id_x,"D1a, A1a, KA1b",zhengn,record_id_y,"A1a, KA1b"
2,1026,tianyi,record_id_x,CL1,zhengn,record_id_y,CL1
3,689,tianyi,record_id_x,BN1,zhengn,record_id_y,"CL1, BN1"
4,1027,tianyi,record_id_x,AN2,zhengn,record_id_y,"CL1, AN2"
5,1028,tianyi,record_id_x,CL1,zhengn,record_id_y,CL1
6,1029,tianyi,record_id_x,CE2,zhengn,record_id_y,CE2
7,1030,tianyi,record_id_x,"A1f, AN2",zhengn,record_id_y,"AN2, F4"
8,1031,tianyi,record_id_x,D1,zhengn,record_id_y,D1
9,1032,tianyi,record_id_x,D1,zhengn,record_id_y,D1c
10,1033,tianyi,record_id_x,F1,zhengn,record_id_y,D1c
11,595,tianyi,record_id_x,D1a,zhengn,record_id_y,D1a
12,385,tianyi,record_id_x,D1a,zhengn,record_id_y,D1a
13,386,tianyi,record_id_x,D1a,zhengn,record_id_y,D1a
14,696,tianyi,record_id_x,BE5,zhengn,record_id_y,"CL1, BN1"
15,1034,tianyi,record_id_x,BL3,zhengn,record_id_y,"L5, CE2"
16,654,tianyi,record_id_x,BL2,zhengn,record_id_y,"BL2, BL3"
17,1035,tianyi,record_id_x,CE3,zhengn,record_id_y,CE2
18,674,tianyi,record_id_x,"F1, F2",zhengn,record_id_y,"F1, D1"
19,1036,tianyi,record_id_x,"BL1, CL1, CE2",zhengn,record_id_y,"BL1, CE2"
20,1037,tianyi,record_id_x,BF4,zhengn,record_id_y,BF4
21,309,tianyi,record_id_x,"BL3, L4",zhengn,record_id_y,BL1
22,1038,tianyi,record_id_x,BF4,zhengn,record_id_y,BF4
23,1039,tianyi,record_id_x,A2a,zhengn,record_id_y,A2a
24,1040,tianyi,record_id_x,BL1,zhengn,record_id_y,BE5
25,521,tianyi,record_id_x,D1,zhengn,record_id_y,D1c
26,804,tianyi,record_id_x,D1,zhengn,record_id_y,D1
27,1041,tianyi,record_id_x,BF4,zhengn,record_id_y,BF4
28,819,tianyi,record_id_x,D1a,zhengn,record_id_y,"A1g, D1a"
29,1042,tianyi,record_id_x,BL3,zhengn,record_id_y,L5
30,1043,tianyi,record_id_x,CL1,zhengn,record_id_y,"BL3, E1"
31,1044,tianyi,record_id_x,BL1,zhengn,record_id_y,BL1
32,542,tianyi,record_id_x,A1,zhengn,record_id_y,E1
33,518,tianyi,record_id_x,D1a,zhengn,record_id_y,D1a
34,1045,tianyi,record_id_x,BL3,zhengn,record_id_y,"BL1, A1b"
35,1046,tianyi,record_id_x,"CL1, CE3",zhengn,record_id_y,CL1
36,1047,tianyi,record_id_x,"BL3, F3",zhengn,record_id_y,F3
37,150,tianyi,record_id_x,"F3, A1b",zhengn,record_id_y,"E1, A1b"
38,327,tianyi,record_id_x,"CE3, F3, A1f",zhengn,record_id_y,"F4, F3, BE5"
39,1048,tianyi,record_id_x,D1,zhengn,record_id_y,F4
40,1049,tianyi,record_id_x,"CL1, CE2",zhengn,record_id_y,"CL1, CE3"
41,897,tianyi,record_id_x,"D1a, BF4, CF5, CE2",zhengn,record_id_y,"CE2, BF4"
42,900,tianyi,record_id_x,"CE2, KA1b",zhengn,record_id_y,"KA1b, CE2"
43,178,tianyi,record_id_x,E1,zhengn,record_id_y,"E1, A1b"
44,211,tianyi,record_id_x,E1,zhengn,record_id_y,E1
45,1017,tianyi,record_id_x,D1a,zhengn,record_id_y,D1a
46,715,tianyi,record_id_x,BN1,zhengn,record_id_y,"BL3, BN1"
47,1050,tianyi,record_id_x,D1a,zhengn,record_id_y,D1a
48,846,tianyi,record_id_x,CL1,zhengn,record_id_y,BL3
