,type_Fleiss_kappa
746,0.6403508771929821
1088,-0.024999999999998135
1317,0.7870129870129872
548,1.0
159,1.0
375,0.5314285714285714
1064,0.4743589743589738
1217,1.0
930,1.0
1220,0.6540084388185653
745,1.0
612,-0.024999999999998135
712,-0.024999999999998135
831,0.4743589743589738
1377,1.0
1247,1.0
707,0.7870129870129872
562,1.0
982,1.0
853,1.0
836,1.0
697,-0.03797468354430262
1389,-0.024999999999998135
663,-0.024999999999998135
528,0.4743589743589738
425,0.6540084388185653
769,1.0
1092,-0.024999999999998135
704,1.0
457,1.0
646,0.6540084388185653
1269,1.0
1093,1.0
211,1.0
694,-0.024999999999998135
238,1.0
820,1.0
475,1.0
1045,0.7870129870129872
868,1.0
1325,0.6540084388185653
1291,-0.03797468354430262
1356,1.0
1214,1.0
584,1.0
1170,0.4743589743589738
978,1.0
1251,1.0
471,0.6540084388185653
380,1.0
883,-0.03797468354430262
1326,0.6540084388185653
1016,-0.03797468354430262
1169,0.4743589743589738
1392,-0.024999999999998135
134,0.6540084388185653
360,-0.024999999999998135
1043,0.4743589743589738
1058,0.6540084388185653
652,-0.03797468354430262
847,-0.06493506493506306
1067,-0.07894736842105267
994,1.0
998,1.0
709,0.6540084388185653
692,0.6540084388185653
1239,0.36103896103896255
1242,0.6540084388185653
917,-0.024999999999998135
1225,1.0
1146,-0.024999999999998135
392,-0.024999999999998135
1096,0.36103896103896255
547,1.0
771,1.0
806,-0.024999999999998135
593,0.4743589743589738
208,1.0
350,0.6540084388185653
874,1.0
630,0.36103896103896255
968,-0.024999999999998135
1273,0.4743589743589738
1071,1.0
75,-0.024999999999998135
892,1.0
504,1.0
45,1.0
1083,0.4743589743589738
662,-0.024999999999998135
651,0.7870129870129872
46,0.4743589743589738
567,1.0
660,-0.024999999999998135
1232,1.0
672,-0.03797468354430262
71,-0.024999999999998135
374,0.6540084388185653
842,-0.024999999999998135
472,1.0
387,1.0
735,-0.024999999999998135
192,0.6540084388185653
90,1.0
106,-0.024999999999998135
743,1.0
1166,0.36103896103896255
1295,0.44594594594594605
1277,0.36103896103896255
1288,0.36103896103896255
679,-0.024999999999998135
1253,-0.05128205128205119
1238,-0.05128205128205119
674,0.4743589743589738
1192,0.7870129870129872
972,1.0
1391,-0.024999999999998135
1100,0.4743589743589738
226,-0.024999999999998135
151,0.6540084388185653
474,0.7870129870129872
809,0.6540084388185653
812,0.7870129870129872
1034,0.6540084388185653
297,0.6540084388185653
946,0.36103896103896255
1070,0.6540084388185653
1285,-0.06493506493506306
624,0.6540084388185653
1349,-0.03797468354430262
1037,-0.03797468354430262
1298,0.4743589743589738
1244,0.2807017543859652
332,0.6540084388185653
719,0.7870129870129872
1402,0.2807017543859652
1191,-0.024999999999998135
283,1.0
1168,0.4743589743589738
583,1.0
1281,0.4743589743589738
669,-0.024999999999998135
107,1.0
1022,-0.024999999999998135
1065,0.36103896103896255
680,-0.024999999999998135
623,1.0
1237,-0.024999999999998135
1227,1.0
1044,1.0
1007,0.6540084388185653
726,0.36103896103896255
734,-0.03797468354430262
772,-0.03797468354430262
816,-0.06493506493506306
1358,-0.05128205128205119
441,0.5314285714285714
611,0.4743589743589738
1361,0.4743589743589738
1111,1.0
1150,0.7870129870129872
1354,1.0
1292,1.0
193,1.0
1090,1.0
942,0.6540084388185653
1161,0.2807017543859652
1199,1.0
1066,-0.07894736842105267
1151,1.0
899,0.6540084388185653
854,1.0
780,-0.05128205128205119
1290,0.7870129870129872
1149,1.0
229,0.6540084388185653
656,1.0
713,-0.024999999999998135
280,1.0
1069,-0.03797468354430262
592,-0.05128205128205119
675,1.0
967,-0.024999999999998135
414,-0.1081081081081079
649,0.6540084388185653
906,1.0
698,1.0
317,1.0
757,0.4743589743589738
761,1.0
851,0.6540084388185653
1059,0.4743589743589738
1046,1.0
1062,1.0
1324,0.6540084388185653
391,-0.03797468354430262
1010,1.0
762,1.0
1246,0.4743589743589738
1068,-0.024999999999998135
625,1.0
971,1.0
1057,-0.024999999999998135
992,0.4743589743589738
5,0.36103896103896255
1173,1.0
1174,1.0
821,0.36103896103896255
711,1.0
1158,1.0
1157,1.0
1004,1.0
1145,-0.024999999999998135
866,0.6540084388185653
304,-0.024999999999998135
240,1.0
279,1.0
1234,0.6540084388185653
631,1.0
643,-0.024999999999998135
1334,-0.024999999999998135
1231,1.0
1283,0.36103896103896255
834,-0.06493506493506306
648,-0.05128205128205119
858,1.0
557,1.0
1042,0.4743589743589738
1348,-0.024999999999998135
561,1.0
6,0.6403508771929821
1055,1.0
1038,0.6540084388185653
841,1.0
1163,1.0
953,0.6540084388185653
1179,0.7870129870129872
