errorcategory,category_Krippendroffis_alpha
1404,1.0
1407,1.0
1408,1.0
1412,1.0
1413,0.5837320574162679
1416,1.0
1425,1.0
1427,1.0
1429,1.0
1430,1.0
1431,1.0
1432,1.0
1435,1.0
1437,1.0
1439,1.0
1454,1.0
1463,1.0
1466,1.0
1478,0.8198757763975155
1479,1.0
1482,1.0
1483,1.0
1484,1.0
1485,1.0
1486,1.0
1490,0.5972222222222222
1493,1.0
1504,0.8465608465608465
1511,0.768
1512,1.0
1517,1.0
1518,1.0
1523,1.0
1524,1.0
1526,1.0
1542,1.0
1547,0.8687782805429864
1548,0.8687782805429864
1551,1.0
1552,0.768
1555,1.0
1556,1.0
1557,1.0
1558,1.0
1560,1.0
1565,1.0
1566,1.0
1568,0.8465608465608465
1571,1.0
1572,1.0
1573,0.45962732919254656
1574,0.5972222222222222
1578,1.0
1583,1.0
1584,1.0
1586,1.0
1587,1.0
1588,1.0
1593,0.6704545454545454
1594,1.0
1595,-0.07407407407407396
1596,-0.20833333333333326
1599,1.0
1600,1.0
1608,0.768
1611,1.0
1612,1.0
1619,1.0
1620,1.0
1628,1.0
1629,0.5972222222222222
1630,-0.07407407407407396
1631,0.4423076923076923
1632,0.4423076923076923
1634,1.0
1635,1.0
1637,0.45962732919254656
1638,0.5972222222222222
1639,0.71
1640,0.34090909090909083
1642,0.6704545454545454
1643,-0.11538461538461542
1644,-0.07407407407407396
1645,0.30400000000000005
1646,1.0
1647,1.0
1648,1.0
1651,1.0
1652,0.45962732919254656
1653,0.45962732919254656
1657,1.0
1658,1.0
1661,0.768
1662,1.0
1663,1.0
1667,0.6419753086419753
1677,1.0
1678,1.0
1683,1.0
1684,1.0
1687,1.0
1688,1.0
1689,0.6419753086419753
1690,0.30400000000000005
1693,0.30400000000000005
1695,0.6704545454545454
1696,0.19444444444444442
1703,0.6419753086419753
1704,-0.03571428571428559
1709,1.0
1714,1.0
1715,1.0
1716,1.0
1717,0.768
1721,1.0
1722,0.34090909090909083
1723,0.09937888198757772
1724,0.19444444444444442
1725,1.0
1727,1.0
1728,0.5972222222222222
1729,1.0
1730,0.30400000000000005
1731,0.4423076923076923
1732,1.0
1733,0.5972222222222222
1734,1.0
1737,0.6704545454545454
1738,0.5972222222222222
1739,0.45962732919254656
1740,0.34090909090909083
1741,-0.11538461538461542
1744,0.30400000000000005
1749,0.1299999999999999
1750,0.5396825396825398
1754,0.6704545454545454
1755,1.0
1756,0.30400000000000005
1767,0.45962732919254656
1768,1.0
1769,-0.07407407407407396
1772,1.0
1773,1.0
1775,1.0
1776,0.45962732919254656
1777,-0.15999999999999992
1778,-0.15999999999999992
1779,0.45962732919254656
1780,1.0
1781,0.768
1782,1.0
1783,1.0
1786,1.0
1791,0.768
1793,-0.15999999999999992
1794,0.30400000000000005
1795,1.0
1798,1.0
1799,1.0
1801,1.0
1802,1.0
1803,1.0
1806,1.0
1821,1.0
1835,1.0
1836,0.5972222222222222
1845,0.6704545454545454
1849,0.5972222222222222
1850,1.0
1851,1.0
1852,1.0
1853,1.0
1854,1.0
1855,1.0
1856,1.0
1859,1.0
1861,1.0
1862,0.8198757763975155
1867,0.6419753086419753
1874,1.0
1878,0.6419753086419753
1879,0.6419753086419753
1880,1.0
1881,1.0
1882,0.768
1883,0.19444444444444442
1884,0.4423076923076923
1887,1.0
1888,0.19444444444444442
1889,0.30400000000000005
1890,1.0
1893,1.0
1894,1.0
1895,0.8198757763975155
1897,1.0
1898,1.0
1899,1.0
1900,1.0
1901,1.0
1902,1.0
1905,1.0
1906,1.0
1907,1.0
1908,1.0
1909,1.0
1910,1.0
1911,1.0
1912,1.0
1913,1.0
1914,1.0
1915,1.0
1916,1.0
1917,1.0
1918,1.0
1920,1.0
1921,1.0
1922,1.0
1925,1.0
1926,-0.15999999999999992
1929,1.0
1930,1.0
1931,0.30400000000000005
1934,1.0
1935,1.0
1939,1.0
1942,0.768
1944,0.768
1945,1.0
1946,1.0
1947,1.0
1948,0.6704545454545454
1949,1.0
1950,1.0
1951,1.0
1952,1.0
1953,1.0
1954,1.0
1956,1.0
1957,1.0
1959,1.0
1967,0.5972222222222222
1968,1.0
1969,0.768
1970,1.0
1978,1.0
1984,1.0
1985,1.0
1986,1.0
1987,1.0
1988,0.5972222222222222
1989,1.0
1996,0.19444444444444442
1997,0.4423076923076923
2002,1.0
2003,1.0
2004,1.0
2005,0.6704545454545454
2007,1.0
2009,1.0
2014,1.0
2015,1.0
2019,1.0
2024,1.0
2025,1.0
2026,1.0
2027,1.0
2028,1.0
2029,1.0
2030,1.0
2031,1.0
2034,1.0
2036,1.0
2037,1.0
2038,1.0
2039,1.0
2040,1.0
2041,1.0
2046,1.0
2047,1.0
2048,1.0
2049,1.0
2050,1.0
2051,1.0
2057,0.768
2058,0.768
2059,-0.11538461538461542
2063,1.0
2064,1.0
2065,1.0
2066,1.0
2067,0.5972222222222222
2068,1.0
2069,1.0
2070,0.768
2071,1.0
2072,1.0
2077,0.5972222222222222
2079,0.5972222222222222
2082,1.0
2089,1.0
