,sql_id,nl_query,sql,GT_sql,zhengn,record_id_y,error_classification_y
0,1402,What are the last names for all scholarship students?,SELECT Student.LName FROM Student,SELECT T2.Lname FROM Sportsinfo AS T1 JOIN Student AS T2 ON T1.StuID  =  T2.StuID WHERE T1.onscholarship  =  'Y',zhengning,a86a3e76-6b36-4a20-87f2-7a89030a75b5,"F4, CE2"
1,1191,Find the name of persons who are friends with Bob.,"SELECT PersonFriend.name FROM Person JOIN PersonFriend ON Person.name = PersonFriend.friend WHERE PersonFriend.name = ""Bob""",SELECT T1.name FROM Person AS T1 JOIN PersonFriend AS T2 ON T1.name  =  T2.name WHERE T2.friend  =  'Bob',zhengning,8f230d82-e7d9-45a5-9d67-407a5f01debd,"CE2, BE5, F4"
2,283,"What is the location of the club named ""Tennis Club""?","SELECT Club.ClubLocation FROM Club WHERE Club.ClubName = ""Tennis club""","SELECT clublocation FROM club WHERE clubname  =  ""Tennis Club""",zhengning,70000d84-bcee-4afe-b8f4-687636e768f3,"BE5, D1a"
3,1168,What roles did staff members play between '2003-04-19 15:06:20' and '2016-03-15 00:33:18'?,"SELECT Project_Staff.role_code FROM Project_Staff WHERE Project_Staff.date_from > ""2003-04 03-15 00 : 33 : 18"" AND Project_Staff.role_code = ""2016-04 03-15 00 : 33 : 18""",SELECT role_code FROM Project_Staff WHERE date_from  >  '2003-04-19 15:06:20' AND date_to  <  '2016-03-15 00:33:18',zhengning,10787849-3ca2-408f-92e0-e11f1f9a8707,"D1, F1, D1a"
4,583,What is the average miles per gallon(mpg) of the cars with 4 cylinders?,SELECT AVG(cars_data.Horsepower) FROM cars_data WHERE cars_data.Cylinders = 4,SELECT avg(mpg) FROM CARS_DATA WHERE Cylinders  =  4;,zhengning,114a06c5-64b3-40ee-a584-d209eaeeab29,"BL1, D1, F1"
5,1281,"What are the names of all the players who received a yes during tryouts, and also what are the names of their colleges?","SELECT Player.pName, Tryout.cName FROM Player JOIN Tryout ON Player.pID = Tryout.pID JOIN College ON Tryout.pID = College.cName WHERE Player.yCard = ""yes""","SELECT T1.pName ,  T2.cName FROM player AS T1 JOIN tryout AS T2 ON T1.pID  =  T2.pID WHERE T2.decision  =  'yes'",zhengning,32d9c8f0-8650-48a5-9fa0-52ff813bb62d,"BL1, E1"
6,669,What are the names of tracks that contain the the word you in them?,"SELECT Track.Name FROM Track WHERE Track.Name LIKE ""% you %""",SELECT Name FROM TRACK WHERE Name LIKE '%you%',zhengning,1e338347-c47d-49cc-bcc2-dead64bfb374,"D1, E1"
7,107,Find the number of schools that have more than one donator whose donation amount is less than 8.5.,"SELECT COUNT(*), endowment.School_id FROM endowment WHERE endowment.amount > 8.5 GROUP BY endowment.School_id HAVING COUNT(*) > 1",SELECT count(*) FROM (SELECT * FROM endowment WHERE amount  >  8.5 GROUP BY school_id HAVING count(*)  >  1),zhengning,02b6fed7-b951-468f-b1dc-6c44943e0b39,"D1, BL2"
8,1022,Please show the names and the players of clubs.,"SELECT club.name, player.name FROM club JOIN player ON club.Club_ID = player.Club_ID","SELECT T1.name ,  T2.Player_id FROM club AS T1 JOIN player AS T2 ON T1.Club_ID  =  T2.Club_ID",zhengning,22614383-6de6-45a0-9dda-3ffa95f225f6,
9,1065,"What is the id, genre, and name of the artist for every English song ordered by ascending rating?","SELECT song.song_name, song.genre_is, artist.artist_name FROM artist JOIN song ON artist.artist_name = song.f_id WHERE song.languages = ""English"" ORDER BY song.rating","SELECT f_id ,  genre_is ,  artist_name FROM song WHERE languages  =   ""english"" ORDER BY rating",zhengning,176248ea-660f-4552-bee2-b5c053931b73,"CL1, BL2, D1a"
