,category_Fleiss_kappa
1402,0.4135338345864665
1191,1.0
283,0.5666666666666665
1168,0.7523809523809525
583,1.0
1281,0.638888888888889
669,0.4135338345864665
107,1.0
1022,1.0
1065,0.2571428571428571
680,0.6231884057971018
623,1.0
1237,1.0
1206,0.6231884057971018
1227,0.6231884057971018
1007,1.0
726,0.804511278195489
734,1.0
772,0.7523809523809525
816,1.0
1358,1.0
441,0.638888888888889
611,1.0
1361,0.5666666666666665
638,1.0
1111,0.2571428571428571
975,0.6231884057971018
1150,0.5666666666666665
1354,0.8300653594771243
1292,1.0
193,1.0
1090,1.0
942,1.0
1161,0.804511278195489
1199,1.0
1066,1.0
1151,1.0
899,1.0
854,1.0
780,0.638888888888889
1290,0.8300653594771243
1149,1.0
229,0.8424242424242425
656,0.804511278195489
713,1.0
280,1.0
1069,0.638888888888889
592,0.5666666666666665
675,0.4135338345864665
967,1.0
414,0.49019607843137264
668,0.2571428571428571
649,1.0
906,0.804511278195489
698,1.0
317,1.0
757,1.0
761,1.0
851,0.804511278195489
1059,0.6231884057971018
1046,1.0
1324,0.7523809523809525
391,1.0
1010,1.0
762,1.0
1246,-0.1304347826086952
1068,0.5666666666666665
625,1.0
1057,0.5666666666666665
992,0.27777777777777785
5,0.804511278195489
1173,1.0
1174,1.0
821,0.8300653594771243
711,0.8300653594771243
1158,1.0
1157,1.0
1004,1.0
1145,1.0
866,1.0
304,0.804511278195489
240,0.804511278195489
279,1.0
1234,0.7523809523809525
631,0.7523809523809525
643,1.0
1334,0.804511278195489
1231,0.7523809523809525
1283,0.8300653594771243
834,0.6749999999999999
648,0.5666666666666665
858,0.804511278195489
1156,1.0
557,0.6231884057971018
1042,0.7523809523809525
1348,1.0
561,0.5666666666666665
6,0.804511278195489
1055,1.0
1038,0.5666666666666665
841,0.804511278195489
1163,1.0
953,1.0
1179,1.0
1221,0.49019607843137264
1182,0.40909090909090906
823,0.804511278195489
653,0.8300653594771243
423,1.0
622,1.0
822,0.7523809523809525
1060,0.2571428571428571
231,0.40909090909090906
1039,0.1333333333333331
916,-0.1818181818181819
1107,0.6231884057971018
893,0.8300653594771243
1403,0.8461538461538463
1293,1.0
907,1.0
1014,1.0
742,1.0
718,1.0
224,0.5666666666666665
389,1.0
966,0.8300653594771243
560,0.638888888888889
639,-0.1304347826086952
733,0.5666666666666665
543,0.7523809523809525
216,0.804511278195489
954,1.0
770,1.0
458,1.0
1224,0.6231884057971018
800,0.6749999999999999
298,0.638888888888889
333,0.638888888888889
1346,0.804511278195489
1167,1.0
1280,1.0
1125,1.0
765,1.0
1089,0.8300653594771243
12,0.8300653594771243
1180,1.0
862,0.7523809523809525
1271,0.7523809523809525
863,1.0
921,0.7523809523809525
418,1.0
1091,1.0
941,0.804511278195489
908,0.6904761904761905
1023,0.8300653594771243
305,1.0
985,1.0
1095,1.0
1152,1.0
558,1.0
818,0.638888888888889
284,0.638888888888889
981,1.0
390,0.6904761904761905
1267,0.40909090909090906
1164,0.8300653594771243
384,0.804511278195489
1372,1.0
469,1.0
636,0.4135338345864665
1035,0.638888888888889
673,1.0
278,1.0
929,1.0
1082,-0.1818181818181819
1294,0.4135338345864665
110,1.0
700,0.7523809523809525
681,0.7523809523809525
1371,0.7523809523809525
795,1.0
938,1.0
1289,1.0
830,0.27777777777777785
905,0.804511278195489
1384,0.638888888888889
1248,0.638888888888889
250,1.0
242,-0.03999999999999868
519,0.5666666666666665
1401,1.0
705,1.0
476,0.7523809523809525
487,1.0
833,0.804511278195489
88,0.804511278195489
763,0.804511278195489
1364,0.804511278195489
736,1.0
799,0.8300653594771243
1131,1.0
459,1.0
902,1.0
621,1.0
696,0.8300653594771243
191,1.0
4,1.0
37,0.804511278195489
41,0.40909090909090906
123,1.0
190,1.0
209,1.0
230,0.2571428571428571
232,-0.1304347826086952
237,1.0
277,0.6231884057971018
295,0.6231884057971018
303,0.7523809523809525
306,0.40909090909090906
330,1.0
334,0.1333333333333331
346,1.0
362,0.5666666666666665
364,0.40909090909090906
373,0.40909090909090906
430,0.1333333333333331
431,1.0
437,0.5666666666666665
470,1.0
541,1.0
