,Unnamed: 0,sql_id,nl_query,sql,GT_sql,tianyi,record_id_x,tianyi_code,zhengn,record_id_y,zhengn_code
0,0,1402,What are the last names for all scholarship students?,SELECT Student.LName FROM Student,SELECT T2.Lname FROM Sportsinfo AS T1 JOIN Student AS T2 ON T1.StuID  =  T2.StuID WHERE T1.onscholarship  =  'Y',tianyi,bb3cf31a-c06c-4d91-aa9f-e0f019acf128,"CE2, E1, BL3",zhengning,a86a3e76-6b36-4a20-87f2-7a89030a75b5,"F4, CE2"
1,1,1191,Find the name of persons who are friends with Bob.,"SELECT PersonFriend.name FROM Person JOIN PersonFriend ON Person.name = PersonFriend.friend WHERE PersonFriend.name = ""Bob""",SELECT T1.name FROM Person AS T1 JOIN PersonFriend AS T2 ON T1.name  =  T2.name WHERE T2.friend  =  'Bob',tianyi,96274f6f-0a3c-4e16-bcba-a37b7f3d4d5f,"E1, F4, BF4, CE2, Q1",zhengning,8f230d82-e7d9-45a5-9d67-407a5f01debd,"CE2, BE5, F4"
2,2,283,"What is the location of the club named ""Tennis Club""?","SELECT Club.ClubLocation FROM Club WHERE Club.ClubName = ""Tennis club""","SELECT clublocation FROM club WHERE clubname  =  ""Tennis Club""",tianyi,e74f9965-b219-4bf8-9782-bd0eaf1c2608,"BF4, D1a",zhengning,70000d84-bcee-4afe-b8f4-687636e768f3,"BE5, D1a"
3,3,1168,What roles did staff members play between '2003-04-19 15:06:20' and '2016-03-15 00:33:18'?,"SELECT Project_Staff.role_code FROM Project_Staff WHERE Project_Staff.date_from > ""2003-04 03-15 00 : 33 : 18"" AND Project_Staff.role_code = ""2016-04 03-15 00 : 33 : 18""",SELECT role_code FROM Project_Staff WHERE date_from  >  '2003-04-19 15:06:20' AND date_to  <  '2016-03-15 00:33:18',tianyi,db2a8277-72f4-4639-8f7b-de1263edb88c,"D1, BF4, D1a",zhengning,10787849-3ca2-408f-92e0-e11f1f9a8707,"D1, F1, D1a"
4,4,583,What is the average miles per gallon(mpg) of the cars with 4 cylinders?,SELECT AVG(cars_data.Horsepower) FROM cars_data WHERE cars_data.Cylinders = 4,SELECT avg(mpg) FROM CARS_DATA WHERE Cylinders  =  4;,tianyi,8cbe0095-6d8d-4c3f-9023-2ca957fb3d50,"BL1, D1, BF4",zhengning,114a06c5-64b3-40ee-a584-d209eaeeab29,"BL1, D1, F1"
5,5,1281,"What are the names of all the players who received a yes during tryouts, and also what are the names of their colleges?","SELECT Player.pName, Tryout.cName FROM Player JOIN Tryout ON Player.pID = Tryout.pID JOIN College ON Tryout.pID = College.cName WHERE Player.yCard = ""yes""","SELECT T1.pName ,  T2.cName FROM player AS T1 JOIN tryout AS T2 ON T1.pID  =  T2.pID WHERE T2.decision  =  'yes'",tianyi,c854d68b-3b53-4364-b3bb-14d55b90b043,"CE3, BL1, E1, BF4",zhengning,32d9c8f0-8650-48a5-9fa0-52ff813bb62d,"BL1, E1"
6,6,669,What are the names of tracks that contain the the word you in them?,"SELECT Track.Name FROM Track WHERE Track.Name LIKE ""% you %""",SELECT Name FROM TRACK WHERE Name LIKE '%you%',tianyi,be4f2003-f673-497f-8966-de9ef5a87970,"CE3, D1c, E1, BF4",zhengning,1e338347-c47d-49cc-bcc2-dead64bfb374,"D1, E1"
7,7,107,Find the number of schools that have more than one donator whose donation amount is less than 8.5.,"SELECT COUNT(*), endowment.School_id FROM endowment WHERE endowment.amount > 8.5 GROUP BY endowment.School_id HAVING COUNT(*) > 1",SELECT count(*) FROM (SELECT * FROM endowment WHERE amount  >  8.5 GROUP BY school_id HAVING count(*)  >  1),tianyi,2f096104-988d-4579-9d3c-f892791e5892,"D1c, BL2",zhengning,02b6fed7-b951-468f-b1dc-6c44943e0b39,"D1, BL2"
8,8,1022,Please show the names and the players of clubs.,"SELECT club.name, player.name FROM club JOIN player ON club.Club_ID = player.Club_ID","SELECT T1.name ,  T2.Player_id FROM club AS T1 JOIN player AS T2 ON T1.Club_ID  =  T2.Club_ID",tianyi,4eb1869c-1863-419d-b092-97dd65d9a915,"BL1, BL2",zhengning,22614383-6de6-45a0-9dda-3ffa95f225f6,
9,9,1065,"What is the id, genre, and name of the artist for every English song ordered by ascending rating?","SELECT song.song_name, song.genre_is, artist.artist_name FROM artist JOIN song ON artist.artist_name = song.f_id WHERE song.languages = ""English"" ORDER BY song.rating","SELECT f_id ,  genre_is ,  artist_name FROM song WHERE languages  =   ""english"" ORDER BY rating",tianyi,8331dd62-cd21-43de-b20b-b218fe44790b,"E1, D1a",zhengning,176248ea-660f-4552-bee2-b5c053931b73,"CL1, BL2, D1a"
10,10,680,"How many customers have email that contains ""gmail.com""?","SELECT COUNT(*) FROM Customer WHERE Customer.Email LIKE ""% gmail.com %""","SELECT COUNT(*) FROM CUSTOMER WHERE Email LIKE ""%gmail.com%""",tianyi,d4bae678-117f-4e5b-a25e-972fbeac0a57,"BL1, D1c, E1, D1a",zhengning,3383a84c-dfb4-465e-aa09-73b0563afb89,"CL1, D1, D1a"
11,11,623,"What is Weekly Rank of TV series with Episode ""A Love of a Lifetime""?","SELECT TV_series.Weekly_Rank FROM TV_series WHERE TV_series.Episode = ""A Love of A Lifetime""","SELECT Weekly_Rank FROM TV_series WHERE Episode = ""A Love of a Lifetime"";",tianyi,9e76a406-f648-426b-bde4-b598c2abbe12,"D1c, D1a",zhengning,1ee1a42f-0cc2-4b04-97b3-28077d66284c,"D1, D1a"
12,12,1237,What are the department name and room for the course INTRODUCTION TO COMPUTER SCIENCE?,"SELECT Department.DName, Department.Room FROM Course JOIN Department ON Department.DNO = Course.DNO WHERE Course.CName = ""COMPUTER SCIENCE""","SELECT T2.Dname ,  T2.Room FROM COURSE AS T1 JOIN DEPARTMENT AS T2 ON T1.DNO  =  T2.DNO WHERE T1.CName  =  ""INTRODUCTION TO COMPUTER SCIENCE""",tianyi,29dfb67e-ee7f-48cd-b432-79e5ed30f132,"D1c, D1a",zhengning,a9a8f4de-1674-43b7-ab48-a0c079cf347e,"D1, D1a"
13,13,1206,Show the names of members and the locations of colleges they go to in ascending alphabetical order of member names.,"SELECT member.Name, college.College_Location FROM member JOIN college ON member.College_ID = college.College_ID ORDER BY college.Name ASC","SELECT T2.Name ,  T1.College_Location FROM college AS T1 JOIN member AS T2 ON T1.College_ID  =  T2.College_ID ORDER BY T2.Name ASC",tianyi,62c485d4-09d4-48d2-91a1-21ed333cb770,"D1c, K3",zhengning,8b6a6a52-d0cb-4551-a228-cbe40a2eff87,D1
14,14,1227,"What are the last names of female students, ordered by age descending?","SELECT Student.LName FROM Student WHERE Student.Sex = ""VALUE"" ORDER BY Student.Age DESC","SELECT LName FROM STUDENT WHERE Sex  =  ""F"" ORDER BY Age DESC",tianyi,c2cb79e2-2ce5-4e6e-850b-11e85c87f6f1,"D1, K3",zhengning,2397e958-5b7b-4b5c-93ce-de4f31561fa5,D1
15,15,1044,What is the average rating of songs produced by female artists?,"SELECT AVG(song.rating) FROM artist JOIN song ON artist.artist_name = song.artist_name WHERE artist.gender = ""VALUE""","SELECT avg(T2.rating) FROM artist AS T1 JOIN song AS T2 ON T1.artist_name  =  T2.artist_name WHERE T1.gender  =  ""Female""",tianyi,8aaa0a0e-2cbb-409d-a0f2-c423241706dc,,zhengning,97fa7563-23d2-4d3e-b0f7-5b1003204a2c,
16,16,1007,How many engineers did each staff contact? List both the contact staff name and number of engineers contacted.,"SELECT Staff.staff_name, COUNT(*) FROM Staff JOIN Engineer_Visits ON Staff.staff_id = Engineer_Visits.contact_staff_id GROUP BY Engineer_Visits.contact_staff_id","SELECT T1.staff_name ,  count(*) FROM Staff AS T1 JOIN Engineer_Visits AS T2 ON T1.staff_id  =  T2.contact_staff_id GROUP BY T1.staff_name",tianyi,23fdae8c-8158-480c-ae60-84fb0604e211,"D1, BN1, Q1",zhengning,32eb0c58-ad1c-47d0-9c2a-2d9e5a3120d1,"D1, BN1"
17,17,726,Show the enrollment and primary_conference of the oldest college.,"SELECT university.Affiliation, university.Primary_conference FROM university ORDER BY university.Enrollment DESC LIMIT 1","SELECT enrollment ,  primary_conference FROM university ORDER BY founded LIMIT 1",tianyi,dd0f6403-87c0-46ef-981f-6e9b9d9a9968,"BL1, K3, BN1, K2",zhengning,34e12a32-a9ab-41cf-b980-dc807517768d,"BL1, BN1"
18,18,734,Find how many school locations have the word 'NY'.,"SELECT COUNT(university.Location) FROM university WHERE university.Location LIKE ""% NY %""","SELECT count(*) FROM university WHERE LOCATION LIKE ""%NY%""",tianyi,85355a99-60b6-4ec4-87d2-d148376706a1,"BL1, D1c, K2, K3",zhengning,719b60df-fef1-46ca-b697-49948d8a49b6,
19,19,772,"What are the ids, names, dates of opening, and other details for accounts corresponding to the customer with the first name ""Meaghan""?","SELECT Accounts.account_id, Accounts.date_account_opened, Accounts.other_account_details FROM Customers JOIN Accounts ON Customers.customer_id = Accounts.customer_id WHERE Customers.customer_first_name = ""Meaghan""","SELECT T1.account_id ,  T1.date_account_opened ,  T1.account_name ,  T1.other_account_details FROM Accounts AS T1 JOIN Customers AS T2 ON T1.customer_id  =  T2.customer_id WHERE T2.customer_first_name  =  'Meaghan'",tianyi,ed2ea0e7-339f-4aef-acdc-2fd5650901ea,"D1c, BL2",zhengning,3af50c2b-755a-4beb-8506-0b697fc81bda,"BL1, BL3"
20,20,816,What is the total balance of savings accounts not belonging to someone with the name Brown?,SELECT * FROM ACCOUNTS,SELECT sum(T2.balance) FROM accounts AS T1 JOIN savings AS T2 ON T1.custid  =  T2.custid WHERE T1.name != 'Brown',tianyi,39129c25-0d31-465e-b3d1-f3348f8fd8b1,"L5, CE2, F4, BL3",zhengning,902a89bc-af26-4cdc-ae0b-9ebd4f771bdf,"L5, CE2, F4, BL3"
21,21,1358,What is the first name of the students who are in age 20 to 25 and living in PHL city?,"SELECT Student.Fname FROM Student WHERE Student.Age BETWEEN 20 AND Student.city_code = ""PHL""",SELECT fname FROM student WHERE city_code  =  'PHL' AND age BETWEEN 20 AND 25,tianyi,34504598-6e4f-4172-8216-53af703865ed,"L5, CE2",zhengning,d33d93cc-bf43-4f9b-aff8-42297c20d981,"L5, CE2"
22,22,441,What are the different dorm amenity names in alphabetical order?,SELECT DISTINCT Dorm.dorm_name FROM Dorm JOIN Dorm_amenity ON Dorm.dormid = Dorm_amenity.amenid ORDER BY Dorm_amenity.amenity_name,SELECT amenity_name FROM dorm_amenity ORDER BY amenity_name,tianyi,0008dd00-658a-455f-b458-11596fdca3c4,"BL1, E1, A2a, BF4",zhengning,8aa71827-d346-482d-8d35-548361cdca02,"E1, A2a, F4"
23,23,611,"How many cartoons were written by ""Joseph Kuhr""?","SELECT COUNT(DISTINCT Cartoon.Written_by) FROM Cartoon WHERE Cartoon.Written_by = ""Joseph Kuhr""","SELECT count(*) FROM Cartoon WHERE Written_by = ""Joseph Kuhr"";",tianyi,c9981777-f006-431e-96e2-24a371ea11e3,"BL1, E1",zhengning,94122856-2320-4995-8b95-4362970ad008,"E1, BL2"
24,24,1361,Find the average and total capacity of dorms for the students with gender X.,"SELECT AVG(Dorm.student_capacity), SUM(Dorm.student_capacity) FROM Dorm JOIN Student ON Dorm.dormid = Student.StuID WHERE Student.Sex = ""X""","SELECT avg(student_capacity) ,  sum(student_capacity) FROM dorm WHERE gender  =  'X'",tianyi,92607d7d-34ff-4838-8604-a45373f75b70,"E1, A2a",zhengning,7c67c8ed-2dcc-48b2-b373-174df07a8d1d,"E1, A2a, CF5, BL2"
25,25,638,Find the names and publication dates of all catalogs that have catalog level number greater than 5.,"SELECT Catalogs.catalog_name, Catalogs.date_of_publication FROM Catalogs JOIN Catalog_Structure ON Catalogs.catalog_id = Catalog_Structure.catalog_id WHERE Catalog_Structure.catalog_level_name > 5","SELECT t1.catalog_name ,  t1.date_of_publication FROM catalogs AS t1 JOIN catalog_structure AS t2 ON t1.catalog_id  =  t2.catalog_id WHERE catalog_level_number  >  5",tianyi,e9e2cc02-d7f6-4f21-85be-9675363cdcde,"E1, Q1",zhengning,04bffa24-ddfd-426e-8d9c-752e88f0a980,
26,26,1111,What are the names of the ships  that are from either the US or the UK?,"SELECT ship.Name FROM ship WHERE ship.Nationality = ""US"" OR ship.Nationality = ""UK""","SELECT Name FROM ship WHERE Nationality  =  ""United States"" OR Nationality  =  ""United Kingdom""",tianyi,531292c3-a994-4dce-bc42-2ec2c2bc1cc2,D1c,zhengning,8d13b0da-afa2-404e-82c5-a62026da2af2,"D1c, E1, CF5"
27,27,975,"Find the name, account type, and account balance of the customer who has the highest credit score.","SELECT customer.cust_name, customer.acc_type, customer.acc_bal FROM customer ORDER BY customer.credit_score LIMIT 1","SELECT cust_name ,  acc_type ,  acc_bal FROM customer ORDER BY credit_score DESC LIMIT 1",tianyi,eadbbac7-6b73-4700-b150-085f4f35d4db,"D1c, K2",zhengning,e79564df-190b-4ee1-ab77-ffe7c520198b,"D1c, nan"
28,28,1150,What are the ids and details for all organizations that have grants of more than 6000 dollars?,"SELECT Grants.organisation_id, Organisations.organisation_details FROM Organisations JOIN Grants ON Organisations.organisation_id = Grants.organisation_id WHERE Grants.grant_amount > 6000","SELECT T2.organisation_id ,  T2.organisation_details FROM Grants AS T1 JOIN Organisations AS T2 ON T1.organisation_id  =  T2.organisation_id GROUP BY T2.organisation_id HAVING sum(T1.grant_amount)  >  6000",tianyi,38b02c9c-8f4e-4b85-b657-1ae48ef3899c,"F3, K2, A1f, AN2",zhengning,86fcea4a-5608-44ac-9bd7-2e5efdca5aab,"nan, A1f, AN2"
29,29,1354,"Show the customer name, customer address city, date from, and date to for each customer address history.","SELECT Customers.customer_name, Customer_Address_History.date_from, Customer_Address_History.date_to FROM Customers JOIN Customer_Address_History ON Customers.customer_id = Customer_Address_History.customer_id JOIN Addresses ON Customer_Address_History.address_id = Addresses.address_id","SELECT T2.customer_name ,  T3.city ,  T1.date_from ,  T1.date_to FROM customer_address_history AS T1 JOIN customers AS T2 ON T1.customer_id  =  T2.customer_id JOIN addresses AS T3 ON T1.address_id  =  T3.address_id",tianyi,501812fd-8c96-415a-8b58-ebe2c8002d93,"F3, A1f, BL3, AN2",zhengning,b538f9c0-e474-46eb-8124-11e8116a6b97,"A1f, BL3, AN2"
30,30,1292,Which college has any student who is a goalie and succeeded in the tryout.,"SELECT Tryout.cName FROM Tryout WHERE Tryout.pPos = ""goalie""",SELECT cName FROM  tryout WHERE decision  =  'yes' AND pPos  =  'goalie',tianyi,8eef175c-acb3-4bb0-8ded-6aa17fe4e7a7,"F4, BL3",zhengning,29aacc9c-294a-41c7-8bff-f2fe4318bc21,"F4, BL3"
31,31,193,What is the total number of customers who use banks in New York City?,"SELECT SUM(bank.no_of_customers) FROM bank WHERE bank.city = ""New York""",SELECT sum(no_of_customers) FROM bank WHERE city  =  'New York City',tianyi,67fb62be-9210-4f7e-8461-de9a2d124ad0,"D1c, F4",zhengning,01903dde-aae7-40fc-990c-fc888c51d9ca,"D1c, F4"
32,32,1090,Find the number of medications prescribed for each brand.,"SELECT Medication.Brand, COUNT(*) FROM Medication GROUP BY Medication.Brand","SELECT count(*) ,  T1.name FROM medication AS T1 JOIN prescribes AS T2 ON T1.code = T2.medication GROUP BY T1.brand",tianyi,91b7d4c5-7e22-426f-9b6e-c3191a2eb8ba,"D1c, BL1, CE2",zhengning,68ffb1ac-8ac4-4949-af2b-ed79b6d417db,"D1c, BL1, CE2"
33,33,942,Find the parties associated with the delegates from district 1. Who served as governors of the parties?,SELECT party.Party FROM party JOIN election ON party.Party_ID = election.Party WHERE election.District = 1,SELECT T2.Governor FROM election AS T1 JOIN party AS T2 ON T1.Party  =  T2.Party_ID WHERE T1.District  =  1,tianyi,e763944e-3949-4510-b140-7a061b0be522,CE2,zhengning,9a4b967a-fe6b-4890-98f4-369761a0b50e,"CE2, BF4"
34,34,1161,How many project staff worked as leaders or started working before '1989-04-24 23:51:54'?,"SELECT COUNT(*) FROM Project_Staff WHERE Project_Staff.date_from < ""1989-04-24 23 : 51 : 54"" OR Project_Staff.date_from < ""1989-04-24 23 : 51 : 54""",SELECT count(*) FROM Project_Staff WHERE role_code  =  'leader' OR date_from  <  '1989-04-24 23:51:54',tianyi,00e2c606-0986-4592-bcab-0ec9c242eeb0,"BL1, F3, F1, D1, BF4",zhengning,9ec86996-2859-451f-a903-27a3e4345ab2,"BL1, F3, BF4, F4"
35,35,1199,Who has a friend that is from new york city?,"SELECT Person.name FROM Person JOIN PersonFriend ON Person.name = PersonFriend.friend WHERE Person.city = ""new york""",SELECT T2.name FROM Person AS T1 JOIN PersonFriend AS T2 ON T1.name  =  T2.friend WHERE T1.city  =  'new york city',tianyi,837e0757-5767-4254-8983-8925e79e63b1,"F3, F1, D1, BF4, D1c",zhengning,9db7e60d-cec1-47a8-84cc-92da86ca17e8,"D1c, F3, F4"
36,36,1066,What is average salary of the players in the team named 'Boston Red Stockings' ?,"SELECT AVG(player_college.year) FROM player_college WHERE player_college.college_id = ""Boston Red Stockings""",SELECT avg(T1.salary) FROM salary AS T1 JOIN team AS T2 ON T1.team_id  =  T2.team_id_br WHERE T2.name  = 'Boston Red Stockings',tianyi,7668b866-9495-4e4b-810c-436fe011099c,"BL1, CE2, CF5, D1c, CL1, BF4",zhengning,a3254efd-0721-48e1-9356-a35a66ac5dbc,"CL1, D1c"
37,37,1151,"When do all the researcher role staff start to work, and when do they stop working?","SELECT Project_Staff.date_from, Project_Staff.date_to FROM Project_Staff","SELECT date_from ,  date_to FROM Project_Staff WHERE role_code  =  'researcher'",tianyi,b944c7e9-9a1c-4f21-8dc3-da841c585cb5,"BL1, F4, CL1, BF4, CE2, CF5",zhengning,f8266d13-5cfc-43ed-a42e-a7fe8a9c82bc,"CL1, F4"
38,38,899,What are the countries that have at least two perpetrators?,SELECT perpetrator.Country FROM perpetrator GROUP BY perpetrator.Country HAVING COUNT(*) >= 2,"SELECT Country ,  COUNT(*) FROM perpetrator GROUP BY Country HAVING COUNT(*)  >=  2",tianyi,2a72a61c-1478-4562-b9e2-b097a46725f2,"L5, F4, BL3",zhengning,abcd02d4-b5a9-4871-a243-ccfae12c1578,"L5, F4"
