,Unnamed: 0,sql_id,nl_query,sql,GT_sql,tianyi_code,zhengn_code
0,0,1402,What are the last names for all scholarship students?,SELECT Student.LName FROM Student,SELECT T2.Lname FROM Sportsinfo AS T1 JOIN Student AS T2 ON T1.StuID  =  T2.StuID WHERE T1.onscholarship  =  'Y',"CE2, E1, BL3","F4, CE2"
1,1,1191,Find the name of persons who are friends with Bob.,"SELECT PersonFriend.name FROM Person JOIN PersonFriend ON Person.name = PersonFriend.friend WHERE PersonFriend.name = ""Bob""",SELECT T1.name FROM Person AS T1 JOIN PersonFriend AS T2 ON T1.name  =  T2.name WHERE T2.friend  =  'Bob',"F4, BF4, CE2","CE2, BE5, F4"
2,2,283,"What is the location of the club named ""Tennis Club""?","SELECT Club.ClubLocation FROM Club WHERE Club.ClubName = ""Tennis club""","SELECT clublocation FROM club WHERE clubname  =  ""Tennis Club""","BF4, D1a","BE5, D1a"
3,3,1168,What roles did staff members play between '2003-04-19 15:06:20' and '2016-03-15 00:33:18'?,"SELECT Project_Staff.role_code FROM Project_Staff WHERE Project_Staff.date_from > ""2003-04 03-15 00 : 33 : 18"" AND Project_Staff.role_code = ""2016-04 03-15 00 : 33 : 18""",SELECT role_code FROM Project_Staff WHERE date_from  >  '2003-04-19 15:06:20' AND date_to  <  '2016-03-15 00:33:18',"D1, BF4, D1a","D1, F1, D1a"
4,4,583,What is the average miles per gallon(mpg) of the cars with 4 cylinders?,SELECT AVG(cars_data.Horsepower) FROM cars_data WHERE cars_data.Cylinders = 4,SELECT avg(mpg) FROM CARS_DATA WHERE Cylinders  =  4;,"BL1, D1, BF4","BL1, D1, F1"
5,5,1281,"What are the names of all the players who received a yes during tryouts, and also what are the names of their colleges?","SELECT Player.pName, Tryout.cName FROM Player JOIN Tryout ON Player.pID = Tryout.pID JOIN College ON Tryout.pID = College.cName WHERE Player.yCard = ""yes""","SELECT T1.pName ,  T2.cName FROM player AS T1 JOIN tryout AS T2 ON T1.pID  =  T2.pID WHERE T2.decision  =  'yes'","CE3, BL1, E1, BF4","BL1, E1"
6,6,669,What are the names of tracks that contain the the word you in them?,"SELECT Track.Name FROM Track WHERE Track.Name LIKE ""% you %""",SELECT Name FROM TRACK WHERE Name LIKE '%you%',"CE3, D1c, E1, BF4","D1, E1"
7,7,107,Find the number of schools that have more than one donator whose donation amount is less than 8.5.,"SELECT COUNT(*), endowment.School_id FROM endowment WHERE endowment.amount > 8.5 GROUP BY endowment.School_id HAVING COUNT(*) > 1",SELECT count(*) FROM (SELECT * FROM endowment WHERE amount  >  8.5 GROUP BY school_id HAVING count(*)  >  1),"D1c, BL2","D1, BL2"
8,8,1022,Please show the names and the players of clubs.,"SELECT club.name, player.name FROM club JOIN player ON club.Club_ID = player.Club_ID","SELECT T1.name ,  T2.Player_id FROM club AS T1 JOIN player AS T2 ON T1.Club_ID  =  T2.Club_ID","BL1, BL2","BL1, BL2"
9,9,1065,"What is the id, genre, and name of the artist for every English song ordered by ascending rating?","SELECT song.song_name, song.genre_is, artist.artist_name FROM artist JOIN song ON artist.artist_name = song.f_id WHERE song.languages = ""English"" ORDER BY song.rating","SELECT f_id ,  genre_is ,  artist_name FROM song WHERE languages  =   ""english"" ORDER BY rating","E1, D1a","CL1, BL2, D1a"
10,10,680,"How many customers have email that contains ""gmail.com""?","SELECT COUNT(*) FROM Customer WHERE Customer.Email LIKE ""% gmail.com %""","SELECT COUNT(*) FROM CUSTOMER WHERE Email LIKE ""%gmail.com%""","D1c, E1, D1a","D1, D1a"
11,11,623,"What is Weekly Rank of TV series with Episode ""A Love of a Lifetime""?","SELECT TV_series.Weekly_Rank FROM TV_series WHERE TV_series.Episode = ""A Love of A Lifetime""","SELECT Weekly_Rank FROM TV_series WHERE Episode = ""A Love of a Lifetime"";","D1c, D1a","D1, D1a"
12,12,1237,What are the department name and room for the course INTRODUCTION TO COMPUTER SCIENCE?,"SELECT Department.DName, Department.Room FROM Course JOIN Department ON Department.DNO = Course.DNO WHERE Course.CName = ""COMPUTER SCIENCE""","SELECT T2.Dname ,  T2.Room FROM COURSE AS T1 JOIN DEPARTMENT AS T2 ON T1.DNO  =  T2.DNO WHERE T1.CName  =  ""INTRODUCTION TO COMPUTER SCIENCE""","D1c, D1a","D1, D1a"
13,13,1206,Show the names of members and the locations of colleges they go to in ascending alphabetical order of member names.,"SELECT member.Name, college.College_Location FROM member JOIN college ON member.College_ID = college.College_ID ORDER BY college.Name ASC","SELECT T2.Name ,  T1.College_Location FROM college AS T1 JOIN member AS T2 ON T1.College_ID  =  T2.College_ID ORDER BY T2.Name ASC","D1c, K3",D1
14,14,1227,"What are the last names of female students, ordered by age descending?","SELECT Student.LName FROM Student WHERE Student.Sex = ""VALUE"" ORDER BY Student.Age DESC","SELECT LName FROM STUDENT WHERE Sex  =  ""F"" ORDER BY Age DESC","D1, K3",D1
15,15,1044,What is the average rating of songs produced by female artists?,"SELECT AVG(song.rating) FROM artist JOIN song ON artist.artist_name = song.artist_name WHERE artist.gender = ""VALUE""","SELECT avg(T2.rating) FROM artist AS T1 JOIN song AS T2 ON T1.artist_name  =  T2.artist_name WHERE T1.gender  =  ""Female""",,
16,16,1007,How many engineers did each staff contact? List both the contact staff name and number of engineers contacted.,"SELECT Staff.staff_name, COUNT(*) FROM Staff JOIN Engineer_Visits ON Staff.staff_id = Engineer_Visits.contact_staff_id GROUP BY Engineer_Visits.contact_staff_id","SELECT T1.staff_name ,  count(*) FROM Staff AS T1 JOIN Engineer_Visits AS T2 ON T1.staff_id  =  T2.contact_staff_id GROUP BY T1.staff_name","D1, BN1","D1, BN1"
17,17,726,Show the enrollment and primary_conference of the oldest college.,"SELECT university.Affiliation, university.Primary_conference FROM university ORDER BY university.Enrollment DESC LIMIT 1","SELECT enrollment ,  primary_conference FROM university ORDER BY founded LIMIT 1","BL1, K3, BN1, K2","BL1, BN1"
18,18,734,Find how many school locations have the word 'NY'.,"SELECT COUNT(university.Location) FROM university WHERE university.Location LIKE ""% NY %""","SELECT count(*) FROM university WHERE LOCATION LIKE ""%NY%""","BL1, D1c, K2, K3","BL1, D1c, K2, K3"
19,19,772,"What are the ids, names, dates of opening, and other details for accounts corresponding to the customer with the first name ""Meaghan""?","SELECT Accounts.account_id, Accounts.date_account_opened, Accounts.other_account_details FROM Customers JOIN Accounts ON Customers.customer_id = Accounts.customer_id WHERE Customers.customer_first_name = ""Meaghan""","SELECT T1.account_id ,  T1.date_account_opened ,  T1.account_name ,  T1.other_account_details FROM Accounts AS T1 JOIN Customers AS T2 ON T1.customer_id  =  T2.customer_id WHERE T2.customer_first_name  =  'Meaghan'","D1c, BL2","BL1, BL3"
20,20,816,What is the total balance of savings accounts not belonging to someone with the name Brown?,SELECT * FROM ACCOUNTS,SELECT sum(T2.balance) FROM accounts AS T1 JOIN savings AS T2 ON T1.custid  =  T2.custid WHERE T1.name != 'Brown',"L5, CE2, F4, BL3","L5, CE2, F4, BL3"
21,21,1358,What is the first name of the students who are in age 20 to 25 and living in PHL city?,"SELECT Student.Fname FROM Student WHERE Student.Age BETWEEN 20 AND Student.city_code = ""PHL""",SELECT fname FROM student WHERE city_code  =  'PHL' AND age BETWEEN 20 AND 25,"L5, CE2","L5, CE2"
22,22,441,What are the different dorm amenity names in alphabetical order?,SELECT DISTINCT Dorm.dorm_name FROM Dorm JOIN Dorm_amenity ON Dorm.dormid = Dorm_amenity.amenid ORDER BY Dorm_amenity.amenity_name,SELECT amenity_name FROM dorm_amenity ORDER BY amenity_name,"BL1, E1, A2a, BF4","E1, A2a, F4"
23,23,611,"How many cartoons were written by ""Joseph Kuhr""?","SELECT COUNT(DISTINCT Cartoon.Written_by) FROM Cartoon WHERE Cartoon.Written_by = ""Joseph Kuhr""","SELECT count(*) FROM Cartoon WHERE Written_by = ""Joseph Kuhr"";","BL1, E1","E1, BL2"
24,24,1361,Find the average and total capacity of dorms for the students with gender X.,"SELECT AVG(Dorm.student_capacity), SUM(Dorm.student_capacity) FROM Dorm JOIN Student ON Dorm.dormid = Student.StuID WHERE Student.Sex = ""X""","SELECT avg(student_capacity) ,  sum(student_capacity) FROM dorm WHERE gender  =  'X'","E1, A2a","E1, A2a, CF5"
25,25,638,Find the names and publication dates of all catalogs that have catalog level number greater than 5.,"SELECT Catalogs.catalog_name, Catalogs.date_of_publication FROM Catalogs JOIN Catalog_Structure ON Catalogs.catalog_id = Catalog_Structure.catalog_id WHERE Catalog_Structure.catalog_level_name > 5","SELECT t1.catalog_name ,  t1.date_of_publication FROM catalogs AS t1 JOIN catalog_structure AS t2 ON t1.catalog_id  =  t2.catalog_id WHERE catalog_level_number  >  5",E1,E1
26,26,1111,What are the names of the ships  that are from either the US or the UK?,"SELECT ship.Name FROM ship WHERE ship.Nationality = ""US"" OR ship.Nationality = ""UK""","SELECT Name FROM ship WHERE Nationality  =  ""United States"" OR Nationality  =  ""United Kingdom""",D1c,"D1c, E1, CF5"
27,27,975,"Find the name, account type, and account balance of the customer who has the highest credit score.","SELECT customer.cust_name, customer.acc_type, customer.acc_bal FROM customer ORDER BY customer.credit_score LIMIT 1","SELECT cust_name ,  acc_type ,  acc_bal FROM customer ORDER BY credit_score DESC LIMIT 1","D1c, K2","D1c, nan"
28,28,1150,What are the ids and details for all organizations that have grants of more than 6000 dollars?,"SELECT Grants.organisation_id, Organisations.organisation_details FROM Organisations JOIN Grants ON Organisations.organisation_id = Grants.organisation_id WHERE Grants.grant_amount > 6000","SELECT T2.organisation_id ,  T2.organisation_details FROM Grants AS T1 JOIN Organisations AS T2 ON T1.organisation_id  =  T2.organisation_id GROUP BY T2.organisation_id HAVING sum(T1.grant_amount)  >  6000","F3, K2, A1f, AN2","nan, A1f, AN2"
29,29,1354,"Show the customer name, customer address city, date from, and date to for each customer address history.","SELECT Customers.customer_name, Customer_Address_History.date_from, Customer_Address_History.date_to FROM Customers JOIN Customer_Address_History ON Customers.customer_id = Customer_Address_History.customer_id JOIN Addresses ON Customer_Address_History.address_id = Addresses.address_id","SELECT T2.customer_name ,  T3.city ,  T1.date_from ,  T1.date_to FROM customer_address_history AS T1 JOIN customers AS T2 ON T1.customer_id  =  T2.customer_id JOIN addresses AS T3 ON T1.address_id  =  T3.address_id","F3, A1f, BL3, AN2","A1f, BL3, AN2"
30,30,1292,Which college has any student who is a goalie and succeeded in the tryout.,"SELECT Tryout.cName FROM Tryout WHERE Tryout.pPos = ""goalie""",SELECT cName FROM  tryout WHERE decision  =  'yes' AND pPos  =  'goalie',"F4, BL3","F4, BL3"
31,31,193,What is the total number of customers who use banks in New York City?,"SELECT SUM(bank.no_of_customers) FROM bank WHERE bank.city = ""New York""",SELECT sum(no_of_customers) FROM bank WHERE city  =  'New York City',"D1c, F4","D1c, F4"
32,32,1090,Find the number of medications prescribed for each brand.,"SELECT Medication.Brand, COUNT(*) FROM Medication GROUP BY Medication.Brand","SELECT count(*) ,  T1.name FROM medication AS T1 JOIN prescribes AS T2 ON T1.code = T2.medication GROUP BY T1.brand","D1c, BL1, CE2","D1c, BL1, CE2"
