Unnamed: 0,record_id,session_id,username,sql_id,sql,nl_query,incorrect_parts,open_ended_feedback,error_classification,duration,cur_id,batch_id,GT_sql
0,ae2fc72b-abd4-4925-8bbb-81c660924560,4a28e1c4-b009-428f-941c-724a62cf1659,tianyi,1,select avg ( Num_Employees ) from department where between 10 and 15,What is the average number of employees of the departments whose rank is between 10 and 15?,where between 10 and 15,,BF4,46031.7760000229,1,7,SELECT avg(num_employees) FROM department WHERE ranking BETWEEN 10 AND 15
1,9445fe97-ed62-433b-ab8a-5a9c1bf112c8,4a28e1c4-b009-428f-941c-724a62cf1659,tianyi,2,select name from head where born_state = 'California',What are the names of the heads who are born outside the California state?,where born_state = 'California',,F1,83.44700002670291,2,7,SELECT name FROM head WHERE born_state != 'California'
2,5bb4a9a4-0372-4d21-b7de-1189962bc31a,4a28e1c4-b009-428f-941c-724a62cf1659,tianyi,4,select count ( temporary_acting ) from management,How many acting statuses are there?,( temporary_acting ),,A1b,25.298000097274798,3,7,SELECT count(DISTINCT temporary_acting) FROM management
3,57135d7b-6d62-4671-bff2-a31fb0d67163,4a28e1c4-b009-428f-941c-724a62cf1659,tianyi,6,select catalog_name from Catalogs,What are all the catalog entry names?,"catalog_name, Catalogs",,"CM6, BL1, A1b",51.4049999713898,4,7,SELECT distinct(catalog_entry_name) FROM catalog_contents
4,415c91cc-176b-436f-9a65-719e81f22e52,4a28e1c4-b009-428f-941c-724a62cf1659,tianyi,11,select count ( date_of_latest_revision ) from Catalogs group by date_of_publication having count ( * ) > 1,Find the dates on which more than one revisions were made.,date_of_publication,,BN1,33.4319999217987,5,7,SELECT date_of_latest_revision FROM Catalogs GROUP BY date_of_latest_revision HAVING count(*)  >  1
5,bdda7c1d-580e-4b10-b85d-0b3a2de06a20,4a28e1c4-b009-428f-941c-724a62cf1659,tianyi,12,select count ( date_of_latest_revision ) from Catalogs group by date_of_publication having count ( date_of_latest_revision ) > 1,On which days more than one revisions were made on catalogs.,"count, ( date_of_latest_revision )",,L4,174.486000061035,6,7,SELECT date_of_latest_revision FROM Catalogs GROUP BY date_of_latest_revision HAVING count(*)  >  1
6,d96edf2d-ad19-4483-bca5-fc8902422d87,4a28e1c4-b009-428f-941c-724a62cf1659,tianyi,13,select count ( catalog_name ) from Catalogs,How many products are there in the records?,Catalogs,,CM6,49.6519999504089,7,7,SELECT count(*) FROM catalog_contents
7,faa047c9-13b9-43a3-94ab-8fc1af4676fc,4a28e1c4-b009-428f-941c-724a62cf1659,tianyi,23,select BillingCountry from Invoice,What are the distinct billing countries of the invoices?,,,A1b,35.6089999675751,8,7,SELECT distinct(BillingCountry) FROM INVOICE
8,bb2a34e6-b5da-4ab3-87b9-4f55c7c55a39,4a28e1c4-b009-428f-941c-724a62cf1659,tianyi,24,select BillingCountry from Invoice,Find the different billing countries for all invoices.,,,A1b,8.529999971389769,9,7,SELECT distinct(BillingCountry) FROM INVOICE
9,35ccd982-6da5-461a-a23f-ca851c6230af,4a28e1c4-b009-428f-941c-724a62cf1659,tianyi,25,select avg ( UnitPrice ) from InvoiceLine,What is the average unit price of all the tracks?,InvoiceLine,,CM6,21.871999979019197,10,7,SELECT AVG(UnitPrice) FROM TRACK
10,61020bfb-fad4-4bdb-93dd-0a67c0510976,4a28e1c4-b009-428f-941c-724a62cf1659,tianyi,26,select avg ( UnitPrice ) from InvoiceLine,Find the average unit price for a track.,InvoiceLine,,CM6,21.2479999065399,11,7,SELECT AVG(UnitPrice) FROM TRACK
11,f7169c09-11e1-4aa7-aeef-b8d63c731808,4a28e1c4-b009-428f-941c-724a62cf1659,tianyi,27,select count ( City ) from Employee,How many distinct cities does the employees live in?,,,A1b,15.796999931335401,12,7,SELECT COUNT(DISTINCT city) FROM EMPLOYEE
12,8dba1a10-ce3b-4b09-b957-ead093662a16,4a28e1c4-b009-428f-941c-724a62cf1659,tianyi,28,select count ( City ) from Employee,Find the number of different cities that employees live in.,,,A1b,12.183000087738,13,7,SELECT COUNT(DISTINCT city) FROM EMPLOYEE
13,69842289-012c-4830-9d2c-a4e412cdf81e,4a28e1c4-b009-428f-941c-724a62cf1659,tianyi,35,select UnitPrice from InvoiceLine,What are the distinct unit prices of all tracks?,,,A1b,9.723000049591061,14,7,SELECT distinct(UnitPrice) FROM TRACK
14,9062abff-c9d0-4f72-8650-f0f975273ab7,4a28e1c4-b009-428f-941c-724a62cf1659,tianyi,36,select UnitPrice from InvoiceLine,Find the distinct unit prices for tracks.,,,"CM6, A1b",26.641999959945696,15,7,SELECT distinct(UnitPrice) FROM TRACK
15,d82fba4d-d758-4aac-a406-b8655707c765,4a28e1c4-b009-428f-941c-724a62cf1659,tianyi,41,"select max ( OMIM ) from enzyme where Porphyria = ""mandelim""",What is the maximum Online Mendelian Inheritance in Man (OMIM) value of the enzymes?,,,F4,15.5160000324249,16,7,SELECT max(OMIM) FROM enzyme
16,50cd9a01-c6c9-46eb-b972-9d53617b5b4a,4a28e1c4-b009-428f-941c-724a62cf1659,tianyi,43,select name from enzyme except select name from enzyme where Porphyria = 'Heme',What are the names of enzymes who does not produce 'Heme'?,"where Porphyria = 'Heme', from, except, select",,"F1, A2c",58.4820001125336,17,7,SELECT name FROM enzyme WHERE product != 'Heme'
17,49b4ccb8-a325-4665-b172-c660a34c4b33,4a28e1c4-b009-428f-941c-724a62cf1659,tianyi,46,select count ( * ) from medicine where FDA_approved != ',How many medicines were not approved by the FDA?,where FDA_approved != ',,"F1, D1",235.148000001907,18,7,SELECT count(*) FROM medicine WHERE FDA_approved  =  'No'
18,6075fb48-4b66-4307-8f76-1c5077b987a2,4a28e1c4-b009-428f-941c-724a62cf1659,tianyi,47,select count ( FDA_approved ) from medicine,How many distinct FDA approval statuses are there for the medicines?,,,A1b,20.2750000953674,19,7,SELECT count(DISTINCT FDA_approved) FROM medicine
