,sql_id,username_x,record_id_x,error_classification_x,username_y,record_id_y,error_classification_y
0,1,tianyi,ae2fc72b-abd4-4925-8bbb-81c660924560,BF4,zhengning,54d74234-6cbd-4a9f-abd2-826a7d5d9cb9,"F4, E1, D1"
1,2,tianyi,9445fe97-ed62-433b-ab8a-5a9c1bf112c8,F1,zhengning,0b5ebf06-12e8-4e5d-9e7f-1123a93df70d,A1a
2,4,tianyi,5bb4a9a4-0372-4d21-b7de-1189962bc31a,A1b,zhengning,78de6bff-b33f-41ba-9e4c-cd8fbf010d46,A1b
3,6,tianyi,57135d7b-6d62-4671-bff2-a31fb0d67163,"CM6, BL1, A1b",zhengning,8d1d5224-ca88-4aaa-810f-e8c098ed7d73,"CM6, A1b"
4,11,tianyi,415c91cc-176b-436f-9a65-719e81f22e52,BN1,zhengning,7dcddc78-bd32-4207-95c0-b824ed04444c,L5
5,12,tianyi,bdda7c1d-580e-4b10-b85d-0b3a2de06a20,L4,zhengning,32cde31e-093b-462f-b4e4-c82386d3ebb9,"L5, L4, A1f"
6,13,tianyi,d96edf2d-ad19-4483-bca5-fc8902422d87,CM6,zhengning,b0a31c9f-18e4-4a0d-bcb4-151cbda273eb,"CM6, BL1"
7,23,tianyi,faa047c9-13b9-43a3-94ab-8fc1af4676fc,A1b,zhengning,b28dd31a-165c-495c-aed5-798e1fed9aac,A1b
8,24,tianyi,bb2a34e6-b5da-4ab3-87b9-4f55c7c55a39,A1b,zhengning,c6726ad0-8c34-4fed-b84e-a59b90bfc803,A1b
9,25,tianyi,35ccd982-6da5-461a-a23f-ca851c6230af,CM6,zhengning,e3e14a37-34ec-4bfa-844d-43ce13122b1e,CM6
10,26,tianyi,61020bfb-fad4-4bdb-93dd-0a67c0510976,CM6,zhengning,00531ed2-c8eb-417c-8e11-419a5255d129,CM6
11,27,tianyi,f7169c09-11e1-4aa7-aeef-b8d63c731808,A1b,zhengning,4c6a1408-7247-430d-8fb5-3f262c180087,A1b
12,28,tianyi,8dba1a10-ce3b-4b09-b957-ead093662a16,A1b,zhengning,4892d229-98f8-4ca1-b899-ab2ef8e3beeb,A1b
13,35,tianyi,69842289-012c-4830-9d2c-a4e412cdf81e,A1b,zhengning,af47663e-2321-452c-a00e-7f21cb677f32,"CM6, A1b"
14,36,tianyi,9062abff-c9d0-4f72-8650-f0f975273ab7,"CM6, A1b",zhengning,1528b0a8-cd9a-4615-b7ab-63e23cddbbfa,"A1b, CM6"
15,41,tianyi,d82fba4d-d758-4aac-a406-b8655707c765,F4,zhengning,7ce75627-4eef-4739-ab79-f8a4b8da3e47,F4
16,43,tianyi,50cd9a01-c6c9-46eb-b972-9d53617b5b4a,"F1, A2c",zhengning,9d4c470c-b8cb-4bcd-b6e3-83eab2ef42cd,A1d
17,46,tianyi,49b4ccb8-a325-4665-b172-c660a34c4b33,"F1, D1",zhengning,58e56cf8-1e2d-4825-8fa4-7fad509d0c26,D1
18,47,tianyi,6075fb48-4b66-4307-8f76-1c5077b987a2,A1b,zhengning,76a3d3b5-5581-4bf6-b0ac-ea699e78168d,A1b
19,48,tianyi,84c232c8-fcaa-4529-85a9-4f2f5ed87a99,A1b,zhengning,319fb40a-598f-42d9-9377-d00e1705a20f,A1b
20,53,tianyi,eb60ad68-0cf7-499b-b4f4-adbdc6c6ed16,A1b,zhengning,fbd025bb-8f62-49d3-a857-14debfd120d4,A1b
21,54,tianyi,f0867556-a319-4338-8af2-7e80ae9b3d87,A1b,zhengning,89b37ff0-404b-4f6e-9c9d-07f0420b5145,A1b
22,69,tianyi,3b8c9f3f-d544-467d-aeb6-20076882b543,A1b,zhengning,42ade9fd-3751-440c-8c95-3f19f0f3106e,A1b
23,70,tianyi,82be5ebf-41b3-4715-948a-10e1536090ab,BK1,zhengning,3da33f23-cab4-4933-9c9b-ba1c1384a585,"BK1, Q1"
24,71,tianyi,bb37cd15-3fb3-44bf-a371-73b4e4fecf69,BK1,zhengning,2ad7d441-5490-46b4-a7b8-fc9f40978282,"BK1, Q1"
25,75,tianyi,ae738af2-14cf-41f8-aea2-cc5df4d4c165,"CM6, BL1",zhengning,2cd2b14a-e15f-468c-8360-21cda7f13242,"CM6, BL3"
26,78,tianyi,90ead4d7-893f-4b60-b12e-a5c485e8915d,A1b,zhengning,68f9681c-4643-4c0c-914a-519d487a2f2f,"BL1, A1b"
27,79,tianyi,3d8e1434-cef8-4723-9636-18fc486bba06,A1b,zhengning,1cc1bd34-3d16-413b-8df8-9f7682b4e39c,A1b
28,82,tianyi,2df2c909-7232-4417-af8d-82773b0452db,A1b,zhengning,42b7acd0-92ec-4504-8c74-d04a9672f2aa,A1b
29,83,tianyi,dca32a7d-fe36-44b2-bd54-ec2a641202b9,A1b,zhengning,50a0d2ed-3284-4d14-bb30-d9aa893f46aa,A1b
30,88,tianyi,43ebba06-4b97-4d39-af62-72f94c58cb02,A1b,zhengning,fa002c98-c5b6-4fdb-9460-95f72bd1e5fd,A1b
31,89,tianyi,df5ac56f-d1ca-439c-845e-6f36c7f58cda,A1b,zhengning,8e650bb3-7bec-43ba-99bb-871062116540,A1b
32,90,tianyi,dc055c24-5e5f-4362-906d-bdef9e484f94,A1b,zhengning,9f226f5b-ae96-4297-ba30-afdcb6b8531d,A1b
33,91,tianyi,52ceef35-ee2a-4dc8-8699-f0b9c23cbdbb,A1b,zhengning,317161d2-7258-4a15-b024-7423859d9ef9,A1b
