,sql_id,username,record_id,code
0,1,tianyi,ae2fc72b-abd4-4925-8bbb-81c660924560,BF4
1,2,tianyi,9445fe97-ed62-433b-ab8a-5a9c1bf112c8,F1
2,4,tianyi,5bb4a9a4-0372-4d21-b7de-1189962bc31a,A1b
3,6,tianyi,57135d7b-6d62-4671-bff2-a31fb0d67163,CL1
4,6,tianyi,57135d7b-6d62-4671-bff2-a31fb0d67163,BL1
5,6,tianyi,57135d7b-6d62-4671-bff2-a31fb0d67163,A1b
6,11,tianyi,415c91cc-176b-436f-9a65-719e81f22e52,BN1
7,12,tianyi,bdda7c1d-580e-4b10-b85d-0b3a2de06a20,L4
8,13,tianyi,d96edf2d-ad19-4483-bca5-fc8902422d87,CL1
9,23,tianyi,faa047c9-13b9-43a3-94ab-8fc1af4676fc,A1b
10,24,tianyi,bb2a34e6-b5da-4ab3-87b9-4f55c7c55a39,A1b
11,25,tianyi,35ccd982-6da5-461a-a23f-ca851c6230af,CL1
12,26,tianyi,61020bfb-fad4-4bdb-93dd-0a67c0510976,CL1
13,27,tianyi,f7169c09-11e1-4aa7-aeef-b8d63c731808,A1b
14,28,tianyi,8dba1a10-ce3b-4b09-b957-ead093662a16,A1b
15,35,tianyi,69842289-012c-4830-9d2c-a4e412cdf81e,A1b
16,36,tianyi,9062abff-c9d0-4f72-8650-f0f975273ab7,CL1
17,36,tianyi,9062abff-c9d0-4f72-8650-f0f975273ab7,A1b
18,41,tianyi,d82fba4d-d758-4aac-a406-b8655707c765,F4
19,43,tianyi,50cd9a01-c6c9-46eb-b972-9d53617b5b4a,F1
20,43,tianyi,50cd9a01-c6c9-46eb-b972-9d53617b5b4a,A2c
21,46,tianyi,49b4ccb8-a325-4665-b172-c660a34c4b33,F1
22,46,tianyi,49b4ccb8-a325-4665-b172-c660a34c4b33,D1
23,47,tianyi,6075fb48-4b66-4307-8f76-1c5077b987a2,A1b
24,48,tianyi,84c232c8-fcaa-4529-85a9-4f2f5ed87a99,A1b
25,53,tianyi,eb60ad68-0cf7-499b-b4f4-adbdc6c6ed16,A1b
26,54,tianyi,f0867556-a319-4338-8af2-7e80ae9b3d87,A1b
27,69,tianyi,3b8c9f3f-d544-467d-aeb6-20076882b543,A1b
28,70,tianyi,82be5ebf-41b3-4715-948a-10e1536090ab,BK1
