,Unnamed: 0,Unnamed: 0.1,sql_id,nl_query,sql,GT_sql,tianyi,record_id_x,tianyi_code,zhengn,record_id_y,zhengn_code
0,0,0,1,What is the average number of employees of the departments whose rank is between 10 and 15?,select avg ( Num_Employees ) from department where between 10 and 15,SELECT avg(num_employees) FROM department WHERE ranking BETWEEN 10 AND 15,tianyi,ae2fc72b-abd4-4925-8bbb-81c660924560,BF4,zhengning,54d74234-6cbd-4a9f-abd2-826a7d5d9cb9,"F4, E1, D1"
1,1,2,2,What are the names of the heads who are born outside the California state?,select name from head where born_state = 'California',SELECT name FROM head WHERE born_state != 'California',tianyi,9445fe97-ed62-433b-ab8a-5a9c1bf112c8,F1,zhengning,0b5ebf06-12e8-4e5d-9e7f-1123a93df70d,A1a
2,2,4,4,How many acting statuses are there?,select count ( temporary_acting ) from management,SELECT count(DISTINCT temporary_acting) FROM management,tianyi,5bb4a9a4-0372-4d21-b7de-1189962bc31a,A1b,zhengning,78de6bff-b33f-41ba-9e4c-cd8fbf010d46,A1b
3,3,6,6,What are all the catalog entry names?,select catalog_name from Catalogs,SELECT distinct(catalog_entry_name) FROM catalog_contents,tianyi,57135d7b-6d62-4671-bff2-a31fb0d67163,"CL1, BL1, A1b",zhengning,8d1d5224-ca88-4aaa-810f-e8c098ed7d73,"CL1, A1b"
4,4,8,11,Find the dates on which more than one revisions were made.,select count ( date_of_latest_revision ) from Catalogs group by date_of_publication having count ( * ) > 1,SELECT date_of_latest_revision FROM Catalogs GROUP BY date_of_latest_revision HAVING count(*)  >  1,tianyi,415c91cc-176b-436f-9a65-719e81f22e52,BN1,zhengning,7dcddc78-bd32-4207-95c0-b824ed04444c,L5
5,5,10,12,On which days more than one revisions were made on catalogs.,select count ( date_of_latest_revision ) from Catalogs group by date_of_publication having count ( date_of_latest_revision ) > 1,SELECT date_of_latest_revision FROM Catalogs GROUP BY date_of_latest_revision HAVING count(*)  >  1,tianyi,bdda7c1d-580e-4b10-b85d-0b3a2de06a20,L4,zhengning,32cde31e-093b-462f-b4e4-c82386d3ebb9,"L5, L4, A1f"
6,6,12,13,How many products are there in the records?,select count ( catalog_name ) from Catalogs,SELECT count(*) FROM catalog_contents,tianyi,d96edf2d-ad19-4483-bca5-fc8902422d87,CL1,zhengning,b0a31c9f-18e4-4a0d-bcb4-151cbda273eb,"CL1, BL1"
7,7,14,23,What are the distinct billing countries of the invoices?,select BillingCountry from Invoice,SELECT distinct(BillingCountry) FROM INVOICE,tianyi,faa047c9-13b9-43a3-94ab-8fc1af4676fc,A1b,zhengning,b28dd31a-165c-495c-aed5-798e1fed9aac,A1b
8,8,16,24,Find the different billing countries for all invoices.,select BillingCountry from Invoice,SELECT distinct(BillingCountry) FROM INVOICE,tianyi,bb2a34e6-b5da-4ab3-87b9-4f55c7c55a39,A1b,zhengning,c6726ad0-8c34-4fed-b84e-a59b90bfc803,A1b
9,9,18,25,What is the average unit price of all the tracks?,select avg ( UnitPrice ) from InvoiceLine,SELECT AVG(UnitPrice) FROM TRACK,tianyi,35ccd982-6da5-461a-a23f-ca851c6230af,CL1,zhengning,e3e14a37-34ec-4bfa-844d-43ce13122b1e,CL1
10,10,20,26,Find the average unit price for a track.,select avg ( UnitPrice ) from InvoiceLine,SELECT AVG(UnitPrice) FROM TRACK,tianyi,61020bfb-fad4-4bdb-93dd-0a67c0510976,CL1,zhengning,00531ed2-c8eb-417c-8e11-419a5255d129,CL1
11,11,22,27,How many distinct cities does the employees live in?,select count ( City ) from Employee,SELECT COUNT(DISTINCT city) FROM EMPLOYEE,tianyi,f7169c09-11e1-4aa7-aeef-b8d63c731808,A1b,zhengning,4c6a1408-7247-430d-8fb5-3f262c180087,A1b
12,12,24,28,Find the number of different cities that employees live in.,select count ( City ) from Employee,SELECT COUNT(DISTINCT city) FROM EMPLOYEE,tianyi,8dba1a10-ce3b-4b09-b957-ead093662a16,A1b,zhengning,4892d229-98f8-4ca1-b899-ab2ef8e3beeb,A1b
13,13,26,35,What are the distinct unit prices of all tracks?,select UnitPrice from InvoiceLine,SELECT distinct(UnitPrice) FROM TRACK,tianyi,69842289-012c-4830-9d2c-a4e412cdf81e,"A1b, CL1",zhengning,af47663e-2321-452c-a00e-7f21cb677f32,"CL1, A1b"
14,14,28,36,Find the distinct unit prices for tracks.,select UnitPrice from InvoiceLine,SELECT distinct(UnitPrice) FROM TRACK,tianyi,9062abff-c9d0-4f72-8650-f0f975273ab7,"CL1, A1b",zhengning,1528b0a8-cd9a-4615-b7ab-63e23cddbbfa,"A1b, CL1"
15,15,30,41,What is the maximum Online Mendelian Inheritance in Man (OMIM) value of the enzymes?,"select max ( OMIM ) from enzyme where Porphyria = ""mandelim""",SELECT max(OMIM) FROM enzyme,tianyi,d82fba4d-d758-4aac-a406-b8655707c765,F4,zhengning,7ce75627-4eef-4739-ab79-f8a4b8da3e47,F4
16,16,32,43,What are the names of enzymes who does not produce 'Heme'?,select name from enzyme except select name from enzyme where Porphyria = 'Heme',SELECT name FROM enzyme WHERE product != 'Heme',tianyi,50cd9a01-c6c9-46eb-b972-9d53617b5b4a,"F1, A2c",zhengning,9d4c470c-b8cb-4bcd-b6e3-83eab2ef42cd,A1d
17,17,34,46,How many medicines were not approved by the FDA?,select count ( * ) from medicine where FDA_approved != ',SELECT count(*) FROM medicine WHERE FDA_approved  =  'No',tianyi,49b4ccb8-a325-4665-b172-c660a34c4b33,"F1, D1",zhengning,58e56cf8-1e2d-4825-8fa4-7fad509d0c26,D1
18,18,36,47,How many distinct FDA approval statuses are there for the medicines?,select count ( FDA_approved ) from medicine,SELECT count(DISTINCT FDA_approved) FROM medicine,tianyi,6075fb48-4b66-4307-8f76-1c5077b987a2,A1b,zhengning,76a3d3b5-5581-4bf6-b0ac-ea699e78168d,A1b
19,19,38,48,How many different FDA approval statuses exist for medicines?,select count ( FDA_approved ) from medicine,SELECT count(DISTINCT FDA_approved) FROM medicine,tianyi,84c232c8-fcaa-4529-85a9-4f2f5ed87a99,A1b,zhengning,319fb40a-598f-42d9-9377-d00e1705a20f,A1b
20,20,40,53,Find how many different affiliation types there are.,select count ( Affiliation ) from university,SELECT count(DISTINCT affiliation) FROM university,tianyi,eb60ad68-0cf7-499b-b4f4-adbdc6c6ed16,A1b,zhengning,fbd025bb-8f62-49d3-a857-14debfd120d4,A1b
21,21,42,54,Count the number of different affiliation types.,select count ( Affiliation ) from university,SELECT count(DISTINCT affiliation) FROM university,tianyi,f0867556-a319-4338-8af2-7e80ae9b3d87,A1b,zhengning,89b37ff0-404b-4f6e-9c9d-07f0420b5145,A1b
22,22,44,69,Show the distinct venues of debates,select Venue from debate,SELECT DISTINCT Venue FROM debate,tianyi,3b8c9f3f-d544-467d-aeb6-20076882b543,A1b,zhengning,42ade9fd-3751-440c-8c95-3f19f0f3106e,A1b
23,23,46,70,List the names of all the customers in alphabetical order.,select Customer_Details from Customers order by limit 1,SELECT customer_details FROM customers ORDER BY customer_details,tianyi,82be5ebf-41b3-4715-948a-10e1536090ab,"BK1, Q1",zhengning,3da33f23-cab4-4933-9c9b-ba1c1384a585,"BK1, Q1"
24,24,48,71,Sort the customer names in alphabetical order.,select Customer_Details from Customers order by limit 1,SELECT customer_details FROM customers ORDER BY customer_details,tianyi,bb37cd15-3fb3-44bf-a371-73b4e4fecf69,"BK1, Q1",zhengning,2ad7d441-5490-46b4-a7b8-fc9f40978282,"BK1, Q1"
25,25,50,75,Find the number of distinct stages in claim processing.,select count ( Claim_Stage_ID ) from Claims_Processing,SELECT count(*) FROM claims_processing_stages,tianyi,ae738af2-14cf-41f8-aea2-cc5df4d4c165,"CL1, BL1",zhengning,2cd2b14a-e15f-468c-8360-21cda7f13242,"CL1, BL3"
26,26,52,78,How many distinct claim outcome codes are there?,select count ( Claim_Outcome_Code ) from Claims_Processing,SELECT count(DISTINCT claim_outcome_code) FROM claims_processing,tianyi,90ead4d7-893f-4b60-b12e-a5c485e8915d,A1b,zhengning,68f9681c-4643-4c0c-914a-519d487a2f2f,"BL1, A1b"
