errorcategory,category_Krippendroffis_alpha
1,0.27368421052631575
2,-0.045454545454545414
4,1.0
6,0.8067226890756303
11,-0.09523809523809512
12,0.6349206349206349
13,0.7578947368421052
23,1.0
24,1.0
25,1.0
26,1.0
27,1.0
28,1.0
35,1.0
36,1.0
41,1.0
43,0.6349206349206349
46,0.6349206349206349
47,1.0
48,1.0
53,1.0
54,1.0
69,1.0
70,1.0
71,1.0
75,1.0
78,0.42499999999999993
79,1.0
82,1.0
83,1.0
88,1.0
89,1.0
90,1.0
91,1.0
106,0.6349206349206349
107,0.640625
109,1.0
111,1.0
113,1.0
116,1.0
119,1.0
122,1.0
123,1.0
126,1.0
127,1.0
129,0.5740740740740742
134,0.6349206349206349
143,1.0
144,0.5740740740740742
149,1.0
151,1.0
154,0.42499999999999993
159,1.0
167,1.0
168,1.0
173,1.0
174,1.0
175,1.0
176,1.0
190,0.7578947368421052
191,0.7578947368421052
192,0.4201680672268907
193,0.640625
206,0.640625
207,1.0
208,1.0
209,1.0
211,1.0
213,1.0
221,1.0
222,1.0
226,1.0
298,0.4201680672268907
303,0.8296296296296296
304,0.8067226890756303
305,0.640625
311,1.0
312,1.0
317,1.0
323,1.0
324,1.0
329,0.7578947368421052
330,0.7578947368421052
332,0.8296296296296296
335,1.0
337,0.27368421052631575
338,0.42499999999999993
346,1.0
348,1.0
360,1.0
362,1.0
364,1.0
366,1.0
371,1.0
372,1.0
373,1.0
374,0.6349206349206349
376,1.0
378,1.0
380,1.0
384,1.0
385,0.5740740740740742
386,0.5740740740740742
387,0.14814814814814825
388,0.6714285714285715
389,-0.15000000000000013
390,-0.15000000000000013
391,0.8067226890756303
392,1.0
395,1.0
396,1.0
398,0.8067226890756303
403,1.0
404,1.0
413,1.0
414,1.0
415,1.0
416,1.0
417,1.0
418,1.0
422,1.0
423,1.0
430,1.0
431,1.0
436,1.0
437,1.0
438,1.0
439,1.0
440,1.0
441,1.0
448,1.0
449,1.0
452,1.0
457,1.0
458,1.0
459,1.0
460,1.0
461,1.0
469,1.0
470,1.0
471,1.0
472,1.0
473,1.0
474,0.7578947368421052
475,1.0
476,0.8067226890756303
477,0.640625
478,1.0
480,1.0
481,1.0
487,1.0
488,1.0
493,1.0
494,1.0
497,1.0
498,1.0
499,0.8296296296296296
500,0.5740740740740742
503,1.0
527,0.5740740740740742
528,1.0
538,1.0
541,0.42499999999999993
547,1.0
548,1.0
557,1.0
558,1.0
559,1.0
560,0.42499999999999993
561,0.7578947368421052
562,1.0
567,1.0
568,1.0
569,0.5740740740740742
571,1.0
572,1.0
577,1.0
578,1.0
584,1.0
592,0.42499999999999993
593,0.27368421052631575
611,1.0
612,1.0
622,1.0
624,1.0
626,0.8067226890756303
630,0.8067226890756303
631,1.0
632,1.0
634,1.0
635,1.0
636,0.27368421052631575
637,1.0
638,0.4201680672268907
639,1.0
640,1.0
642,1.0
643,1.0
646,0.7578947368421052
648,0.7578947368421052
649,1.0
650,0.6349206349206349
651,0.7578947368421052
652,1.0
656,1.0
657,1.0
660,1.0
662,1.0
663,1.0
668,1.0
669,1.0
670,1.0
672,1.0
673,1.0
674,1.0
675,1.0
677,1.0
678,1.0
