,sql_id,nl_query,sql,GT_sql,tianyi,record_id_x,tianyi_code,zhengn,record_id_y,zhengn_code
0,6,What are all the catalog entry names?,select catalog_name from Catalogs,SELECT distinct(catalog_entry_name) FROM catalog_contents,tianyi,57135d7b-6d62-4671-bff2-a31fb0d67163,"CL1, BL1, A1b",zhengning,8d1d5224-ca88-4aaa-810f-e8c098ed7d73,"CL1, A1b"
1,13,How many products are there in the records?,select count ( catalog_name ) from Catalogs,SELECT count(*) FROM catalog_contents,tianyi,d96edf2d-ad19-4483-bca5-fc8902422d87,CL1,zhengning,b0a31c9f-18e4-4a0d-bcb4-151cbda273eb,"CL1, BL1"
2,25,What is the average unit price of all the tracks?,select avg ( UnitPrice ) from InvoiceLine,SELECT AVG(UnitPrice) FROM TRACK,tianyi,35ccd982-6da5-461a-a23f-ca851c6230af,CL1,zhengning,e3e14a37-34ec-4bfa-844d-43ce13122b1e,CL1
3,26,Find the average unit price for a track.,select avg ( UnitPrice ) from InvoiceLine,SELECT AVG(UnitPrice) FROM TRACK,tianyi,61020bfb-fad4-4bdb-93dd-0a67c0510976,CL1,zhengning,00531ed2-c8eb-417c-8e11-419a5255d129,CL1
4,35,What are the distinct unit prices of all tracks?,select UnitPrice from InvoiceLine,SELECT distinct(UnitPrice) FROM TRACK,tianyi,69842289-012c-4830-9d2c-a4e412cdf81e,"A1b, CL1",zhengning,af47663e-2321-452c-a00e-7f21cb677f32,"CL1, A1b"
5,36,Find the distinct unit prices for tracks.,select UnitPrice from InvoiceLine,SELECT distinct(UnitPrice) FROM TRACK,tianyi,9062abff-c9d0-4f72-8650-f0f975273ab7,"CL1, A1b",zhengning,1528b0a8-cd9a-4615-b7ab-63e23cddbbfa,"A1b, CL1"
6,75,Find the number of distinct stages in claim processing.,select count ( Claim_Stage_ID ) from Claims_Processing,SELECT count(*) FROM claims_processing_stages,tianyi,ae738af2-14cf-41f8-aea2-cc5df4d4c165,"CL1, BL1",zhengning,2cd2b14a-e15f-468c-8360-21cda7f13242,"CL1, BL3"
7,119,What document type codes do we have?,select document_type_code from Documents,SELECT document_type_code FROM Ref_Document_Types;,tianyi,931b1517-ce69-432a-9525-0a3c54a03a4f,CL1,zhengning,a9169b89-d81c-4a44-b3e0-c7c9ac869046,CL1
8,123,What are all role codes?,select role_code from Employees,SELECT role_code FROM ROLES;,tianyi,b082cd9f-2047-497e-ac96-0327c93e790d,CL1,zhengning,a81cf762-95ec-4546-898e-5217251f6ae5,CL1
9,129,What is the mail date of the document with id 7?,select T1.mailing_date from Documents_Mailed as T1 join Documents as T2 on T1.document_id = T2.document_id where T2.document_type_code = 7,SELECT mailing_date FROM Documents_Mailed WHERE document_id = 7;,tianyi,762f8695-eb48-4a5e-9022-ae8e9d0f4535,"BF4, E1",zhengning,b2e5701e-40d2-46fe-a703-d42ac2090090,"CF5, E1"
10,143,What are the names of entrepreneurs?,select Name from people,SELECT T2.Name FROM entrepreneur AS T1 JOIN people AS T2 ON T1.People_ID  =  T2.People_ID,tianyi,dc497ba2-6789-40e3-9864-7ca1ca5fd38e,"CL1, CE2",zhengning,03f102d2-dfae-4dfb-b997-6eecdf9ff0bd,"CL1, CE2"
11,144,Return the names of entrepreneurs.,select Name from people,SELECT T2.Name FROM entrepreneur AS T1 JOIN people AS T2 ON T1.People_ID  =  T2.People_ID,tianyi,390b708b-6dd4-4d24-bd80-d610f33289c8,"BE5, CE2",zhengning,e02f1e77-ef01-467e-9343-88fc2710ae43,"CL1, CE2"
12,154,What are the names of perpetrators?,select Name from people,SELECT T1.Name FROM people AS T1 JOIN perpetrator AS T2 ON T1.People_ID  =  T2.People_ID,tianyi,b04b82f6-fe00-49b5-b6f0-517c907fb34b,BE5,zhengning,4089bcca-39fe-4770-b94f-c40fd6b3eadc,CE2
13,190,How many customers are there?,select count ( * ) from customer,SELECT sum(no_of_customers) FROM bank,tianyi,340b2b87-0747-4ca1-9746-d9d13a8681dc,"L4, CL1",zhengning,28f5a7dd-f643-49c3-9171-606aa14f46fe,"L4, CL1, BL2"
14,191,What is the total number of customers across banks?,select count ( * ) from customer,SELECT sum(no_of_customers) FROM bank,tianyi,50a14f94-e093-4fbe-aa10-55188d985ce0,"L4, CL1",zhengning,6f23242e-f265-4ab9-9c31-0851252eef7b,"L4, CL1, BL1"
15,208,Find the name of bank branches that provided some loans.,select branch_ID from loan,SELECT DISTINCT T1.bname FROM bank AS T1 JOIN loan AS T2 ON T1.branch_id  =  T2.branch_id,tianyi,28954dca-6942-4b62-b539-832da61a7dfb,"nan, A1b, CE2",zhengning,bfbc76f2-8465-4bcd-a695-db1e011d73fa,"CL1, BL1, A1b, CE2"
16,209,What are the names of the different banks that have provided loans?,select count ( no_of_loans ) from customer,SELECT DISTINCT T1.bname FROM bank AS T1 JOIN loan AS T2 ON T1.branch_id  =  T2.branch_id,tianyi,68a41d3e-b823-4bff-988b-c03b03a20f12,"nan, A1b, CE2",zhengning,74cab336-fbc9-43aa-9010-7a682170d2cd,"CL1, BL1, A1b, CE2"
17,303,What are the descriptions of all the project outcomes?,select outcome_description from Research_Outcomes,SELECT T1.outcome_description FROM Research_outcomes AS T1 JOIN Project_outcomes AS T2 ON T1.outcome_code  =  T2.outcome_code,tianyi,4d16efeb-c3ce-40d1-82a1-0e47f77fb25e,CE2,zhengning,64f839d7-13e9-4211-8733-1c87efa36b29,CE2
18,304,List the description of the outcomes for all projects.,select outcome_description from Research_Outcomes,SELECT T1.outcome_description FROM Research_outcomes AS T1 JOIN Project_outcomes AS T2 ON T1.outcome_code  =  T2.outcome_code,tianyi,2909b0e2-effd-4a5f-9fcd-d28fd0110ba9,CE2,zhengning,32c59d0a-2de8-461e-90a8-5ed32bc45288,CE2
19,317,Find the person who has exactly one friend.,select T1.name from Person as T1 join PersonFriend as T2 on T1.name = T2.name group by T2.friend having count ( * ) = 1,SELECT name FROM PersonFriend GROUP BY name HAVING count(*)  =  1,tianyi,2b8f9ab4-6cea-48e2-a81f-186d475b3e95,"BN1, E1, CL1",zhengning,48e1a08c-fd46-4863-9665-11fb56f5f496,"CL1, BN1"
20,332,What are the course names for courses taught on MTW?,"select T2.CName from Department as T1 join Course as T2 on T1.DNO = T2.DNO where T1.DName = ""MTW""","SELECT CName FROM COURSE WHERE Days  =  ""MTW""",tianyi,3cea9221-f1d8-49d3-848c-4527858d19e3,"CF5, E1",zhengning,a5fff4bd-a5b1-4779-9738-f4dbca594826,"CF5, CL1, E1"
21,348,What is the number of aircraft?,select count ( * ) from airport_aircraft,SELECT count(*) FROM aircraft,tianyi,16229dd9-0c25-47c4-9560-ccf5a7f69e2a,CL1,zhengning,f3a88c74-b5f1-45e9-88d5-0400a57317c1,CL1
22,378,What is the number of students playing as a goalie?,"select count ( T1.pPos ) from Tryout as T1 join Player as T2 on T1.pID = T2.pID where T2.pName = ""goalie""",SELECT count(*) FROM tryout WHERE pPos  =  'goalie',tianyi,81a4f87a-3dff-4641-971e-2e60728d2c74,"BF4, BL2, E1",zhengning,4af4608c-c733-4d88-aa8a-52603573ab6f,"CF5, E1, BL1"
23,387,Find the states where have some college students in tryout.,select state from College,SELECT DISTINCT state FROM college AS T1 JOIN tryout AS T2 ON T1.cName  =  T2.cName,tianyi,de5443a0-4db2-4763-8dc8-325262e27d02,"CE2, A1b",zhengning,c8954785-0d94-4395-8b6e-f3745ba9df60,"CE2, A1b"
24,388,What are the different states that have students trying out?,select count ( state ) from College,SELECT DISTINCT state FROM college AS T1 JOIN tryout AS T2 ON T1.cName  =  T2.cName,tianyi,d4d53c80-3bac-4426-9795-d52a9154b653,"L4, CE2, A1b",zhengning,19d1f8ff-cdb7-4258-8fc0-9cdaf8afef40,"L4, CE2, A1b"
