,category_Fleiss_kappa
1,0.2695652173913046
2,-0.07692307692307698
4,1.0
6,0.6499999999999999
11,-0.11999999999999998
12,0.6266666666666668
13,0.5757575757575757
23,1.0
24,1.0
25,1.0
26,1.0
27,1.0
28,1.0
35,0.4166666666666666
36,1.0
41,1.0
43,0.6266666666666668
46,0.6266666666666668
47,1.0
48,1.0
53,1.0
54,1.0
69,1.0
70,0.756521739130435
71,0.756521739130435
75,1.0
78,0.4166666666666666
79,1.0
82,1.0
83,1.0
88,1.0
89,1.0
90,1.0
91,1.0
106,0.6266666666666668
107,0.42857142857142855
109,1.0
111,1.0
113,1.0
116,1.0
119,1.0
122,1.0
123,1.0
126,1.0
127,1.0
129,0.5757575757575757
134,0.6266666666666668
143,1.0
144,0.5757575757575757
149,1.0
151,1.0
154,0.4166666666666666
159,1.0
167,1.0
168,1.0
173,1.0
174,1.0
175,1.0
176,1.0
190,0.8095238095238096
191,0.8095238095238096
192,0.42857142857142855
193,-0.2173913043478254
206,-0.05000000000000005
207,1.0
208,0.5087719298245613
209,0.5087719298245613
211,1.0
213,1.0
221,1.0
222,1.0
226,0.6266666666666668
298,0.42857142857142855
303,1.0
304,1.0
305,0.42857142857142855
311,1.0
312,1.0
317,0.42857142857142855
323,1.0
324,1.0
329,0.4166666666666666
330,0.4166666666666666
332,0.2695652173913046
335,1.0
337,0.2695652173913046
338,0.4166666666666666
346,1.0
348,1.0
360,1.0
362,1.0
364,1.0
366,1.0
371,1.0
372,1.0
373,1.0
374,0.6266666666666668
376,1.0
378,0.8362573099415205
380,1.0
384,1.0
385,0.5757575757575757
386,0.5757575757575757
387,1.0
388,1.0
389,-0.16666666666666635
390,-0.16666666666666635
391,0.42857142857142855
392,-0.16666666666666635
395,1.0
396,0.04761904761904775
398,0.8095238095238096
403,1.0
404,1.0
413,0.30000000000000004
414,0.5508021390374332
415,1.0
416,1.0
417,1.0
418,1.0
422,1.0
423,1.0
430,1.0
431,1.0
436,1.0
437,0.6499999999999999
438,1.0
439,1.0
440,1.0
441,0.6499999999999999
448,1.0
449,1.0
452,1.0
457,1.0
458,1.0
459,1.0
460,1.0
461,1.0
469,0.756521739130435
470,1.0
471,1.0
472,1.0
473,1.0
474,1.0
475,1.0
476,1.0
477,1.0
478,1.0
480,1.0
481,1.0
487,1.0
488,1.0
493,1.0
494,1.0
497,1.0
498,1.0
499,0.8095238095238096
500,0.756521739130435
503,1.0
527,1.0
528,1.0
538,1.0
541,0.4166666666666666
547,1.0
548,1.0
557,1.0
558,1.0
559,1.0
560,0.4166666666666666
561,1.0
562,-0.16666666666666635
567,1.0
568,1.0
569,0.5757575757575757
571,1.0
572,1.0
577,1.0
578,1.0
584,1.0
592,1.0
593,0.2695652173913046
611,1.0
612,1.0
622,1.0
624,1.0
626,0.5757575757575757
630,0.8095238095238096
631,0.6499999999999999
632,0.5087719298245613
634,0.15151515151515166
635,0.15151515151515166
636,0.2695652173913046
637,1.0
638,0.4166666666666666
639,1.0
640,1.0
642,1.0
643,1.0
646,0.756521739130435
648,0.756521739130435
649,-0.07692307692307698
650,0.5757575757575757
651,0.4166666666666666
652,1.0
656,1.0
657,1.0
660,-0.07692307692307698
662,1.0
663,1.0
668,-0.07692307692307698
669,-0.07692307692307698
670,0.6266666666666668
672,0.5757575757575757
673,-0.27272727272727265
674,1.0
675,1.0
677,0.2695652173913046
678,1.0
679,1.0
680,-0.07692307692307698
681,-0.07692307692307698
684,0.4166666666666666
688,1.0
689,1.0
690,1.0
692,0.4166666666666666
694,1.0
695,0.6499999999999999
696,-0.14619883040935683
697,0.756521739130435
698,0.5757575757575757
705,1.0
707,-0.2173913043478254
708,0.8362573099415205
709,0.8095238095238096
710,1.0
711,1.0
712,-0.07692307692307698
715,0.756521739130435
718,1.0
719,1.0
720,1.0
724,1.0
725,1.0
728,1.0
729,1.0
732,0.756521739130435
735,-0.07692307692307698
738,1.0
740,1.0
741,0.42857142857142855
742,1.0
743,0.42857142857142855
744,0.42857142857142855
745,1.0
746,1.0
757,1.0
758,1.0
759,0.8095238095238096
760,0.42857142857142855
761,1.0
762,1.0
763,-0.07692307692307698
765,0.30000000000000004
771,1.0
775,1.0
776,1.0
785,1.0
786,1.0
789,1.0
790,0.5757575757575757
794,0.5757575757575757
804,-0.2173913043478254
809,0.6499999999999999
810,0.2695652173913046
811,0.37777777777777777
812,0.5087719298245613
815,-0.07692307692307698
818,1.0
820,1.0
821,1.0
822,1.0
829,1.0
830,1.0
831,1.0
833,1.0
834,1.0
835,1.0
836,1.0
841,1.0
842,1.0
843,-0.11999999999999998
847,0.8095238095238096
851,1.0
852,1.0
854,1.0
855,0.6266666666666668
858,1.0
862,1.0
863,0.42857142857142855
865,0.756521739130435
866,1.0
867,1.0
868,0.8095238095238096
869,0.8095238095238096
870,0.756521739130435
871,0.756521739130435
874,0.18128654970760236
876,0.6499999999999999
877,1.0
883,0.2695652173913046
886,1.0
887,1.0
892,1.0
893,0.8362573099415205
895,0.756521739130435
896,1.0
899,1.0
900,0.8362573099415205
908,1.0
909,1.0
910,1.0
915,0.6266666666666668
916,0.8095238095238096
917,-0.07692307692307698
918,1.0
921,0.756521739130435
922,0.6266666666666668
929,1.0
930,1.0
940,1.0
942,1.0
943,1.0
945,1.0
946,1.0
947,0.04761904761904775
948,0.04761904761904775
953,0.2695652173913046
954,0.5757575757575757
964,1.0
965,0.8095238095238096
966,0.8502673796791445
969,1.0
971,0.6888888888888888
972,0.37777777777777777
977,-0.11999999999999998
978,-0.11999999999999998
979,0.2695652173913046
981,0.8362573099415205
982,0.6888888888888888
985,-0.2173913043478254
986,0.15151515151515166
987,0.756521739130435
991,0.8095238095238096
992,1.0
995,0.756521739130435
996,0.6888888888888888
997,0.15151515151515166
998,1.0
999,0.5757575757575757
1000,1.0
1001,1.0
1005,0.756521739130435
1009,1.0
1011,-0.07692307692307698
1012,1.0
1014,0.8362573099415205
1015,1.0
1016,0.6499999999999999
1017,0.2695652173913046
1020,1.0
1021,1.0
1022,1.0
1023,1.0
1034,0.756521739130435
1035,0.5757575757575757
1036,0.5757575757575757
1037,0.5757575757575757
1038,0.8502673796791445
1039,0.5757575757575757
1042,0.8362573099415205
1043,0.6499999999999999
1044,1.0
1045,1.0
1046,1.0
1047,1.0
1048,1.0
1049,1.0
1051,1.0
1054,1.0
1055,1.0
1056,1.0
1057,1.0
1059,0.6266666666666668
1060,1.0
1061,1.0
1062,1.0
1063,1.0
average,0.7752809915033196
