,sql,nl_query,GT_sql,tianyi,tianyi_code,zhengning,zhengn_code
178,"select count ( * ) from Staff as T1 join Addresses as T2 on T1.staff_address_id = T2.address_id where T2.state_province_county = ""Georgia""",How many employees live in Georgia?,"SELECT count(*) FROM Addresses WHERE state_province_county = ""Georgia"";",tianyi,E1,zhengning,"E1, CM6"
221,select T3.catalog_entry_name from Catalogs as T1 join Catalog_Structure as T2 on T1.catalog_id = T2.catalog_id join Catalog_Contents as T3 on T2.catalog_level_number = T3.catalog_level_number where T3.length < 3 group by T1.catalog_name having count ( T3.width ) > 5,Which catalog contents have length below 3 or above 5? Find the catalog entry names.,SELECT catalog_entry_name FROM catalog_contents WHERE LENGTH  <  3 OR width  >  5,tianyi,E1,zhengning,E1
261,select ACC_Percent from basketball_match order by limit 1 ( ACC_Percent ) desc,What is the highest acc percent score in the competition?,SELECT acc_percent FROM basketball_match ORDER BY acc_percent DESC LIMIT 1,tianyi,BK1,zhengning,BK1
264,"select Enrollment , Primary_conference from university order by limit 1 ( Primary_conference )",Show the enrollment and primary_conference of the oldest college.,"SELECT enrollment ,  primary_conference FROM university ORDER BY founded LIMIT 1",tianyi,BK1,zhengning,BK1
287,"select T1.customer_id , T1.date_account_opened , T1.account_name , T1.other_account_details from Accounts as T1 join Customers as T2 on T1.customer_id = T2.customer_id where T2.customer_first_name = ""Meaghan""","What are the ids, names, dates of opening, and other details for accounts corresponding to the customer with the first name ""Meaghan""?","SELECT T1.account_id ,  T1.date_account_opened ,  T1.account_name ,  T1.other_account_details FROM Accounts AS T1 JOIN Customers AS T2 ON T1.customer_id  =  T2.customer_id WHERE T2.customer_first_name  =  'Meaghan'",tianyi,BL1,zhengning,BL1
379,"select cust_name , credit_score from customer where no_of_loans > 'loan'",What are the different names and credit scores of customers who have taken a loan?,"SELECT DISTINCT T1.cust_name ,  T1.credit_score FROM customer AS T1 JOIN loan AS T2 ON T1.cust_id  =  T2.cust_id",tianyi,"F3, CE2, A1b",zhengning,"F3, CE2, A1b"
432,"select state from bank where city = ""New York""",Find the branch names of banks in the New York state.,SELECT bname FROM bank WHERE state  =  'New York',tianyi,BL1,zhengning,BL1
433,"select state from bank where state = ""New York""",What are the names of banks in the state of New York?,SELECT bname FROM bank WHERE state  =  'New York',tianyi,BL1,zhengning,BL1
434,select count ( city ) from bank,Find the number of different cities which banks are located at.,SELECT count(DISTINCT city) FROM bank,tianyi,A1b,zhengning,A1b
435,select count ( city ) from bank,In how many different cities are banks located?,SELECT count(DISTINCT city) FROM bank,tianyi,A1b,zhengning,A1b
