,type_Fleiss_kappa
1,-0.05405405405405396
2,-0.026315789473685847
4,1.0
6,0.7863013698630135
11,-0.026315789473685847
12,0.47297297297297247
13,0.6533333333333333
23,1.0
24,1.0
25,1.0
26,1.0
27,1.0
28,1.0
35,1.0
36,1.0
41,1.0
43,-0.03999999999999868
46,0.6533333333333333
47,1.0
48,1.0
53,1.0
54,1.0
69,1.0
70,1.0
71,1.0
75,0.47297297297297247
78,0.6533333333333333
79,1.0
82,1.0
83,1.0
88,1.0
89,1.0
90,1.0
91,1.0
106,-0.03999999999999868
107,0.6388888888888882
109,1.0
111,1.0
113,1.0
116,1.0
119,1.0
122,1.0
123,1.0
126,1.0
127,1.0
129,0.47297297297297247
134,0.6533333333333333
143,1.0
144,0.47297297297297247
149,-0.026315789473685847
151,1.0
154,-0.026315789473685847
159,-0.026315789473685847
167,1.0
168,1.0
173,1.0
174,1.0
175,0.6388888888888882
176,1.0
190,0.7863013698630135
191,0.7863013698630135
192,0.2152917505030181
193,0.5291750503018111
206,0.5291750503018111
207,0.6533333333333333
208,1.0
209,1.0
211,0.7863013698630135
213,1.0
221,1.0
222,1.0
226,0.47297297297297247
298,0.2777777777777772
303,0.7863013698630135
304,0.7863013698630135
305,0.6388888888888882
311,1.0
312,1.0
317,1.0
323,1.0
324,1.0
329,0.7863013698630135
330,0.7863013698630135
332,0.2777777777777772
335,1.0
337,0.47297297297297247
338,0.6533333333333333
346,1.0
348,1.0
360,1.0
362,1.0
364,-0.026315789473685847
366,-0.026315789473685847
371,1.0
372,1.0
373,1.0
374,0.6533333333333333
376,1.0
378,1.0
380,1.0
384,1.0
385,0.7863013698630135
386,0.7863013698630135
387,-0.11428571428571468
388,0.3719806763285026
389,-0.03999999999999868
390,-0.03999999999999868
391,0.7863013698630135
392,1.0
395,1.0
396,1.0
398,0.2777777777777772
403,1.0
404,1.0
413,1.0
414,0.6388888888888882
415,1.0
416,1.0
417,1.0
418,0.47297297297297247
422,-0.026315789473685847
423,1.0
430,-0.026315789473685847
431,-0.026315789473685847
436,0.47297297297297247
437,0.6388888888888882
438,1.0
439,1.0
440,1.0
441,1.0
448,1.0
449,1.0
452,0.47297297297297247
457,1.0
458,-0.026315789473685847
459,-0.026315789473685847
460,-0.026315789473685847
461,-0.026315789473685847
469,0.7863013698630135
470,0.47297297297297247
471,1.0
472,1.0
473,1.0
474,0.6533333333333333
475,1.0
476,0.47297297297297247
477,0.6388888888888882
478,1.0
480,1.0
481,1.0
487,1.0
488,1.0
493,-0.026315789473685847
494,-0.026315789473685847
497,1.0
498,1.0
499,0.6388888888888882
500,0.47297297297297247
503,1.0
527,0.47297297297297247
528,1.0
538,-0.026315789473685847
541,-0.026315789473685847
547,1.0
548,0.47297297297297247
557,1.0
558,1.0
559,1.0
560,0.6533333333333333
561,0.6533333333333333
562,1.0
567,1.0
568,1.0
569,0.47297297297297247
571,1.0
572,1.0
577,1.0
578,1.0
584,1.0
592,-0.03999999999999868
593,0.47297297297297247
611,-0.026315789473685847
612,-0.026315789473685847
622,1.0
624,-0.026315789473685847
626,0.7863013698630135
630,0.2777777777777772
631,1.0
632,1.0
634,1.0
635,1.0
636,-0.05405405405405396
637,1.0
638,0.47297297297297247
639,1.0
640,1.0
642,0.47297297297297247
643,0.47297297297297247
646,0.6533333333333333
648,0.6533333333333333
649,1.0
650,0.6533333333333333
651,0.47297297297297247
652,1.0
656,1.0
657,1.0
660,1.0
662,0.47297297297297247
663,-0.026315789473685847
668,1.0
669,1.0
670,0.47297297297297247
672,1.0
673,0.8430583501006035
674,1.0
675,1.0
677,0.7863013698630135
678,-0.026315789473685847
679,-0.026315789473685847
680,1.0
681,0.6533333333333333
684,1.0
688,1.0
689,1.0
690,0.47297297297297247
692,0.7863013698630135
694,1.0
695,0.7214285714285712
696,0.5291750503018111
697,0.7863013698630135
698,0.35890410958904145
705,1.0
707,0.35890410958904145
708,0.2777777777777772
709,1.0
710,1.0
711,1.0
712,1.0
715,0.6533333333333333
718,1.0
719,1.0
720,1.0
724,1.0
725,1.0
728,1.0
729,1.0
732,0.6533333333333333
735,1.0
738,1.0
740,0.6533333333333333
741,0.47297297297297247
742,1.0
743,0.6388888888888882
744,0.8430583501006035
745,1.0
746,1.0
757,0.47297297297297247
758,1.0
759,0.7863013698630135
760,0.5291750503018111
761,1.0
762,1.0
763,1.0
765,0.7863013698630135
771,-0.026315789473685847
775,0.6388888888888882
776,1.0
785,1.0
786,1.0
789,1.0
790,1.0
794,0.47297297297297247
804,1.0
809,1.0
810,0.6388888888888882
811,0.5291750503018111
812,0.7863013698630135
815,-0.026315789473685847
818,1.0
820,1.0
821,0.35890410958904145
822,0.7863013698630135
829,-0.026315789473685847
830,0.47297297297297247
