,intersection2,union,inter2/union
BF4,15,30,0.5
F1,3,14,0.2142857142857142
A1b,100,104,0.9615384615384616
CL1,59,77,0.7662337662337663
BL1,37,107,0.3457943925233644
BN1,22,37,0.5945945945945946
L4,12,30,0.4
F4,15,33,0.4545454545454545
A2c,0,2,0.0
D1,18,42,0.4285714285714285
BK1,16,23,0.6956521739130435
Q1,7,7,1.0
O3,8,8,1.0
E1,40,53,0.7547169811320755
L5,1,13,0.0769230769230769
CE2,29,36,0.8055555555555556
BE5,4,14,0.2857142857142857
K3,0,3,0.0
D1c,3,23,0.1304347826086956
F3,13,26,0.5
Unnamed: 21,0,4,0.0
CF5,1,10,0.1
N3,9,13,0.6923076923076923
O2,6,6,1.0
BL2,4,31,0.1290322580645161
K2,5,11,0.4545454545454545
F2,0,3,0.0
D1a,14,20,0.7
BL3,9,34,0.2647058823529412
A1f,2,8,0.25
AN2,6,11,0.5454545454545454
O1,2,2,1.0
P3,16,18,0.8888888888888888
CE3,1,2,0.5
P1,6,6,1.0
KA1b,1,2,0.5
A1a,0,3,0.0
A1d,0,4,0.0
A1g,0,2,0.0
sum,0.0,0.0,0.4484873847438388
