,sql_id,nl_query,sql,GT_sql,zhengn,record_id_y,zhengn_code
0,1,What is the average number of employees of the departments whose rank is between 10 and 15?,select avg ( Num_Employees ) from department where between 10 and 15,SELECT avg(num_employees) FROM department WHERE ranking BETWEEN 10 AND 15,zhengning,54d74234-6cbd-4a9f-abd2-826a7d5d9cb9,"F4, E1, D1"
2,2,What are the names of the heads who are born outside the California state?,select name from head where born_state = 'California',SELECT name FROM head WHERE born_state != 'California',zhengning,0b5ebf06-12e8-4e5d-9e7f-1123a93df70d,A1a
4,4,How many acting statuses are there?,select count ( temporary_acting ) from management,SELECT count(DISTINCT temporary_acting) FROM management,zhengning,78de6bff-b33f-41ba-9e4c-cd8fbf010d46,A1b
6,6,What are all the catalog entry names?,select catalog_name from Catalogs,SELECT distinct(catalog_entry_name) FROM catalog_contents,zhengning,8d1d5224-ca88-4aaa-810f-e8c098ed7d73,"CL1, A1b"
8,11,Find the dates on which more than one revisions were made.,select count ( date_of_latest_revision ) from Catalogs group by date_of_publication having count ( * ) > 1,SELECT date_of_latest_revision FROM Catalogs GROUP BY date_of_latest_revision HAVING count(*)  >  1,zhengning,7dcddc78-bd32-4207-95c0-b824ed04444c,L5
10,12,On which days more than one revisions were made on catalogs.,select count ( date_of_latest_revision ) from Catalogs group by date_of_publication having count ( date_of_latest_revision ) > 1,SELECT date_of_latest_revision FROM Catalogs GROUP BY date_of_latest_revision HAVING count(*)  >  1,zhengning,32cde31e-093b-462f-b4e4-c82386d3ebb9,"L5, L4, A1f"
12,13,How many products are there in the records?,select count ( catalog_name ) from Catalogs,SELECT count(*) FROM catalog_contents,zhengning,b0a31c9f-18e4-4a0d-bcb4-151cbda273eb,"CL1, BL1"
14,23,What are the distinct billing countries of the invoices?,select BillingCountry from Invoice,SELECT distinct(BillingCountry) FROM INVOICE,zhengning,b28dd31a-165c-495c-aed5-798e1fed9aac,A1b
16,24,Find the different billing countries for all invoices.,select BillingCountry from Invoice,SELECT distinct(BillingCountry) FROM INVOICE,zhengning,c6726ad0-8c34-4fed-b84e-a59b90bfc803,A1b
18,25,What is the average unit price of all the tracks?,select avg ( UnitPrice ) from InvoiceLine,SELECT AVG(UnitPrice) FROM TRACK,zhengning,e3e14a37-34ec-4bfa-844d-43ce13122b1e,CL1
20,26,Find the average unit price for a track.,select avg ( UnitPrice ) from InvoiceLine,SELECT AVG(UnitPrice) FROM TRACK,zhengning,00531ed2-c8eb-417c-8e11-419a5255d129,CL1
22,27,How many distinct cities does the employees live in?,select count ( City ) from Employee,SELECT COUNT(DISTINCT city) FROM EMPLOYEE,zhengning,4c6a1408-7247-430d-8fb5-3f262c180087,A1b
24,28,Find the number of different cities that employees live in.,select count ( City ) from Employee,SELECT COUNT(DISTINCT city) FROM EMPLOYEE,zhengning,4892d229-98f8-4ca1-b899-ab2ef8e3beeb,A1b
26,35,What are the distinct unit prices of all tracks?,select UnitPrice from InvoiceLine,SELECT distinct(UnitPrice) FROM TRACK,zhengning,af47663e-2321-452c-a00e-7f21cb677f32,"CL1, A1b"
28,36,Find the distinct unit prices for tracks.,select UnitPrice from InvoiceLine,SELECT distinct(UnitPrice) FROM TRACK,zhengning,1528b0a8-cd9a-4615-b7ab-63e23cddbbfa,"A1b, CL1"
30,41,What is the maximum Online Mendelian Inheritance in Man (OMIM) value of the enzymes?,"select max ( OMIM ) from enzyme where Porphyria = ""mandelim""",SELECT max(OMIM) FROM enzyme,zhengning,7ce75627-4eef-4739-ab79-f8a4b8da3e47,F4
32,43,What are the names of enzymes who does not produce 'Heme'?,select name from enzyme except select name from enzyme where Porphyria = 'Heme',SELECT name FROM enzyme WHERE product != 'Heme',zhengning,9d4c470c-b8cb-4bcd-b6e3-83eab2ef42cd,A1d
34,46,How many medicines were not approved by the FDA?,select count ( * ) from medicine where FDA_approved != ',SELECT count(*) FROM medicine WHERE FDA_approved  =  'No',zhengning,58e56cf8-1e2d-4825-8fa4-7fad509d0c26,D1
36,47,How many distinct FDA approval statuses are there for the medicines?,select count ( FDA_approved ) from medicine,SELECT count(DISTINCT FDA_approved) FROM medicine,zhengning,76a3d3b5-5581-4bf6-b0ac-ea699e78168d,A1b
38,48,How many different FDA approval statuses exist for medicines?,select count ( FDA_approved ) from medicine,SELECT count(DISTINCT FDA_approved) FROM medicine,zhengning,319fb40a-598f-42d9-9377-d00e1705a20f,A1b
40,53,Find how many different affiliation types there are.,select count ( Affiliation ) from university,SELECT count(DISTINCT affiliation) FROM university,zhengning,fbd025bb-8f62-49d3-a857-14debfd120d4,A1b
42,54,Count the number of different affiliation types.,select count ( Affiliation ) from university,SELECT count(DISTINCT affiliation) FROM university,zhengning,89b37ff0-404b-4f6e-9c9d-07f0420b5145,A1b
44,69,Show the distinct venues of debates,select Venue from debate,SELECT DISTINCT Venue FROM debate,zhengning,42ade9fd-3751-440c-8c95-3f19f0f3106e,A1b
46,70,List the names of all the customers in alphabetical order.,select Customer_Details from Customers order by limit 1,SELECT customer_details FROM customers ORDER BY customer_details,zhengning,3da33f23-cab4-4933-9c9b-ba1c1384a585,"BK1, Q1"
48,71,Sort the customer names in alphabetical order.,select Customer_Details from Customers order by limit 1,SELECT customer_details FROM customers ORDER BY customer_details,zhengning,2ad7d441-5490-46b4-a7b8-fc9f40978282,"BK1, Q1"
