,sql_id,nl_query,sql,GT_sql,zhengn,record_id_y,zhengn_code
0,6,What are all the catalog entry names?,select catalog_name from Catalogs,SELECT distinct(catalog_entry_name) FROM catalog_contents,zhengning,8d1d5224-ca88-4aaa-810f-e8c098ed7d73,"CL1, A1b"
1,13,How many products are there in the records?,select count ( catalog_name ) from Catalogs,SELECT count(*) FROM catalog_contents,zhengning,b0a31c9f-18e4-4a0d-bcb4-151cbda273eb,"CL1, BL1"
2,25,What is the average unit price of all the tracks?,select avg ( UnitPrice ) from InvoiceLine,SELECT AVG(UnitPrice) FROM TRACK,zhengning,e3e14a37-34ec-4bfa-844d-43ce13122b1e,CL1
3,26,Find the average unit price for a track.,select avg ( UnitPrice ) from InvoiceLine,SELECT AVG(UnitPrice) FROM TRACK,zhengning,00531ed2-c8eb-417c-8e11-419a5255d129,CL1
4,35,What are the distinct unit prices of all tracks?,select UnitPrice from InvoiceLine,SELECT distinct(UnitPrice) FROM TRACK,zhengning,af47663e-2321-452c-a00e-7f21cb677f32,"CL1, A1b"
5,36,Find the distinct unit prices for tracks.,select UnitPrice from InvoiceLine,SELECT distinct(UnitPrice) FROM TRACK,zhengning,1528b0a8-cd9a-4615-b7ab-63e23cddbbfa,"A1b, CL1"
6,75,Find the number of distinct stages in claim processing.,select count ( Claim_Stage_ID ) from Claims_Processing,SELECT count(*) FROM claims_processing_stages,zhengning,2cd2b14a-e15f-468c-8360-21cda7f13242,"CL1, BL3"
7,119,What document type codes do we have?,select document_type_code from Documents,SELECT document_type_code FROM Ref_Document_Types;,zhengning,a9169b89-d81c-4a44-b3e0-c7c9ac869046,CL1
8,123,What are all role codes?,select role_code from Employees,SELECT role_code FROM ROLES;,zhengning,a81cf762-95ec-4546-898e-5217251f6ae5,CL1
9,129,What is the mail date of the document with id 7?,select T1.mailing_date from Documents_Mailed as T1 join Documents as T2 on T1.document_id = T2.document_id where T2.document_type_code = 7,SELECT mailing_date FROM Documents_Mailed WHERE document_id = 7;,zhengning,b2e5701e-40d2-46fe-a703-d42ac2090090,"CF5, E1"
10,143,What are the names of entrepreneurs?,select Name from people,SELECT T2.Name FROM entrepreneur AS T1 JOIN people AS T2 ON T1.People_ID  =  T2.People_ID,zhengning,03f102d2-dfae-4dfb-b997-6eecdf9ff0bd,"CL1, CE2"
11,144,Return the names of entrepreneurs.,select Name from people,SELECT T2.Name FROM entrepreneur AS T1 JOIN people AS T2 ON T1.People_ID  =  T2.People_ID,zhengning,e02f1e77-ef01-467e-9343-88fc2710ae43,"CL1, CE2"
12,154,What are the names of perpetrators?,select Name from people,SELECT T1.Name FROM people AS T1 JOIN perpetrator AS T2 ON T1.People_ID  =  T2.People_ID,zhengning,4089bcca-39fe-4770-b94f-c40fd6b3eadc,CE2
13,190,How many customers are there?,select count ( * ) from customer,SELECT sum(no_of_customers) FROM bank,zhengning,28f5a7dd-f643-49c3-9171-606aa14f46fe,"L4, CL1, BL2"
14,191,What is the total number of customers across banks?,select count ( * ) from customer,SELECT sum(no_of_customers) FROM bank,zhengning,6f23242e-f265-4ab9-9c31-0851252eef7b,"L4, CL1, BL1"
15,208,Find the name of bank branches that provided some loans.,select branch_ID from loan,SELECT DISTINCT T1.bname FROM bank AS T1 JOIN loan AS T2 ON T1.branch_id  =  T2.branch_id,zhengning,bfbc76f2-8465-4bcd-a695-db1e011d73fa,"CL1, BL1, A1b, CE2"
16,209,What are the names of the different banks that have provided loans?,select count ( no_of_loans ) from customer,SELECT DISTINCT T1.bname FROM bank AS T1 JOIN loan AS T2 ON T1.branch_id  =  T2.branch_id,zhengning,74cab336-fbc9-43aa-9010-7a682170d2cd,"CL1, BL1, A1b, CE2"
17,303,What are the descriptions of all the project outcomes?,select outcome_description from Research_Outcomes,SELECT T1.outcome_description FROM Research_outcomes AS T1 JOIN Project_outcomes AS T2 ON T1.outcome_code  =  T2.outcome_code,zhengning,64f839d7-13e9-4211-8733-1c87efa36b29,CE2
18,304,List the description of the outcomes for all projects.,select outcome_description from Research_Outcomes,SELECT T1.outcome_description FROM Research_outcomes AS T1 JOIN Project_outcomes AS T2 ON T1.outcome_code  =  T2.outcome_code,zhengning,32c59d0a-2de8-461e-90a8-5ed32bc45288,CE2
19,317,Find the person who has exactly one friend.,select T1.name from Person as T1 join PersonFriend as T2 on T1.name = T2.name group by T2.friend having count ( * ) = 1,SELECT name FROM PersonFriend GROUP BY name HAVING count(*)  =  1,zhengning,48e1a08c-fd46-4863-9665-11fb56f5f496,"CL1, BN1"
20,332,What are the course names for courses taught on MTW?,"select T2.CName from Department as T1 join Course as T2 on T1.DNO = T2.DNO where T1.DName = ""MTW""","SELECT CName FROM COURSE WHERE Days  =  ""MTW""",zhengning,a5fff4bd-a5b1-4779-9738-f4dbca594826,"CF5, CL1, E1"
21,348,What is the number of aircraft?,select count ( * ) from airport_aircraft,SELECT count(*) FROM aircraft,zhengning,f3a88c74-b5f1-45e9-88d5-0400a57317c1,CL1
22,378,What is the number of students playing as a goalie?,"select count ( T1.pPos ) from Tryout as T1 join Player as T2 on T1.pID = T2.pID where T2.pName = ""goalie""",SELECT count(*) FROM tryout WHERE pPos  =  'goalie',zhengning,4af4608c-c733-4d88-aa8a-52603573ab6f,"CF5, E1, BL1"
23,387,Find the states where have some college students in tryout.,select state from College,SELECT DISTINCT state FROM college AS T1 JOIN tryout AS T2 ON T1.cName  =  T2.cName,zhengning,c8954785-0d94-4395-8b6e-f3745ba9df60,"CE2, A1b"
24,388,What are the different states that have students trying out?,select count ( state ) from College,SELECT DISTINCT state FROM college AS T1 JOIN tryout AS T2 ON T1.cName  =  T2.cName,zhengning,19d1f8ff-cdb7-4258-8fc0-9cdaf8afef40,"L4, CE2, A1b"
25,396,"What are the different carriers for devices, listed in alphabetical order?",select Carrier from device order by Device,SELECT Carrier FROM device ORDER BY Carrier ASC,zhengning,5b7cba44-6579-451f-919d-b226d88960ee,"L4, D1c, CL1, BL1, L5, D1, D1a"
26,414,What are the different cities that have more than 100 memberships?,select T1.Hometown from member as T1 join purchase as T2 on T1.Member_ID = T2.Member_ID join branch as T3 on T2.Branch_ID = T3.Branch_ID where T3.City > 100,SELECT DISTINCT city FROM branch WHERE membership_amount  >=  100,zhengning,373ac0b2-ad83-4629-a3eb-c5440ef92458,"CF5, A1b, E1"
27,437,How many dorms have amenities?,select count ( dorm_name ) from Dorm,SELECT count(DISTINCT dormid) FROM has_amenity,zhengning,64f4141e-d0ca-4b2a-89f7-e7543d619fb0,"CL1, BL1, A1b"
28,471,How many different types of sports do we offer?,select count ( GType ) from Video_Games,SELECT count(DISTINCT sportname) FROM Sportsinfo,zhengning,9c9eabf3-9f96-456a-a03d-96035781e184,"CL1, BL1, A1b"
29,472,How many students play sports?,select count ( StuID ) from Plays_Games,SELECT count(DISTINCT StuID) FROM Sportsinfo,zhengning,2d086897-a290-4f9d-8a5a-0bde6719f5ff,"CL1, A1b"
30,474,List ids for all student who are on scholarship.,select StuID from Student,SELECT StuID FROM Sportsinfo WHERE onscholarship  =  'Y',zhengning,9a84b6f7-4180-490f-9c37-06219f75bc00,"CL1, F4"
31,476,How many games are played for all students?,select count ( * ) from Plays_Games,SELECT sum(gamesplayed) FROM Sportsinfo,zhengning,12ba2f87-27ce-4e57-9850-8663d67c9792,"L4, CL1, BL1"
32,477,What is the total number of games played?,select count ( * ) from Plays_Games,SELECT sum(gamesplayed) FROM Sportsinfo,zhengning,5776be3e-1a1a-4fbd-9855-ecc46dae18e7,"L4, CL1, BL1"
33,527,How many train stations are there?,select count ( * ) from train_station,SELECT count(*) FROM station,zhengning,a915defd-2b40-432d-b107-11ef37a3f9f6,CL1
34,541,How many staff live in state Georgia?,"select count ( * ) from Staff as T1 join Addresses as T2 on T1.staff_address_id = T2.address_id where T2.state_province_county = ""Georgia""","SELECT count(*) FROM Addresses WHERE state_province_county = ""Georgia"";",zhengning,5508bb26-db17-41fe-9db4-b61fddf70855,"CL1, E1"
35,561,How many cities are there that have more than 3 airports?,select count ( * ) from airports group by city having count ( * ) > 3,SELECT count(*) FROM (SELECT city FROM airports GROUP BY city HAVING count(*)  >  3),zhengning,c43e73bf-123b-478e-bde8-2170db7d6b12,CL1
36,562,What is the count of cities with more than 3 airports?,select count ( * ) from airports group by city having count ( * ) > 3,SELECT count(*) FROM (SELECT city FROM airports GROUP BY city HAVING count(*)  >  3),zhengning,fd0232e7-5f70-4481-80bc-8b00713e9920,CL1
37,592,"In 1980, how many cars were made?",select count ( * ) from car_names where Make = 1980,SELECT count(*) FROM CARS_DATA WHERE YEAR  =  1980;,zhengning,2fc9d026-c936-4bf8-bb4c-f77251295ae6,"CL1, CF5"
38,631,What are the distinct ages of the heads who are acting?,select age from head,SELECT DISTINCT T1.age FROM management AS T2 JOIN head AS T1 ON T1.head_id  =  T2.head_id WHERE T2.temporary_acting  =  'Yes',zhengning,17eaccd0-273a-4b3e-98ad-b2f1067fecd4,"F4, CL1, CE2, A1b"
39,632,"Which department has more than 1 head at a time? List the id, name and the number of heads.","select T1.Name , T3.name , count ( * ) from department as T1 join management as T2 on T1.Department_ID = T2.department_ID join head as T3 on T2.head_ID = T3.head_ID group by T3.head_ID having count ( * ) > 1","SELECT T1.department_id ,  T1.name ,  count(*) FROM management AS T2 JOIN department AS T1 ON T1.department_id  =  T2.department_id GROUP BY T1.department_id HAVING count(*)  >  1",zhengning,ed2ade0f-48d0-44be-8b4b-4ad4d5b13613,"CL1, BL1, AN2"
40,634,Find the name and level of catalog structure with level between 5 and 10.,"select T1.catalog_name , T2.catalog_level_name from Catalogs as T1 join Catalog_Structure as T2 on T1.catalog_id = T2.catalog_id where T2.catalog_level_number between 5 and 10","SELECT catalog_level_name ,  catalog_level_number FROM Catalog_Structure WHERE catalog_level_number BETWEEN 5 AND 10",zhengning,4f6842da-2561-4b71-a488-446a13c8688d,"E1, CL1"
41,635,What are the name and level of catalog structure with level number between 5 and 10,"select T1.catalog_name , T2.catalog_level_name from Catalogs as T1 join Catalog_Structure as T2 on T1.catalog_id = T2.catalog_id where T2.catalog_level_number between 5 and 10","SELECT catalog_level_name ,  catalog_level_number FROM Catalog_Structure WHERE catalog_level_number BETWEEN 5 AND 10",zhengning,00d19dc0-cfed-47d0-bee8-b122f43d59bf,"E1, CL1"
42,638,Find the names and publication dates of all catalogs that have catalog level number greater than 5.,"select T1.catalog_name , T1.date_of_publication from Catalogs as T1 join Catalog_Structure as T2 on T1.catalog_id = T2.catalog_id where T2.catalog_level_name > 5","SELECT t1.catalog_name ,  t1.date_of_publication FROM catalogs AS t1 JOIN catalog_structure AS t2 ON t1.catalog_id  =  t2.catalog_id WHERE catalog_level_number  >  5",zhengning,41643013-6352-43ae-b025-c2242b900491,CF5
43,648,"Find the names of all the products whose stock number starts with ""2"".",select product_stock_number from Catalog_Contents where product_stock_number like 2%',"SELECT catalog_entry_name FROM catalog_contents WHERE product_stock_number LIKE ""2%""",zhengning,448199bf-2bb7-4575-84d3-5ca078a1f471,"BL1, P3"
44,649,"Which catalog contents have a product stock number that starts from ""2""? Show the catalog entry names.",select catalog_entry_name from Catalog_Contents where product_stock_number like 2,"SELECT catalog_entry_name FROM catalog_contents WHERE product_stock_number LIKE ""2%""",zhengning,5b3ffcba-3aa2-4a0b-a063-f316a1329ed2,P3
45,650,Find the names of catalog entries with level number 8.,select T1.catalog_entry_name from Catalog_Contents as T1 join Catalog_Structure as T2 on T1.catalog_level_number = T2.catalog_level_number where T2.catalog_level_name = 8,"SELECT t1.catalog_entry_name FROM Catalog_Contents AS t1 JOIN Catalog_Contents_Additional_Attributes AS t2 ON t1.catalog_entry_id  =  t2.catalog_entry_id WHERE t2.catalog_level_number  =  ""8""",zhengning,a2740956-792c-4665-85bd-f90a13d5bbfa,CE3
46,651,What are the names of catalog entries with level number 8?,select catalog_entry_name from Catalog_Contents where catalog_level_number = 8,"SELECT t1.catalog_entry_name FROM Catalog_Contents AS t1 JOIN Catalog_Contents_Additional_Attributes AS t2 ON t1.catalog_entry_id  =  t2.catalog_entry_id WHERE t2.catalog_level_number  =  ""8""",zhengning,175084f1-1021-4cbf-8b96-b25601e0aee8,"CL1, CE2"
47,660,"Find the names of all artists that have ""a"" in their names.","select Name from Artist where Name like ""% a %""","SELECT Name FROM ARTIST WHERE Name LIKE ""%a%""",zhengning,ae5d77af-d19f-489e-8ec7-46a41550e14e,P3
48,668,"Find the names of all the tracks that contain the word ""you"".","select Name from Track where Name like ""% you %""",SELECT Name FROM TRACK WHERE Name LIKE '%you%',zhengning,d70eba5e-e2d5-41d4-91a1-b76bdffe7838,P3
