,Unnamed: 0,Unnamed: 0.1,sql_id,nl_query,sql,GT_sql,tianyi,record_id_x,tianyi_code,zhengn,record_id_y,zhengn_code
0,23,46,70,List the names of all the customers in alphabetical order.,select Customer_Details from Customers order by limit 1,SELECT customer_details FROM customers ORDER BY customer_details,tianyi,82be5ebf-41b3-4715-948a-10e1536090ab,"BK1, Q1",zhengning,3da33f23-cab4-4933-9c9b-ba1c1384a585,"BK1, Q1"
1,24,48,71,Sort the customer names in alphabetical order.,select Customer_Details from Customers order by limit 1,SELECT customer_details FROM customers ORDER BY customer_details,tianyi,bb37cd15-3fb3-44bf-a371-73b4e4fecf69,"BK1, Q1",zhengning,2ad7d441-5490-46b4-a7b8-fc9f40978282,"BK1, Q1"
2,35,70,107,Find the number of schools that have more than one donator whose donation amount is less than 8.5.,select count ( School_id ) from endowment where amount < 8.5 group by amount having count ( amount ) > 1,SELECT count(*) FROM (SELECT * FROM endowment WHERE amount  >  8.5 GROUP BY school_id HAVING count(*)  >  1),tianyi,82794915-4fab-4a41-bed6-4e5b4fce1a92,"F1, BN1, O3",zhengning,38370d45-f938-4076-90c3-8cf25ac1397e,"O3, F1, BL3"
3,71,143,226,What are the names of all the clubs starting with the oldest?,select name from club order by Start_year desc limit 1,SELECT name FROM club ORDER BY Start_year ASC,tianyi,90dd67ac-9cce-485d-8322-136432e946c5,"K3, Q1",zhengning,897a8e8f-6f7f-48ee-986d-10035a2010c8,"Q1, K2"
4,75,154,305,How many females does this network has?,select count ( gender ) from Person where limit 'f' = 1,SELECT count(*) FROM Person WHERE gender  =  'female',tianyi,78a0825b-3b46-4e3f-8624-612633f55f74,"D1, BF4, Q1",zhengning,23c24f96-66ff-46c5-9902-8c3a112e32bf,"BF4, BL1, Q1"
5,81,172,329,List all names of courses with 1 credit?,select CName from Course group by CName having count ( Credits ) = 1,SELECT CName FROM COURSE WHERE Credits  =  1,tianyi,5a45e343-0e8a-4425-bf69-ec47708c25b0,"N3, O2",zhengning,ba37906b-07af-4894-ad05-722c5267d6f7,"O2, F4, N3"
6,82,174,330,What are the names of courses with 1 credit?,select CName from Course group by CName having count ( Credits ) = 1,SELECT CName FROM COURSE WHERE Credits  =  1,tianyi,6a1fb714-bb1a-4852-bbdd-7c3deacc5cef,"N3, O2",zhengning,58479476-011c-446a-a2c4-99e295e22f5a,"O2, F4, N3"
7,116,246,415,List all open years when at least two shops are opened.,select Open_year from branch group by Open_year having count ( ) >= 2,SELECT open_year FROM branch GROUP BY open_year HAVING count(*)  >=  2,tianyi,25deac63-ae1a-4718-91ba-91dfb899f9d9,O3,zhengning,d05fbddd-b5a4-4e3a-9b44-b783df909d3b,O3
8,117,248,416,What are the opening years in which at least two shops opened?,select Open_year from branch group by Open_year having count ( ) >= 2,SELECT open_year FROM branch GROUP BY open_year HAVING count(*)  >=  2,tianyi,8ce4ea27-99bb-47f0-8ec5-436fe4c09389,O3,zhengning,5983492e-377c-4a0e-8d1e-b1cbfee56a1b,O3
9,128,270,440,List in alphabetic order all different amenities.,select amenity_name from Dorm_amenity order by limit 1,SELECT amenity_name FROM dorm_amenity ORDER BY amenity_name,tianyi,347518ed-57ec-4a07-8ad9-839564644b48,"BK1, Q1",zhengning,8b281932-fce2-4683-bf8e-101344ec3f0f,"BK1, Q1"
10,138,291,469,What are the advisors,select Advisor from Student,SELECT advisor FROM Student GROUP BY advisor HAVING count(*)  >=  2,tianyi,168e9fdb-ea43-4446-99ae-41e9feb25a74,"A1f, AN2, O1",zhengning,a531df4c-4e0b-48ca-bb54-5f63f1adb10b,"AN2, O1"
11,185,386,626,What are the ids of all tv channels that have more than 2 TV channels?,select id from TV_Channel group by count ( * ) > 2,SELECT id FROM tv_channel GROUP BY country HAVING count(*)  >  2,tianyi,93ae5c55-8575-4378-809e-4f9b01087a54,"BN1, A1f, O1",zhengning,ab38266f-6a4f-4891-8d02-177594e2cb75,"BN1, O1"
12,199,414,648,"Find the names of all the products whose stock number starts with ""2"".",select product_stock_number from Catalog_Contents where product_stock_number like 2%',"SELECT catalog_entry_name FROM catalog_contents WHERE product_stock_number LIKE ""2%""",tianyi,fd0e02d5-4a56-459f-8794-d6ec4470733a,BL1,zhengning,448199bf-2bb7-4575-84d3-5ca078a1f471,"BL1, P3"
13,200,416,649,"Which catalog contents have a product stock number that starts from ""2""? Show the catalog entry names.",select catalog_entry_name from Catalog_Contents where product_stock_number like 2,"SELECT catalog_entry_name FROM catalog_contents WHERE product_stock_number LIKE ""2%""",tianyi,0fe04fa6-42f2-4e0c-a4e0-e6a9a09158f6,D1,zhengning,5b3ffcba-3aa2-4a0b-a063-f316a1329ed2,P3
14,206,428,660,"Find the names of all artists that have ""a"" in their names.","select Name from Artist where Name like ""% a %""","SELECT Name FROM ARTIST WHERE Name LIKE ""%a%""",tianyi,e98d67b6-a32a-4e7a-8a97-07619d3e0646,D1c,zhengning,ae5d77af-d19f-489e-8ec7-46a41550e14e,P3
15,209,434,668,"Find the names of all the tracks that contain the word ""you"".","select Name from Track where Name like ""% you %""",SELECT Name FROM TRACK WHERE Name LIKE '%you%',tianyi,dda0983d-c3f4-49ab-bf9e-c58d4bbb966a,D1c,zhengning,d70eba5e-e2d5-41d4-91a1-b76bdffe7838,P3
16,210,436,669,What are the names of tracks that contain the the word you in them?,select Name from Track where Name like 1,SELECT Name FROM TRACK WHERE Name LIKE '%you%',tianyi,38a116f1-763d-40a9-9e4f-55985c037035,D1,zhengning,eb09802c-2d39-4eb4-b9c9-86f13779ab78,P3
17,211,438,670,What are the durations of the longest and the shortest tracks in milliseconds?,"select Milliseconds , max ( Milliseconds ) from Track order by Milliseconds limit 1","SELECT max(Milliseconds) ,  min(Milliseconds) FROM TRACK",tianyi,61c125e3-f2ce-4323-a1c3-0b6302609b4a,"L4, Q1",zhengning,bf48de04-e0f9-4440-a63e-3e0f8de18193,"L5, Q1"
18,219,454,680,"How many customers have email that contains ""gmail.com""?","select count ( * ) from Customer where Email like ""gmail . com %""","SELECT COUNT(*) FROM CUSTOMER WHERE Email LIKE ""%gmail.com%""",tianyi,efdf72c5-0c23-4a71-b60e-0220055bb2b6,D1c,zhengning,58ced0b7-5a07-4b4f-b8f7-223a7178b9d3,P3
19,220,456,681,"Count the number of customers that have an email containing ""gmail.com"".","select count ( * ) from Customer where Email = ""gmail . com""","SELECT COUNT(*) FROM CUSTOMER WHERE Email LIKE ""%gmail.com%""",tianyi,e3388ea3-2eab-4296-b59c-d64ee8e9c2e4,"D1c, P1",zhengning,d4011417-1589-4df4-aca7-e8b94bdd391e,P1
20,227,471,695,What are the first names and support rep ids for employees serving 10 or more customers?,"select T1.FirstName , T2.FirstName , T3.CustomerId from Employee as T1 join Customer as T2 on T1.EmployeeId = T2.SupportRepId join Invoice as T3 on T2.CustomerId = T3.CustomerId group by T1.EmployeeId having count ( T2.CustomerId ) >= 10","SELECT T1.FirstName ,  T1.SupportRepId FROM CUSTOMER AS T1 JOIN EMPLOYEE AS T2 ON T1.SupportRepId  =  T2.EmployeeId GROUP BY T1.SupportRepId HAVING COUNT(*)  >=  10",tianyi,b42ed689-6f3b-4b49-8455-e41ad60604cc,"BL2, E1, O3",zhengning,16d11ce8-b350-46a4-9b75-95833770da0e,"O3, BL2, E1, BL1, CL1"
21,228,473,696,Please show the employee last names that serves no more than 20 customers.,select T1.LastName from Employee as T1 join Customer as T2 on T1.EmployeeId = T2.SupportRepId where T2.LastName < 20 group by T1.LastName having count ( * ) >= 1,SELECT T1.LastName FROM CUSTOMER AS T1 JOIN EMPLOYEE AS T2 ON T1.SupportRepId  =  T2.EmployeeId GROUP BY T1.SupportRepId HAVING COUNT(*)  <=  20,tianyi,c5531347-7d9c-4f23-8b31-141c9798a64a,"BN1, CL1, D1, O3",zhengning,3ef57686-2282-415c-be90-98adf8f25723,"O3, F3, CL1"
22,232,481,707,"For every medicine id, what are the names of the medicines that can interact with more than one enzyme?",select T2.name from medicine_enzyme_interaction as T1 join medicine as T2 on T1.medicine_id = T2.id group by T1.medicine_id having count ( * ) > 1,"SELECT T1.id ,  T1.Name FROM medicine AS T1 JOIN medicine_enzyme_interaction AS T2 ON T2.medicine_id  =  T1.id GROUP BY T1.id HAVING count(*)  >=  2",tianyi,05df9ebd-88a2-4a93-9875-e5406e32742f,"BL3, BN1, D1, O3",zhengning,5918e157-2a99-4ac1-94f3-125e85d28a5f,O3
23,237,491,712,"Which enzyme names have the substring ""ALA""?","select name from enzyme where name like ""% ALA %""","SELECT name FROM enzyme WHERE name LIKE ""%ALA%""",tianyi,3c91a06b-15e4-4662-a9e0-e2acaeb90f0a,D1c,zhengning,308aa7a6-c2cf-4301-aa7c-c5d397d859fe,P3
24,247,511,735,How many universities have a location that contains NY?,"select count ( * ) from university where Location like ""% ny %""","SELECT count(*) FROM university WHERE LOCATION LIKE ""%NY%""",tianyi,15b01dc6-5a13-496c-b010-bae940e199b5,D1a,zhengning,f1b89f8c-21fd-44cd-97b8-5bb441f32e66,P3
25,262,542,763,"Find the names of customers whose name contains ""Diana"".","select Customer_Details from Customers where like ""% Diana %""","SELECT customer_details FROM customers WHERE customer_details LIKE ""%Diana%""",tianyi,a094bfe5-c0b8-458b-812f-80ae8399f7ef,D1c,zhengning,9c872d09-6cf0-42fd-9633-23387b05c13e,P3
26,291,601,843,Show the institution type with an institution founded after 1990 and an institution with at least 1000 enrollment.,select Type from Institution where Founded > 1990 group by Institution having count ( Enrollment ) >= 1000,SELECT TYPE FROM institution WHERE founded  >  1990 AND enrollment  >=  1000,tianyi,75f5141b-0691-442d-ab70-c88d9bea4245,"F4, N3, O2",zhengning,99b1f41f-6bb2-4ac1-b2f2-f7b5432d655f,O2
27,301,621,866,List roles that have more than one employee. List the role description and number of employees.,"select role_description , count ( * ) from Roles group by role_description having count ( * ) > 1","SELECT Roles.role_description , count(Employees.employee_id) FROM ROLES JOIN Employees ON Employees.role_code = Roles.role_code GROUP BY Employees.role_code HAVING count(Employees.employee_id)  >  1;",tianyi,80f532cd-7f9b-4512-a26c-29687943ab75,"O3, BL2, CE2",zhengning,f26aa361-8d19-4c53-80d1-99ff4306500f,"O3, BL1, CE2"
28,345,710,977,"For each account type, find the average account balance of customers with credit score lower than 50.","select acc_type , avg ( acc_bal ) from customer group by acc_type having avg ( credit_score ) < 50","SELECT avg(acc_bal) ,  acc_type FROM customer WHERE credit_score  <  50 GROUP BY acc_type",tianyi,77086b3c-3fbe-4b65-b64b-e03f2209f98b,"L4, O2",zhengning,f2873466-44b6-4253-8f54-a51da3524b48,"O2, F4"
29,346,712,978,What is the average account balance of customers with credit score below 50 for the different account types?,"select acc_type , avg ( acc_bal ) from customer group by acc_type having avg ( credit_score ) < 50","SELECT avg(acc_bal) ,  acc_type FROM customer WHERE credit_score  <  50 GROUP BY acc_type",tianyi,c13a04fb-688f-49f8-b0c4-9bfced7c46cd,"L4, O2",zhengning,a8c1127c-a6fa-4c1a-bb30-9427bbaee49a,"O2, F4"
