Unnamed: 0,record_id,session_id,username,sql_id,sql,nl_query,incorrect_parts,open_ended_feedback,error_classification,duration,cur_id,batch_id,GT_sql
0,fdc5cebd-bea0-49ef-9300-4a7da15504ea,3ba14230-a8da-4f02-88d6-2378c64929f3,zhengning,922,"select max ( Support_rate ) , min ( Oppose_rate ) , Consider_rate from candidate group by Oppose_rate","Return the maximum support rate, minimum consider rate, and minimum oppose rate across all candidates?",,0,"N3, L5",38.1280000209808,1,6,"SELECT max(support_rate) ,  min(consider_rate) ,  min(oppose_rate) FROM candidate"
1,1b7a4a66-1e17-4eb5-add3-610cb6a4a98c,3ba14230-a8da-4f02-88d6-2378c64929f3,zhengning,123,select role_code from Employees,What are all role codes?,,,"CM6, L5, N3",16.2720000743866,2,6,SELECT role_code FROM ROLES;
2,a4e9be99-ca63-4497-8d82-445d80b40406,3ba14230-a8da-4f02-88d6-2378c64929f3,zhengning,899,select Country from perpetrator group by Country having count ( * ) >= 2,What are the countries that have at least two perpetrators?,,,"BL3, CM6",19.793999910354604,3,6,"SELECT Country ,  COUNT(*) FROM perpetrator GROUP BY Country HAVING COUNT(*)  >=  2"
3,d6281400-673c-4824-bc1a-d017902f1db2,3ba14230-a8da-4f02-88d6-2378c64929f3,zhengning,317,select T1.name from Person as T1 join PersonFriend as T2 on T1.name = T2.name group by T2.friend having count ( * ) = 1,Find the person who has exactly one friend.,,,"E1, CM6, BL3",78.4860000610352,4,6,SELECT name FROM PersonFriend GROUP BY name HAVING count(*)  =  1
4,eebda3bf-8f09-46b4-9472-df0d0c23497e,3ba14230-a8da-4f02-88d6-2378c64929f3,zhengning,1016,"select T1.station_id , T2.local_authority from weekly_weather as T1 join station as T2 on T1.station_id = T2.id where T1.precipitation > 50",Find the id and local authority of the station whose maximum precipitation is higher than 50.,,,"E1, O1, L5, CM6, AN2, CL1",116.194000005722,5,6,"SELECT t2.id ,  t2.local_authority FROM weekly_weather AS t1 JOIN station AS t2 ON t1.station_id  =  t2.id GROUP BY t1.station_id HAVING max(t1.precipitation)  >  50"
5,9fee937d-0e7b-4eed-8377-05a26cdd1dfc,3ba14230-a8da-4f02-88d6-2378c64929f3,zhengning,413,select T2.City from membership_register_branch as T1 join branch as T2 on T1.Branch_ID = T2.Branch_ID group by T1.Branch_ID having count ( * ) >= 100,Show all distinct city where branches with at least 100 memberships are located.,,,"E1, O1, A1b, L5, AN2, CL1, O3",80.2219998836517,6,6,SELECT DISTINCT city FROM branch WHERE membership_amount  >=  100
6,0fb20670-169c-48c9-8b5d-ba689e656145,3ba14230-a8da-4f02-88d6-2378c64929f3,zhengning,35,select UnitPrice from InvoiceLine,What are the distinct unit prices of all tracks?,,,"CM6, O3, E1",14.855999946594201,7,6,SELECT distinct(UnitPrice) FROM TRACK
7,938b9948-c1a8-4d61-b660-ae123a31df59,3ba14230-a8da-4f02-88d6-2378c64929f3,zhengning,740,"select country_id , name from League",List all country and league names.,,,"A1b, CE2",35.0720000267029,8,6,"SELECT T1.name ,  T2.name FROM Country AS T1 JOIN League AS T2 ON T1.id  =  T2.country_id"
8,24bebfda-bdc5-4cd8-8454-16cc0cd0ba92,3ba14230-a8da-4f02-88d6-2378c64929f3,zhengning,809,"select T2.product_id , count ( T1.product_id ) from Invoice_Line_Items as T1 join Order_Items as T2 on T1.order_item_id = T2.order_item_id group by T2.product_id",Show the product ids and the number of unique orders containing each product.,,,"AN2, CE2, E1",190.016999959946,9,6,"SELECT product_id ,  count(DISTINCT order_id) FROM Order_items GROUP BY product_id"
9,7e64acba-cca2-4c61-8d40-8b61e8dae898,3ba14230-a8da-4f02-88d6-2378c64929f3,zhengning,431,select count ( amenity_name ) from Dorm_amenity,How many diffrent dorm amenities are there?,,,"CM6, AN2, BL1, E1",19.603000164032,10,6,SELECT count(*) FROM dorm_amenity
10,824027f0-f497-47b6-8d79-dda87c7bc7e6,3ba14230-a8da-4f02-88d6-2378c64929f3,zhengning,338,"select count ( * ) from Enrolled_in as T1 join Student as T2 on T1.StuID = T2.StuID where T1.Grade = ""B""","How many students have had at least one ""B"" grade?",,,E1,18.5420000553131,11,6,"SELECT COUNT(DISTINCT StuID) FROM ENROLLED_IN WHERE Grade  =  ""B"""
11,b57b155d-d26a-48c5-97c2-ffe50c6b7a9f,3ba14230-a8da-4f02-88d6-2378c64929f3,zhengning,978,"select acc_type , avg ( acc_bal ) from customer group by acc_type having avg ( credit_score ) < 50",What is the average account balance of customers with credit score below 50 for the different account types?,,,"E1, O2, BL1",402.363000154495,12,6,"SELECT avg(acc_bal) ,  acc_type FROM customer WHERE credit_score  <  50 GROUP BY acc_type"
12,9d57165f-6a5b-4828-aa5d-dc388fb643a1,9f7962a9-13f2-4d47-b535-1eec8987e9ab,tianyi,922,"select max ( Support_rate ) , min ( Oppose_rate ) , Consider_rate from candidate group by Oppose_rate","Return the maximum support rate, minimum consider rate, and minimum oppose rate across all candidates?",,0,"L5, N3, O2",45319.6229999065,1,6,"SELECT max(support_rate) ,  min(consider_rate) ,  min(oppose_rate) FROM candidate"
13,2467da44-217d-4e5c-b6b5-2d6feeba85e7,9f7962a9-13f2-4d47-b535-1eec8987e9ab,tianyi,123,select role_code from Employees,What are all role codes?,,,"CM6, L5, N3",37.4800000190735,2,6,SELECT role_code FROM ROLES;
14,1f831030-440f-40f8-baa6-fc92e2ec07f9,9f7962a9-13f2-4d47-b535-1eec8987e9ab,tianyi,899,select Country from perpetrator group by Country having count ( * ) >= 2,What are the countries that have at least two perpetrators?,,,"BL3, CM6",187.90100002288798,3,6,"SELECT Country ,  COUNT(*) FROM perpetrator GROUP BY Country HAVING COUNT(*)  >=  2"
15,b4c24248-648b-4c54-acd6-50ee1d341621,9f7962a9-13f2-4d47-b535-1eec8987e9ab,tianyi,317,select T1.name from Person as T1 join PersonFriend as T2 on T1.name = T2.name group by T2.friend having count ( * ) = 1,Find the person who has exactly one friend.,,,"CM6, BN1, BL3, E1",83.0099999904633,4,6,SELECT name FROM PersonFriend GROUP BY name HAVING count(*)  =  1
16,a8aa1619-3fc7-46ea-b476-d15f212dc533,9f7962a9-13f2-4d47-b535-1eec8987e9ab,tianyi,1016,"select T1.station_id , T2.local_authority from weekly_weather as T1 join station as T2 on T1.station_id = T2.id where T1.precipitation > 50",Find the id and local authority of the station whose maximum precipitation is higher than 50.,,,"E1, A1f, F3, CM6, AN2, BN1, BL1",76.2249999046326,5,6,"SELECT t2.id ,  t2.local_authority FROM weekly_weather AS t1 JOIN station AS t2 ON t1.station_id  =  t2.id GROUP BY t1.station_id HAVING max(t1.precipitation)  >  50"
17,55bd6671-46a8-4ceb-a786-0065d117aa7c,3ba14230-a8da-4f02-88d6-2378c64929f3,zhengning,942,select Party from party where Governor = 1,Find the parties associated with the delegates from district 1. Who served as governors of the parties?,,,"A1f, F3, CM6, AN2, CE2, BL1",600.891000032425,13,6,SELECT T2.Governor FROM election AS T1 JOIN party AS T2 ON T1.Party  =  T2.Party_ID WHERE T1.District  =  1
18,0a17085b-c706-49df-bf65-49cd7433a2e8,3ba14230-a8da-4f02-88d6-2378c64929f3,zhengning,964,"select city , state from bank where city = ""morningside""",What city and state is the bank with the name morningside in?,,,"CM6, CE2, BF4",22.9100000858307,14,6,"SELECT city ,  state FROM bank WHERE bname  =  'morningside'"
19,38071eee-bb6a-4d4e-8bf4-5909cd9d9560,3ba14230-a8da-4f02-88d6-2378c64929f3,zhengning,760,"select Policy_Type_Code from Policies where Customer_ID = ""Dayana Robel""","What are the type codes of the policies used by the customer ""Dayana Robel""?",,,"BF4, CE2",187.03600001335099,15,6,"SELECT policy_type_code FROM policies AS t1 JOIN customers AS t2 ON t1.customer_id  =  t2.customer_id WHERE t2.customer_details  =  ""Dayana Robel"""
20,6dfc1aa0-57eb-4dde-bdfb-54a36ea15828,9f7962a9-13f2-4d47-b535-1eec8987e9ab,tianyi,413,select T2.City from membership_register_branch as T1 join branch as T2 on T1.Branch_ID = T2.Branch_ID group by T1.Branch_ID having count ( * ) >= 100,Show all distinct city where branches with at least 100 memberships are located.,,,"E1, N3, CM6, CE2, A1b",292.16499996185297,6,6,SELECT DISTINCT city FROM branch WHERE membership_amount  >=  100
21,7876cdb8-7c63-4dab-9147-48d11766b081,3ba14230-a8da-4f02-88d6-2378c64929f3,zhengning,726,"select Enrollment , Primary_conference from university order by limit 1 ( Primary_conference )",Show the enrollment and primary_conference of the oldest college.,,0,"E1, Q1, N3, CM6, A1b",53.691999912262,16,6,"SELECT enrollment ,  primary_conference FROM university ORDER BY founded LIMIT 1"
22,d3e35361-e3d0-423d-b0f3-0f21ee64c38c,9f7962a9-13f2-4d47-b535-1eec8987e9ab,tianyi,35,select UnitPrice from InvoiceLine,What are the distinct unit prices of all tracks?,,,"CM6, Q1, A1b",30.819000005722,7,6,SELECT distinct(UnitPrice) FROM TRACK
23,63c1070e-401a-4a25-83a8-02ab0c728881,3ba14230-a8da-4f02-88d6-2378c64929f3,zhengning,473,select count ( StuID ) from SportsInfo,How many different students are involved in sports?,,,"CM6, Q1",25.708999872207603,17,6,SELECT count(DISTINCT StuID) FROM Sportsinfo
24,201208b8-4257-43cf-8696-139599214b81,3ba14230-a8da-4f02-88d6-2378c64929f3,zhengning,476,select count ( * ) from Plays_Games,How many games are played for all students?,,,"L4, CM6, BL1, A1b",515.517999887466,18,6,SELECT sum(gamesplayed) FROM Sportsinfo
25,5ab93e82-ed61-4ed3-bfe4-d6cced63ab0e,3ba14230-a8da-4f02-88d6-2378c64929f3,zhengning,541,"select count ( * ) from Staff as T1 join Addresses as T2 on T1.staff_address_id = T2.address_id where T2.state_province_county = ""Georgia""",How many staff live in state Georgia?,,,"L4, BL1, E1",23.469000101089502,19,6,"SELECT count(*) FROM Addresses WHERE state_province_county = ""Georgia"";"
26,05389c90-2b39-44aa-adf9-ed13854596e2,3ba14230-a8da-4f02-88d6-2378c64929f3,zhengning,571,select product_name from Products order by product_name,List the names of all distinct products in alphabetical order.,,,"CM6, E1, A1b",23.7060000896454,20,6,SELECT DISTINCT product_name FROM products ORDER BY product_name
27,9ddd07a2-baf6-4c19-bcd3-6aa38db49f98,3ba14230-a8da-4f02-88d6-2378c64929f3,zhengning,1065,"select T2.f_id , T2.genre_is , T1.g_name , T2.artist_name from genre as T1 join song as T2 on T1.g_name = T2.genre_is order by T2.rating","What is the id, genre, and name of the artist for every English song ordered by ascending rating?",,,"E1, F4, KA1b, BL2, A1b",83.4409999847412,21,6,"SELECT f_id ,  genre_is ,  artist_name FROM song WHERE languages  =   ""english"" ORDER BY rating"
28,abbda01f-6b4b-4ed8-8441-fbc6f06b317f,3ba14230-a8da-4f02-88d6-2378c64929f3,zhengning,230,select Position from player where Position > ( select avg ( Points ) from player group by Position,What are the positions of players whose average number of points scored by that position is larger than 20?,,,"E1, O1, BL2, F3, KA1b",30.0439999103546,22,6,SELECT POSITION FROM player GROUP BY name HAVING avg(Points)  >=  20
29,8a4bc3cc-268f-4f1d-a2ec-2100d95e4792,3ba14230-a8da-4f02-88d6-2378c64929f3,zhengning,330,select CName from Course group by CName having count ( Credits ) = 1,What are the names of courses with 1 credit?,,,"O1, N3, F3",5363.40400004387,23,6,SELECT CName FROM COURSE WHERE Credits  =  1
30,46931fbf-b474-4a8a-b9a1-7d0e332f1425,3ba14230-a8da-4f02-88d6-2378c64929f3,zhengning,1066,"select avg ( T2.salary ) from team_franchise as T1 join salary as T2 where T1.franchise_name = ""Boston Red Stockings""",What is average salary of the players in the team named 'Boston Red Stockings' ?,,,"BE5, N3",33.8949999809265,24,6,SELECT avg(T1.salary) FROM salary AS T1 JOIN team AS T2 ON T1.team_id  =  T2.team_id_br WHERE T2.name  = 'Boston Red Stockings'
31,2b2f98fe-0b57-4ee5-9a80-95143738300c,3ba14230-a8da-4f02-88d6-2378c64929f3,zhengning,374,select pPos from Tryout,What are the different types of player positions?,,,"F4, L5, BE5, A1b",16.827000141143802,25,6,SELECT count(DISTINCT pPos) FROM tryout
32,4ae96317-bf5f-4c9c-9eb9-749a68526937,3ba14230-a8da-4f02-88d6-2378c64929f3,zhengning,855,"select product_name , product_description from Products_for_Hire where daily_hire_cost < 'Cutlery' and product_type_code = 20",What are the names and descriptions of the products that are of 'Cutlery' type and have daily hire cost lower than 20?,,,"A1b, L5, F1, D1",51.4379999637604,26,6,"SELECT product_name ,  product_description FROM products_for_hire WHERE product_type_code  =  'Cutlery' AND daily_hire_cost  <  20"
33,c82b0d3d-77a7-469a-bdd7-525c57aff215,3ba14230-a8da-4f02-88d6-2378c64929f3,zhengning,705,"select name , Trade_Name from medicine where FDA_approved = """"",What are the names and trade names of the medcines that are FDA approved?,,,F1,15.9930000305176,27,6,"SELECT name ,  trade_name FROM medicine WHERE FDA_approved  =  'Yes'"
34,38d77f11-6ce3-4f2b-9006-d5bb7b59c728,3ba14230-a8da-4f02-88d6-2378c64929f3,zhengning,869,select shipping_agent_name from Ref_Shipping_Agents where shipping_agent_code = 2,What is the name of the shipping agent of the document with id 2?,,,"D1, CE2",20.2330000400543,28,6,SELECT Ref_Shipping_Agents.shipping_agent_name FROM Ref_Shipping_Agents JOIN Documents ON Documents.shipping_agent_code = Ref_Shipping_Agents.shipping_agent_code WHERE Documents.document_id = 2;
35,7ffb4b20-a6b4-4a64-bb34-28b3a2f45ecd,3ba14230-a8da-4f02-88d6-2378c64929f3,zhengning,1061,"select song_name from song where languages = ""modern"" or genre_is = ""English""",What are the names of the songs that are modern or sung in English?,,,"CE2, D1a, BF4",156.608999967575,29,6,"SELECT song_name FROM song WHERE genre_is  =  ""modern"" OR languages  =  ""english"""
36,76a701ed-22be-4823-9d26-bd7a6c4a16f8,3ba14230-a8da-4f02-88d6-2378c64929f3,zhengning,1037,select f_id from song order by limit 1 ( song_name ) desc,Find the id of the song that lasts the longest.,,syntax error,"D1a, BF4, CM4",46.952999830246,30,6,SELECT f_id FROM files ORDER BY duration DESC LIMIT 1
37,165db7cd-26c1-4636-8783-1b1cf887cae4,e139cddc-21fe-4e3e-84d9-8ccc90a8dcbd,zhengning,122,"select shipping_agent_code from Ref_Shipping_Agents where shipping_agent_name = ""shipping""",What is the shipping agent code of shipping agent UPS?,,0,"Q1, CM4, D1",22.078999996185303,46,6,"SELECT shipping_agent_code FROM Ref_Shipping_Agents WHERE shipping_agent_name = ""UPS"";"
38,5f34fc9f-30da-4253-8abb-40e965c410ee,e139cddc-21fe-4e3e-84d9-8ccc90a8dcbd,zhengning,815,"select sum ( T1.balance ) from SAVINGS as T1 join ACCOUNTS as T2 on T1.custid = T2.custid where T2.name = ""Brown""",Find the total savings balance of all accounts except the account with name ‘Brown’.,,,"D1, A1a",9.03999996185303,47,6,SELECT sum(T2.balance) FROM accounts AS T1 JOIN savings AS T2 ON T1.custid  =  T2.custid WHERE T1.name != 'Brown'
39,125253bf-57b1-4cf4-a683-c3b6dbe76b13,e139cddc-21fe-4e3e-84d9-8ccc90a8dcbd,zhengning,324,select address_type_code from Customer_Addresses,What are the distinct address type codes for all customer addresses?,,,"A1a, A1b",42.8450000286102,48,6,SELECT DISTINCT address_type_code FROM customer_addresses
40,486c2427-792e-4270-bb00-a39589fc8c0a,e139cddc-21fe-4e3e-84d9-8ccc90a8dcbd,zhengning,418,select Level from member,What are the different membership levels?,,,L5,14.606999874115,49,6,SELECT count(DISTINCT LEVEL) FROM member
41,fd2037af-8820-4eec-a221-9c36ec5b62ac,e139cddc-21fe-4e3e-84d9-8ccc90a8dcbd,zhengning,695,"select T1.FirstName , T2.FirstName , T3.CustomerId from Employee as T1 join Customer as T2 on T1.EmployeeId = T2.SupportRepId join Invoice as T3 on T2.CustomerId = T3.CustomerId group by T1.EmployeeId having count ( T2.CustomerId ) >= 10",What are the first names and support rep ids for employees serving 10 or more customers?,,,"L5, CL1, BL2, A1b",501.70799994468695,50,6,"SELECT T1.FirstName ,  T1.SupportRepId FROM CUSTOMER AS T1 JOIN EMPLOYEE AS T2 ON T1.SupportRepId  =  T2.EmployeeId GROUP BY T1.SupportRepId HAVING COUNT(*)  >=  10"
42,e950254d-dc92-41a2-ae71-4709a1402e4d,e139cddc-21fe-4e3e-84d9-8ccc90a8dcbd,zhengning,209,select count ( no_of_loans ) from customer,What are the names of the different banks that have provided loans?,,,"L4, BL2, CL1, CE2, A1b",82.9449999332428,51,6,SELECT DISTINCT T1.bname FROM bank AS T1 JOIN loan AS T2 ON T1.branch_id  =  T2.branch_id
43,65a03597-a93a-47b8-99d3-64a1e6e879be,e139cddc-21fe-4e3e-84d9-8ccc90a8dcbd,zhengning,404,select count ( Software_Platform ) from device,Count the number of different software platforms.,,,"L4, CE2",60.8929998874664,52,6,SELECT count(DISTINCT Software_Platform) FROM device
44,641c8968-fe6b-485d-8211-7b097d80a9ca,e139cddc-21fe-4e3e-84d9-8ccc90a8dcbd,zhengning,385,select T1.cName from Tryout as T1 join College as T2 on T1.cName = T2.cName order by T2.cName,Find the name of different colleges involved in the tryout in alphabetical order.,,,E1,28.7929999828339,53,6,SELECT DISTINCT cName FROM tryout ORDER BY cName
45,9ffa66f1-0404-48d7-a406-ceb847f17b03,e139cddc-21fe-4e3e-84d9-8ccc90a8dcbd,zhengning,660,"select Name from Artist where Name like ""% a %""","Find the names of all artists that have ""a"" in their names.",,,"E1, A1b, D1",16.1630001068115,54,6,"SELECT Name FROM ARTIST WHERE Name LIKE ""%a%"""
46,7a3825e6-3e48-4c24-9a0f-ab5dea19ffb7,e139cddc-21fe-4e3e-84d9-8ccc90a8dcbd,zhengning,449,select count ( complaint_type_code ) from Complaints,Count the number of different complaint type codes.,,,"D1, A1b",9.706000089645391,55,6,SELECT count(DISTINCT complaint_type_code) FROM complaints
47,cf9639b8-4c88-4096-98d5-57b10e854f3a,e139cddc-21fe-4e3e-84d9-8ccc90a8dcbd,zhengning,159,select Name from people order by Date_of_Birth desc,List all people names in the order of their date of birth from old to young.,,,"K2, A1b",52.3780000209808,56,6,SELECT name FROM people ORDER BY date_of_birth
