,record_id,session_id,username,sql_id,sql,error_classification,GT_sql
101,dc48ce8f-04bd-4e80-a460-4785e16d564b,10f0a42b-9018-4d54-b4e7-826619e919d1,zhengning,1155,SELECT SUM( home_game.games ) FROM home_game JOIN team ON home_game.team_id = team.team_id_br WHERE team.name = 'Boston Red Stockings' AND home_game.attendance BETWEEN 1990 and 2000,BF4,SELECT sum(T1.games) FROM home_game AS T1 JOIN team AS T2 ON T1.team_id = T2.team_id_br WHERE T2.name = 'Boston Red Stockings' AND T1.year BETWEEN 1990 AND 2000;
102,7123583d-70e4-4f6f-9b96-cddb2e7008a1,10f0a42b-9018-4d54-b4e7-826619e919d1,zhengning,1752,SELECT AVG( cars_data.edispl ) FROM cars_data JOIN car_names ON cars_data.id = car_names.makeid WHERE car_names.make = 'volvos',"D1c, BF4",SELECT avg(T2.edispl) FROM CAR_NAMES AS T1 JOIN CARS_DATA AS T2 ON T1.MakeId  =  T2.Id WHERE T1.Model  =  'volvo';
103,4cbe3cff-8200-4a9d-a8fa-00dce2a5419f,10f0a42b-9018-4d54-b4e7-826619e919d1,zhengning,2075,SELECT procedures.name FROM procedures JOIN trained_in ON procedures.code = trained_in.treatment JOIN physician ON physician.employeeid = trained_in.physician WHERE physician.name = 'John Wen' AND procedures.cost > 1000,A1d,"SELECT name FROM procedures WHERE cost  >  1000 EXCEPT SELECT T3.name FROM physician AS T1 JOIN trained_in AS T2 ON T1.employeeid  =  T2.physician JOIN procedures AS T3 ON T3.code  =  T2.treatment WHERE T1.name  =  ""John Wen"""
104,692b140f-b6db-40b3-92fa-6a51792acb96,10f0a42b-9018-4d54-b4e7-826619e919d1,zhengning,1116,SELECT song.song_name FROM song WHERE song.genre_is = 'modern' OR song.languages = 'English',D1a,"SELECT song_name FROM song WHERE genre_is  =  ""modern"" OR languages  =  ""english"""
105,93c27621-4c05-437d-8340-9e41f155a2a3,10f0a42b-9018-4d54-b4e7-826619e919d1,zhengning,1998,SELECT artist.country FROM artist JOIN song ON artist.artist_name = song.artist_name WHERE song.song_name LIKE '%love%',BL3,"SELECT T1.artist_name ,  T1.country FROM artist AS T1 JOIN song AS T2 ON T1.artist_name  =  T2.artist_name WHERE T2.song_name LIKE ""%love%"""
106,0c94def7-8575-4789-ac6f-af6e666cdfeb,10f0a42b-9018-4d54-b4e7-826619e919d1,zhengning,2353,SELECT COUNT( * ) FROM routes JOIN airlines ON routes.alid = airlines.alid WHERE airlines.country = 'Italy' AND airlines.callsign = 'American Airlines',CE2,SELECT count(*) FROM routes AS T1 JOIN airports AS T2 ON T1.dst_apid  =  T2.apid JOIN airlines AS T3 ON T1.alid  =  T3.alid WHERE T2.country  =  'Italy' AND T3.name  =  'American Airlines'
107,52a61660-c27b-4702-bfaf-6d1fd1e738d8,10f0a42b-9018-4d54-b4e7-826619e919d1,zhengning,1120,"SELECT song.f_id , song.genre_is , song.artist_name FROM song WHERE song.languages = 'English' ORDER BY song.rating ASC",D1a,"SELECT f_id ,  genre_is ,  artist_name FROM song WHERE languages  =   ""english"" ORDER BY rating"
108,8175f106-1b49-45a4-9b3e-1ba6a99bb165,10f0a42b-9018-4d54-b4e7-826619e919d1,zhengning,88,SELECT DISTINCT products.product_color FROM products,BL1,SELECT DISTINCT product_size FROM Products
109,078433e8-f474-4f34-bf57-ae58d3db2bf7,10f0a42b-9018-4d54-b4e7-826619e919d1,zhengning,2008,"SELECT MAX( song.resolution ) , MIN( song.resolution ) FROM files JOIN song ON files.f_id = song.f_id WHERE files.duration = 3",D1c,"SELECT max(T2.resolution) ,  min(T2.resolution) FROM files AS T1 JOIN song AS T2 ON T1.f_id  =  T2.f_id WHERE T1.duration LIKE ""3:%"""
110,c32cc601-81ad-4e1f-88a1-27f838f4a5e7,10f0a42b-9018-4d54-b4e7-826619e919d1,zhengning,1994,SELECT DISTINCT song.song_name FROM song WHERE song.resolution > (SELECT MIN( song.resolution ) FROM song WHERE song.languages = 'English'),D1a,"SELECT DISTINCT song_name FROM song WHERE resolution  >  (SELECT min(resolution) FROM song WHERE languages  =  ""english"")"
111,6d9a9d63-389e-4cfc-8ab3-34f9b453a2ea,10f0a42b-9018-4d54-b4e7-826619e919d1,zhengning,1741,SELECT COUNT( * ) FROM car_makers WHERE car_makers.country = 'france',CE2,SELECT count(*) FROM CAR_MAKERS AS T1 JOIN COUNTRIES AS T2 ON T1.Country  =  T2.CountryId WHERE T2.CountryName  =  'france';
112,0b383d37-4934-4ff4-94cc-8a190c188857,10f0a42b-9018-4d54-b4e7-826619e919d1,zhengning,2080,SELECT patient.name FROM patient,"CE2, A1d, F4",SELECT name FROM patient EXCEPT SELECT T1.name FROM patient AS T1 JOIN Prescribes AS T2 ON T2.Patient  =  T1.SSN JOIN Medication AS T3 ON T2.Medication  =  T3.Code WHERE T3.name  =  'Procrastin-X'
113,97216879-f194-402c-b4f9-99982a48747d,10f0a42b-9018-4d54-b4e7-826619e919d1,zhengning,1866,SELECT products.product_color FROM products WHERE products.product_id NOT IN (SELECT order_items.product_id FROM order_items),BL1,SELECT product_name FROM Products EXCEPT SELECT T1.product_name FROM Products AS T1 JOIN Order_items AS T2 ON T1.product_id  =  T2.product_id
114,583e30b1-a0d2-4507-8b35-bc5ba0a42b82,10f0a42b-9018-4d54-b4e7-826619e919d1,zhengning,2124,"SELECT student.fname , student.lname FROM club JOIN member_of_club ON club.clubid = member_of_club.clubid WHERE club.clubname = 'Bootup Baltimore'","CE2, F4","SELECT t3.fname ,  t3.lname FROM club AS t1 JOIN member_of_club AS t2 ON t1.clubid  =  t2.clubid JOIN student AS t3 ON t2.stuid  =  t3.stuid WHERE t1.clubname  =  ""Bootup Baltimore"" AND t2.position  =  ""President"""
115,9e45270a-aafd-4ba5-b4f4-d25d03ba9571,10f0a42b-9018-4d54-b4e7-826619e919d1,zhengning,2161,SELECT projects.project_details FROM projects ORDER BY projects.organisation_id ASC,F4,SELECT project_details FROM Projects WHERE organisation_id IN ( SELECT organisation_id FROM Projects GROUP BY organisation_id ORDER BY count(*) DESC LIMIT 1 )
116,3f5af4c4-3ea1-4cf6-b034-74e6e628b255,10f0a42b-9018-4d54-b4e7-826619e919d1,zhengning,2135,SELECT COUNT( * ) FROM student JOIN member_of_club ON student.stuid = member_of_club.stuid JOIN club ON member_of_club.clubid = club.clubid WHERE student.fname = 'Eric Tai',"D1, F4, A1b","SELECT count(DISTINCT t1.clubname) FROM club AS t1 JOIN member_of_club AS t2 ON t1.clubid  =  t2.clubid JOIN student AS t3 ON t2.stuid  =  t3.stuid WHERE t3.fname  =  ""Eric"" AND t3.lname  =  ""Tai"""
117,57834672-e1d8-4994-948d-2ded7fa03e8f,10f0a42b-9018-4d54-b4e7-826619e919d1,zhengning,556,SELECT individuals.individual_last_name FROM individuals JOIN organization_contact_individuals ON individuals.individual_id = organization_contact_individuals.individual_id,A1b,SELECT DISTINCT t1.individual_last_name FROM individuals AS t1 JOIN organization_contact_individuals AS t2 ON t1.individual_id  =  t2.individual_id
118,9a41e903-69fb-4c87-b5a8-9094d04db1fd,10f0a42b-9018-4d54-b4e7-826619e919d1,zhengning,1720,"SELECT AVG( stadium.average ) , MAX( stadium.capacity ) FROM stadium",BL1,"select avg(capacity) ,  max(capacity) from stadium"
119,445aff06-c9a5-4778-8e58-5b8e9565ec41,10f0a42b-9018-4d54-b4e7-826619e919d1,zhengning,1187,"SELECT COUNT( * ) , block.blockfloor FROM block JOIN room ON block.blockfloor = room.blockfloor JOIN block ON block.blockcode = room.blockcode GROUP BY block.blockfloor",,"SELECT count(*) ,  T1.blockfloor FROM BLOCK AS T1 JOIN room AS T2 ON T1.blockfloor  =  T2.blockfloor AND T1.blockcode  =  T2.blockcode GROUP BY T1.blockfloor"
120,f084f018-f9c5-4420-bccf-914d8d0b9d2f,10f0a42b-9018-4d54-b4e7-826619e919d1,zhengning,763,"SELECT medicine.id , medicine.name FROM medicine_enzyme_interaction JOIN medicine ON medicine_enzyme_interaction.medicine_id = medicine.id HAVING COUNT( * ) >= 4","O3, AN2","SELECT T1.id ,  T1.Name FROM medicine AS T1 JOIN medicine_enzyme_interaction AS T2 ON T2.medicine_id  =  T1.id GROUP BY T1.id HAVING count(*)  >=  2"
121,1ac50d74-54b2-4f8a-bf68-e293e216a603,10f0a42b-9018-4d54-b4e7-826619e919d1,zhengning,1138,SELECT COUNT( * ) FROM postseason JOIN team ON postseason.league_id_loser = team.div_id WHERE team.name = 'Boston Red Stockings' AND postseason.losses = 2009,"BF4, BE5",SELECT count(*) FROM postseason AS T1 JOIN team AS T2 ON T1.team_id_loser  =  T2.team_id_br WHERE T2.name  =  'Boston Red Stockings' AND T1.year = 2009;
122,a26dddaa-c27b-41e3-87e6-fbe4f19cec7c,10f0a42b-9018-4d54-b4e7-826619e919d1,zhengning,1719,"SELECT MAX( stadium.capacity ) , AVG( stadium.average ) FROM stadium",L5,"select max(capacity), average from stadium"
