coder,id,category
toby,0,A1a
toby,1,A1a
toby,2,A1a
toby,3,A1a
toby,4,BL1
toby,5,BL1
toby,6,CL1
toby,7,CL1
toby,8,I1
toby,9,I1
toby,10,I1
toby,11,I1
toby,12,BL1
toby,13,BL1
toby,14,D1
toby,15,I1
toby,16,CL1
toby,17,CL1
toby,18,CM4
toby,19,CM4
toby,20,D1b
toby,21,D1b
toby,22,D1b
toby,23,D1b
toby,24,D1b
toby,25,BL1
toby,26,BL1
toby,27,I1
toby,28,D1a
toby,29,D1a
toby,31,D1a
toby,32,D1a
toby,33,D1a
toby,35,D1a
toby,36,D1b
toby,37,D1b
toby,38,D1b
toby,39,D1b
toby,40,D1b
toby,41,BF4
toby,42,BF4
toby,43,BF4
toby,44,BF4
toby,45,I1
toby,46,I1
toby,47,I1
toby,48,I1
toby,49,I1
toby,50,I1
toby,51,A1a
toby,52,I1
toby,53,I1
toby,54,I1
toby,55,I1
toby,56,I1
toby,57,I1
toby,58,I1
toby,59,I1
toby,60,I1
toby,61,CM4
toby,62,CM4
toby,63,CM4
toby,64,BL1
toby,65,CE3
toby,66,CE3
toby,67,CE3
toby,68,CE3
toby,69,BL3
toby,70,BL3
toby,71,BL3
toby,72,BL3
toby,73,I1
toby,74,I1
toby,75,I1
toby,76,I1
toby,77,F1
toby,78,F1
toby,79,I1
toby,80,I1
toby,81,CM4
toby,82,CM4
toby,83,CM4
toby,84,CM4
toby,85,BL1
toby,87,G
toby,89,BL1
toby,90,I1
toby,91,I1
toby,92,BL1
toby,93,BE5
toby,94,BE5
toby,95,BL1
toby,96,BL1
toby,97,BL1
toby,98,BL1
toby,99,I1
toby,101,CE3
toby,102,CE3
toby,103,BE5
toby,104,BL1
toby,105,BL1
toby,106,BL3
toby,107,I1
toby,108,I1
toby,109,CE3
toby,110,CE3
toby,111,CE3
toby,112,BE5
toby,113,BE5
toby,114,I1
toby,115,I1
toby,116,F3
toby,117,BL1
toby,118,H2
toby,119,A1
toby,121,D1b
toby,122,D1b
toby,123,D1b
toby,124,D1b
toby,125,BL1
toby,126,H2
toby,127,I1
toby,128,I1
toby,129,I1
toby,130,H2
toby,131,A1b
toby,133,CE3
toby,134,CE3
toby,135,CE3
toby,136,BE5
toby,137,CE2
toby,138,KA1b
toby,139,KA1b
toby,140,KA1b
toby,141,KA1b
toby,142,D1a
toby,143,A1b
toby,144,A1b
toby,145,F3
toby,146,BE5
toby,147,BE5
toby,148,CE3
toby,149,BE5
toby,150,D1c
toby,151,D1c
toby,152,D1c
toby,153,D1c
toby,154,BL1
toby,155,BL1
toby,156,BL2
toby,157,BL1
toby,158,BL1
toby,159,BL2
toby,160,BL1
toby,162,CL1
toby,163,CL1
toby,164,CL1
toby,165,CL1
toby,166,CE2
toby,167,A1b
toby,168,CE2
toby,169,CE2
toby,170,D1a
toby,171,D1a
toby,172,D1a
toby,173,D1a
toby,174,E1
toby,175,E1
toby,176,CL1
toby,177,E1
toby,178,BF4
toby,179,BF4
toby,180,BF4
toby,181,D1a
toby,182,D1a
toby,183,D1a
toby,1,I2
toby,3,I1
toby,4,BL2
toby,5,CL1
toby,6,CM6
toby,7,CM6
toby,8,KA1b
toby,9,KA1b
toby,10,KA1b
toby,11,KA1b
toby,16,CM4
toby,17,CM4
toby,19,BL1
toby,50,A1a
toby,54,BL1
toby,55,BL1
toby,56,BL1
toby,58,BL1
toby,60,BL1
toby,62,I1
toby,63,I1
toby,64,I1
toby,66,BL1
toby,68,BL1
toby,71,I1
toby,73,KA1b
toby,74,KA1b
toby,75,KA1b
toby,76,KA1b
toby,89,D1
toby,90,D1
toby,92,I1
toby,96,CL1
toby,97,F1
toby,102,BL1
toby,110,BE5
toby,114,DF2
toby,115,A1
toby,117,I1
toby,127,A1c
toby,128,A1c
toby,129,A1b
toby,130,A1b
toby,134,F3
toby,135,F3
toby,136,D1a
toby,143,H2
toby,144,D1a
toby,149,CE3
toby,155,CL1
toby,156,F3
toby,158,BL2
toby,159,BE5
toby,160,CE3
toby,163,I1
toby,176,D1a
toby,177,H2
toby,179,CF5
toby,180,CF5
toby,5,I2
toby,7,BL1
toby,17,D1a
toby,115,A1a
toby,134,F4
toby,135,F4
toby,143,CM4
toby,143,CL1
toby,143,D1a
tianyi,0,A1a
tianyi,1,A1a
tianyi,2,A1a
tianyi,3,A1a
tianyi,4,BL2
tianyi,7,BL1
tianyi,8,KA1b
tianyi,9,KA1b
tianyi,10,KA1b
tianyi,11,KA1b
tianyi,12,BL1
tianyi,13,BL2
tianyi,14,BL1
tianyi,15,BL2
tianyi,16,CL1
tianyi,17,CL1
tianyi,18,CL1
tianyi,19,CL1
tianyi,20,D1b
tianyi,22,D1b
tianyi,23,D1b
tianyi,24,D1b
tianyi,25,BL1
tianyi,26,I1
tianyi,27,I1
tianyi,28,D1a
tianyi,29,D1a
