,A,B,L,I,C,D,F,M,E,H,K,G,N
toby,"{2149.0, 1671.0, 2151.0, 2094.0, 1841.0, 2037.0}","{2051.0, 1673.0, 532.0, 2069.0, 2070.0, 1563.0, 2078.0, 798.0, 1961.0, 1578.0, 1585.0, 2367.0, 2373.0, 2374.0, 2000.0, 1747.0, 1880.0, 1125.0, 1131.0, 1139.0, 2037.0, 2294.0, 2168.0, 1151.0}","{2051.0, 2310.0, 1673.0, 532.0, 2069.0, 2078.0, 798.0, 1961.0, 1578.0, 1585.0, 2367.0, 2373.0, 2374.0, 2000.0, 1747.0, 1880.0, 1125.0, 1131.0, 2037.0, 2294.0, 2168.0}","{2179.0, 1125.0, 2149.0, 1671.0, 1704.0, 2153.0, 1961.0, 1131.0, 2094.0, 2000.0, 1880.0, 532.0, 2037.0, 2168.0, 1151.0}","{2373.0, 2374.0, 2310.0, 1578.0, 2061.0, 1747.0, 532.0, 2069.0, 2294.0, 2070.0, 1563.0, 2078.0}","{2018.0, 361.0, 1274.0, 2025.0, 1804.0, 1331.0, 531.0, 1978.0, 478.0}","{2367.0, 1704.0, 1961.0, 2025.0, 1139.0, 2037.0, 1880.0, 1563.0, 1151.0}","{2373.0, 2310.0, 532.0, 2294.0, 2078.0}","{2051.0, 1189.0, 1961.0, 1578.0, 2061.0, 2069.0, 2294.0, 2070.0, 2078.0}","{2025.0, 1189.0}","{2151.0, 2094.0, 1671.0}","{798.0, 1151.0}",set()
zhengz,"{2149.0, 1671.0, 2312.0, 2153.0, 2151.0, 2094.0, 1841.0}","{2051.0, 2312.0, 1673.0, 532.0, 2070.0, 1563.0, 2078.0, 798.0, 1578.0, 1585.0, 2367.0, 2374.0, 2000.0, 1747.0, 1880.0, 1125.0, 1131.0, 1139.0, 2037.0, 2168.0, 251.0, 1151.0}","{2051.0, 2310.0, 2312.0, 1673.0, 532.0, 2069.0, 2078.0, 798.0, 1961.0, 1578.0, 1585.0, 2367.0, 2373.0, 2374.0, 2000.0, 1747.0, 1880.0, 1125.0, 1131.0, 2037.0, 2294.0, 2168.0, 251.0, 1151.0}","{2179.0, 2149.0, 1671.0, 2312.0, 2153.0, 2094.0, 2000.0, 1841.0, 2168.0}","{2051.0, 2373.0, 2374.0, 2310.0, 1961.0, 1578.0, 2061.0, 1747.0, 532.0, 2069.0, 2294.0, 2070.0, 2078.0, 2367.0}","{2018.0, 1704.0, 361.0, 1274.0, 1131.0, 2025.0, 1804.0, 1331.0, 531.0, 1978.0, 478.0}","{1704.0, 1961.0, 1578.0, 1131.0, 1139.0, 1563.0, 1151.0}","{1961.0, 2373.0, 2294.0, 2310.0}","{2051.0, 2373.0, 2374.0, 1189.0, 1961.0, 1578.0, 2061.0, 2069.0, 2070.0, 251.0, 2078.0, 2367.0}","{1131.0, 2374.0}","{2151.0, 2094.0, 1671.0}",set(),set()
zhengn,"{2179.0, 1125.0, 2149.0, 1671.0, 2312.0, 2153.0, 2151.0, 2025.0, 2061.0, 2094.0, 1841.0, 2037.0, 2367.0}","{2051.0, 1125.0, 2374.0, 1189.0, 2312.0, 1673.0, 1131.0, 798.0, 2000.0, 1585.0, 1139.0, 1880.0, 1747.0, 2168.0, 2078.0}","{2310.0, 2312.0, 1673.0, 532.0, 2069.0, 2078.0, 798.0, 1189.0, 1961.0, 1578.0, 1585.0, 2373.0, 2374.0, 2000.0, 1747.0, 1880.0, 1125.0, 1131.0, 2294.0, 2168.0}","{2179.0, 2367.0, 1671.0, 1704.0, 2153.0, 1961.0, 1131.0, 2094.0, 2000.0, 1585.0, 1880.0, 532.0, 2037.0, 2168.0, 251.0, 1151.0}","{2373.0, 2374.0, 2310.0, 1189.0, 1961.0, 1578.0, 1673.0, 2061.0, 532.0, 2069.0, 2294.0, 2070.0}","{2179.0, 1125.0, 478.0, 1189.0, 361.0, 2025.0, 1804.0, 1274.0, 2078.0}","{2179.0, 2051.0, 1704.0, 1961.0, 1139.0, 1747.0, 2078.0}","{2373.0, 2310.0, 1961.0, 1673.0, 532.0, 2069.0, 2294.0}","{2051.0, 2373.0, 2374.0, 1189.0, 1673.0, 1578.0, 2061.0, 1747.0, 2069.0, 2070.0, 2078.0}",{2374.0},"{2151.0, 2094.0, 1671.0}",{798.0},set()
tianyi,"{2149.0, 1671.0, 2312.0, 2153.0, 2151.0, 2025.0, 2061.0, 2094.0, 1841.0}","{2051.0, 2310.0, 1673.0, 532.0, 2069.0, 2070.0, 1563.0, 798.0, 1961.0, 1578.0, 1585.0, 2367.0, 2374.0, 2000.0, 1747.0, 1880.0, 1125.0, 2025.0, 1131.0, 1139.0, 2037.0, 2168.0, 251.0, 1151.0}","{2051.0, 2310.0, 1673.0, 532.0, 2069.0, 798.0, 1961.0, 1578.0, 1585.0, 2367.0, 2373.0, 2374.0, 2000.0, 1747.0, 1880.0, 1125.0, 2025.0, 1131.0, 2037.0, 2294.0, 2168.0, 251.0, 1151.0}","{2179.0, 2149.0, 2310.0, 1671.0, 2153.0, 1961.0, 1578.0, 1131.0, 2094.0, 2000.0, 1139.0, 532.0, 2294.0, 2168.0, 251.0, 798.0, 2367.0}","{2051.0, 2373.0, 2374.0, 2151.0, 2310.0, 1961.0, 1578.0, 2025.0, 1673.0, 2061.0, 1747.0, 532.0, 2069.0, 2294.0, 2070.0, 1563.0}","{2018.0, 1704.0, 361.0, 2025.0, 1131.0, 1804.0, 1331.0, 531.0, 2294.0, 1978.0, 478.0, 2367.0}","{1704.0, 1961.0, 2025.0, 1139.0, 2070.0, 1563.0, 1151.0, 2367.0}","{2373.0, 2310.0, 1961.0, 1673.0, 2025.0, 2294.0}","{2051.0, 2373.0, 2374.0, 2151.0, 1189.0, 1961.0, 1578.0, 2025.0, 1673.0, 2061.0, 1747.0, 2069.0, 2070.0, 1880.0}","{2179.0, 2149.0, 1189.0, 2312.0, 2153.0, 2025.0, 1131.0, 2000.0, 1841.0, 2037.0, 2367.0}","{2151.0, 2094.0, 1671.0}","{798.0, 1151.0}",{1880.0}
intersection4_id,"{2149.0, 2151.0, 1671.0, 2094.0, 1841.0}","{2051.0, 1125.0, 2374.0, 1673.0, 1131.0, 2000.0, 1585.0, 1139.0, 1747.0, 1880.0, 2168.0, 798.0}","{2373.0, 2310.0, 2374.0, 1125.0, 1673.0, 1961.0, 1578.0, 1131.0, 2000.0, 1585.0, 1747.0, 532.0, 2069.0, 2294.0, 1880.0, 2168.0, 798.0}","{2179.0, 1671.0, 2153.0, 2094.0, 2000.0, 2168.0}","{2373.0, 2374.0, 2310.0, 1578.0, 2061.0, 532.0, 2069.0, 2294.0, 2070.0}","{361.0, 1804.0, 2025.0, 478.0}","{1704.0, 1961.0, 1139.0}","{2373.0, 2294.0, 2310.0}","{2051.0, 1189.0, 1578.0, 2061.0, 2069.0, 2070.0}",set(),"{1671.0, 2094.0, 2151.0}",set(),set()
intersection3_id,"{2149.0, 2151.0, 1671.0, 2312.0, 2153.0, 2094.0, 1841.0}","{2051.0, 2374.0, 1673.0, 2000.0, 1747.0, 532.0, 2070.0, 1880.0, 1563.0, 798.0, 1151.0, 2078.0, 1125.0, 1578.0, 1131.0, 1585.0, 1139.0, 2037.0, 2168.0, 2367.0}","{2051.0, 2310.0, 1673.0, 532.0, 2069.0, 798.0, 2078.0, 1961.0, 1578.0, 1585.0, 2367.0, 2373.0, 2374.0, 2000.0, 1747.0, 1880.0, 1125.0, 1131.0, 2037.0, 2294.0, 2168.0}","{2179.0, 1671.0, 2000.0, 532.0, 2149.0, 2153.0, 1961.0, 1131.0, 2094.0, 2168.0}","{2373.0, 2374.0, 2310.0, 2061.0, 1747.0, 532.0, 2069.0, 2070.0, 1961.0, 1578.0, 2294.0}","{2018.0, 361.0, 2025.0, 1274.0, 1804.0, 1331.0, 531.0, 1978.0, 478.0}","{1139.0, 1704.0, 1961.0, 1563.0, 1151.0}","{2373.0, 2294.0, 2310.0, 1961.0}","{2051.0, 1189.0, 2373.0, 2374.0, 1961.0, 1578.0, 2061.0, 2069.0, 2070.0, 2078.0}",set(),"{2151.0, 1671.0, 2094.0}",{798.0},set()
union_id,"{2179.0, 2149.0, 1125.0, 1671.0, 2312.0, 2153.0, 2151.0, 2025.0, 2061.0, 2094.0, 1841.0, 2037.0, 2367.0}","{2051.0, 2310.0, 2312.0, 1673.0, 532.0, 2069.0, 2070.0, 1563.0, 798.0, 2078.0, 1189.0, 1961.0, 1578.0, 1585.0, 2367.0, 2373.0, 2374.0, 2000.0, 1747.0, 1880.0, 1125.0, 2025.0, 1131.0, 1139.0, 2037.0, 2294.0, 2168.0, 251.0, 1151.0}","{2051.0, 2310.0, 2312.0, 1673.0, 532.0, 2069.0, 798.0, 2078.0, 1189.0, 1961.0, 1578.0, 1585.0, 2367.0, 2373.0, 2374.0, 2000.0, 1747.0, 1880.0, 1125.0, 2025.0, 1131.0, 2037.0, 2294.0, 2168.0, 251.0, 1151.0}","{2179.0, 2310.0, 1671.0, 2312.0, 532.0, 798.0, 1704.0, 1961.0, 1578.0, 2094.0, 1841.0, 1585.0, 2367.0, 2000.0, 1880.0, 2149.0, 1125.0, 2153.0, 1131.0, 1139.0, 2037.0, 2294.0, 2168.0, 251.0, 1151.0}","{2051.0, 2310.0, 1673.0, 2061.0, 532.0, 2069.0, 2070.0, 1563.0, 2078.0, 1189.0, 1961.0, 1578.0, 2367.0, 2373.0, 2374.0, 1747.0, 2151.0, 2025.0, 2294.0}","{2018.0, 2179.0, 1125.0, 1189.0, 1704.0, 361.0, 2025.0, 1131.0, 1804.0, 1274.0, 1331.0, 531.0, 2294.0, 2078.0, 1978.0, 478.0, 2367.0}","{2179.0, 2051.0, 1704.0, 1961.0, 2025.0, 1578.0, 1131.0, 1139.0, 1747.0, 2037.0, 2070.0, 1880.0, 1563.0, 1151.0, 2078.0, 2367.0}","{2373.0, 2310.0, 1961.0, 1673.0, 2025.0, 532.0, 2069.0, 2294.0, 2078.0}","{2051.0, 2373.0, 2374.0, 2151.0, 1189.0, 1961.0, 1578.0, 2025.0, 1673.0, 2061.0, 1747.0, 2069.0, 2070.0, 2294.0, 1880.0, 251.0, 2078.0, 2367.0}","{2179.0, 2149.0, 1189.0, 2374.0, 2312.0, 2153.0, 2025.0, 1131.0, 2000.0, 1841.0, 2037.0, 2367.0}","{2151.0, 2094.0, 1671.0}","{798.0, 1151.0}",{1880.0}
intersection4,5,12,17,6,9,4,3,3,6,0,3,0,0
intersection3,7,20,21,10,11,9,5,4,10,0,3,1,0
union,13,29,26,25,19,17,16,9,18,12,3,2,1
