,username,sql_id,code_x,coder_x,code_y,coder_y,code_x,coder_x,code_y,coder_y
0,zhengzhang,2149,A1a; I2,Zheng Z,A1a; A1; I1,Zheng N,A1a,Toby,A1a,Tianyi
1,tianyi,2149,A1a; H2,Zheng Z,A1a; H1,Zheng N,A1a;I2,Toby,A1a; H2; l1,Tianyi
2,zhengning,2149,A1a,Zheng Z,A1a,Zheng N,A1a,Toby,A1a,Tianyi
3,toby,2149,A1a,Zheng Z,A1a; I1,Zheng N,A1a;I1,Toby,A1a,Tianyi
4,zhengzhang,532,BL2; CL1,Zheng Z,BL2; CL1,Zheng N,BL1; BL2,Toby,BL2,Tianyi
5,tianyi,532,I2; CL1; BL1,Zheng Z,CL1; I2,Zheng N,BL1; CL1; I2,Toby,CL1; BL1; I1,Tianyi
6,zhengning,532,CL1; I2,Zheng Z,I2; CL1,Zheng N,CL1; CM6,Toby,CL1; I1,Tianyi
7,toby,532,CL1; I2; BL1,Zheng Z,CL1; BL1,Zheng N,CL1; CM6; BL1,Toby,BL1; CL1;I1,Tianyi
8,zhengzhang,2094,KA1b,Zheng Z,KA1b,Zheng N,I1; KA1b,Toby,KA1b,Tianyi
9,tianyi,2094,KA1b,Zheng Z,KA1b,Zheng N,I1; KA1b,Toby,KA1b,Tianyi
10,zhengning,2094,KA1b,Zheng Z,KA1b,Zheng N,I1; KA1b,Toby,KA1b,Tianyi
11,toby,2094,KA1b,Zheng Z,KA1b,Zheng N,I1; KA1b,Toby,KA1b,Tianyi
12,zhengzhang,1125,BL1,Zheng Z,BL1,Zheng N,BL1,Toby,BL1,Tianyi
13,tianyi,1125,BL1,Zheng Z,BL1,Zheng N,BL1,Toby,BL2; BL3,Tianyi
14,zhengning,1125,BL1,Zheng Z,A1,Zheng N,D1,Toby,BL1,Tianyi
15,toby,1125,BL2; BL3,Zheng Z,BL1; BL2,Zheng N,I1,Toby,BL2; BL3,Tianyi
16,zhengzhang,2294,CM4,Zheng Z,CL1,Zheng N,CL1; CM4,Toby,CL1;CM6,Tianyi
17,tianyi,2294,D1a; CL1,Zheng Z,D1; CL1,Zheng N,CL1; CM4; D1a,Toby,CL1; D1; I1; CM6,Tianyi
18,zhengning,2294,CL1,Zheng Z,CL1,Zheng N,CM4,Toby,CL1; CM6,Tianyi
19,toby,2294,CE2,Zheng Z,CL1,Zheng N,CM4; BL1,Toby,CL1; CM6; CE2,Tianyi
20,zhengzhang,1274,D1b,Zheng Z,D1b,Zheng N,D1b,Toby,D1b,Tianyi
21,tianyi,1274,D1b,Zheng Z,D1b,Zheng N,D1b,Toby,D1b,Tianyi
29,zhengning,1274,D1b,Zheng Z,D1b,Zheng N,D1b,Toby,D1b,Tianyi
30,toby,1274,D1b,Zheng Z,D1b,Zheng N,D1b,Toby,D1b,Tianyi
31,zhengzhang,251,BL1; BE5,Zheng Z,BL1,Zheng N,BL1,Toby,BL1,Tianyi
32,tianyi,251,BL1,Zheng Z,BL1,Zheng N,BL1,Toby,I1; BL1,Tianyi
33,zhengning,251,I1,Zheng Z,I2,Zheng N,I1,Toby,I1,Tianyi
34,zhengzhang,1978,D1a,Zheng Z,D1a,Zheng N,D1a,Toby,D1a,Tianyi
35,tianyi,1978,D1a,Zheng Z,D1a,Zheng N,D1a,Toby,D1a,Tianyi
36,zhengning,1978,,Zheng Z,,Zheng N,,Toby,,Tianyi
37,toby,1978,D1a,Zheng Z,D1a,Zheng N,D1a,Toby,D1a,Tianyi
38,zhengzhang,2018,D1a,Zheng Z,D1a,Zheng N,D1a,Toby,D1a,Tianyi
39,tianyi,2018,D1a,Zheng Z,D1a,Zheng N,D1a,Toby,D1a,Tianyi
40,zhengning,2018,,Zheng Z,,Zheng N,,Toby,,Tianyi
41,toby,2018,D1a,Zheng Z,D1a,Zheng N,D1a,Toby,D1a,Tianyi
42,zhengzhang,1331,D1b,Zheng Z,D1a,Zheng N,D1b,Toby,D1a;D1b,Tianyi
43,tianyi,1331,D1b,Zheng Z,D1a,Zheng N,D1b,Toby,D1a;D1b,Tianyi
44,zhengning,1331,D1b,Zheng Z,D1a,Zheng N,D1b,Toby,D1a;D1b,Tianyi
52,toby,1331,D1b,Zheng Z,D1a,Zheng N,D1b,Toby,D1a; D1b,Tianyi
53,zhengzhang,1139,BF4,Zheng Z,BF4,Zheng N,BF4,Toby,BF4,Tianyi
54,tianyi,1139,BF4,Zheng Z,BF4,Zheng N,BF4,Toby,BF4; I1,Tianyi
55,zhengning,1139,BF4,Zheng Z,BF4,Zheng N,BF4,Toby,BF4,Tianyi
56,toby,1139,BF4,Zheng Z,BF4,Zheng N,BF4,Toby,BF4,Tianyi
57,zhengzhang,2179,I2,Zheng Z,I2,Zheng N,I1,Toby,I1;,Tianyi
58,tianyi,2179,H2; I2,Zheng Z,I2; H1,Zheng N,I1,Toby,I1; H1,Tianyi
59,zhengning,2179,I1; A1d,Zheng Z,I2; A1,Zheng N,I1,Toby,I1; A1d; DF2;,Tianyi
60,toby,2179,I1,Zheng Z,I2,Zheng N,I1,Toby,I1; D1; DF2,Tianyi
61,zhengzhang,2153,A1a; I2,Zheng Z,I2,Zheng N,I1,Toby,I1; A1a,Tianyi
62,tianyi,2153,I2; H2,Zheng Z,I2,Zheng N,I1;A1a,Toby,I1; H1; A1a,Tianyi
63,zhengning,2153,A1a,Zheng Z,I1,Zheng N,A1a,Toby,A1a,Tianyi
64,toby,2153,I2,Zheng Z,I2,Zheng N,I1,Toby,I1,Tianyi
65,zhengzhang,2168,I2; BL2,Zheng Z,I2; BL2,Zheng N,I1,Toby,I1; BL2,Tianyi
66,tianyi,2168,I2,Zheng Z,I2,Zheng N,I1;BL1,Toby,I1; BL3,Tianyi
