,sql_id,nl_query,Unnamed: 0,coder_tianyi,code_tianyi,coder,code_ning,sql,GT_sql
0,2149,List the project details of the projects which did not hire any staff for a researcher role.,4.0,Tianyi,A1a,zhengning,A1a,SELECT projects.project_details FROM projects JOIN project_staff ON projects.project_id = project_staff.project_id WHERE project_staff.role_code = 'researcher',SELECT project_details FROM Projects WHERE project_id NOT IN ( SELECT project_id FROM Project_Staff WHERE role_code = 'researcher' )
16,532,How many games are played for all students?,31.0,Tianyi,BL1; CL1,zhengning,"BL2, CL1, L4","SELECT COUNT( * ) , plays_games.stuid FROM plays_games",SELECT sum(gamesplayed) FROM Sportsinfo
34,2094,"What are the years of film market estimation for the market of Japan, ordered by year descending?",36.0,Tianyi,KA1b,zhengning,KA1b,SELECT film_market_estimation.year FROM film_market_estimation JOIN market ON film_market_estimation.market_id = market.market_id WHERE market.country = 'Japan',"SELECT T1.Year FROM film_market_estimation AS T1 JOIN market AS T2 ON T1.Market_ID = T2.Market_ID WHERE T2.Country = ""Japan"" ORDER BY T1.Year DESC"
50,1125,List the first and last name for players who participated in all star game in 1998.,56.0,Tianyi,BL2; BL3,zhengning,BL2,"SELECT player.name_first , player.name_first FROM player JOIN all_star ON player.player_id = all_star.player_id WHERE all_star.year = 1998","SELECT name_first , name_last FROM player AS T1 JOIN all_star AS T2 ON T1.player_id = T2.player_id WHERE YEAR = 1998"
66,2294,Show student ids who are female and play football.,72.0,Tianyi,CL1; D1,zhengning,"CL1, D1a",SELECT sportsinfo.stuid FROM sportsinfo WHERE student.sex = 'f' AND sportsinfo.sportname = 'football',"SELECT StuID FROM Student WHERE sex = 'F' INTERSECT SELECT StuID FROM Sportsinfo WHERE sportname = ""Football"""
82,1274,HOw many engineers are older than 30?,84.0,Tianyi,D1b,zhengning,D1b,SELECT COUNT( * ) FROM person WHERE person.age > 30 AND person.job = 'engineers',SELECT count(*) FROM Person WHERE age > 30 AND job = 'engineer'
101,251,List the names of states that have more than 2 parks.,104.0,Tianyi,BL1,zhengning,"BN1, BL1",SELECT park.city FROM park GROUP BY park.city HAVING COUNT( * ) > 2,SELECT state FROM park GROUP BY state HAVING count(*) > 2;
113,1978,What are the countries that participated in both friendly and tournament type competitions?,116.0,Tianyi,D1a,zhengning,D1a,SELECT competition.country FROM competition WHERE competition.competition_type = 'friendly' INTERSECT SELECT competition.country FROM competition WHERE competition.competition_type = 'tournament',SELECT country FROM competition WHERE competition_type = 'Friendly' INTERSECT SELECT country FROM competition WHERE competition_type = 'Tournament'
129,2018,What are the song names for every song whose rating is less than the minimum rating for English songs?,132.0,Tianyi,D1a,zhengning,D1a,SELECT song.song_name FROM song WHERE song.rating<(SELECT MIN( song.rating ) FROM song WHERE song.languages = 'English'),SELECT song_name FROM song WHERE rating < (SELECT min(rating) FROM song WHERE languages = 'english')
145,1331,"What are the first names for all faculty professors, ordered by first name?",176.0,Tianyi,D1a; D1b,zhengning,"K4, D1a, D1b","SELECT faculty.fname FROM faculty WHERE faculty.rank = 'professors,' ORDER BY faculty.fname ASC","SELECT Fname FROM FACULTY WHERE Rank = ""Professor"" ORDER BY Fname"
164,1139,"Count the number of times the team ""Boston Red Stockings"" lost in 2009 postseason.",183.0,Tianyi,BF4,zhengning,BF4,SELECT COUNT( * ) FROM postseason JOIN team ON postseason.team_id_loser = team.team_id_br WHERE team.name = 'Boston Red Stockings' AND postseason.losses = 2009,SELECT count(*) FROM postseason AS T1 JOIN team AS T2 ON T1.team_id_loser = T2.team_id_br WHERE T2.name = 'Boston Red Stockings' AND T1.year = 2009;
180,2179,What is the name of the department htat has no students minoring in it?,199.0,Tianyi,"N3, O2",zhengning,"N3, O2",SELECT department.dname FROM minor_in JOIN department ON minor_in.dno = department.dno GROUP BY minor_in.dno HAVING COUNT( * ) = 1,SELECT DName FROM DEPARTMENT EXCEPT SELECT T1.DName FROM DEPARTMENT AS T1 JOIN MINOR_IN AS T2 ON T1.DNO = T2.DNO
185,2179,What is the name of the department that has no students minoring in it?,199.0,Tianyi,"N3, O2",zhengning,"N3, O2",SELECT department.dname FROM minor_in JOIN department ON minor_in.dno = department.dno GROUP BY minor_in.dno HAVING COUNT( * ) = 1,SELECT DName FROM DEPARTMENT EXCEPT SELECT T1.DName FROM DEPARTMENT AS T1 JOIN MINOR_IN AS T2 ON T1.DNO = T2.DNO
