errorcategory,category_Krippendroffis_alpha
2149,1.0
532,1.0
2094,1.0
1125,1.0
2294,1.0
1274,1.0
251,0.7529411764705882
1978,1.0
2018,1.0
1331,0.631578947368421
1139,1.0
2179,1.0
2153,1.0
2168,0.8
2000,0.30000000000000004
1961,1.0
1578,1.0
1585,1.0
1671,1.0
1704,1.0
2373,1.0
798,1.0
1131,1.0
2374,1.0
1151,1.0
2051,1.0
1880,1.0
2069,0.7529411764705882
2367,-0.050000000000000044
2312,1.0
361,1.0
2037,1.0
1841,1.0
2078,0.7529411764705882
2151,1.0
2025,0.7529411764705882
2070,1.0
1804,1.0
1747,0.41666666666666663
1673,1.0
2310,0.41666666666666663
2061,1.0
478,1.0
1189,1.0
average,0.8983335678769115
