,error_type,Fleiss_kappa,Krippendroffis_alpha,stability_inter4,stability_inter34
0,A,0.3146391172956632,0.3183639047016656,0.07142857142857142,0.21428571428571427
1,F,0.3814983653359119,0.3848597872634341,0.2,0.36
2,B,0.5497219132369301,0.5521690767519466,0.3076923076923077,0.3076923076923077
3,N,0.7099316868102993,0.7115081450341566,0.25,0.75
4,L,0.4132740081572121,0.4164627363737485,0.14285714285714285,0.35714285714285715
5,D,0.8533397098676871,0.797221892437374,0.6521739130434783,0.8260869565217391
6,C,0.3362193362193359,0.3398268398268397,0.13333333333333333,0.2
7,E,0.4326517364492047,0.4357351509250243,0.08333333333333333,0.3333333333333333
8,G,0.3564702717245072,0.3599677158999194,0.0,0.25
9,M,0.049095607235141,0.0542635658914729,0.0,0.0
10,I,0.0884642604387836,0.0934182590233544,0.0,0.05263157894736842
11,H,-0.0109890109890019,-0.0054945054945054,0.0,0.0
12,K,0.6611418047882103,0.6629834254143646,0.0,1.0
13,average,0.395035292813068,0.393945076465292,0.14160143089908978,0.35778251907102465
