error_type,Krippendroffis_alpha
A1d,0.573968253968254
F1,0.11396648044692737
BN1,0.4916666666666667
BL1,0.3146067415730337
D1a,0.9122302158273381
D1,0.1345244351024698
D1c,0.4361344537815126
CE2,0.5667613636363636
F3,-0.03389830508474567
G1,0.3599677158999194
AN2,0.42883895131086147
DF2,0.17248062015503873
CM6,-0.03977272727272729
F4,0.5901256208004675
CL1,0.039586144849302785
E1,0.4361344537815127
F2,0.0
BL3,0.34158730158730166
A2a,-0.011049723756906049
A1b,0.3599677158999194
A1a,0.0
I1,0.0014880952380952328
BF4,0.7044573643410853
I2,0.1345244351024698
H2,-0.005494505494505475
BM1,0.0
A1g,0.0
D1b,1.0
L5,0.3296703296703297
N3,0.0
A1f,0.2136279926335175
A1e,0.3296703296703297
K2,0.3296703296703297
BE5,-0.005494505494505475
CE3,-0.005494505494505475
L4,0.11396648044692737
A1,-0.016666666666666607
CM4,-0.011049723756906049
KA1b,0.3296703296703297
CF5,0.0
average,0.24075930396772086
