,sql,nl_query,Unnamed: 0,sql_id,coder,code_ning,username,error_classification,GT_sql
0,SELECT DISTINCT artist.artist_name FROM artist JOIN song ON artist.artist_name = song.artist_name WHERE artist.country = 'Bangladesh' AND song.rating > 7,What are the names of the different artists from Bangladesh who never received a rating higher than a 7?,4.0,94.0,zhengning,"A1d, CL1",tianyi,"A1d, F1","SELECT DISTINCT artist_name FROM artist WHERE country  =  ""Bangladesh"" EXCEPT SELECT DISTINCT artist_name FROM song WHERE rating  >  7"
4,"SELECT hall_of_fame.ballots , COUNT( * ) FROM hall_of_fame GROUP BY hall_of_fame.ballots",Count the number of players who enter hall of fame for each year.,5.0,95.0,zhengning,"CL1, BL3",tianyi,"BN1, BL1","SELECT yearid ,  count(*) FROM hall_of_fame GROUP BY yearid;"
8,SELECT faculty.room FROM faculty WHERE faculty.rank = 'professor' AND faculty.building = 'NEB',Find the rooms of faculties with rank professor who live in building NEB.,6.0,96.0,zhengning,D1a,tianyi,D1a,"SELECT Room FROM FACULTY WHERE Rank  =  ""Professor"" AND Building  =  ""NEB"""
12,"SELECT checking.balance , savings.balance FROM accounts JOIN checking ON accounts.custid = checking.custid WHERE accounts.name = 'Brown’s'",Find the checking balance and saving balance in the Brown’s account.,7.0,97.0,zhengning,F4,tianyi,"D1, D1c, CE2","SELECT T2.balance ,  T3.balance FROM accounts AS T1 JOIN checking AS T2 ON T1.custid  =  T2.custid JOIN savings AS T3 ON T1.custid  =  T3.custid WHERE T1.name  =  'Brown'"
16,"SELECT medicine.name , medicine.trade_name FROM medicine WHERE medicine.fda_approved = 'yes'",What are the names and trade names of the medicines which has 'Yes' value in the FDA record?,8.0,98.0,zhengning,D1a,tianyi,D1a,"SELECT name ,  trade_name FROM medicine WHERE FDA_approved  =  'Yes'"
20,SELECT project_staff.role_code FROM project_staff WHERE project_staff.staff_id = 1 AND project_staff.date_from = 1 AND project_staff.date_to = 1 AND project_staff.date_from = 1 AND project_staff.date_to = 1,What are the staff roles of the staff who,9.0,99.0,zhengning,"F3, F4",tianyi,F3,SELECT role_code FROM Project_Staff WHERE date_from  >  '2003-04-19 15:06:20' AND date_to  <  '2016-03-15 00:33:18'
24,"SELECT mountain.id , mountain.name FROM mountain JOIN photos ON mountain.id = photos.mountain_id WHERE mountain.height > 'mountains'",What are the id and name of the photos for mountains?,10.0,100.0,zhengning,D1,tianyi,F3,"SELECT T1.id ,  T1.name FROM mountain AS T1 JOIN photos AS T2 ON T1.id  =  T2.mountain_id WHERE T1.height  >  4000"
34,"SELECT album.title , album.albumid FROM album JOIN track ON album.albumid = track.albumid WHERE track.unitprice > 1",What are the titles and ids for albums containing tracks with unit price greater than 1?,12.0,101.0,zhengning,"N3, CL1",tianyi,N3,"SELECT T1.Title ,  T2.AlbumID FROM ALBUM AS T1 JOIN TRACK AS T2 ON T1.AlbumId  =  T2.AlbumId WHERE T2.UnitPrice  >  1 GROUP BY T2.AlbumID"
38,SELECT student.lname FROM sportsinfo JOIN student ON sportsinfo.stuid = student.stuid WHERE sportsinfo.onscholarship = 'y',Show last names for all student who are on scholarship.,13.0,102.0,zhengning,D1a,tianyi,D1a,SELECT T2.Lname FROM Sportsinfo AS T1 JOIN Student AS T2 ON T1.StuID  =  T2.StuID WHERE T1.onscholarship  =  'Y'
42,SELECT COUNT( * ) FROM lessons WHERE lessons.lesson_status_code = 'cancelled',How many lessons have been cancelled?,14.0,103.0,zhengning,D1a,tianyi,D1a,"SELECT count(*) FROM Lessons WHERE lesson_status_code = ""Cancelled"";"
46,SELECT addresses.state_province_county FROM addresses JOIN staff ON addresses.address_id = staff.staff_address_id GROUP BY addresses.state_province_county HAVING COUNT( * ) >= 2,What are the names of the states that have 2 to 4 employees living there?,15.0,104.0,zhengning,F4,tianyi,DF2,SELECT T1.state_province_county FROM Addresses AS T1 JOIN Staff AS T2 ON T1.address_id = T2.staff_address_id GROUP BY T1.state_province_county HAVING count(*) BETWEEN 2 AND 4;
50,SELECT COUNT( * ) FROM customers JOIN lessons ON customers.customer_id = lessons.customer_id WHERE customers.first_name = 'Rylan' AND customers.last_name = 'Goodwin',How many lessons taken by customer with first name as Rylan and last name as Goodwin were completed?,16.0,105.0,zhengning,F4,tianyi,"BL1, F4","SELECT count(*) FROM Lessons AS T1 JOIN Customers AS T2 ON T1.customer_id  = T2.customer_id WHERE T2.first_name = ""Rylan"" AND T2.last_name = ""Goodwin"" AND T1.lesson_status_code = ""Completed"";"
54,"SELECT car_makers.maker , model_list.model FROM car_makers JOIN model_list ON car_makers.id = model_list.maker",What are all the makers and models?,,,,,,,
57,"SELECT COUNT( * ) , artist.artist_name FROM artist JOIN song ON artist.artist_name = song.artist_name WHERE song.languages = 'English' GROUP BY artist.artist_name",Find the names and number of works of all artists who have at least one English songs.,,,,,,,
