,error_category,Fleiss_kappa,Krippendroffis_alpha,stability_inter4,stability_inter34
0,B,0.6537634408602150,0.6556451612903230,0.45,0.6
1,F,0.5764153159502000,0.5342853103350770,0.3157894736842110,0.47368421052631600
2,D,0.899288451012589,0.8578478409869770,0.6875,0.875
3,I,0.365422102264208,0.3688708951866850,0.0,0.3333333333333330
4,L,0.7867472915091960,0.7879062736205590,0.5333333333333330,0.8
5,C,0.7025792395811370,0.7041956567573270,0.4,0.7
6,E,0.7025792395811370,0.7041956567573270,0.4,0.7
7,A,0.6392156862745100,0.5742771684945160,0.25,0.5
8,N,0.3901515151515140,0.393465909090909,0.0,0.25
9,K,0.7944134078212280,0.785034578146611,0.0,0.7
10,M,0.4257178526841450,0.4288389513108610,0.0,0.3333333333333330
11,G,-0.0165745856353656,-0.011049723756906,0.0,0.0
12,average,0.5766432464212260,0.562792806518356,0.2530519005847950,0.4637792397660820
