id,BF4,D1b,A1d,D1a,BL3,CE2,BL1,DF2,I2,F4,AN2,A1b,F2,BE5,L4,A1f,CM6,KA1b,D1c,CL1,BN1,L5,E1,A1a,K2,F1,D1,G1,CE3,A1e,F3,CF5,I1,BL2,average
toby,"{1152.0, 1155.0, 1741.0, 2353.0, 1138.0, 1752.0, 1596.0}",{448.0},"{2080.0, 1818.0, 2075.0}","{1120.0, 1994.0, 1101.0, 1118.0, 730.0, 1116.0, 2014.0}",set(),"{2080.0, 1867.0, 1869.0, 1741.0, 2353.0, 2014.0}","{448.0, 486.0, 447.0, 1866.0, 1867.0, 1869.0, 1720.0, 1998.0, 88.0, 862.0, 1567.0}",set(),"{2080.0, 2313.0, 447.0, 448.0}","{2080.0, 2124.0, 2161.0, 2162.0, 2135.0}",set(),"{556.0, 2135.0}",set(),{1138.0},{1719.0},{2014.0},{1580.0},{1821.0},"{1752.0, 1803.0}",set(),set(),set(),"{1665.0, 1187.0}",{2075.0},{1120.0},"{2008.0, 1997.0}","{1152.0, 763.0, 2135.0}",set(),set(),set(),set(),set(),set(),set(),
zhengz,"{1155.0, 2353.0, 1138.0, 2135.0, 1596.0}",{1752.0},"{2080.0, 1818.0}","{1120.0, 1994.0, 1101.0, 1118.0, 730.0, 1116.0, 2014.0}","{448.0, 1998.0, 447.0}","{2080.0, 2124.0, 1741.0, 1869.0, 2014.0}","{1665.0, 486.0, 1866.0, 1867.0, 1869.0, 1720.0, 2135.0, 88.0, 862.0, 1567.0}","{2008.0, 1152.0, 1803.0, 1997.0}","{448.0, 2313.0, 2075.0, 447.0}","{448.0, 2161.0, 2162.0, 2124.0}",{763.0},"{556.0, 486.0, 2135.0}",set(),set(),set(),{2014.0},{1580.0},{1821.0},set(),{1567.0},{862.0},"{448.0, 447.0}","{1665.0, 1187.0}",set(),set(),set(),{763.0},set(),{2353.0},{2313.0},{1152.0},{1580.0},set(),set(),
zhengn,"{1152.0, 1155.0, 1138.0, 1752.0, 1596.0}",{448.0},"{2080.0, 1818.0, 2075.0, 448.0}","{1120.0, 1994.0, 1101.0, 1118.0, 730.0, 1116.0, 2014.0}",{1998.0},"{2080.0, 2124.0, 1741.0, 1869.0, 2353.0, 2014.0}","{1665.0, 1866.0, 1867.0, 1720.0, 88.0, 862.0}",set(),set(),"{2080.0, 2124.0, 2161.0, 2162.0, 2135.0, 1596.0}",{763.0},"{556.0, 2135.0}",set(),{1138.0},set(),"{763.0, 2014.0}","{2014.0, 486.0}",set(),"{1752.0, 1997.0, 2008.0}","{1580.0, 1567.0}","{1869.0, 862.0}","{448.0, 447.0, 1719.0}",{1665.0},set(),set(),set(),"{1803.0, 763.0, 1152.0, 2135.0}",{1187.0},set(),{2313.0},set(),set(),{2008.0},{1869.0},
tianyi,"{1152.0, 1155.0}","{1752.0, 448.0}","{448.0, 1818.0, 2075.0}","{1120.0, 1994.0, 1101.0, 1118.0, 730.0, 1116.0, 2014.0}",{1998.0},"{2353.0, 1869.0, 1741.0}","{1665.0, 1866.0, 1867.0, 1720.0, 88.0, 862.0}","{1152.0, 1803.0, 1997.0, 2135.0, 763.0}","{2080.0, 2313.0, 447.0}","{448.0, 2124.0, 2161.0, 2162.0, 2135.0}",{2161.0},{556.0},{1187.0},{1138.0},{1719.0},{2014.0},"{1580.0, 486.0}",set(),{1596.0},"{1580.0, 1567.0}","{1869.0, 862.0}",{447.0},{1665.0},set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),
intersection4_id,{1155.0},set(),{1818.0},"{1120.0, 1994.0, 1101.0, 2014.0, 730.0, 1116.0, 1118.0}",set(),"{1741.0, 1869.0}","{1866.0, 1867.0, 1720.0, 88.0, 862.0}",set(),set(),"{2161.0, 2162.0, 2124.0}",set(),{556.0},set(),set(),set(),{2014.0},set(),set(),set(),set(),set(),set(),{1665.0},set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),
intersection3_id,"{1152.0, 1138.0, 1155.0, 1596.0}",{448.0},"{2080.0, 1818.0, 2075.0}","{1120.0, 1994.0, 1101.0, 1118.0, 730.0, 1116.0, 2014.0}",{1998.0},"{2080.0, 2353.0, 1741.0, 1869.0, 2014.0}","{1665.0, 1866.0, 1867.0, 1720.0, 88.0, 862.0}",set(),"{2313.0, 447.0}","{2161.0, 2162.0, 2135.0, 2124.0}",set(),"{556.0, 2135.0}",set(),{1138.0},set(),{2014.0},{1580.0},set(),set(),{1567.0},{862.0},{447.0},{1665.0},set(),set(),set(),{763.0},set(),set(),set(),set(),set(),set(),set(),
union_id,"{1152.0, 1155.0, 1741.0, 2353.0, 1138.0, 2135.0, 1752.0, 1596.0}","{1752.0, 448.0}","{448.0, 1818.0, 2075.0, 2080.0}","{1120.0, 1994.0, 1101.0, 1118.0, 730.0, 1116.0, 2014.0}","{448.0, 1998.0, 447.0}","{2080.0, 1867.0, 2124.0, 1869.0, 1741.0, 2353.0, 2014.0}","{448.0, 1665.0, 486.0, 447.0, 1866.0, 1867.0, 1869.0, 1720.0, 1998.0, 2135.0, 88.0, 862.0, 1567.0}","{1152.0, 1803.0, 1997.0, 2135.0, 2008.0, 763.0}","{2080.0, 448.0, 2313.0, 2075.0, 447.0}","{448.0, 2080.0, 2124.0, 2161.0, 2162.0, 2135.0, 1596.0}","{2161.0, 763.0}","{556.0, 486.0, 2135.0}",{1187.0},{1138.0},{1719.0},"{763.0, 2014.0}","{1580.0, 2014.0, 486.0}",{1821.0},"{1803.0, 1997.0, 2008.0, 1752.0, 1596.0}","{1580.0, 1567.0}","{1869.0, 862.0}","{448.0, 1719.0, 447.0}","{1665.0, 1187.0}",{2075.0},{1120.0},"{2008.0, 1997.0}","{1152.0, 1803.0, 763.0, 2135.0}",{1187.0},{2353.0},{2313.0},{1152.0},{1580.0},{2008.0},{1869.0},
intersection4,1,0,1,7,0,2,5,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
intersection3,4,1,3,7,1,5,6,0,2,4,0,2,0,1,0,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,
union,8,2,4,7,3,7,13,6,5,7,2,3,1,1,1,2,3,1,5,2,2,3,2,1,1,2,4,1,1,1,1,1,1,1,
