,sql_id,username,record_id,code
0,1155,tianyi,4f8cd8b7-8702-4750-a61e-d0af46403aba,BF4
1,1752,tianyi,70afbf27-86a0-4478-a641-70ad15e6d1e0,D1b
2,1155,zhengzhang,9bcca59a-f0e5-41ab-972b-a9068caafce4,BF4
3,1752,zhengzhang,3f114835-8527-41f2-80f4-d56f8975836f,D1b
4,2075,zhengzhang,5523e9f4-3cab-4a19-a1ae-c7a1703f97f6,I2
5,1116,zhengzhang,dfa961e3-80ba-4798-a7ba-47b6e3fffc89,D1a
6,1998,zhengzhang,80f68d8c-238a-4bd5-aa7a-4dcffb1acade,BL3
7,2353,zhengzhang,7a812993-a909-4fba-b39d-ff4c93b0ae6f,CE3
8,2353,zhengzhang,7a812993-a909-4fba-b39d-ff4c93b0ae6f,BF4
9,1120,zhengzhang,11f7ff85-3b21-4fb2-acb9-4fb0fa7dd77f,D1a
10,88,zhengzhang,e5aa235f-c4b3-419e-a7c5-208109ae47a1,BL1
11,2008,zhengzhang,272dca7c-863c-4827-8d6a-7baf13ad3701,DF2
12,1994,zhengzhang,4201c670-5a65-4845-b8ac-d6d1dcf523a3,D1a
13,1741,zhengzhang,37a252f3-b9b4-4d5c-a1a5-8abb426de31e,CE2
14,2080,zhengzhang,f696531d-483c-440a-ac42-3ce6b782dacb,A1d
15,2080,zhengzhang,f696531d-483c-440a-ac42-3ce6b782dacb,CE2
16,1866,zhengzhang,631446a7-fe2d-44ca-8016-1746023a6582,BL1
17,2124,zhengzhang,24d58270-6d51-471c-a179-eb86d86ed315,CE2
18,2124,zhengzhang,24d58270-6d51-471c-a179-eb86d86ed315,F4
19,2161,zhengzhang,d73291a1-69f6-413f-8d52-46f264a07153,F4
20,2135,zhengzhang,83fca758-0c3a-452c-96d3-c26df9628733,A1b
21,2135,zhengzhang,83fca758-0c3a-452c-96d3-c26df9628733,BL1
22,2135,zhengzhang,83fca758-0c3a-452c-96d3-c26df9628733,BF4
23,556,zhengzhang,f0cdeab8-0e41-4f9d-a24a-31f1125529c7,A1b
24,1720,zhengzhang,06935a64-2490-4ff3-a457-3febe9570874,BL1
25,1187,zhengzhang,63248a36-5abf-4a82-a052-813d4dfb29f1,E1
26,763,zhengzhang,6376f7ee-316d-4e2b-8a3d-ae4a5e9aecd8,AN2
27,763,zhengzhang,6376f7ee-316d-4e2b-8a3d-ae4a5e9aecd8,D1
28,1138,zhengzhang,d5f659d9-ce48-4c8b-b7a6-a7765d866393,BF4
29,2014,zhengzhang,c8b04fc5-eac2-470c-92ba-8868ef86eef1,CE2
30,2014,zhengzhang,c8b04fc5-eac2-470c-92ba-8868ef86eef1,D1a
31,2014,zhengzhang,c8b04fc5-eac2-470c-92ba-8868ef86eef1,A1f
32,486,zhengzhang,3390c263-2ae8-4cb3-9dba-4b38e01f98c2,A1b
33,486,zhengzhang,3390c263-2ae8-4cb3-9dba-4b38e01f98c2,BL1
