,sql,nl_query,Unnamed: 0,sql_id,record_id,session_id,coder,sql_id.1,GT_sql,username,code_ning,code_tianyi
0,SELECT SUM( home_game.games ) FROM home_game JOIN team ON home_game.team_id = team.team_id_br WHERE team.name = 'Boston Red Stockings' AND home_game.attendance BETWEEN 1990 and 2000,Count the total number of games the team Boston Red Stockings attended from 1990 to 2000.,0,101,dc48ce8f-04bd-4e80-a460-4785e16d564b,10f0a42b-9018-4d54-b4e7-826619e919d1,zhengning,1155,SELECT sum(T1.games) FROM home_game AS T1 JOIN team AS T2 ON T1.team_id = T2.team_id_br WHERE T2.name = 'Boston Red Stockings' AND T1.year BETWEEN 1990 AND 2000;,tianyi,BF4,BF4
4,SELECT AVG( cars_data.edispl ) FROM cars_data JOIN car_names ON cars_data.id = car_names.makeid WHERE car_names.make = 'volvos',What is the average edispl for all volvos?,1,102,7123583d-70e4-4f6f-9b96-cddb2e7008a1,10f0a42b-9018-4d54-b4e7-826619e919d1,zhengning,1752,SELECT avg(T2.edispl) FROM CAR_NAMES AS T1 JOIN CARS_DATA AS T2 ON T1.MakeId  =  T2.Id WHERE T1.Model  =  'volvo';,tianyi,D1b,D1b
8,SELECT procedures.name FROM procedures JOIN trained_in ON procedures.code = trained_in.treatment JOIN physician ON physician.employeeid = trained_in.physician WHERE physician.name = 'John Wen' AND procedures.cost > 1000,Find the names of all procedures which cost more than 1000 but which physician John Wen was not trained in?,2,103,4cbe3cff-8200-4a9d-a8fa-00dce2a5419f,10f0a42b-9018-4d54-b4e7-826619e919d1,zhengning,2075,"SELECT name FROM procedures WHERE cost  >  1000 EXCEPT SELECT T3.name FROM physician AS T1 JOIN trained_in AS T2 ON T1.employeeid  =  T2.physician JOIN procedures AS T3 ON T3.code  =  T2.treatment WHERE T1.name  =  ""John Wen""",tianyi,A1d,A1d
12,SELECT song.song_name FROM song WHERE song.genre_is = 'modern' OR song.languages = 'English',Find the names of songs whose genre is modern or language is English.,3,104,692b140f-b6db-40b3-92fa-6a51792acb96,10f0a42b-9018-4d54-b4e7-826619e919d1,zhengning,1116,"SELECT song_name FROM song WHERE genre_is  =  ""modern"" OR languages  =  ""english""",tianyi,D1a,D1a
16,SELECT artist.country FROM artist JOIN song ON artist.artist_name = song.artist_name WHERE song.song_name LIKE '%love%',"What are the names of the artists who released a song that has the word love in its title, and where are the artists from?",4,105,93c27621-4c05-437d-8340-9e41f155a2a3,10f0a42b-9018-4d54-b4e7-826619e919d1,zhengning,1998,"SELECT T1.artist_name ,  T1.country FROM artist AS T1 JOIN song AS T2 ON T1.artist_name  =  T2.artist_name WHERE T2.song_name LIKE ""%love%""",tianyi,BL3,BL3
20,SELECT COUNT( * ) FROM routes JOIN airlines ON routes.alid = airlines.alid WHERE airlines.country = 'Italy' AND airlines.callsign = 'American Airlines',What is the number of routes operated by the airline American Airlines whose destinations are in Italy?,5,106,0c94def7-8575-4789-ac6f-af6e666cdfeb,10f0a42b-9018-4d54-b4e7-826619e919d1,zhengning,2353,SELECT count(*) FROM routes AS T1 JOIN airports AS T2 ON T1.dst_apid  =  T2.apid JOIN airlines AS T3 ON T1.alid  =  T3.alid WHERE T2.country  =  'Italy' AND T3.name  =  'American Airlines',tianyi,CE2,CE2
24,"SELECT song.f_id , song.genre_is , song.artist_name FROM song WHERE song.languages = 'English' ORDER BY song.rating ASC","List the id, genre and artist name of English songs ordered by rating.",6,107,52a61660-c27b-4702-bfaf-6d1fd1e738d8,10f0a42b-9018-4d54-b4e7-826619e919d1,zhengning,1120,"SELECT f_id ,  genre_is ,  artist_name FROM song WHERE languages  =   ""english"" ORDER BY rating",tianyi,D1a,D1a
28,SELECT DISTINCT products.product_color FROM products,Show all product sizes.,7,108,8175f106-1b49-45a4-9b3e-1ba6a99bb165,10f0a42b-9018-4d54-b4e7-826619e919d1,zhengning,88,SELECT DISTINCT product_size FROM Products,tianyi,BL1,BL1
32,"SELECT MAX( song.resolution ) , MIN( song.resolution ) FROM files JOIN song ON files.f_id = song.f_id WHERE files.duration = 3",What is the maximum and minimum resolution of all songs that are approximately 3 minutes long?,8,109,078433e8-f474-4f34-bf57-ae58d3db2bf7,10f0a42b-9018-4d54-b4e7-826619e919d1,zhengning,2008,"SELECT max(T2.resolution) ,  min(T2.resolution) FROM files AS T1 JOIN song AS T2 ON T1.f_id  =  T2.f_id WHERE T1.duration LIKE ""3:%""",tianyi,D1c,DF2
42,SELECT DISTINCT song.song_name FROM song WHERE song.resolution > (SELECT MIN( song.resolution ) FROM song WHERE song.languages = 'English'),What are the different names for all songs that have a higher resolution than English songs?,10,110,c32cc601-81ad-4e1f-88a1-27f838f4a5e7,10f0a42b-9018-4d54-b4e7-826619e919d1,zhengning,1994,"SELECT DISTINCT song_name FROM song WHERE resolution  >  (SELECT min(resolution) FROM song WHERE languages  =  ""english"")",tianyi,D1a,D1a
46,SELECT COUNT( * ) FROM car_makers WHERE car_makers.country = 'france',How many car makers are there in france?,11,111,6d9a9d63-389e-4cfc-8ab3-34f9b453a2ea,10f0a42b-9018-4d54-b4e7-826619e919d1,zhengning,1741,SELECT count(*) FROM CAR_MAKERS AS T1 JOIN COUNTRIES AS T2 ON T1.Country  =  T2.CountryId WHERE T2.CountryName  =  'france';,tianyi,CE2,CE2
50,SELECT patient.name FROM patient,What are the names of patients who are not taking the medication of Procrastin-X.,12,112,0b383d37-4934-4ff4-94cc-8a190c188857,10f0a42b-9018-4d54-b4e7-826619e919d1,zhengning,2080,SELECT name FROM patient EXCEPT SELECT T1.name FROM patient AS T1 JOIN Prescribes AS T2 ON T2.Patient  =  T1.SSN JOIN Medication AS T3 ON T2.Medication  =  T3.Code WHERE T3.name  =  'Procrastin-X',tianyi,"CE2, A1d, F4","CE2, A1d, F4"
54,SELECT products.product_color FROM products WHERE products.product_id NOT IN (SELECT order_items.product_id FROM order_items),Show all product names without an order.,13,113,97216879-f194-402c-b4f9-99982a48747d,10f0a42b-9018-4d54-b4e7-826619e919d1,zhengning,1866,SELECT product_name FROM Products EXCEPT SELECT T1.product_name FROM Products AS T1 JOIN Order_items AS T2 ON T1.product_id  =  T2.product_id,tianyi,BL1,BL1
58,"SELECT student.fname , student.lname FROM club JOIN member_of_club ON club.clubid = member_of_club.clubid WHERE club.clubname = 'Bootup Baltimore'","Who is the president of the club ""Bootup Baltimore""? Give me the first and last name.",14,114,583e30b1-a0d2-4507-8b35-bc5ba0a42b82,10f0a42b-9018-4d54-b4e7-826619e919d1,zhengning,2124,"SELECT t3.fname ,  t3.lname FROM club AS t1 JOIN member_of_club AS t2 ON t1.clubid  =  t2.clubid JOIN student AS t3 ON t2.stuid  =  t3.stuid WHERE t1.clubname  =  ""Bootup Baltimore"" AND t2.position  =  ""President""",tianyi,F4,F4
62,SELECT projects.project_details FROM projects ORDER BY projects.organisation_id ASC,List the project details of the projects launched by the organisation,15,115,9e45270a-aafd-4ba5-b4f4-d25d03ba9571,10f0a42b-9018-4d54-b4e7-826619e919d1,zhengning,2161,SELECT project_details FROM Projects WHERE organisation_id IN ( SELECT organisation_id FROM Projects GROUP BY organisation_id ORDER BY count(*) DESC LIMIT 1 ),tianyi,F4,"F4, AN2"
66,SELECT COUNT( * ) FROM student JOIN member_of_club ON student.stuid = member_of_club.stuid JOIN club ON member_of_club.clubid = club.clubid WHERE student.fname = 'Eric Tai',"How many clubs does the student named ""Eric Tai"" belong to?",16,116,3f5af4c4-3ea1-4cf6-b034-74e6e628b255,10f0a42b-9018-4d54-b4e7-826619e919d1,zhengning,2135,"SELECT count(DISTINCT t1.clubname) FROM club AS t1 JOIN member_of_club AS t2 ON t1.clubid  =  t2.clubid JOIN student AS t3 ON t2.stuid  =  t3.stuid WHERE t3.fname  =  ""Eric"" AND t3.lname  =  ""Tai""",tianyi,"D1, F4","F4, D1"
70,SELECT individuals.individual_last_name FROM individuals JOIN organization_contact_individuals ON individuals.individual_id = organization_contact_individuals.individual_id,What are the last names of individuals who have been contact individuals for an organization?,17,117,57834672-e1d8-4994-948d-2ded7fa03e8f,10f0a42b-9018-4d54-b4e7-826619e919d1,zhengning,556,SELECT DISTINCT t1.individual_last_name FROM individuals AS t1 JOIN organization_contact_individuals AS t2 ON t1.individual_id  =  t2.individual_id,tianyi,A1b,A1b
74,"SELECT AVG( stadium.average ) , MAX( stadium.capacity ) FROM stadium",What is the average and maximum capacities for all stadiums ?,18,118,9a41e903-69fb-4c87-b5a8-9094d04db1fd,10f0a42b-9018-4d54-b4e7-826619e919d1,zhengning,1720,"select avg(capacity) ,  max(capacity) from stadium",tianyi,BL1,BL1
