,sql_id,username,record_id,code
0,101,tianyi,record_id,BF4
1,102,tianyi,record_id,D1b
2,103,tianyi,record_id,A1d
3,104,tianyi,record_id,D1a
4,105,tianyi,record_id,BL3
5,106,tianyi,record_id,CE2
6,107,tianyi,record_id,D1a
7,108,tianyi,record_id,BL1
8,109,tianyi,record_id,DF2
9,110,tianyi,record_id,D1a
10,111,tianyi,record_id,CE2
11,112,tianyi,record_id,nan
12,113,tianyi,record_id,BL1
13,114,tianyi,record_id,F4
14,115,tianyi,record_id,F4
15,115,tianyi,record_id,AN2
16,116,tianyi,record_id,F4
17,116,tianyi,record_id,D1
18,117,tianyi,record_id,A1b
19,118,tianyi,record_id,BL1
20,119,tianyi,record_id,F2
21,120,tianyi,record_id,O3
22,120,tianyi,record_id,AN2
23,121,tianyi,record_id,BE5
24,122,tianyi,record_id,L4
25,123,tianyi,record_id,D1a
26,123,tianyi,record_id,A1f
27,124,tianyi,record_id,nan
28,125,tianyi,record_id,DF2
29,126,tianyi,record_id,KA1b
30,127,tianyi,record_id,nan
31,128,tianyi,record_id,DF2
32,129,tianyi,record_id,nan
33,130,tianyi,record_id,nan
34,131,tianyi,record_id,A1d
35,132,tianyi,record_id,nan
36,133,tianyi,record_id,D1c
37,134,tianyi,record_id,CL1
38,135,tianyi,record_id,D1b
39,135,tianyi,record_id,F4
40,135,tianyi,record_id,A1d
41,136,tianyi,record_id,D1a
42,137,tianyi,record_id,CE2
43,137,tianyi,record_id,BN1
44,138,tianyi,record_id,D1a
45,139,tianyi,record_id,DF2
46,139,tianyi,record_id,BF4
47,140,tianyi,record_id,CL1
48,141,tianyi,record_id,D1a
49,142,tianyi,record_id,L5
50,143,tianyi,record_id,BL1
51,144,tianyi,record_id,BL1
52,144,tianyi,record_id,E1
53,145,tianyi,record_id,BL1
54,145,tianyi,record_id,BN1
55,146,tianyi,record_id,F4
56,101,zhengning,record_id,BF4
57,102,zhengning,record_id,D1b
58,103,zhengning,record_id,A1d
59,104,zhengning,record_id,D1a
60,105,zhengning,record_id,BL3
61,106,zhengning,record_id,CE2
62,107,zhengning,record_id,D1a
63,108,zhengning,record_id,BL1
64,109,zhengning,record_id,D1c
65,110,zhengning,record_id,D1a
66,111,zhengning,record_id,CE2
67,112,zhengning,record_id,CE2
68,112,zhengning,record_id,A1d
69,112,zhengning,record_id,F4
70,113,zhengning,record_id,BL1
71,114,zhengning,record_id,F4
72,115,zhengning,record_id,F4
73,116,zhengning,record_id,D1
74,116,zhengning,record_id,F4
75,117,zhengning,record_id,A1b
76,118,zhengning,record_id,BL1
77,119,zhengning,record_id,F2
78,120,zhengning,record_id,O3
79,120,zhengning,record_id,AN2
80,121,zhengning,record_id,BF4
81,121,zhengning,record_id,BE5
82,122,zhengning,record_id,L5
83,123,zhengning,record_id,D1a
84,123,zhengning,record_id,AO
85,124,zhengning,record_id,CL1
86,125,zhengning,record_id,D1c
87,126,zhengning,record_id,KA1b
88,127,zhengning,record_id,F4
89,128,zhengning,record_id,D1
90,129,zhengning,record_id,A1
91,129,zhengning,record_id,D1
92,130,zhengning,record_id,A1e
93,131,zhengning,record_id,A1d
94,132,zhengning,record_id,nan
95,133,zhengning,record_id,BF4
96,133,zhengning,record_id,F4
97,134,zhengning,record_id,CL1
98,135,zhengning,record_id,D1b
99,135,zhengning,record_id,F4
100,135,zhengning,record_id,A1d
101,136,zhengning,record_id,D1a
102,137,zhengning,record_id,BL2
103,137,zhengning,record_id,CE2
104,137,zhengning,record_id,BN1
105,138,zhengning,record_id,D1a
106,139,zhengning,record_id,D1
107,139,zhengning,record_id,BF4
108,140,zhengning,record_id,CL1
109,141,zhengning,record_id,D1a
110,142,zhengning,record_id,L5
111,143,zhengning,record_id,BL1
112,144,zhengning,record_id,E1
113,144,zhengning,record_id,BL1
114,145,zhengning,record_id,BL1
115,145,zhengning,record_id,BN1
116,146,zhengning,record_id,F4
