,sql_id,record_id,session_id,coder,sql_id,sql,GT_sql,username,code_ning,code_tianyi
0,101,dc48ce8f-04bd-4e80-a460-4785e16d564b,10f0a42b-9018-4d54-b4e7-826619e919d1,zhengning,1155,SELECT SUM( home_game.games ) FROM home_game JOIN team ON home_game.team_id = team.team_id_br WHERE team.name = 'Boston Red Stockings' AND home_game.attendance BETWEEN 1990 and 2000,SELECT sum(T1.games) FROM home_game AS T1 JOIN team AS T2 ON T1.team_id = T2.team_id_br WHERE T2.name = 'Boston Red Stockings' AND T1.year BETWEEN 1990 AND 2000;,tianyi,BF4,BF4
1,102,7123583d-70e4-4f6f-9b96-cddb2e7008a1,10f0a42b-9018-4d54-b4e7-826619e919d1,zhengning,1752,SELECT AVG( cars_data.edispl ) FROM cars_data JOIN car_names ON cars_data.id = car_names.makeid WHERE car_names.make = 'volvos',SELECT avg(T2.edispl) FROM CAR_NAMES AS T1 JOIN CARS_DATA AS T2 ON T1.MakeId  =  T2.Id WHERE T1.Model  =  'volvo';,tianyi,D1b,D1b
2,103,4cbe3cff-8200-4a9d-a8fa-00dce2a5419f,10f0a42b-9018-4d54-b4e7-826619e919d1,zhengning,2075,SELECT procedures.name FROM procedures JOIN trained_in ON procedures.code = trained_in.treatment JOIN physician ON physician.employeeid = trained_in.physician WHERE physician.name = 'John Wen' AND procedures.cost > 1000,"SELECT name FROM procedures WHERE cost  >  1000 EXCEPT SELECT T3.name FROM physician AS T1 JOIN trained_in AS T2 ON T1.employeeid  =  T2.physician JOIN procedures AS T3 ON T3.code  =  T2.treatment WHERE T1.name  =  ""John Wen""",tianyi,A1d,A1d
3,104,692b140f-b6db-40b3-92fa-6a51792acb96,10f0a42b-9018-4d54-b4e7-826619e919d1,zhengning,1116,SELECT song.song_name FROM song WHERE song.genre_is = 'modern' OR song.languages = 'English',"SELECT song_name FROM song WHERE genre_is  =  ""modern"" OR languages  =  ""english""",tianyi,D1a,D1a
4,105,93c27621-4c05-437d-8340-9e41f155a2a3,10f0a42b-9018-4d54-b4e7-826619e919d1,zhengning,1998,SELECT artist.country FROM artist JOIN song ON artist.artist_name = song.artist_name WHERE song.song_name LIKE '%love%',"SELECT T1.artist_name ,  T1.country FROM artist AS T1 JOIN song AS T2 ON T1.artist_name  =  T2.artist_name WHERE T2.song_name LIKE ""%love%""",tianyi,BL3,BL3
5,106,0c94def7-8575-4789-ac6f-af6e666cdfeb,10f0a42b-9018-4d54-b4e7-826619e919d1,zhengning,2353,SELECT COUNT( * ) FROM routes JOIN airlines ON routes.alid = airlines.alid WHERE airlines.country = 'Italy' AND airlines.callsign = 'American Airlines',SELECT count(*) FROM routes AS T1 JOIN airports AS T2 ON T1.dst_apid  =  T2.apid JOIN airlines AS T3 ON T1.alid  =  T3.alid WHERE T2.country  =  'Italy' AND T3.name  =  'American Airlines',tianyi,CE2,CE2
6,107,52a61660-c27b-4702-bfaf-6d1fd1e738d8,10f0a42b-9018-4d54-b4e7-826619e919d1,zhengning,1120,"SELECT song.f_id , song.genre_is , song.artist_name FROM song WHERE song.languages = 'English' ORDER BY song.rating ASC","SELECT f_id ,  genre_is ,  artist_name FROM song WHERE languages  =   ""english"" ORDER BY rating",tianyi,D1a,D1a
7,108,8175f106-1b49-45a4-9b3e-1ba6a99bb165,10f0a42b-9018-4d54-b4e7-826619e919d1,zhengning,88,SELECT DISTINCT products.product_color FROM products,SELECT DISTINCT product_size FROM Products,tianyi,BL1,BL1
8,109,078433e8-f474-4f34-bf57-ae58d3db2bf7,10f0a42b-9018-4d54-b4e7-826619e919d1,zhengning,2008,"SELECT MAX( song.resolution ) , MIN( song.resolution ) FROM files JOIN song ON files.f_id = song.f_id WHERE files.duration = 3","SELECT max(T2.resolution) ,  min(T2.resolution) FROM files AS T1 JOIN song AS T2 ON T1.f_id  =  T2.f_id WHERE T1.duration LIKE ""3:%""",tianyi,D1c,DF2
9,109,078433e8-f474-4f34-bf57-ae58d3db2bf7,10f0a42b-9018-4d54-b4e7-826619e919d1,zhengning,2008,"SELECT MAX( song.resolution ) , MIN( song.resolution ) FROM files JOIN song ON files.f_id = song.f_id WHERE files.duration = 3","SELECT max(T2.resolution) ,  min(T2.resolution) FROM files AS T1 JOIN song AS T2 ON T1.f_id  =  T2.f_id WHERE T1.duration LIKE ""3:%""",tianyi,D1c,DF2
