,sql_id,username,record_id,error_classification
0,1694,tianyi,10e9d7c9-18a5-4611-a92d-4c364070d01c,"F1, F2"
1,1834,tianyi,63cb7e43-77e4-46cb-bfea-dbf5fffb1683,"D1a, I2"
2,2303,tianyi,83459448-3642-4fa3-bc91-a5a333b1725c,CL1
3,1728,tianyi,ea78b826-53f5-4f19-b15c-e75f0cc44fd4,BN1
4,1815,tianyi,f14ab50c-3836-4e92-a503-f918a63f6391,AN2
5,2384,tianyi,e42d5108-7d9c-4d91-a691-b62d46ac3275,"CL1, CM6"
6,2188,tianyi,927ff72b-72a6-4c7f-88dc-1dc348aef8e1,CE2
7,525,tianyi,850aca7c-de59-4db8-8498-68c715054073,"A1f, AN2"
8,517,tianyi,af78b05e-c021-4717-ac40-fa022434d774,D1
9,1098,tianyi,b89c3446-b748-47d3-af41-f121dabc3980,D1
10,2397,tianyi,1679a504-b9d5-4b2d-95f2-99a1ae55426b,F1
11,1504,tianyi,5eef9c64-3327-46db-b1d6-8dead6bc04f7,D1a
12,1047,tianyi,a002b9c9-1f5e-463a-9f63-515d9508a2d8,D1a
13,1048,tianyi,31ce1b92-60b3-40a2-aaf9-9253cfbe34b8,D1a
14,1737,tianyi,64b4734a-2ab7-41ed-9d00-5df31a22c727,BE5
15,248,tianyi,cb8fd312-b7f9-40dc-b7ea-8af288e0ae9e,BL3
16,1648,tianyi,d52ac067-1144-4716-a182-ce703cf48a09,BL2
17,2375,tianyi,3d444ee8-bf86-49a9-a5cf-bc26faa44fe7,CE3
19,1695,tianyi,189ea93e-757c-4186-b857-d2f2ae49023e,"F1, F2"
20,2055,tianyi,45a6822c-a76e-4087-bd26-37d06bd61f30,"BL1, CL1, CE2"
21,2352,tianyi,1061c8e4-dc79-49f8-9214-e861e80df620,BF4
22,877,tianyi,4a06fe32-1226-4bfc-a563-7a906fc2bfc9,"BL3, L4"
23,1148,tianyi,8cff8682-890e-4e7c-b139-300322684e69,BF4
24,1807,tianyi,4c78cc3f-5aa7-4802-afb8-842201f5d4b0,A2a
25,1137,tianyi,f60da818-edf5-45d5-86d7-c2ad7e61bd3d,BL1
27,306,tianyi,73cec21a-6099-4ece-9d1f-8838a94dfc32,D1
28,1952,tianyi,80478c4b-4caf-4b8e-ba2b-80daafbb0df4,D1
29,1147,tianyi,8e22390e-bba8-49e0-9cca-9571a9a596a7,BF4
30,1988,tianyi,5eef5333-b3cd-46a8-9b70-8ca0ac2e15ec,D1a
31,445,tianyi,5877c784-e077-4863-b960-49b7583ba754,BL3
32,2372,tianyi,7f218586-73f4-4251-9815-ba27684dcddb,CL1
34,1726,tianyi,1c3ec481-fe04-49bb-bffb-1bd4d739d3ed,BL1
35,1188,tianyi,6ea652f1-99f0-4f2e-80ee-c063eb73387d,A1
36,237,tianyi,d6091559-6fc2-4c58-af71-277ce597b7f2,D1a
37,526,tianyi,898fc519-fc88-44d3-aba5-4e1cb05f8473,BL3
38,2381,tianyi,f399f617-aff7-417b-ac8e-b08ef10165ad,"CL1, CE3"
39,1827,tianyi,bc5bd9ce-9b4d-4442-8648-a747aefeb666,"BL3, F3"
40,487,tianyi,f967ce0e-f8c8-4ee7-896b-83e965c1fefd,"F3, I2"
41,922,tianyi,c0c9bb4b-cccf-4eec-acb2-5260328314bb,"CE3, F3, A1f"
42,2396,tianyi,c97447c2-1c8c-443b-9827-77a9e21be50f,D1
43,1579,tianyi,4e7c1879-28d6-408b-b796-c35d29085b47,"CM6, CE2"
44,2148,tianyi,81adfe16-e0b0-44b0-8a5e-5e36d0d7f11f,"D1a, BF4, CF5, CE2"
45,2152,tianyi,0e61684f-1f75-40e9-82ee-8424e5c83000,"CE2, KA1b"
46,584,tianyi,5d177f19-98f5-4b6a-aa4d-344a303840e3,E1
47,670,tianyi,8372d19c-5cf7-4926-9417-618a843f722e,E1
49,1100,tianyi,48b499b6-ba50-49ef-b122-aca72f3eaa23,D1a
50,1778,tianyi,4d14db65-c63b-45e4-8e22-dfff57a09606,BN1
51,603,tianyi,74d1ca0a-8979-4399-ba35-5007ad40d923,D1a
52,2041,tianyi,fe1d16f7-d1dc-4ff0-ad33-9e9e91a8e4f5,CL1
53,107,tianyi,6545cf10-b904-4e93-94b5-4814d1a6809f,BL3
55,2331,tianyi,feda4881-f816-42b1-846f-9e81d9ef4a75,"L5, A1e, BL3"
56,2044,tianyi,3d878c23-791b-437d-a6d6-9448b849fb54,"D1a, A1d"
57,1102,tianyi,6f5f2ef4-e742-4677-9ad6-ba40cb9796c2,D1a
58,1211,tianyi,f80938b3-4edd-4a1a-9f3f-73857a3be276,I2
59,2269,tianyi,b217c1aa-da5f-4e64-8047-beda2d2f8fad,D1a
60,2330,tianyi,4e05b52e-23d5-4a96-862b-74db940048d4,"A1e, L5"
61,2368,tianyi,dd0edef2-ee88-4b34-a276-a29e85199ba6,CM6
63,2172,tianyi,029c7240-925b-43ec-b1a9-ab62f6056cd8,CE2
64,2053,tianyi,dae3b469-ecf0-458a-9176-ac88d1803ad7,K2
65,788,tianyi,2ddd4341-1cff-404e-8c1e-0b8ab0d65925,D1a
66,2295,tianyi,01778dcf-23bd-46d7-8339-c1612e060973,"D1a, CM6, F2, A1g"
67,1678,tianyi,64c3c476-4ced-4ff4-b24e-a528792fd779,D1c
69,253,tianyi,243ed805-7591-4614-bf94-dfe9c82db5bb,D1a
70,1344,tianyi,589ebce4-0507-4df4-aa62-870904bc4408,D1
71,479,tianyi,715ac837-6123-4e45-b519-69561e6c2c0d,D1a
72,2034,tianyi,08f55d70-26cc-4c3a-9fb0-94b5d28a184d,"BE5, AN2"
73,665,tianyi,96901265-14e7-4032-b257-eb3463f5ac27,BL1
