errorcategory,category_Krippendroffis_alpha
1694,1.0
1834,-0.16666666666666674
2303,1.0
1728,0.5625
1815,0.5625
2384,0.7529411764705882
2188,1.0
525,0.7529411764705882
517,1.0
1098,1.0
2397,-0.050000000000000044
1504,1.0
1047,1.0
1048,1.0
1737,0.125
248,0.2588235294117647
1648,1.0
2375,1.0
1695,0.631578947368421
2055,1.0
2352,1.0
877,1.0
1148,1.0
1807,1.0
1137,0.41666666666666663
306,1.0
1952,1.0
1147,1.0
1988,0.631578947368421
445,0.631578947368421
2372,0.2588235294117647
1726,1.0
1188,-0.050000000000000044
237,1.0
526,0.7529411764705882
2381,0.7529411764705882
1827,0.41666666666666663
487,-0.16666666666666674
922,0.4
2396,-0.050000000000000044
1579,0.5625
2148,0.8205128205128205
2152,1.0
584,0.631578947368421
670,1.0
1100,1.0
1778,0.5625
603,1.0
2041,0.41666666666666663
107,0.2588235294117647
2331,0.41666666666666663
2044,1.0
1102,1.0
1211,-0.050000000000000044
2269,1.0
2330,1.0
2368,-0.10526315789473673
2172,1.0
2053,1.0
788,1.0
2295,0.4
1678,1.0
253,1.0
1344,1.0
479,1.0
2034,0.65
665,1.0
2147,0.8
2169,1.0
1672,1.0
1697,1.0
2377,1.0
2376,0.7529411764705882
618,0.7529411764705882
2383,0.7529411764705882
2074,0.2588235294117647
492,0.8264462809917356
1702,1.0
1170,1.0
1150,1.0
2079,0.41666666666666663
2386,0.631578947368421
555,1.0
2297,0.625
2345,-0.10526315789473673
621,1.0
1955,-0.050000000000000044
1962,1.0
1856,1.0
1287,1.0
285,1.0
1456,1.0
1602,1.0
1839,0.631578947368421
613,1.0
2015,1.0
2217,1.0
1144,1.0
1252,1.0
2009,0.5625
775,1.0
2056,0.8264462809917356
2350,0.7529411764705882
2292,0.625
1756,-0.16666666666666674
789,1.0
1868,0.7529411764705882
1327,1.0
2006,-0.050000000000000044
2005,0.631578947368421
681,1.0
1325,1.0
2215,1.0
2219,1.0
45,1.0
1611,1.0
1608,1.0
2035,0.30000000000000004
2338,0.41666666666666663
1115,0.631578947368421
284,1.0
686,1.0
2017,1.0
2157,1.0
1833,1.0
2158,1.0
1136,1.0
1562,0.7529411764705882
1736,-0.16666666666666674
2380,0.41666666666666663
2187,1.0
1556,1.0
1121,1.0
1890,-0.050000000000000044
1746,0.41666666666666663
1740,0.631578947368421
1500,1.0
2385,1.0
1262,1.0
1099,0.2588235294117647
774,1.0
1660,1.0
2039,1.0
1503,1.0
821,1.0
1154,1.0
2266,1.0
2040,1.0
446,0.41666666666666663
1455,1.0
493,0.4
1709,1.0
986,1.0
2001,0.2588235294117647
1784,0.5625
2343,1.0
2311,0.41666666666666663
2371,-0.16666666666666674
2155,1.0
1126,1.0
2117,1.0
1881,0.625
2190,1.0
924,1.0
687,1.0
2189,1.0
1788,1.0
1974,1.0
2101,-0.050000000000000044
254,1.0
649,1.0
1999,1.0
2011,1.0
1744,1.0
2026,1.0
1921,1.0
1950,0.7529411764705882
1557,1.0
1367,0.41666666666666663
2184,1.0
1822,0.7529411764705882
2167,1.0
2060,0.7529411764705882
754,1.0
2043,1.0
1103,1.0
1666,1.0
1698,1.0
1130,0.8
362,1.0
623,1.0
1787,1.0
1145,0.7529411764705882
1875,1.0
2284,1.0
2030,0.625
246,0.7529411764705882
238,1.0
2032,0.625
1261,1.0
1171,1.0
242,-0.10526315789473673
1124,1.0
1225,1.0
2171,-0.23529411764705888
1300,1.0
245,0.2588235294117647
682,1.0
1742,0.7529411764705882
966,1.0
705,1.0
1586,1.0
354,1.0
249,0.2588235294117647
250,1.0
1598,0.41666666666666663
2327,0.41666666666666663
1329,1.0
2214,1.0
1323,1.0
2150,-0.16666666666666674
1877,0.7529411764705882
2045,1.0
474,1.0
270,1.0
985,1.0
1701,1.0
1703,1.0
1984,1.0
575,1.0
2029,1.0
1140,1.0
2356,0.8205128205128205
1993,1.0
2329,0.8
2185,1.0
614,1.0
1576,1.0
average,0.7877701682351024
