,0,1,2,3,4,5,6
error_category,zhengn,tianyi,intersection2_id,union_id,intersection2,union,inter2/union
F1,"{1701.0, 1702.0, 1703.0, 1611.0, 1695.0}","{1955.0, 1701.0, 1702.0, 1703.0, 1611.0, 2101.0, 2074.0, 2397.0, 1694.0, 1695.0}","{1701.0, 1702.0, 1703.0, 1611.0, 1695.0}","{1955.0, 1701.0, 1702.0, 1703.0, 1611.0, 2101.0, 2074.0, 2397.0, 1694.0, 1695.0}",5,10,0.5
F2,"{1598.0, 1099.0, 1694.0}","{2001.0, 2295.0, 1694.0, 1695.0}",{1694.0},"{1598.0, 1099.0, 2001.0, 2295.0, 1694.0, 1695.0}",1,6,0.16666666666666666
D1a,"{774.0, 775.0, 2184.0, 2185.0, 270.0, 1170.0, 1171.0, 788.0, 789.0, 1047.0, 1048.0, 924.0, 1833.0, 1323.0, 1325.0, 45.0, 1327.0, 1456.0, 686.0, 1455.0, 687.0, 821.0, 1856.0, 1988.0, 2117.0, 966.0, 1225.0, 1993.0, 1100.0, 1102.0, 1103.0, 1742.0, 2005.0, 985.0, 2266.0, 603.0, 1115.0, 2269.0, 986.0, 479.0, 1504.0, 2017.0, 1121.0, 2147.0, 1503.0, 354.0, 2026.0, 237.0, 238.0, 754.0, 2292.0, 2295.0, 2043.0, 2044.0, 253.0, 254.0}","{774.0, 775.0, 2184.0, 2185.0, 270.0, 1170.0, 1171.0, 788.0, 789.0, 1047.0, 1048.0, 924.0, 1833.0, 1834.0, 1323.0, 1325.0, 45.0, 1327.0, 1456.0, 686.0, 1455.0, 687.0, 821.0, 1856.0, 1988.0, 2117.0, 966.0, 1225.0, 1993.0, 1100.0, 1102.0, 1103.0, 1742.0, 2005.0, 2006.0, 985.0, 2266.0, 603.0, 986.0, 2269.0, 479.0, 1504.0, 2017.0, 1121.0, 2147.0, 2148.0, 1503.0, 354.0, 2026.0, 237.0, 238.0, 754.0, 2292.0, 2295.0, 2043.0, 2044.0, 253.0, 254.0}","{774.0, 775.0, 2184.0, 2185.0, 270.0, 1170.0, 1171.0, 788.0, 789.0, 1047.0, 1048.0, 924.0, 1833.0, 1323.0, 1325.0, 45.0, 1327.0, 1456.0, 686.0, 1455.0, 687.0, 821.0, 1856.0, 1988.0, 2117.0, 966.0, 1225.0, 1993.0, 1100.0, 1102.0, 1103.0, 1742.0, 2005.0, 985.0, 2266.0, 603.0, 986.0, 2269.0, 479.0, 1504.0, 2017.0, 1121.0, 2147.0, 1503.0, 354.0, 2026.0, 237.0, 238.0, 754.0, 2292.0, 2295.0, 2043.0, 2044.0, 253.0, 254.0}","{774.0, 775.0, 2184.0, 2185.0, 270.0, 1170.0, 1171.0, 788.0, 789.0, 1047.0, 1048.0, 924.0, 1833.0, 1834.0, 1323.0, 1325.0, 45.0, 1327.0, 1456.0, 686.0, 1455.0, 687.0, 821.0, 1856.0, 1988.0, 2117.0, 966.0, 1225.0, 1993.0, 1100.0, 1102.0, 1103.0, 1742.0, 2005.0, 2006.0, 985.0, 2266.0, 603.0, 986.0, 2269.0, 1115.0, 479.0, 1504.0, 2017.0, 1121.0, 2147.0, 2148.0, 1503.0, 354.0, 2026.0, 237.0, 238.0, 754.0, 2292.0, 2295.0, 2043.0, 2044.0, 253.0, 254.0}",55,59,0.9322033898305084
I2,set(),"{487.0, 2311.0, 1834.0, 618.0, 2171.0, 2386.0, 2035.0, 242.0, 1211.0, 2079.0}",set(),"{487.0, 2311.0, 1834.0, 618.0, 2171.0, 2386.0, 2035.0, 242.0, 1211.0, 2079.0}",0,10,0.0
CL1,"{249.0, 1576.0, 1579.0, 2381.0, 2384.0, 2034.0, 2035.0, 2292.0, 1746.0, 245.0, 1815.0, 2297.0, 1660.0, 2303.0}","{2372.0, 2329.0, 2055.0, 2381.0, 493.0, 2384.0, 2292.0, 2327.0, 2041.0, 1660.0, 2303.0}","{2381.0, 2384.0, 2292.0, 1660.0, 2303.0}","{2055.0, 1815.0, 2327.0, 2329.0, 2041.0, 1576.0, 1579.0, 2372.0, 2381.0, 2384.0, 1746.0, 249.0, 493.0, 2034.0, 2035.0, 2292.0, 245.0, 2297.0, 1660.0, 2303.0}",5,20,0.25
BN1,"{1728.0, 1126.0, 1737.0, 681.0, 682.0, 2350.0, 2030.0, 1778.0, 2356.0, 2039.0, 2040.0, 2011.0, 2045.0}","{1728.0, 1126.0, 681.0, 682.0, 1868.0, 2030.0, 1778.0, 2356.0, 2039.0, 2040.0, 2011.0, 2045.0}","{1728.0, 1126.0, 681.0, 682.0, 2030.0, 1778.0, 2356.0, 2039.0, 2040.0, 2011.0, 2045.0}","{1728.0, 1126.0, 681.0, 682.0, 1737.0, 1868.0, 2030.0, 2350.0, 1778.0, 2356.0, 2039.0, 2040.0, 2011.0, 2045.0}",11,14,0.7857142857142857
AN2,"{525.0, 1822.0, 2034.0, 1815.0, 2009.0, 1500.0, 1950.0, 2015.0}","{525.0, 1822.0, 2034.0, 1815.0, 2009.0, 1500.0, 1950.0, 2015.0}","{525.0, 2034.0, 1950.0, 1815.0, 2009.0, 1500.0, 1822.0, 2015.0}","{525.0, 1822.0, 2034.0, 1815.0, 2009.0, 1500.0, 1950.0, 2015.0}",8,8,1.0
CM6,"{1728.0, 2371.0, 1736.0, 1737.0, 107.0, 492.0, 493.0, 2383.0, 2356.0, 246.0, 1756.0}","{2368.0, 2056.0, 1579.0, 492.0, 2383.0, 2384.0, 245.0, 246.0, 2295.0, 249.0}","{492.0, 246.0, 2383.0}","{2368.0, 1728.0, 2371.0, 2056.0, 1737.0, 1736.0, 1579.0, 492.0, 107.0, 493.0, 2383.0, 2384.0, 2356.0, 245.0, 246.0, 2295.0, 249.0, 1756.0}",3,18,0.16666666666666666
CE2,"{2055.0, 2056.0, 2187.0, 2188.0, 2189.0, 2060.0, 1576.0, 1962.0, 2356.0, 1984.0, 2375.0, 2376.0, 2377.0, 1875.0, 1881.0, 2147.0, 2148.0, 2152.0, 2157.0, 2158.0, 2032.0, 248.0, 2172.0}","{2055.0, 2056.0, 2187.0, 2188.0, 2189.0, 2060.0, 1576.0, 1962.0, 1579.0, 2356.0, 1984.0, 2376.0, 2377.0, 2380.0, 1875.0, 1881.0, 2148.0, 2152.0, 2157.0, 2158.0, 2032.0, 2172.0}","{2055.0, 2056.0, 2187.0, 2188.0, 2189.0, 2060.0, 1576.0, 1962.0, 2356.0, 1984.0, 2376.0, 2377.0, 1875.0, 1881.0, 2148.0, 2152.0, 2157.0, 2158.0, 2032.0, 2172.0}","{2055.0, 2056.0, 2187.0, 2188.0, 2189.0, 2060.0, 1576.0, 1962.0, 1579.0, 2356.0, 1984.0, 2375.0, 2376.0, 2377.0, 2380.0, 1875.0, 1881.0, 2147.0, 2148.0, 2152.0, 2157.0, 2158.0, 2032.0, 248.0, 2172.0}",20,25,0.8
