,sql,nl_query,GT_sql,tianyi,tianyi_code,zhengn,zhengn_code
18,"SELECT station.name , station.location FROM station ORDER BY station.name , station.annual_interchanges ASC",List the names and locations of all stations ordered by their yearly entry exit and interchange amounts.,"SELECT name ,  LOCATION FROM station ORDER BY Annual_entry_exit ,  Annual_interchanges",tianyi,K3,zhengning,K3
26,"SELECT student.major , AVG( student.age ) , MIN( student.age ) FROM student GROUP BY student.major","Show the average, minimum, and maximum age for different majors.","SELECT major ,  avg(age) ,  min(age) ,  max(age) FROM Student GROUP BY major",tianyi,L5,zhengning,L5
33,SELECT physician.name FROM physician WHERE physician.employeeid NOT IN (SELECT appointment.physician FROM appointment),List the name of physicians who never took any appointment.,SELECT name FROM physician EXCEPT SELECT T2.name FROM appointment AS T1 JOIN physician AS T2 ON T1.Physician  =  T2.EmployeeID,tianyi,,zhengning,
48,"SELECT journalist.name , event.name FROM news_report JOIN event ON news_report.event_id = event.event_id JOIN journalist ON news_report.journalist_id = journalist.journalist_id ORDER BY event.name ASC",Show the names of journalists and the names of the events they reported in ascending order,"SELECT T3.Name ,  T2.Name FROM news_report AS T1 JOIN event AS T2 ON T1.Event_ID  =  T2.Event_ID JOIN journalist AS T3 ON T1.journalist_ID  =  T3.journalist_ID ORDER BY T2.Event_Attendance ASC",tianyi,K3,zhengning,K3
54,SELECT projects.project_details FROM projects EXCEPT SELECT projects.project_details FROM projects JOIN project_outcomes ON projects.project_id = project_outcomes.project_id,What are the details of the project with no outcomes?,SELECT project_details FROM Projects WHERE project_id NOT IN ( SELECT project_id FROM Project_outcomes ),tianyi,,zhengning,
62,SELECT MIN( cars_data.weight ) FROM cars_data WHERE cars_data.cylinders = 1974 AND cars_data.cylinders = 8,What is the smallest weight of the car produced with 8 cylinders on 1974 ?,select min(weight) from cars_data where cylinders  =  8 and year  =  1974,tianyi,BF4,zhengning,BF4
68,"SELECT MAX( song.resolution ) , MIN( song.resolution ) FROM files JOIN song ON files.f_id = song.f_id WHERE files.duration = 3",What are the maximum and minimum resolution of songs whose duration is 3 minutes?,"SELECT max(T2.resolution) ,  min(T2.resolution) FROM files AS T1 JOIN song AS T2 ON T1.f_id  =  T2.f_id WHERE T1.duration LIKE ""3:%""",tianyi,DF2,zhengning,DF2
75,SELECT artist.name FROM artist WHERE artist.artistid NOT IN (SELECT album.artistid FROM album),Find the names of artists that do not have any albums.,SELECT Name FROM ARTIST EXCEPT SELECT T2.Name FROM ALBUM AS T1 JOIN ARTIST AS T2 ON T1.ArtistId  =  T2.ArtistId,tianyi,"CL1, BL1",zhengning,"CL1, BL1"
102,SELECT people.name FROM debate_people JOIN people ON debate_people.affirmative = people.people_id,List the names of people that have not been on the affirmative side of debates.,SELECT Name FROM people WHERE People_id NOT IN (SELECT Affirmative FROM debate_people),tianyi,"E1, F4",zhengning,"E1, F4"
103,SELECT employees.employee_name FROM employees WHERE employees.employee_id NOT IN (SELECT circulation_history.employee_id FROM circulation_history),List the employees who have not showed up in any circulation history of documents. List the employee's name.,SELECT employee_name FROM Employees EXCEPT SELECT Employees.employee_name FROM Employees JOIN Circulation_History ON Circulation_History.employee_id = Employees.employee_id,tianyi,,zhengning,
