,type_Fleiss_kappa
1694,0.6502732240437158
1834,0.7830508474576271
2303,1.0
1728,0.6502732240437158
1815,0.6502732240437158
2384,1.0
2188,1.0
525,0.4666666666666667
517,1.0
1098,-0.03225806451612903
2397,-0.03225806451612903
1504,1.0
1047,1.0
1048,1.0
1737,-0.04918032786885246
248,-0.04918032786885246
1648,0.6502732240437158
2375,-0.03225806451612903
1695,0.4666666666666667
2055,0.7830508474576271
2352,1.0
877,-0.04918032786885246
1148,1.0
1807,1.0
1137,-0.03225806451612903
306,-0.03225806451612903
1952,1.0
1147,1.0
1988,0.6502732240437158
445,-0.03225806451612903
2372,-0.04918032786885246
1726,1.0
1188,-0.03225806451612903
237,1.0
526,-0.04918032786885246
2381,0.6502732240437158
1827,0.6502732240437158
487,0.4666666666666667
922,0.26436781609195403
2396,-0.03225806451612903
1579,0.4666666666666667
2148,0.632183908045977
2152,1.0
584,0.6502732240437158
670,1.0
1100,1.0
1778,0.6502732240437158
603,1.0
2041,-0.03225806451612903
107,-0.04918032786885246
2331,0.4666666666666667
2044,1.0
1102,1.0
1211,1.0
2269,1.0
2330,0.4666666666666667
2368,1.0
2172,1.0
2053,1.0
788,1.0
2295,1.0
1678,1.0
253,1.0
1344,-0.03225806451612903
479,1.0
2034,0.7830508474576271
665,1.0
2147,0.34915254237288135
2169,1.0
1672,1.0
1697,1.0
2377,1.0
2376,0.6502732240437158
618,1.0
2383,0.6502732240437158
2074,0.34915254237288135
492,0.8395989974937343
1702,1.0
1170,1.0
1150,1.0
2079,0.6502732240437158
2386,1.0
555,1.0
2297,1.0
2345,-0.03225806451612903
621,1.0
1955,1.0
1962,1.0
1856,0.6502732240437158
1287,1.0
285,1.0
1456,1.0
1602,1.0
1839,0.6502732240437158
613,1.0
2015,0.632183908045977
2217,1.0
1144,1.0
1252,-0.03225806451612903
2009,0.4666666666666667
775,1.0
2056,1.0
2350,1.0
2292,0.632183908045977
1756,-0.03225806451612903
789,1.0
1868,0.6502732240437158
1327,1.0
2006,-0.03225806451612903
2005,0.6502732240437158
681,1.0
1325,1.0
2215,-0.03225806451612903
2219,1.0
45,1.0
1611,1.0
1608,1.0
2035,0.4666666666666667
2338,0.6502732240437158
1115,0.4666666666666667
284,1.0
686,1.0
2017,1.0
2157,0.7830508474576271
1833,1.0
2158,0.4666666666666667
1136,1.0
1562,0.6502732240437158
average,0.7064348341937375
