,Unnamed: 0,sql,nl_query,GT_sql,tianyi,tianyi_code,zhengn,zhengn_code
0,18.0,"SELECT station.name , station.location FROM station ORDER BY station.name , station.annual_interchanges ASC",List the names and locations of all stations ordered by their yearly entry exit and interchange amounts.,"SELECT name ,  LOCATION FROM station ORDER BY Annual_entry_exit ,  Annual_interchanges",tianyi,K3,zhengning,K3
1,26.0,"SELECT student.major , AVG( student.age ) , MIN( student.age ) FROM student GROUP BY student.major","Show the average, minimum, and maximum age for different majors.","SELECT major ,  avg(age) ,  min(age) ,  max(age) FROM Student GROUP BY major",tianyi,L5,zhengning,L5
2,33.0,SELECT physician.name FROM physician WHERE physician.employeeid NOT IN (SELECT appointment.physician FROM appointment),List the name of physicians who never took any appointment.,SELECT name FROM physician EXCEPT SELECT T2.name FROM appointment AS T1 JOIN physician AS T2 ON T1.Physician  =  T2.EmployeeID,tianyi,,zhengning,
3,48.0,"SELECT journalist.name , event.name FROM news_report JOIN event ON news_report.event_id = event.event_id JOIN journalist ON news_report.journalist_id = journalist.journalist_id ORDER BY event.name ASC",Show the names of journalists and the names of the events they reported in ascending order,"SELECT T3.Name ,  T2.Name FROM news_report AS T1 JOIN event AS T2 ON T1.Event_ID  =  T2.Event_ID JOIN journalist AS T3 ON T1.journalist_ID  =  T3.journalist_ID ORDER BY T2.Event_Attendance ASC",tianyi,K3,zhengning,K3
4,54.0,SELECT projects.project_details FROM projects EXCEPT SELECT projects.project_details FROM projects JOIN project_outcomes ON projects.project_id = project_outcomes.project_id,What are the details of the project with no outcomes?,SELECT project_details FROM Projects WHERE project_id NOT IN ( SELECT project_id FROM Project_outcomes ),tianyi,,zhengning,
5,62.0,SELECT MIN( cars_data.weight ) FROM cars_data WHERE cars_data.cylinders = 1974 AND cars_data.cylinders = 8,What is the smallest weight of the car produced with 8 cylinders on 1974 ?,select min(weight) from cars_data where cylinders  =  8 and year  =  1974,tianyi,BF4,zhengning,BF4
6,68.0,"SELECT MAX( song.resolution ) , MIN( song.resolution ) FROM files JOIN song ON files.f_id = song.f_id WHERE files.duration = 3",What are the maximum and minimum resolution of songs whose duration is 3 minutes?,"SELECT max(T2.resolution) ,  min(T2.resolution) FROM files AS T1 JOIN song AS T2 ON T1.f_id  =  T2.f_id WHERE T1.duration LIKE ""3:%""",tianyi,DF2,zhengning,DF2
7,75.0,SELECT artist.name FROM artist WHERE artist.artistid NOT IN (SELECT album.artistid FROM album),Find the names of artists that do not have any albums.,SELECT Name FROM ARTIST EXCEPT SELECT T2.Name FROM ALBUM AS T1 JOIN ARTIST AS T2 ON T1.ArtistId  =  T2.ArtistId,tianyi,"CL1, BL1",zhengning,"CL1, BL1"
8,102.0,SELECT people.name FROM debate_people JOIN people ON debate_people.affirmative = people.people_id,List the names of people that have not been on the affirmative side of debates.,SELECT Name FROM people WHERE People_id NOT IN (SELECT Affirmative FROM debate_people),tianyi,"E1, F4",zhengning,"E1, F4"
9,103.0,SELECT employees.employee_name FROM employees WHERE employees.employee_id NOT IN (SELECT circulation_history.employee_id FROM circulation_history),List the employees who have not showed up in any circulation history of documents. List the employee's name.,SELECT employee_name FROM Employees EXCEPT SELECT Employees.employee_name FROM Employees JOIN Circulation_History ON Circulation_History.employee_id = Employees.employee_id,tianyi,,zhengning,
10,108.0,"SELECT draft_copies.document_id , COUNT( * ) FROM draft_copies GROUP BY draft_copies.document_id ORDER BY COUNT( * ) DESC LIMIT 1",Which document has the most draft copies? List its document id and number of draft copies.,"SELECT document_id , count(copy_number) FROM Draft_Copies GROUP BY document_id ORDER BY count(copy_number) DESC LIMIT 1;",tianyi,,zhengning,
11,123.0,SELECT AVG( customer.credit_score ) FROM customer JOIN loan ON customer.cust_id = loan.cust_id,What is the average credit score for customers who have taken a loan?,SELECT avg(credit_score) FROM customer WHERE cust_id IN (SELECT cust_id FROM loan),tianyi,,zhengning,
12,138.0,SELECT addresses.city FROM addresses JOIN staff ON addresses.address_id = staff.staff_address_id WHERE customers.first_name = 'Janessa' AND customers.last_name = 'Sawayn',In what city does Janessa Sawayn live?,"SELECT T1.city FROM Addresses AS T1 JOIN Staff AS T2 ON T1.address_id = T2.staff_address_id WHERE T2.first_name = ""Janessa"" AND T2.last_name = ""Sawayn"";",tianyi,,zhengning,
13,152.0,SELECT customers.customer_name FROM customers JOIN orders ON customers.customer_id = orders.customer_id WHERE orders.date_order_placed >= 2009-01-01 AND orders.date_order_placed <= 2010-01-01,Give me the names of customers who have placed orders between 2009-01-01 and 2010-01-01.,"SELECT T1.customer_name FROM customers AS T1 JOIN orders AS T2 ON T1.customer_id = T2.customer_id WHERE T2.date_order_placed >= ""2009-01-01"" AND T2.date_order_placed <= ""2010-01-01""",tianyi,DF2,zhengning,DF2
14,181.0,SELECT staff.first_name FROM staff WHERE staff.staff_id NOT IN (SELECT lessons.staff_id FROM lessons),What is the first name of the staff who did not give any lesson?,SELECT first_name FROM Staff EXCEPT SELECT T2.first_name FROM Lessons AS T1 JOIN Staff AS T2 ON T1.staff_id  =  T2.staff_id,tianyi,,zhengning,
15,184.0,SELECT countries.countryname FROM countries WHERE countries.countryid NOT IN (SELECT car_makers.country FROM car_makers),What are the names of the countries with no car makers?,SELECT CountryName FROM countries EXCEPT SELECT T1.CountryName FROM countries AS T1 JOIN CAR_MAKERS AS T2 ON T1.countryId  =  T2.Country;,tianyi,,zhengning,
16,189.0,"SELECT COUNT( * ) , block.blockfloor FROM block JOIN room ON block.blockfloor = room.blockfloor JOIN block ON block.blockcode = room.blockcode GROUP BY block.blockfloor",Find the number of rooms located on each block floor.,"SELECT count(*) ,  T1.blockfloor FROM BLOCK AS T1 JOIN room AS T2 ON T1.blockfloor  =  T2.blockfloor AND T1.blockcode  =  T2.blockcode GROUP BY T1.blockfloor",tianyi,"BL2, G1",zhengning,"BL2, G1"
17,196.0,SELECT DISTINCT student.fname FROM enrolled_in JOIN student ON enrolled_in.stuid = student.stuid WHERE gradeconversion.gradepoint >= 3.8 GROUP BY enrolled_in.stuid HAVING COUNT( * ) >= 3,What are the distinct first names for students with a grade point of 3.8 or above in at least one course?,SELECT DISTINCT T3.Fname FROM ENROLLED_IN AS T1 JOIN GRADECONVERSION AS T2 JOIN STUDENT AS T3 ON T1.Grade  =  T2.lettergrade AND T1.StuID  =  T3.StuID WHERE T2.gradepoint  >=  3.8,tianyi,"CE2, O2, N3",zhengning,"CE2, O2, N3"
18,215.0,"SELECT MIN( tv_series.share ) , MAX( tv_series.share ) FROM tv_series",What is minimum and maximum share of TV series?,"SELECT max(SHARE) , min(SHARE) FROM TV_series;",tianyi,,zhengning,
19,216.0,"SELECT train.time , train.train_number FROM train WHERE train.destination = 'Chennai,' ORDER BY train.time ASC","Give me the times and numbers of all trains that go to Chennai, ordered by time.","SELECT TIME ,  train_number FROM train WHERE destination  =  'Chennai' ORDER BY TIME",tianyi,D1c,zhengning,D1c
20,236.0,"SELECT company.name , people.name FROM employment JOIN people ON employment.people_id = people.people_id JOIN company ON employment.company_id = company.company_id ORDER BY employment.year_working DESC",Show names of companies and that of employees in descending order of number of years working for that employee.,"SELECT T3.Name ,  T2.Name FROM employment AS T1 JOIN people AS T2 ON T1.People_ID  =  T2.People_ID JOIN company AS T3 ON T1.Company_ID  =  T3.Company_ID ORDER BY T1.Year_working",tianyi,K2,zhengning,K2
21,238.0,SELECT customers.state FROM customers GROUP BY customers.state ORDER BY COUNT( * ) DESC LIMIT 1,Give the state that has the most customers.,SELECT state FROM customers GROUP BY state ORDER BY count(*) LIMIT 1,tianyi,K2,zhengning,K2
22,239.0,SELECT plays_games.stuid FROM plays_games INTERSECT SELECT sportsinfo.sportname FROM sportsinfo,Show ids of students who play video game and play sports.,SELECT StuID FROM Sportsinfo INTERSECT SELECT StuID FROM Plays_games,tianyi,,zhengning,
23,242.0,SELECT DISTINCT student.fname FROM student JOIN enrolled_in ON student.stuid = enrolled_in.stuid JOIN gradeconversion ON gradeconversion.lettergrade = enrolled_in.stuid WHERE gradeconversion.gradepoint >= 3.8 GROUP BY enrolled_in.stuid,Find the distinct student first names of all students that have grade point at least 3.8 in one course.,SELECT DISTINCT T3.Fname FROM ENROLLED_IN AS T1 JOIN GRADECONVERSION AS T2 JOIN STUDENT AS T3 ON T1.Grade  =  T2.lettergrade AND T1.StuID  =  T3.StuID WHERE T2.gradepoint  >=  3.8,tianyi,N3,zhengning,N3
24,246.0,SELECT countries.countryname FROM countries WHERE countries.countryid NOT IN (SELECT car_makers.country FROM car_makers),What are the name of the countries where there is not a single car maker?,SELECT CountryName FROM countries EXCEPT SELECT T1.CountryName FROM countries AS T1 JOIN CAR_MAKERS AS T2 ON T1.countryId  =  T2.Country;,tianyi,,zhengning,
25,255.0,SELECT customers.customer_details FROM customers WHERE customers.customer_id NOT IN (SELECT policies.customer_id FROM policies),What are the names of customers who do not have any policies?,SELECT customer_details FROM customers EXCEPT SELECT t2.customer_details FROM policies AS t1 JOIN customers AS t2 ON t1.customer_id  =  t2.customer_id,tianyi,,zhengning,
26,257.0,SELECT student.stuid FROM student WHERE student.stuid NOT IN (SELECT sportsinfo.stuid FROM plays_games UNION SELECT plays_games.stuid FROM plays_games),What are the ids of all students who are not video game players?,SELECT StuID FROM Student EXCEPT SELECT StuID FROM Plays_games,tianyi,A2b,zhengning,A2b
27,265.0,SELECT tv_channel.package_option FROM tv_channel JOIN cartoon ON tv_channel.id = cartoon.channel WHERE cartoon.directed_by != 'Ben Jones',find the package option of the tv channel that do not have any cartoon directed by Ben Jones.,SELECT package_option FROM TV_Channel WHERE id NOT IN (SELECT channel FROM cartoon WHERE directed_by  =  'Ben Jones'),tianyi,,zhengning,
28,266.0,SELECT DISTINCT products.product_id FROM order_items JOIN orders ON order_items.order_id = orders.order_id WHERE orders.date_order_placed >= '1975-01-01' AND orders.date_order_placed <= '1976-01-01',What are the distinct ids of products ordered between 1975-01-01 and 1976-01-01??,"SELECT DISTINCT T2.product_id FROM orders AS T1 JOIN order_items AS T2 ON T1.order_id = T2.order_id WHERE T1.date_order_placed >= ""1975-01-01"" AND T1.date_order_placed <= ""1976-01-01""",tianyi,CL1,zhengning,CL1
29,267.0,SELECT COUNT( * ) FROM train_station,How many train stations are there?,SELECT count(*) FROM station,tianyi,CL1,zhengning,CL1
30,268.0,SELECT COUNT( DISTINCT airports.city ) FROM airports HAVING COUNT( * ) > 3,How many cities are there that have more than 3 airports?,SELECT count(*) FROM (SELECT city FROM airports GROUP BY city HAVING count(*)  >  3),tianyi,AN2,zhengning,AN2
31,269.0,"SELECT COUNT( * ) , airports.name FROM airports JOIN routes ON airports.apid = routes.src_apid GROUP BY airports.name ORDER BY COUNT( * ) DESC LIMIT 1","For each  airport name, how many routes start at that airport, ordered from most to least?","SELECT count(*) ,  T1.name FROM airports AS T1 JOIN routes AS T2 ON T1.apid  =  T2.src_apid GROUP BY T1.name ORDER BY count(*) DESC",tianyi,Q1,zhengning,Q1
32,270.0,SELECT film_market_estimation.year FROM film_market_estimation JOIN market ON film_market_estimation.market_id = market.market_id WHERE market.country = 'Japan',"Please list the years of film market estimations when the market is in country ""Japan"" in descending order.","SELECT T1.Year FROM film_market_estimation AS T1 JOIN market AS T2 ON T1.Market_ID  =  T2.Market_ID WHERE T2.Country  =  ""Japan"" ORDER BY T1.Year DESC",tianyi,KA1b,zhengning,KA1b
33,271.0,SELECT sportsinfo.stuid FROM sportsinfo JOIN student ON sportsinfo.stuid = student.stuid WHERE sportsinfo.onscholarship = 'y' AND sportsinfo.onscholarship = 'y' AND student.major = 600,What are the student ids for those on scholarship in major number 600?,SELECT StuID FROM Student WHERE major  =  600 INTERSECT SELECT StuID FROM Sportsinfo WHERE onscholarship  =  'Y',tianyi,"BL3, F3, A1g",zhengning,"BL3, F3, A1g"
