errorcategory,category_Krippendroffis_alpha
746,1.0
1088,0.4375
1317,0.8163265306122449
548,1.0
159,1.0
375,0.7
1064,0.18181818181818188
1217,1.0
930,1.0
1220,0.64
745,1.0
612,-0.08000000000000007
712,-0.03846153846153855
831,0.7652173913043478
1377,1.0
1247,1.0
707,0.8163265306122449
562,1.0
982,1.0
853,1.0
836,1.0
697,0.18181818181818188
1389,1.0
663,1.0
528,0.7652173913043478
425,0.7652173913043478
769,1.0
1092,1.0
704,1.0
457,1.0
646,0.7652173913043478
1269,1.0
1093,1.0
211,1.0
694,-0.125
238,1.0
820,1.0
475,1.0
1045,0.7652173913043478
868,1.0
1325,0.64
1291,-0.125
1356,1.0
1214,1.0
584,1.0
1170,0.5909090909090909
978,1.0
1251,1.0
471,0.5909090909090909
380,1.0
883,-0.08000000000000007
1326,0.7652173913043478
1016,-0.17391304347826075
1169,0.44897959183673475
1392,1.0
134,0.64
360,0.64
1043,0.5909090909090909
1058,0.64
652,0.5909090909090909
847,-0.2857142857142856
1067,0.5263157894736842
994,1.0
998,1.0
709,0.7652173913043478
692,0.4375
1239,1.0
1242,0.7652173913043478
917,0.64
1225,1.0
1146,-0.08000000000000007
392,-0.08000000000000007
1096,0.5909090909090909
547,1.0
771,1.0
806,-0.125
593,0.4375
208,1.0
350,0.4375
874,1.0
630,0.08163265306122447
968,1.0
1273,0.8163265306122449
1071,1.0
75,-0.08000000000000007
892,1.0
504,1.0
45,1.0
1083,0.8163265306122449
662,1.0
651,1.0
46,0.4375
567,1.0
660,1.0
1232,1.0
672,0.7652173913043478
71,1.0
374,0.64
842,1.0
472,1.0
387,1.0
735,1.0
192,0.64
90,1.0
106,0.64
743,1.0
1166,0.6625
1295,0.6625
1277,0.6625
1288,0.5909090909090909
679,1.0
1253,0.44897959183673475
1238,0.5909090909090909
674,0.29565217391304355
1192,0.6625
972,1.0
1391,1.0
1100,0.18181818181818188
226,-0.03846153846153855
151,0.64
474,0.8163265306122449
809,0.7652173913043478
812,0.8421052631578947
1034,0.7652173913043478
297,0.64
946,0.6625
1070,0.64
1285,0.08163265306122447
624,0.64
1349,-0.08000000000000007
1037,-0.125
1298,0.5909090909090909
1244,0.6625
332,0.7652173913043478
719,0.8163265306122449
1402,1.0
1191,0.4375
283,1.0
1168,0.7652173913043478
583,1.0
1281,0.29565217391304355
669,1.0
107,1.0
1022,1.0
1065,0.08163265306122447
680,1.0
623,1.0
1237,1.0
1227,1.0
1044,1.0
1007,0.7652173913043478
726,0.5909090909090909
734,-0.125
772,0.7652173913043478
816,-0.22727272727272707
1358,0.29565217391304355
441,0.21052631578947367
611,0.29565217391304355
1361,0.29565217391304355
1111,1.0
1150,0.7652173913043478
1354,1.0
1292,1.0
193,1.0
1090,1.0
942,0.7652173913043478
1161,0.4375
1199,1.0
1066,0.08163265306122447
1151,1.0
899,0.64
854,1.0
780,0.5909090909090909
1290,0.8163265306122449
1149,1.0
229,0.7652173913043478
656,1.0
713,1.0
280,1.0
1069,0.5909090909090909
592,0.44897959183673475
675,1.0
967,1.0
414,-0.10526315789473695
649,0.7652173913043478
906,1.0
698,1.0
317,1.0
757,1.0
761,1.0
851,0.64
1059,1.0
1046,1.0
1062,1.0
1324,0.64
391,-0.125
1010,1.0
762,1.0
1246,0.5909090909090909
1068,0.4375
625,1.0
971,1.0
1057,-0.08000000000000007
992,0.5909090909090909
5,0.6625
1173,1.0
1174,1.0
821,0.6625
711,1.0
1158,1.0
1157,1.0
1004,1.0
1145,1.0
866,0.7652173913043478
304,0.64
240,1.0
279,1.0
1234,0.64
631,1.0
643,1.0
1334,0.64
1231,1.0
1283,0.6625
834,0.4375
648,0.7652173913043478
858,1.0
557,1.0
1042,1.0
1348,1.0
561,1.0
6,0.5263157894736842
1055,1.0
1038,0.4375
841,1.0
1163,1.0
953,0.5909090909090909
1179,0.8163265306122449
1221,-0.03846153846153855
1182,1.0
296,1.0
823,0.8163265306122449
653,1.0
423,1.0
622,1.0
822,0.4375
1060,-0.08000000000000007
231,1.0
1039,-0.125
916,1.0
1107,1.0
893,0.8421052631578947
1403,1.0
1293,1.0
907,1.0
1014,1.0
742,1.0
718,1.0
224,0.29565217391304355
389,0.5909090909090909
966,1.0
560,-0.08000000000000007
639,0.4375
733,0.7652173913043478
543,1.0
216,0.5909090909090909
954,1.0
770,1.0
458,1.0
1224,1.0
800,0.6625
298,1.0
333,0.5909090909090909
1346,1.0
1167,1.0
1280,1.0
1125,1.0
765,1.0
1089,0.4375
12,1.0
1180,1.0
862,0.64
1271,1.0
863,0.8163265306122449
921,1.0
418,1.0
1091,1.0
941,0.8163265306122449
908,0.5909090909090909
1023,1.0
305,1.0
985,1.0
1095,1.0
1152,1.0
558,1.0
818,0.5909090909090909
284,1.0
