,Unnamed: 0,sql_id,nl_query,sql,GT_sql,tianyi_code,zhengn_code
0,0,746,"Of all players with an overall rating greater than 80, how many are right-footed and left-footed?","SELECT COUNT(*) FROM Player_Attributes WHERE Player_Attributes.overall_rating > 80 AND Player_Attributes.preferred_foot = ""left-footed""","SELECT preferred_foot ,  count(*) FROM Player_Attributes WHERE overall_rating  >  80 GROUP BY preferred_foot","BL1, F3, F4, AN2, CE2","BL1, F3, BL3, AN2, CE2"
1,1,1088,Find the number of rooms for different block code?,"SELECT Block.BlockCode, COUNT(*) FROM Block JOIN Room ON Block.BlockFloor = Room.BlockCode GROUP BY Block.BlockCode","SELECT count(*) ,  T1.blockcode FROM BLOCK AS T1 JOIN room AS T2 ON T1.blockfloor  =  T2.blockfloor AND T1.blockcode  =  T2.blockcode GROUP BY T1.blockcode","BL1, F3, BE5, AN2, CE2","CE2, F3, BL3, AN2"
2,2,1317,"For the problem with id 10, return the ids and dates of its problem logs.","SELECT Problem_Log.problem_id, Problems.date_problem_reported FROM Problems JOIN Problem_Log ON Problems.problem_id = Problem_Log.problem_id WHERE Problem_Log.problem_log_id = 10","SELECT problem_log_id ,  log_entry_date FROM problem_log WHERE problem_id = 10","BL1, E1, BE5, BF4","BL1, E1, CE2"
3,3,548,How many lessons have been cancelled?,"SELECT COUNT(*) FROM Lessons WHERE Lessons.lesson_status_code = ""cancelled""","SELECT count(*) FROM Lessons WHERE lesson_status_code = ""Cancelled"";","BL1, E1, BF4, D1a","BL1, E1, D1a"
4,4,159,List all people names in the order of their date of birth from old to young.,SELECT people.Name FROM people ORDER BY people.Date_of_Birth DESC,SELECT name FROM people ORDER BY date_of_birth,"K2, D1a","K2, D1a"
5,5,375,How many students got accepted after the tryout?,SELECT * FROM College,SELECT count(*) FROM tryout WHERE decision  =  'yes',"L5, F4, CL1, K2","CL1, K2, F4"
6,6,1064,"List the id, genre and artist name of English songs ordered by rating.","SELECT song.song_name, song.genre_is, song.artist_name FROM genre JOIN song ON genre.g_name = song.f_id WHERE song.languages = ""English"" ORDER BY song.rating","SELECT f_id ,  genre_is ,  artist_name FROM song WHERE languages  =   ""english"" ORDER BY rating","L5, F4, D1a, CL1","F4, D1a, CE2, CL1"
7,7,1217,Show the names of customers having an order with shipping method FedEx and order status Paid.,"SELECT Customers.customer_name FROM Customers JOIN Customer_Orders ON Customers.customer_id = Customer_Orders.customer_id WHERE Customer_Orders.shipping_method_code = ""FedEx""",SELECT T1.customer_name FROM customers AS T1 JOIN customer_orders AS T2 ON T1.customer_id  =  T2.customer_id WHERE shipping_method_code  =  'FedEx' AND order_status_code  =  'Paid',"F4, D1a","CE2, BL1, F4, D1a"
8,8,930,Who are the lieutenant governor and comptroller from the democratic party?,"SELECT party.Lieutenant_Governor, party.Comptroller FROM party WHERE party.Party = ""democratic""","SELECT Lieutenant_Governor ,  Comptroller FROM party WHERE Party  =  ""Democratic""","F4, D1a","F4, D1a"
9,9,1220,"Find the first names of students whose first names contain letter ""a"".","SELECT Student.Fname FROM Student WHERE Student.Fname LIKE ""% a %""",SELECT DISTINCT Fname FROM STUDENT WHERE Fname LIKE '%a%',"A1b, P3, D1a","A1b, D1a, P3"
10,10,745,What is the average rating for right-footed players and left-footed players?,"SELECT AVG(Player_Attributes.overall_rating) FROM Player_Attributes WHERE Player_Attributes.preferred_foot = ""VALUE VALUE"" AND Player_Attributes.preferred_foot = ""left-footed""","SELECT preferred_foot ,  avg(overall_rating) FROM Player_Attributes GROUP BY preferred_foot","F3, BL3, AN2, A1b","A1b, F3, BL3, AN2"
11,11,612,What is the number of cartoones written by Joseph Kuhr?,"SELECT COUNT(DISTINCT Cartoon.Written_by) FROM Cartoon WHERE Cartoon.Written_by = ""Joseph Kuhr""","SELECT count(*) FROM Cartoon WHERE Written_by = ""Joseph Kuhr"";","A1b, F3, BL3, AN2","BL1, F3, BL3, AN2"
12,12,712,"Which enzyme names have the substring ""ALA""?","SELECT enzyme.name FROM enzyme WHERE enzyme.name LIKE ""% ALA %""","SELECT name FROM enzyme WHERE name LIKE ""%ALA%""",A1b,D1
13,13,831,List all the names of schools with an endowment amount smaller than or equal to 10.,SELECT School.School_name FROM School JOIN endowment ON School.School_id = endowment.School_id WHERE endowment.amount <= 10,SELECT T2.school_name FROM endowment AS T1 JOIN school AS T2 ON T1.school_id  =  T2.school_id GROUP BY T1.school_id HAVING sum(T1.amount)  <=  10,"F3, A1f, AN2","D1, AN2"
14,14,1377,Find the number and average age of students living in each city.,"SELECT Student.city_code, AVG(Student.Age) FROM Student GROUP BY Student.city_code","SELECT count(*) ,  avg(age) ,  city_code FROM student GROUP BY city_code","L5, F3, A1f, AN2","L5, AN2"
15,15,1247,What are the total number of domestic passengers at all London airports?,"SELECT SUM(airport.Total_Passengers) FROM airport WHERE airport.Airport_Name = ""London""","SELECT sum(Domestic_Passengers) FROM airport WHERE Airport_Name LIKE ""%London%""","L5, BL1, D1","L5, BL1, D1"
16,16,707,"For every medicine id, what are the names of the medicines that can interact with more than one enzyme?",SELECT medicine.name FROM medicine JOIN medicine_enzyme_interaction ON medicine.id = medicine_enzyme_interaction.medicine_id GROUP BY medicine_enzyme_interaction.medicine_id HAVING COUNT(*) > 1,"SELECT T1.id ,  T1.Name FROM medicine AS T1 JOIN medicine_enzyme_interaction AS T2 ON T2.medicine_id  =  T1.id GROUP BY T1.id HAVING count(*)  >=  2","BL1, BN1, BL3","BL1, BL3"
17,17,562,What is the count of cities with more than 3 airports?,SELECT COUNT(*) FROM airports GROUP BY airports.city HAVING COUNT(*) > 3,SELECT count(*) FROM (SELECT city FROM airports GROUP BY city HAVING count(*)  >  3),"BL1, BN1, D1, BL3","BL1, D1, BL3"
18,18,982,"What are the names of the different bank branches, and what are their total loan amounts?","SELECT bank.bname, SUM(loan.amount) FROM bank JOIN loan ON bank.branch_ID = loan.branch_ID GROUP BY loan.branch_ID","SELECT sum(amount) ,  T1.bname FROM bank AS T1 JOIN loan AS T2 ON T1.branch_id  =  T2.branch_id GROUP BY T1.bname","BL1, BN1","BL1, BN1"
19,19,853,What are the daily hire costs for the products with substring 'Book' in its name?,"SELECT Products_for_Hire.daily_hire_cost FROM Products_for_Hire WHERE Products_for_Hire.product_name LIKE ""% Book %""",SELECT daily_hire_cost FROM Products_for_hire WHERE product_name LIKE '%Book%',"D1, BN1","D1, BN1"
20,20,836,"What is the total budget amount for school ""Glenn"" in all years?","SELECT SUM(budget.total_budget_percent_invested) FROM budget JOIN School ON budget.School_id = School.School_id WHERE School.School_name = ""Glenn""",SELECT sum(T1.budgeted) FROM budget AS T1 JOIN school AS T2 ON T1.school_id  =  T2.school_id WHERE T2.school_name  =  'Glenn',"BL1, D1","BL1, D1"
21,21,697,What are the last names of employees who serve at most 20 customers?,SELECT Employee.LastName FROM Employee JOIN Customer ON Employee.EmployeeId = Customer.SupportRepId GROUP BY Customer.LastName HAVING COUNT(*) <= 20,SELECT T1.LastName FROM CUSTOMER AS T1 JOIN EMPLOYEE AS T2 ON T1.SupportRepId  =  T2.EmployeeId GROUP BY T1.SupportRepId HAVING COUNT(*)  <=  20,"BL1, BN1, CL1",CL1
22,22,1389,"Find the last name of the staff whose email address contains ""wrau"".","SELECT Staff.last_name FROM Staff WHERE Staff.email_address LIKE ""% wrau %""","SELECT last_name FROM staff WHERE email_address LIKE ""%wrau%""","D1c, BN1, CL1","CL1, D1"
23,23,663,"What are the titles of albums by the artist ""AC/DC""?","SELECT Album.Title FROM Album JOIN Artist ON Album.ArtistId = Artist.ArtistId WHERE Artist.Name = ""AC / DC""","SELECT Title FROM ALBUM AS T1 JOIN ARTIST AS T2 ON T1.ArtistId  =  T2.ArtistId WHERE T2.Name  =  ""AC/DC""",,
24,24,786,Count the number of financial transactions that correspond to each account id.,"SELECT Financial_Transactions.account_id, COUNT(*) FROM Financial_Transactions GROUP BY Financial_Transactions.account_id","SELECT count(*) ,  account_id FROM Financial_transactions","D1c, N3","D1, AN2"
25,25,528,What are all locations of train stations?,SELECT station.Location FROM station JOIN train_station ON station.Station_ID = train_station.Station_ID,SELECT DISTINCT LOCATION FROM station,"A1b, CE2, N3","A1b, CE2, E1"
26,26,425,What are the names of all the dorms that can accomdate more than 300 students?,SELECT Dorm.dorm_name FROM Dorm JOIN Lives_in ON Dorm.dormid = Lives_in.dormid WHERE Lives_in.stuid > 300 GROUP BY Dorm.dormid,SELECT dorm_name FROM dorm WHERE student_capacity  >  300,"A1b, CE2, AN2","A1b, CE2, AN2"
27,27,769,"Show the id, the date of account opened, the account name, and other account detail for all accounts.","SELECT Accounts.account_id, Accounts.date_account_opened, Accounts.other_account_details FROM Accounts","SELECT account_id ,  date_account_opened ,  account_name ,  other_account_details FROM Accounts","BL3, AN2, E1","E1, BL3, AN2"
28,28,1092,Find the name of physicians whose position title contains the word 'senior'.,"SELECT Physician.Name FROM Physician WHERE Physician.Position LIKE ""% senior %""",SELECT name FROM physician WHERE POSITION LIKE '%senior%',"D1c, BL3","D1, BL3"
29,29,704,What are the names and trade names of the medicines which has 'Yes' value in the FDA record?,"SELECT medicine.name, medicine.Trade_Name FROM medicine WHERE medicine.FDA_approved = ""yes""","SELECT name ,  trade_name FROM medicine WHERE FDA_approved  =  'Yes'","D1c, D1a","D1, D1a"
30,30,457,What are the names of all video games that are collectible cards?,SELECT Video_Games.GName FROM Video_Games,"SELECT gname FROM Video_games WHERE gtype  =  ""Collectible card game""","F4, D1a","F4, D1a"
31,31,646,Find the name of the product that has the smallest capacity.,SELECT Catalog_Contents.product_stock_number FROM Catalog_Contents ORDER BY Catalog_Contents.capacity LIMIT 1,SELECT catalog_entry_name FROM catalog_contents ORDER BY capacity ASC LIMIT 1,"BL1, F4, K2","BL1, K2, F4"
32,32,1269,What is the name of every college in alphabetical order that has more than 18000 students enrolled?,SELECT College.cName FROM College WHERE College.enr > 18000,SELECT cName FROM College WHERE enr  >  18000 ORDER BY cName,"BL1, KA1b","BL1, K2, KA1b"
33,33,1093,What are the names of the physicians who have 'senior' in their titles.,"SELECT Physician.Name FROM Physician WHERE Physician.Name LIKE ""% senior %""",SELECT name FROM physician WHERE POSITION LIKE '%senior%',"KA1b, BF4","KA1b, BF4"
34,34,211,How many fault status codes are recorded in the fault log parts table?,SELECT COUNT(DISTINCT Fault_Log_Parts.fault_status) FROM Fault_Log_Parts,SELECT DISTINCT fault_status FROM Fault_Log_Parts,"L4, BF4","L4, BF4"
35,35,694,Please show the employee first names and ids of employees who serve at least 10 customers.,"SELECT Employee.FirstName, Employee.EmployeeId FROM Customer JOIN Employee ON Customer.SupportRepId = Employee.EmployeeId GROUP BY Employee.EmployeeId HAVING COUNT(*) >= 10","SELECT T1.FirstName ,  T1.SupportRepId FROM CUSTOMER AS T1 JOIN EMPLOYEE AS T2 ON T1.SupportRepId  =  T2.EmployeeId GROUP BY T1.SupportRepId HAVING COUNT(*)  >=  10","BN1, L4","L4, CL1, BN1"
36,36,238,What are the names of all songs in English?,"SELECT song.song_name FROM song WHERE song.languages = ""English""","SELECT song_name FROM song WHERE languages  =  ""english""","BN1, D1a","CL1, D1a, BN1"
37,37,820,"What are the names of customers with accounts, and what are the total savings balances for each?","SELECT ACCOUNTS.name, SUM(SAVINGS.balance) FROM SAVINGS JOIN ACCOUNTS ON SAVINGS.custid = ACCOUNTS.custid GROUP BY SAVINGS.custid","SELECT sum(T2.balance) ,  T1.name FROM accounts AS T1 JOIN savings AS T2 ON T1.custid  =  T2.custid GROUP BY T1.name","BN1, D1a","BN1, D1a"
