,sql_id,nl_query,sql,GT_sql,tianyi,record_id_x,error_classification_x,zhengn,record_id_y,error_classification_y
0,746,"Of all players with an overall rating greater than 80, how many are right-footed and left-footed?","SELECT COUNT(*) FROM Player_Attributes WHERE Player_Attributes.overall_rating > 80 AND Player_Attributes.preferred_foot = ""left-footed""","SELECT preferred_foot ,  count(*) FROM Player_Attributes WHERE overall_rating  >  80 GROUP BY preferred_foot",tianyi,87af439b-5c0e-4c19-b43b-85236b5527c8,"CM4, BL1, F3, F4, AN2, CE2",zhengning,07ab4bd0-97d3-4501-9c05-18e5b748dd8b,"BL1, F3, BL3, AN2, CE2"
1,1088,Find the number of rooms for different block code?,"SELECT Block.BlockCode, COUNT(*) FROM Block JOIN Room ON Block.BlockFloor = Room.BlockCode GROUP BY Block.BlockCode","SELECT count(*) ,  T1.blockcode FROM BLOCK AS T1 JOIN room AS T2 ON T1.blockfloor  =  T2.blockfloor AND T1.blockcode  =  T2.blockcode GROUP BY T1.blockcode",tianyi,a4439070-3ebc-43b0-8b53-20ed64815d07,"BL1, F3, BE5, AN2",zhengning,42be4176-bd2e-414f-a5f4-b5e30f8a625d,"CE2, F3, BL3, AN2"
2,1317,"For the problem with id 10, return the ids and dates of its problem logs.","SELECT Problem_Log.problem_id, Problems.date_problem_reported FROM Problems JOIN Problem_Log ON Problems.problem_id = Problem_Log.problem_id WHERE Problem_Log.problem_log_id = 10","SELECT problem_log_id ,  log_entry_date FROM problem_log WHERE problem_id = 10",tianyi,6146f94e-813a-4b12-b285-c822a5ba69e6,"BL1, E1, BE5, BF4",zhengning,5e30cf49-06cc-4f91-9438-5dced424796b,"BL1, E1, CE2"
3,548,How many lessons have been cancelled?,"SELECT COUNT(*) FROM Lessons WHERE Lessons.lesson_status_code = ""cancelled""","SELECT count(*) FROM Lessons WHERE lesson_status_code = ""Cancelled"";",tianyi,62837edf-ee17-4da2-9a2f-729411b20da3,"BL1, E1, BF4, D1a",zhengning,26a5b6b3-bad2-4c08-9ee7-6bc88cf3cfdb,"BL1, E1, D1a"
4,159,List all people names in the order of their date of birth from old to young.,SELECT people.Name FROM people ORDER BY people.Date_of_Birth DESC,SELECT name FROM people ORDER BY date_of_birth,tianyi,0df3665d-7a1e-4988-9cf5-d55189813d1a,"K2, D1a",zhengning,75e7907e-a22e-4fdc-96da-99ce0dbc0670,"K2, D1a"
5,375,How many students got accepted after the tryout?,SELECT * FROM College,SELECT count(*) FROM tryout WHERE decision  =  'yes',tianyi,e8aa7120-48c7-444e-9a15-6faf7d7acb83,"L5, F4, CM6, K2, I2",zhengning,322988c2-c0ad-4bac-a800-1ae3efaf8835,"CM6, BL1, K2, F4"
6,1064,"List the id, genre and artist name of English songs ordered by rating.","SELECT song.song_name, song.genre_is, song.artist_name FROM genre JOIN song ON genre.g_name = song.f_id WHERE song.languages = ""English"" ORDER BY song.rating","SELECT f_id ,  genre_is ,  artist_name FROM song WHERE languages  =   ""english"" ORDER BY rating",tianyi,f35cf103-d34f-4251-8999-0ac2c8a17e37,"L5, F4, D1a, CM6, I2",zhengning,f2eab911-7f3b-48aa-9235-1b850c68526d,"F4, D1a, CE2, CM6"
7,1217,Show the names of customers having an order with shipping method FedEx and order status Paid.,"SELECT Customers.customer_name FROM Customers JOIN Customer_Orders ON Customers.customer_id = Customer_Orders.customer_id WHERE Customer_Orders.shipping_method_code = ""FedEx""",SELECT T1.customer_name FROM customers AS T1 JOIN customer_orders AS T2 ON T1.customer_id  =  T2.customer_id WHERE shipping_method_code  =  'FedEx' AND order_status_code  =  'Paid',tianyi,5a960272-50b4-4b6b-af96-d9a76f22c519,"F4, D1a",zhengning,fe87e350-f185-43a3-9abb-7392e65d0295,"CE2, BL1, F4, D1a"
8,930,Who are the lieutenant governor and comptroller from the democratic party?,"SELECT party.Lieutenant_Governor, party.Comptroller FROM party WHERE party.Party = ""democratic""","SELECT Lieutenant_Governor ,  Comptroller FROM party WHERE Party  =  ""Democratic""",tianyi,9f74e7a9-f7dd-4144-84c9-3dab5bbf7bf5,"F4, D1a",zhengning,e6f4216c-0222-480c-a356-1c63c68fc028,"F4, D1a"
9,1220,"Find the first names of students whose first names contain letter ""a"".","SELECT Student.Fname FROM Student WHERE Student.Fname LIKE ""% a %""",SELECT DISTINCT Fname FROM STUDENT WHERE Fname LIKE '%a%',tianyi,c4a1fb1f-371e-499b-aae8-e7687c91d2b0,"A1b, P3, D1a",zhengning,430eb6d9-14e8-40ad-9004-bfbf5a72c792,"A1b, D1a"
10,745,What is the average rating for right-footed players and left-footed players?,"SELECT AVG(Player_Attributes.overall_rating) FROM Player_Attributes WHERE Player_Attributes.preferred_foot = ""VALUE VALUE"" AND Player_Attributes.preferred_foot = ""left-footed""","SELECT preferred_foot ,  avg(overall_rating) FROM Player_Attributes GROUP BY preferred_foot",tianyi,e7ec2d2b-e4e7-43c5-a54b-c1c867fc21ed,"F3, P3, BL3, AN2, A1b",zhengning,16595cc5-0701-4b5c-828e-22731cd2fab5,"A1b, F3, BL3, AN2"
11,612,What is the number of cartoones written by Joseph Kuhr?,"SELECT COUNT(DISTINCT Cartoon.Written_by) FROM Cartoon WHERE Cartoon.Written_by = ""Joseph Kuhr""","SELECT count(*) FROM Cartoon WHERE Written_by = ""Joseph Kuhr"";",tianyi,656fc60c-9251-4778-9834-8a7b0956d033,"A1b, F3, BL3, AN2",zhengning,f484996b-e53e-46f7-a926-4a6b6772aea9,"BL1, F3, BL3, AN2"
12,712,"Which enzyme names have the substring ""ALA""?","SELECT enzyme.name FROM enzyme WHERE enzyme.name LIKE ""% ALA %""","SELECT name FROM enzyme WHERE name LIKE ""%ALA%""",tianyi,0fea2522-d807-4d87-82f4-ffe5f9d81642,"A1b, P3",zhengning,e6467c3f-c516-4aa8-84ec-a950a0169190,"BL1, D1"
13,831,List all the names of schools with an endowment amount smaller than or equal to 10.,SELECT School.School_name FROM School JOIN endowment ON School.School_id = endowment.School_id WHERE endowment.amount <= 10,SELECT T2.school_name FROM endowment AS T1 JOIN school AS T2 ON T1.school_id  =  T2.school_id GROUP BY T1.school_id HAVING sum(T1.amount)  <=  10,tianyi,998788f6-2802-4dd7-a903-7f4aec806503,"F3, P3, A1f, AN2",zhengning,95160eb4-4687-4034-ac78-ac388f6f86b8,"D1, AN2"
14,1377,Find the number and average age of students living in each city.,"SELECT Student.city_code, AVG(Student.Age) FROM Student GROUP BY Student.city_code","SELECT count(*) ,  avg(age) ,  city_code FROM student GROUP BY city_code",tianyi,3f0bb823-633b-441f-bbf1-17c9cf1aa217,"L5, F3, A1f, AN2",zhengning,291354f0-7b41-4491-a4f2-8c340f0dc5d1,"L5, AN2"
15,1247,What are the total number of domestic passengers at all London airports?,"SELECT SUM(airport.Total_Passengers) FROM airport WHERE airport.Airport_Name = ""London""","SELECT sum(Domestic_Passengers) FROM airport WHERE Airport_Name LIKE ""%London%""",tianyi,069695bc-ab31-40f3-95e7-be83d0acd9e2,"L5, BL1, D1",zhengning,8321642d-5497-4959-9d3d-b324c3f16c32,"L5, BL1, D1"
16,707,"For every medicine id, what are the names of the medicines that can interact with more than one enzyme?",SELECT medicine.name FROM medicine JOIN medicine_enzyme_interaction ON medicine.id = medicine_enzyme_interaction.medicine_id GROUP BY medicine_enzyme_interaction.medicine_id HAVING COUNT(*) > 1,"SELECT T1.id ,  T1.Name FROM medicine AS T1 JOIN medicine_enzyme_interaction AS T2 ON T2.medicine_id  =  T1.id GROUP BY T1.id HAVING count(*)  >=  2",tianyi,1a1cdced-e208-4a96-ac7f-a69a066be587,"BL1, BN1, BL3",zhengning,7ed3198e-22f2-445e-9b3d-02501ed6e822,"BL1, BL3"
17,562,What is the count of cities with more than 3 airports?,SELECT COUNT(*) FROM airports GROUP BY airports.city HAVING COUNT(*) > 3,SELECT count(*) FROM (SELECT city FROM airports GROUP BY city HAVING count(*)  >  3),tianyi,aed312a3-23ed-4b63-9948-aca7d3407b39,"BL1, BN1, D1, BL3",zhengning,c6a40bde-0d23-4a48-823c-a8aa4da9cbe2,"BL1, D1, BL3"
18,982,"What are the names of the different bank branches, and what are their total loan amounts?","SELECT bank.bname, SUM(loan.amount) FROM bank JOIN loan ON bank.branch_ID = loan.branch_ID GROUP BY loan.branch_ID","SELECT sum(amount) ,  T1.bname FROM bank AS T1 JOIN loan AS T2 ON T1.branch_id  =  T2.branch_id GROUP BY T1.bname",tianyi,50362bf4-5a54-424f-ac7f-f76416956916,"BL1, BN1",zhengning,4742e663-8821-4dfe-90f7-042c01ce064a,"BL1, BN1"
19,853,What are the daily hire costs for the products with substring 'Book' in its name?,"SELECT Products_for_Hire.daily_hire_cost FROM Products_for_Hire WHERE Products_for_Hire.product_name LIKE ""% Book %""",SELECT daily_hire_cost FROM Products_for_hire WHERE product_name LIKE '%Book%',tianyi,e141f220-6aed-4f73-ba9d-83325a923428,"D1, BN1",zhengning,ec29ce89-d3a8-4b45-9cb6-8ec41151e758,"D1, BN1"
20,836,"What is the total budget amount for school ""Glenn"" in all years?","SELECT SUM(budget.total_budget_percent_invested) FROM budget JOIN School ON budget.School_id = School.School_id WHERE School.School_name = ""Glenn""",SELECT sum(T1.budgeted) FROM budget AS T1 JOIN school AS T2 ON T1.school_id  =  T2.school_id WHERE T2.school_name  =  'Glenn',tianyi,62499924-f0bc-411d-a896-c39e841a048e,"BL1, D1",zhengning,486b6d37-ce21-42c3-9028-018665052581,"BL1, D1"
21,697,What are the last names of employees who serve at most 20 customers?,SELECT Employee.LastName FROM Employee JOIN Customer ON Employee.EmployeeId = Customer.SupportRepId GROUP BY Customer.LastName HAVING COUNT(*) <= 20,SELECT T1.LastName FROM CUSTOMER AS T1 JOIN EMPLOYEE AS T2 ON T1.SupportRepId  =  T2.EmployeeId GROUP BY T1.SupportRepId HAVING COUNT(*)  <=  20,tianyi,b59589a4-4bbe-46a8-b346-ae5d29db4a06,"BL1, BN1, CL1",zhengning,0d6e2b94-874b-4234-9bcc-0969694e2abd,"CM6, BL1"
22,1389,"Find the last name of the staff whose email address contains ""wrau"".","SELECT Staff.last_name FROM Staff WHERE Staff.email_address LIKE ""% wrau %""","SELECT last_name FROM staff WHERE email_address LIKE ""%wrau%""",tianyi,5c04c22b-6c18-40bc-8261-84954d4d4ed8,"D1c, BN1, CL1",zhengning,49d4f587-4f76-45de-9816-2cc53197f190,"CM6, D1"
23,663,"What are the titles of albums by the artist ""AC/DC""?","SELECT Album.Title FROM Album JOIN Artist ON Album.ArtistId = Artist.ArtistId WHERE Artist.Name = ""AC / DC""","SELECT Title FROM ALBUM AS T1 JOIN ARTIST AS T2 ON T1.ArtistId  =  T2.ArtistId WHERE T2.Name  =  ""AC/DC""",tianyi,d7029afd-5d31-40c4-aa73-2e192884bb77,,zhengning,316e3a57-a7d0-46b5-811b-007356e0595f,
24,786,Count the number of financial transactions that correspond to each account id.,"SELECT Financial_Transactions.account_id, COUNT(*) FROM Financial_Transactions GROUP BY Financial_Transactions.account_id","SELECT count(*) ,  account_id FROM Financial_transactions",tianyi,80af51db-619e-487a-9762-a07de048537e,"D1c, N3",zhengning,53498148-585b-4b19-91ef-8550482b6616,"D1, nan"
25,528,What are all locations of train stations?,SELECT station.Location FROM station JOIN train_station ON station.Station_ID = train_station.Station_ID,SELECT DISTINCT LOCATION FROM station,tianyi,99d7748a-bdf2-46e6-803a-71aed5655a1e,"A1b, CE2, N3",zhengning,b10ae15d-fd37-4dd3-ac8a-c37127e1e40a,"A1b, E1, nan"
26,425,What are the names of all the dorms that can accomdate more than 300 students?,SELECT Dorm.dorm_name FROM Dorm JOIN Lives_in ON Dorm.dormid = Lives_in.dormid WHERE Lives_in.stuid > 300 GROUP BY Dorm.dormid,SELECT dorm_name FROM dorm WHERE student_capacity  >  300,tianyi,b7438673-73c6-4bba-a114-4f2516a87d37,"A1b, CE2, AN2",zhengning,265a3fed-e7a8-40d1-8446-5fc021b4fb99,"A1b, AN2"
27,769,"Show the id, the date of account opened, the account name, and other account detail for all accounts.","SELECT Accounts.account_id, Accounts.date_account_opened, Accounts.other_account_details FROM Accounts","SELECT account_id ,  date_account_opened ,  account_name ,  other_account_details FROM Accounts",tianyi,e160f85e-eceb-458a-9d39-8b4989a1645d,"BL3, AN2",zhengning,9765eec3-6851-47f9-a924-16669076ab55,"E1, BL3, AN2"
28,1092,Find the name of physicians whose position title contains the word 'senior'.,"SELECT Physician.Name FROM Physician WHERE Physician.Position LIKE ""% senior %""",SELECT name FROM physician WHERE POSITION LIKE '%senior%',tianyi,dded1510-71f9-4fcc-a56c-719ac3f7a5c7,"D1c, BL3",zhengning,09d5f379-afbf-445e-9dbd-d25450657bd6,"D1, BL3"
29,704,What are the names and trade names of the medicines which has 'Yes' value in the FDA record?,"SELECT medicine.name, medicine.Trade_Name FROM medicine WHERE medicine.FDA_approved = ""yes""","SELECT name ,  trade_name FROM medicine WHERE FDA_approved  =  'Yes'",tianyi,5ddec475-43b9-475b-b755-1b639f39c5b2,"D1c, D1a",zhengning,c173fba3-5d0d-443e-a0c9-512e8812c5a2,"D1, D1a"
30,457,What are the names of all video games that are collectible cards?,SELECT Video_Games.GName FROM Video_Games,"SELECT gname FROM Video_games WHERE gtype  =  ""Collectible card game""",tianyi,2fdfe8fe-09a7-4fb0-8958-c9deb1f96cbd,"F4, D1a",zhengning,21caf92b-dc07-4d73-8708-52196e45e9f4,"F4, D1a"
31,646,Find the name of the product that has the smallest capacity.,SELECT Catalog_Contents.product_stock_number FROM Catalog_Contents ORDER BY Catalog_Contents.capacity LIMIT 1,SELECT catalog_entry_name FROM catalog_contents ORDER BY capacity ASC LIMIT 1,tianyi,46ae0c03-65f9-48ea-bd58-efbb5820935c,"BL1, F4",zhengning,c9282760-65a4-4a6a-9e38-e36e001b7e5b,"BL1, K2, F4"
32,1269,What is the name of every college in alphabetical order that has more than 18000 students enrolled?,SELECT College.cName FROM College WHERE College.enr > 18000,SELECT cName FROM College WHERE enr  >  18000 ORDER BY cName,tianyi,d5c22523-e9dc-49c7-ab73-03b0d1e06832,"BL1, KA1b",zhengning,f2657e48-c561-4072-8536-f340943c97c8,"BL1, K2, KA1b"
33,1093,What are the names of the physicians who have 'senior' in their titles.,"SELECT Physician.Name FROM Physician WHERE Physician.Name LIKE ""% senior %""",SELECT name FROM physician WHERE POSITION LIKE '%senior%',tianyi,65c9273b-a596-472c-8b6b-17d72835f9fb,"KA1b, BF4",zhengning,70aa4b0b-6964-404e-9069-61997d65f467,"KA1b, BF4"
34,211,How many fault status codes are recorded in the fault log parts table?,SELECT COUNT(DISTINCT Fault_Log_Parts.fault_status) FROM Fault_Log_Parts,SELECT DISTINCT fault_status FROM Fault_Log_Parts,tianyi,f6e63e2e-146f-4b99-bf8a-5297c839ffe0,"L4, BF4",zhengning,20c10ffa-4c6a-4cb5-8763-3bf9bca33c0f,"L4, BF4"
35,694,Please show the employee first names and ids of employees who serve at least 10 customers.,"SELECT Employee.FirstName, Employee.EmployeeId FROM Customer JOIN Employee ON Customer.SupportRepId = Employee.EmployeeId GROUP BY Employee.EmployeeId HAVING COUNT(*) >= 10","SELECT T1.FirstName ,  T1.SupportRepId FROM CUSTOMER AS T1 JOIN EMPLOYEE AS T2 ON T1.SupportRepId  =  T2.EmployeeId GROUP BY T1.SupportRepId HAVING COUNT(*)  >=  10",tianyi,ab85d5ec-7b97-487f-9dc9-0e601887f46d,"BN1, L4",zhengning,e80b8c0c-cdf8-43c5-95fd-97785ed3ee9d,"L4, CL1"
36,238,What are the names of all songs in English?,"SELECT song.song_name FROM song WHERE song.languages = ""English""","SELECT song_name FROM song WHERE languages  =  ""english""",tianyi,665205ff-5c83-4c63-8697-eeeee5a695c4,"BN1, D1a",zhengning,b0f5f809-ad5c-43db-b140-10f3a767f8b6,"CL1, D1a"
