,sql_id,nl_query,sql,GT_sql,zhengn,record_id_y,error_classification_y
0,746,"Of all players with an overall rating greater than 80, how many are right-footed and left-footed?","SELECT COUNT(*) FROM Player_Attributes WHERE Player_Attributes.overall_rating > 80 AND Player_Attributes.preferred_foot = ""left-footed""","SELECT preferred_foot ,  count(*) FROM Player_Attributes WHERE overall_rating  >  80 GROUP BY preferred_foot",zhengning,07ab4bd0-97d3-4501-9c05-18e5b748dd8b,"BL1, F3, BL3, AN2, CE2"
1,1088,Find the number of rooms for different block code?,"SELECT Block.BlockCode, COUNT(*) FROM Block JOIN Room ON Block.BlockFloor = Room.BlockCode GROUP BY Block.BlockCode","SELECT count(*) ,  T1.blockcode FROM BLOCK AS T1 JOIN room AS T2 ON T1.blockfloor  =  T2.blockfloor AND T1.blockcode  =  T2.blockcode GROUP BY T1.blockcode",zhengning,42be4176-bd2e-414f-a5f4-b5e30f8a625d,"CE2, F3, BL3, AN2"
2,1317,"For the problem with id 10, return the ids and dates of its problem logs.","SELECT Problem_Log.problem_id, Problems.date_problem_reported FROM Problems JOIN Problem_Log ON Problems.problem_id = Problem_Log.problem_id WHERE Problem_Log.problem_log_id = 10","SELECT problem_log_id ,  log_entry_date FROM problem_log WHERE problem_id = 10",zhengning,5e30cf49-06cc-4f91-9438-5dced424796b,"BL1, E1, CE2"
3,548,How many lessons have been cancelled?,"SELECT COUNT(*) FROM Lessons WHERE Lessons.lesson_status_code = ""cancelled""","SELECT count(*) FROM Lessons WHERE lesson_status_code = ""Cancelled"";",zhengning,26a5b6b3-bad2-4c08-9ee7-6bc88cf3cfdb,"BL1, E1, D1a"
4,159,List all people names in the order of their date of birth from old to young.,SELECT people.Name FROM people ORDER BY people.Date_of_Birth DESC,SELECT name FROM people ORDER BY date_of_birth,zhengning,75e7907e-a22e-4fdc-96da-99ce0dbc0670,"K2, D1a"
5,375,How many students got accepted after the tryout?,SELECT * FROM College,SELECT count(*) FROM tryout WHERE decision  =  'yes',zhengning,322988c2-c0ad-4bac-a800-1ae3efaf8835,"CL1, K2, F4"
6,1064,"List the id, genre and artist name of English songs ordered by rating.","SELECT song.song_name, song.genre_is, song.artist_name FROM genre JOIN song ON genre.g_name = song.f_id WHERE song.languages = ""English"" ORDER BY song.rating","SELECT f_id ,  genre_is ,  artist_name FROM song WHERE languages  =   ""english"" ORDER BY rating",zhengning,f2eab911-7f3b-48aa-9235-1b850c68526d,"F4, D1a, CE2, CL1"
7,1217,Show the names of customers having an order with shipping method FedEx and order status Paid.,"SELECT Customers.customer_name FROM Customers JOIN Customer_Orders ON Customers.customer_id = Customer_Orders.customer_id WHERE Customer_Orders.shipping_method_code = ""FedEx""",SELECT T1.customer_name FROM customers AS T1 JOIN customer_orders AS T2 ON T1.customer_id  =  T2.customer_id WHERE shipping_method_code  =  'FedEx' AND order_status_code  =  'Paid',zhengning,fe87e350-f185-43a3-9abb-7392e65d0295,"CE2, BL1, F4, D1a"
8,930,Who are the lieutenant governor and comptroller from the democratic party?,"SELECT party.Lieutenant_Governor, party.Comptroller FROM party WHERE party.Party = ""democratic""","SELECT Lieutenant_Governor ,  Comptroller FROM party WHERE Party  =  ""Democratic""",zhengning,e6f4216c-0222-480c-a356-1c63c68fc028,"F4, D1a"
9,1220,"Find the first names of students whose first names contain letter ""a"".","SELECT Student.Fname FROM Student WHERE Student.Fname LIKE ""% a %""",SELECT DISTINCT Fname FROM STUDENT WHERE Fname LIKE '%a%',zhengning,430eb6d9-14e8-40ad-9004-bfbf5a72c792,"A1b, D1a"
