,type_Fleiss_kappa
746,0.7642857142857143
1088,0.6140350877192982
1317,0.5205811138014529
548,0.8401937046004845
159,1.0
375,0.8401937046004845
1064,0.7155172413793107
1217,0.633333333333334
930,1.0
1220,1.0
745,1.0
612,0.7155172413793107
712,-0.047619047619050114
831,0.3508196721311476
1377,0.633333333333334
1247,1.0
707,0.7836065573770494
562,0.8401937046004845
982,1.0
853,1.0
836,1.0
697,0.6507936507936504
1389,0.3508196721311476
786,-0.06451612903225841
528,0.633333333333334
425,1.0
769,1.0
1092,0.4677419354838713
704,0.4677419354838713
457,1.0
646,1.0
1269,0.7836065573770494
1093,1.0
211,1.0
694,0.4677419354838713
238,0.4677419354838713
820,1.0
475,1.0
1045,0.8401937046004845
868,0.8401937046004845
1325,0.7836065573770494
1291,0.633333333333334
1356,0.7836065573770494
1214,1.0
584,1.0
1170,1.0
978,1.0
1251,1.0
471,1.0
380,1.0
1250,1.0
883,1.0
1326,1.0
1016,-0.047619047619050114
1169,0.3508196721311476
1392,-0.08196721311475344
134,0.3508196721311476
360,0.3508196721311476
1043,0.3508196721311476
1058,0.8401937046004845
652,0.633333333333334
847,0.5205811138014529
1067,0.26666666666666716
994,0.5205811138014529
998,1.0
709,0.7836065573770494
692,0.7836065573770494
1239,0.5205811138014529
1242,0.7155172413793107
917,0.6507936507936504
1225,0.7155172413793107
1146,0.8401937046004845
392,0.3508196721311476
1096,0.4310344827586209
547,0.633333333333334
771,1.0
806,0.4677419354838713
593,0.3508196721311476
208,0.7836065573770494
350,1.0
874,1.0
630,0.7836065573770494
968,0.633333333333334
1273,0.26666666666666716
1071,0.633333333333334
75,1.0
892,0.4677419354838713
504,1.0
45,1.0
1083,0.633333333333334
662,0.26666666666666716
651,0.3508196721311476
46,1.0
567,1.0
660,0.4677419354838713
1232,-0.03125000000000165
672,0.3508196721311476
71,1.0
374,0.3508196721311476
842,0.3508196721311476
472,1.0
387,1.0
735,0.4677419354838713
90,0.7836065573770494
106,0.7836065573770494
743,0.633333333333334
1166,0.6140350877192982
1295,0.4545454545454544
1277,0.29285714285714265
1288,0.3567251461988305
679,0.20096852300242193
1253,0.20096852300242193
1238,-0.047619047619050114
674,0.5205811138014529
1192,1.0
972,1.0
1391,0.4677419354838713
1100,0.633333333333334
226,0.8401937046004845
151,0.6507936507936504
474,1.0
809,1.0
812,1.0
1034,1.0
297,1.0
946,0.633333333333334
1070,0.633333333333334
1285,1.0
624,1.0
1349,0.3508196721311476
1037,0.3508196721311476
1298,0.6507936507936504
1244,-0.06451612903225841
332,0.5205811138014529
719,1.0
1402,1.0
192,-0.047619047619050114
average,0.6846537308396566
