,intersection2,union,inter2/union
BL1,22,41,0.5365853658536586
F3,4,11,0.3636363636363636
F4,19,28,0.6785714285714286
AN2,10,14,0.7142857142857143
CE2,9,24,0.375
BE5,7,19,0.3684210526315789
E1,13,22,0.5909090909090909
BF4,11,21,0.5238095238095238
D1a,29,32,0.90625
K2,5,8,0.625
L5,6,10,0.6
CL1,32,41,0.7804878048780488
A1b,14,16,0.875
P3,1,1,1.0
BL3,17,21,0.8095238095238095
A1f,0,2,0.0
D1,11,44,0.25
BN1,12,21,0.5714285714285714
D1c,5,24,0.2083333333333333
N3,0,4,0.0
KA1b,4,4,1.0
L4,8,12,0.6666666666666666
F1,6,6,1.0
A1a,2,2,1.0
CF5,5,11,0.4545454545454545
A2a,2,7,0.2857142857142857
BL2,0,5,0.0
Q1,1,1,1.0
P2,0,2,0.0
K3,1,2,0.5
A1d,0,2,0.0
CE3,0,5,0.0
P1,0,1,0.0
sum,0.0,0.0,0.49071083722904496
