,category,Fleiss_kappa,Krippendroffis_alpha,category_stability
0,F,0.8808683360577420,0.8810183759367620,0.8416666666666670
1,B,0.8092449142582580,0.8094851599581840,0.8108108108108110
2,L,0.7850180505415160,0.78528880866426,0.7445255474452560
3,C,0.7710818331154250,0.7713701431492840,0.7572254335260120
4,M,0.7188385269121810,0.7191926345609070,0.6
5,E,0.8025313733002630,0.8027800743414460,0.7869822485207100
6,A,0.8447962916422330,0.8449917623076710,0.7835051546391750
7,N,0.8573225516621740,0.8575022461814910,0.7931034482758620
8,D,0.8505818848115680,0.8507700688357350,0.7865168539325840
9,K,0.7994949494949490,0.7997474747474750,0.6981132075471700
10,P,1.0,1.0,1.0
11,O,0.6641285956006740,0.6645516074450080,0.5
12,I,-0.0050632911392318,-0.0037974683544304,0.0
13,Q,1.0,1.0,1.0
14,R,1.0,1.0,1.0
15,average,0.7852562677505170,0.7855267258515860,0.740163291424283
