,type_Fleiss_kappa
1404,1.0
1407,1.0
1408,0.6462585034013607
1412,1.0
1413,0.33617021276595754
1416,1.0
1425,-0.019607843137252768
1427,1.0
1429,-0.019607843137252768
1430,1.0
1431,1.0
1432,1.0
1435,1.0
1437,0.6567656765676557
1439,0.48000000000000065
1454,1.0
1463,1.0
1466,1.0
1478,-0.03999999999999868
1479,1.0
1482,1.0
1483,1.0
1484,0.48000000000000065
1485,-0.019607843137252768
1486,0.7362637362637362
1490,-0.029702970297031
1493,-0.019607843137252768
1504,0.29251700680272136
1511,-0.019607843137252768
1512,1.0
1517,1.0
1518,1.0
1523,1.0
1524,1.0
1526,1.0
1542,1.0
1547,0.7787234042553194
1548,0.7787234042553194
1551,0.48000000000000065
1552,0.6567656765676557
1555,0.48000000000000065
1556,1.0
1557,1.0
1558,1.0
1560,0.7291666666666665
1565,0.6462585034013607
1566,0.7291666666666665
1568,0.3696969696969704
1571,1.0
1572,1.0
1573,0.48000000000000065
1574,0.6567656765676557
1578,1.0
1583,1.0
1584,1.0
1586,-0.019607843137252768
1587,-0.019607843137252768
1588,1.0
1593,0.7898989898989898
1594,1.0
1595,-0.029702970297031
1596,-0.03999999999999868
1599,0.7898989898989898
1600,1.0
1608,0.6567656765676557
1611,1.0
1612,1.0
1619,1.0
1620,1.0
1628,0.7898989898989898
1629,0.48000000000000065
1630,-0.019607843137252768
1631,-0.029702970297031
1632,-0.029702970297031
1634,1.0
1635,1.0
1637,0.48000000000000065
1638,0.48000000000000065
1639,0.540500736377025
1640,0.29251700680272136
1642,0.540500736377025
1643,-0.029702970297031
1644,-0.029702970297031
1645,-0.029702970297031
1646,1.0
1647,0.6567656765676557
1648,0.6567656765676557
1651,0.48000000000000065
1652,0.3696969696969704
1653,0.48000000000000065
1657,1.0
1658,1.0
1661,0.6567656765676557
1662,1.0
1663,0.6567656765676557
1667,0.6567656765676557
1677,1.0
1678,1.0
1683,1.0
1684,1.0
1687,-0.029702970297031
1688,-0.019607843137252768
1689,-0.019607843137252768
1690,-0.029702970297031
1693,-0.029702970297031
1695,0.7898989898989898
1696,0.3696969696969704
1703,0.6567656765676557
1704,-0.019607843137252768
1709,-0.019607843137252768
1714,0.48000000000000065
1715,1.0
1716,1.0
1717,0.48000000000000065
1721,1.0
1722,-0.03999999999999868
1723,-0.03999999999999868
1724,-0.029702970297031
1725,1.0
1727,1.0
1728,0.6567656765676557
1729,1.0
1730,0.48000000000000065
1731,0.6567656765676557
1732,1.0
1733,0.6567656765676557
1734,1.0
1737,0.48000000000000065
1738,0.48000000000000065
1739,0.540500736377025
1740,0.3696969696969704
1741,-0.029702970297031
1744,-0.029702970297031
1749,0.23416789396170862
1750,0.3696969696969704
1754,0.48000000000000065
1755,1.0
1756,-0.029702970297031
1767,-0.03999999999999868
1768,0.6462585034013607
1769,-0.019607843137252768
1772,1.0
1773,0.48000000000000065
1775,1.0
1776,0.48000000000000065
1777,-0.029702970297031
1778,-0.03999999999999868
1779,0.48000000000000065
1780,1.0
1781,0.6567656765676557
1782,1.0
1783,1.0
1786,1.0
1791,0.6567656765676557
1793,-0.029702970297031
1794,-0.03999999999999868
1795,1.0
1798,1.0
1799,1.0
1801,1.0
1802,1.0
1803,-0.019607843137252768
1806,-0.019607843137252768
1821,1.0
1835,1.0
1836,-0.03999999999999868
1845,0.6462585034013607
1849,0.6462585034013607
1850,1.0
1851,1.0
1852,1.0
1853,1.0
1854,1.0
1855,1.0
1856,1.0
1859,1.0
1861,1.0
1862,0.48000000000000065
1867,0.6567656765676557
1874,-0.019607843137252768
1878,0.6567656765676557
1879,0.6567656765676557
1880,1.0
1881,1.0
1882,0.6567656765676557
1883,-0.029702970297031
1884,-0.019607843137252768
1887,1.0
1888,0.3696969696969704
1889,-0.05050505050504895
1890,1.0
1893,1.0
1894,1.0
1895,0.48000000000000065
1897,1.0
1898,1.0
1899,1.0
1900,1.0
1901,1.0
1902,0.3696969696969704
1905,1.0
1906,0.48000000000000065
1907,1.0
1908,1.0
1909,1.0
1910,1.0
1911,1.0
1912,1.0
1913,1.0
1914,1.0
1915,1.0
1916,1.0
1917,1.0
1918,1.0
1920,1.0
1921,1.0
1922,1.0
1925,0.8468335787923413
1926,-0.05050505050504895
1929,1.0
1930,1.0
1931,-0.03999999999999868
1934,-0.019607843137252768
1935,1.0
1939,0.48000000000000065
1942,-0.029702970297031
1944,-0.029702970297031
1945,1.0
1946,1.0
1947,0.48000000000000065
1948,0.7898989898989898
1949,1.0
1950,1.0
1951,1.0
1952,1.0
1953,-0.03999999999999868
1954,1.0
1956,-0.019607843137252768
1957,-0.019607843137252768
1959,-0.019607843137252768
1967,0.48000000000000065
1968,1.0
1969,0.48000000000000065
1970,1.0
1978,0.48000000000000065
1984,1.0
1985,1.0
1986,1.0
1987,0.29251700680272136
1988,0.48000000000000065
1989,1.0
1996,-0.03999999999999868
1997,0.48000000000000065
2002,1.0
2003,1.0
2004,1.0
2005,0.48000000000000065
2007,1.0
2009,1.0
2014,1.0
2015,1.0
2019,1.0
2024,1.0
