SQL,hyp_correct,NL_query,index,GT,DB,tables
select avg ( Num_Employees ) from department where between 10 and 15,False,What is the average number of employees of the departments whose rank is between 10 and 15?,1,SELECT avg(num_employees) FROM department WHERE ranking BETWEEN 10 AND 15,department_management,['department']
select name from head where born_state = 'California',False,What are the names of the heads who are born outside the California state?,2,SELECT name FROM head WHERE born_state != 'California',department_management,['head']
select count ( temporary_acting ) from management,False,How many acting statuses are there?,4,SELECT count(DISTINCT temporary_acting) FROM management,department_management,['management']
select catalog_name from Catalogs,False,What are all the catalog entry names?,6,SELECT distinct(catalog_entry_name) FROM catalog_contents,product_catalog,"['catalogs', 'catalog_contents']"
select count ( date_of_latest_revision ) from Catalogs group by date_of_publication having count ( * ) > 1,False,Find the dates on which more than one revisions were made.,11,SELECT date_of_latest_revision FROM Catalogs GROUP BY date_of_latest_revision HAVING count(*)  >  1,product_catalog,['catalogs']
select count ( date_of_latest_revision ) from Catalogs group by date_of_publication having count ( date_of_latest_revision ) > 1,False,On which days more than one revisions were made on catalogs.,12,SELECT date_of_latest_revision FROM Catalogs GROUP BY date_of_latest_revision HAVING count(*)  >  1,product_catalog,['catalogs']
select count ( catalog_name ) from Catalogs,False,How many products are there in the records?,13,SELECT count(*) FROM catalog_contents,product_catalog,"['catalogs', 'catalog_contents']"
select BillingCountry from Invoice,False,What are the distinct billing countries of the invoices?,23,SELECT distinct(BillingCountry) FROM INVOICE,chinook_1,['invoice']
select BillingCountry from Invoice,False,Find the different billing countries for all invoices.,24,SELECT distinct(BillingCountry) FROM INVOICE,chinook_1,['invoice']
select avg ( UnitPrice ) from InvoiceLine,False,What is the average unit price of all the tracks?,25,SELECT AVG(UnitPrice) FROM TRACK,chinook_1,"['track', 'invoiceline']"
select avg ( UnitPrice ) from InvoiceLine,False,Find the average unit price for a track.,26,SELECT AVG(UnitPrice) FROM TRACK,chinook_1,"['track', 'invoiceline']"
select count ( City ) from Employee,False,How many distinct cities does the employees live in?,27,SELECT COUNT(DISTINCT city) FROM EMPLOYEE,chinook_1,['employee']
select count ( City ) from Employee,False,Find the number of different cities that employees live in.,28,SELECT COUNT(DISTINCT city) FROM EMPLOYEE,chinook_1,['employee']
select UnitPrice from InvoiceLine,False,What are the distinct unit prices of all tracks?,35,SELECT distinct(UnitPrice) FROM TRACK,chinook_1,"['track', 'invoiceline']"
select UnitPrice from InvoiceLine,False,Find the distinct unit prices for tracks.,36,SELECT distinct(UnitPrice) FROM TRACK,chinook_1,"['track', 'invoiceline']"
"select max ( OMIM ) from enzyme where Porphyria = ""mandelim""",False,What is the maximum Online Mendelian Inheritance in Man (OMIM) value of the enzymes?,41,SELECT max(OMIM) FROM enzyme,medicine_enzyme_interaction,['enzyme']
select name from enzyme except select name from enzyme where Porphyria = 'Heme',False,What are the names of enzymes who does not produce 'Heme'?,43,SELECT name FROM enzyme WHERE product != 'Heme',medicine_enzyme_interaction,['enzyme']
select count ( * ) from medicine where FDA_approved != ',False,How many medicines were not approved by the FDA?,46,SELECT count(*) FROM medicine WHERE FDA_approved  =  'No',medicine_enzyme_interaction,['medicine']
select count ( FDA_approved ) from medicine,False,How many distinct FDA approval statuses are there for the medicines?,47,SELECT count(DISTINCT FDA_approved) FROM medicine,medicine_enzyme_interaction,['medicine']
select count ( FDA_approved ) from medicine,False,How many different FDA approval statuses exist for medicines?,48,SELECT count(DISTINCT FDA_approved) FROM medicine,medicine_enzyme_interaction,['medicine']
select count ( Affiliation ) from university,False,Find how many different affiliation types there are.,53,SELECT count(DISTINCT affiliation) FROM university,university_basketball,['university']
select count ( Affiliation ) from university,False,Count the number of different affiliation types.,54,SELECT count(DISTINCT affiliation) FROM university,university_basketball,['university']
select Venue from debate,False,Show the distinct venues of debates,69,SELECT DISTINCT Venue FROM debate,debate,['debate']
select Customer_Details from Customers order by limit 1,False,List the names of all the customers in alphabetical order.,70,SELECT customer_details FROM customers ORDER BY customer_details,insurance_and_eClaims,['customers']
select Customer_Details from Customers order by limit 1,False,Sort the customer names in alphabetical order.,71,SELECT customer_details FROM customers ORDER BY customer_details,insurance_and_eClaims,['customers']
select count ( Claim_Stage_ID ) from Claims_Processing,False,Find the number of distinct stages in claim processing.,75,SELECT count(*) FROM claims_processing_stages,insurance_and_eClaims,"['claims_processing_stages', 'claims_processing']"
select count ( Claim_Outcome_Code ) from Claims_Processing,False,How many distinct claim outcome codes are there?,78,SELECT count(DISTINCT claim_outcome_code) FROM claims_processing,insurance_and_eClaims,['claims_processing']
select count ( Claim_Outcome_Code ) from Claims_Processing,False,Count the number of distinct claim outcome codes.,79,SELECT count(DISTINCT claim_outcome_code) FROM claims_processing,insurance_and_eClaims,['claims_processing']
select count ( customer_id ) from Accounts,False,How many customers have opened an account?,82,SELECT count(DISTINCT customer_id) FROM Accounts,customers_and_invoices,['accounts']
select count ( customer_id ) from Accounts,False,Count the number of customers who have an account.,83,SELECT count(DISTINCT customer_id) FROM Accounts,customers_and_invoices,['accounts']
select product_size from Products,False,Show all product sizes.,88,SELECT DISTINCT product_size FROM Products,customers_and_invoices,['products']
select product_size from Products,False,What are the different product sizes?,89,SELECT DISTINCT product_size FROM Products,customers_and_invoices,['products']
select product_color from Products,False,Show all product colors.,90,SELECT DISTINCT product_color FROM Products,customers_and_invoices,['products']
select product_color from Products,False,What are the different product colors?,91,SELECT DISTINCT product_color FROM Products,customers_and_invoices,['products']
select count ( * ) from budget where Invested < ( select total_budget_percent_invested from budget where Budget_invested_percent < 1 ),False,How many budget record has a budget amount smaller than the invested amount?,106,SELECT count(*) FROM budget WHERE budgeted  <  invested,school_finance,['budget']
select count ( School_id ) from endowment where amount < 8.5 group by amount having count ( amount ) > 1,False,Find the number of schools that have more than one donator whose donation amount is less than 8.5.,107,SELECT count(*) FROM (SELECT * FROM endowment WHERE amount  >  8.5 GROUP BY school_id HAVING count(*)  >  1),school_finance,['endowment']
select Type from Institution,False,Show all the distinct institution types.,109,SELECT DISTINCT TYPE FROM institution,protein_institute,['institution']
select count ( product_type_code ) from Products_for_Hire,False,How many different product types are there?,111,SELECT count(DISTINCT product_type_code) FROM products_for_hire,products_for_hire,['products_for_hire']
select payment_type_code from Payments,False,What are all the distinct payment types?,113,SELECT DISTINCT payment_type_code FROM payments,products_for_hire,['payments']
select Position from pilot where Age > 30,False,List the distinct positions of pilots older than 30.,116,SELECT DISTINCT POSITION FROM pilot WHERE Age  >  30,pilot_record,['pilot']
select document_type_code from Documents,False,What document type codes do we have?,119,SELECT document_type_code FROM Ref_Document_Types;,cre_Doc_Control_Systems,"['ref_document_types', 'documents']"
"select shipping_agent_code from Ref_Shipping_Agents where shipping_agent_name = ""shipping""",False,What is the shipping agent code of shipping agent UPS?,122,"SELECT shipping_agent_code FROM Ref_Shipping_Agents WHERE shipping_agent_name = ""UPS"";",cre_Doc_Control_Systems,['ref_shipping_agents']
select role_code from Employees,False,What are all role codes?,123,SELECT role_code FROM ROLES;,cre_Doc_Control_Systems,"['employees', 'roles']"
select count ( * ) from Documents where document_status_code = 1,False,How many documents have the status code done?,126,"SELECT count(*) FROM Documents WHERE document_status_code = ""done"";",cre_Doc_Control_Systems,['documents']
select document_type_code from Documents where document_status_code = 2,False,List the document type code for the document with the id 2.,127,SELECT document_type_code FROM Documents WHERE document_id = 2;,cre_Doc_Control_Systems,['documents']
