SQL,hyp_correct,NL_query,index,GT,DB,tables
SELECT COUNT( * ) FROM medicine WHERE medicine.fda_approved = 'no',False,How many medicines have the FDA approval status 'No' ?,45,SELECT count(*) FROM medicine WHERE FDA_approved  =  'No',medicine_enzyme_interaction,['medicine']
SELECT COUNT( * ) FROM medicine WHERE medicine.fda_approved = 'no',False,How many medicines were not approved by the FDA?,46,SELECT count(*) FROM medicine WHERE FDA_approved  =  'No',medicine_enzyme_interaction,['medicine']
SELECT DISTINCT products.product_color FROM products,False,Show all product sizes.,88,SELECT DISTINCT product_size FROM Products,customers_and_invoices,['products']
SELECT DISTINCT products.product_color FROM products,False,What are the different product sizes?,89,SELECT DISTINCT product_size FROM Products,customers_and_invoices,['products']
SELECT * FROM endowment WHERE endowment.amount > 8.5 GROUP BY endowment.school_id HAVING COUNT( * ) > 1,False,Find the number of schools that have more than one donator whose donation amount is less than 8.5.,107,SELECT count(*) FROM (SELECT * FROM endowment WHERE amount  >  8.5 GROUP BY school_id HAVING count(*)  >  1),school_finance,['endowment']
SELECT song.song_name FROM song WHERE song.languages = 'English',False,Find the names of all English songs.,237,"SELECT song_name FROM song WHERE languages  =  ""english""",music_1,['song']
SELECT song.song_name FROM song WHERE song.languages = 'English',False,What are the names of all songs in English?,238,"SELECT song_name FROM song WHERE languages  =  ""english""",music_1,['song']
"SELECT COUNT( * ) FROM artist WHERE artist.country NOT IN (SELECT * FROM artist, artist WHERE artist.country = 'Bangladeshi artists')",False,How many Bangladeshi artists are listed?,242,"SELECT count(*) FROM artist WHERE country  =  ""Bangladesh""",music_1,['artist']
SELECT COUNT( * ) FROM college WHERE college.state = 'NY',False,How many parks are there in the state of NY?,245,SELECT count(*) FROM park WHERE state  =  'NY';,baseball_1,"['college', 'park']"
SELECT COUNT( * ) FROM college WHERE college.state = 'NY',False,Show me the number of parks the state of NY has.,246,SELECT count(*) FROM park WHERE state  =  'NY';,baseball_1,"['college', 'park']"
