SQL,hyp_correct,NL_query,index,GT,DB,tables
SELECT COUNT(*) FROM management,False,How many acting statuses are there?,4,SELECT count(DISTINCT temporary_acting) FROM management,department_management,['management']
SELECT Catalogs.catalog_name FROM Catalogs,False,Find the names of all the catalog entries.,5,SELECT distinct(catalog_entry_name) FROM catalog_contents,product_catalog,"['catalog_contents', 'catalogs']"
SELECT Catalogs.catalog_name FROM Catalogs,False,What are all the catalog entry names?,6,SELECT distinct(catalog_entry_name) FROM catalog_contents,product_catalog,"['catalog_contents', 'catalogs']"
SELECT Catalogs.date_of_publication FROM Catalogs GROUP BY Catalogs.date_of_publication HAVING COUNT(*) > 1,False,On which days more than one revisions were made on catalogs.,12,SELECT date_of_latest_revision FROM Catalogs GROUP BY date_of_latest_revision HAVING count(*)  >  1,product_catalog,['catalogs']
SELECT COUNT(DISTINCT medicine_enzyme_interaction.interaction_type) FROM medicine_enzyme_interaction,False,How many kinds of enzymes are there?,37,SELECT count(*) FROM enzyme,medicine_enzyme_interaction,"['medicine_enzyme_interaction', 'enzyme']"
SELECT MAX(enzyme.OMIM) FROM enzyme WHERE enzyme.Chromosome = OMIM,False,What is the maximum Online Mendelian Inheritance in Man (OMIM) value of the enzymes?,41,SELECT max(OMIM) FROM enzyme,medicine_enzyme_interaction,['enzyme']
"SELECT COUNT(*) FROM medicine WHERE medicine.FDA_approved = ""no""",False,How many medicines have the FDA approval status 'No' ?,45,SELECT count(*) FROM medicine WHERE FDA_approved  =  'No',medicine_enzyme_interaction,['medicine']
"SELECT COUNT(*) FROM medicine WHERE medicine.FDA_approved != ""no""",False,How many medicines were not approved by the FDA?,46,SELECT count(*) FROM medicine WHERE FDA_approved  =  'No',medicine_enzyme_interaction,['medicine']
"SELECT ""Customers"" FROM Customers ORDER BY Customers.Customer_Details",False,Sort the customer names in alphabetical order.,71,SELECT customer_details FROM customers ORDER BY customer_details,insurance_and_eClaims,['customers']
SELECT COUNT(DISTINCT Claims_Processing.Claim_Stage_ID) FROM Claims_Processing,False,Find the number of distinct stages in claim processing.,75,SELECT count(*) FROM claims_processing_stages,insurance_and_eClaims,"['claims_processing', 'claims_processing_stages']"
SELECT Products.product_size FROM Products,False,Show all product sizes.,88,SELECT DISTINCT product_size FROM Products,customers_and_invoices,['products']
